"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",1039.8,1196.7,744.9,761.6,771.1,681.1,621.6,533.3,457.7,381.1,270.3,341.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1602,"1111602","Caminha",82.5,97.4,51.3,48.4,50.7,38.5,9.3,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1603,"1111603","Melgaço",440.4,504.3,326.3,337.6,351.4,314.9,309,270,234.2,210.5,156.1,212.2,41.6,44.6,3.4,7.9,0.5,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,"1111604","Monção",267.4,314.5,169.2,173.9,191.3,169.3,154,150.4,138.8,140.4,113.3,157.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,"1111605","Paredes de Coura",131.9,153.1,91.9,90.3,93.4,76.6,70.8,60.3,47.4,42.2,23.7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,"1111606","Ponte da Barca",327.9,376.2,243.5,260.5,278.5,260.8,227,209,192.3,169.6,138.1,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1607,"1111607","Ponte de Lima",448.2,524.7,310.6,321.3,342,297.5,272.7,250,213.6,197.7,142.2,158.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1608,"1111608","Valença",22.6,31.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1609,"1111609","Viana do Castelo",202.8,247.9,97,83.1,99.6,65.7,73.6,66.3,38.3,52.7,18.3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1610,"1111610","Vila Nova de Cerveira",42.5,50.2,25.8,22.9,23.6,16.3,21.6,17.9,12.6,15.5,8,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,"1120301","Amares",136,164.7,72.8,63.2,68.7,44.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,"1120302","Barcelos",397.4,477.2,229.4,200.3,210.7,147.4,76.3,56.2,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,"1120303","Braga",669.1,766.9,488.7,500,513.7,452.2,425.5,362.2,300.3,256.9,177.6,184.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,"1120306","Esposende",40,52.4,7.7,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,"1120310","Terras de Bouro",166.5,192.3,118.1,128.4,140.1,132.2,132.4,125.9,119.4,115.3,98.4,156.9,40.3,42.1,3.1,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,"1120313","Vila Verde",771.5,887.7,565.6,591.7,615.1,552.7,537.4,481.7,422.3,379.7,290.5,402.3,70.4,80.1,0,12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,"1130307","Fafe",1285.3,1462.9,981.8,1032.1,1070,983.3,907.9,798.9,705.3,607,472.3,605.7,83.1,84.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,"1130308","Guimarães",1023.9,1191.8,678,635.7,654.5,495,379.7,348.4,264,192.7,50.9,59.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,"1130309","Póvoa de Lanhoso",605.6,695.4,449,462.7,475.1,420.9,415.4,357.9,304.4,266.8,193.3,250.1,47,53,11.5,21.3,0,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0
1314,"1131314","Santo Tirso",127.1,158.4,22.4,0,16.8,0,69.1,58.7,27,129,63.8,123.9,3.2,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1318,"1131318","Trofa",0,0,0,2.6,4.8,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,"1130311","Vieira do Minho",1016,1164.8,739.1,751.3,740,643.7,591.7,489.6,400.6,323.8,216.5,226.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,"1130312","Vila Nova de Famalicão",667.3,772.3,458,450.9,446.9,370.5,331.9,263,190.7,145.5,66.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,"1130314","Vizela",0,0,0,4.6,10.3,15.3,13.8,18.9,23.8,25,27.7,52.5,20.2,20.4,6.4,7.6,3.6,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0
107,"1140107","Espinho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1304,"1141304","Gondomar",111.7,132.5,64.6,59.4,60.4,42.7,43,33.1,17.2,18,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
