"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",836,987.6,884,1170,1267.5,1521.9,9280,9004.2,9904.1,14970.8,14753.7,17989.7,13639.2,14138.8,14441.6,13155.6,7862.2,6460.4,7361.1,670.2,702.4,574.9,559.1,635.9,652.5,736.2,733.9,589.7,526.3,454,377.1
1602,"1111602","Caminha",240.8,331.9,297.6,407.2,467.1,573,2172.5,2160.3,2386.9,3429,3326.8,4131.4,3106.4,3248.6,3337.9,3018.4,1838.7,1514.4,1737.7,223.6,235.5,184.4,173,214.1,218.8,240.3,238.7,189.8,162.1,144.8,116.5
1603,"1111603","Melgaço",0,0,0,0,0,0,856.6,845.2,941.7,1656.3,1606.1,1992.5,1494.4,1550.4,1587.6,1444,819.8,670.5,761.8,0,0,0,0,0,0,0,1.5,1.2,1,1.5,0
1604,"1111604","Monção",628.1,767.6,689,913.4,964.4,1189.4,10910.7,10531.6,11569.2,18059.4,17791.2,21684.6,16422.1,16987.3,17341.9,15776.6,9377.1,7715.1,8744.7,657.3,688.6,562.1,549.7,635.7,651.9,723,707.5,574.2,526,459.9,394.1
1605,"1111605","Paredes de Coura",0,39.1,25.1,99.6,168.6,272.3,4630.6,4576.2,5044.5,8099,7829.2,9744.6,7314.1,7609.4,7800.2,7110.4,5228.1,4287.4,4891.3,2056.3,2157.8,1714.8,1650.9,1951.7,1984.8,2200.6,2121.1,1688.8,1507.1,1318.2,1107.8
1606,"1111606","Ponte da Barca",30.3,25.5,28.3,43.5,52.9,73.2,3213.4,3123.7,3424.5,5577.8,5427.1,6709.3,5053.8,5235.2,5354.4,4874.9,2860.9,2352.7,2674.3,141.4,146.8,118.3,115.8,135.3,141.9,159.8,158.6,124.2,108,92.3,71.4
1607,"1111607","Ponte de Lima",2949,3482.6,3180.2,4081.3,4426.2,5158.6,13012.5,12904.9,14228,18923.4,18310.4,22794.1,17109.8,17885.8,18377.8,16738.3,15213.3,12469.9,14266.1,9947.3,10428.4,8279.7,7976.2,9417.1,9560.6,10590.3,10167.3,8107.5,7264,6334.9,5322.6
1608,"1111608","Valença",828.9,934.5,844.5,1059.3,1120.1,1278.9,5956.3,5804.6,6366.2,9422,9153.4,11336.6,8535.1,8845.1,9043.8,8227.8,5099,4199.1,4768.4,703.8,733.2,585.6,565.6,672,682.5,756.6,731.2,584.3,517.5,453.3,380.2
1609,"1111609","Viana do Castelo",4682.7,5298.9,4810.2,6037.1,6411.6,7345.6,8787.2,8759.7,9698,9496.4,9265.1,11456.4,8646.4,9108.9,9396.2,8539.6,9770,8022.2,9227.2,8674.5,9086.5,7227.5,6929.3,8219.2,8311.8,9086.8,8861.9,7093,6320.3,5562,4682
1610,"1111610","Vila Nova de Cerveira",1908.4,2106.3,1933,2392.1,2512.9,2837.9,4053.6,3985.7,4384.4,4779.6,4623.4,5755.4,4320.3,4495.3,4610.9,4197.1,3136.4,2575.8,2935.2,1298.4,1361.5,1067.1,1003.4,1222.1,1242.2,1357.2,1331.4,1057.9,932.3,828.3,681.3
301,"1120301","Amares",2314.9,2501.4,2250.8,2744.8,2802.9,3120.1,4881.9,4742,5205.4,5891.6,5754,7085.2,5341.4,5554.2,5681.4,5172.8,4386.8,3601.9,4092.8,2491.6,2601.6,2087.9,2025.7,2367.7,2390.7,2645.1,2537.8,2036.2,1848.2,1604.4,1362.7
302,"1120302","Barcelos",71236.9,77879.1,68714.6,83683.1,84911.7,94070.5,42789.3,42719.2,47360.9,0,0,0,0,0,0,0,71835.6,59364.2,69162.8,129335.2,133997.1,108107.4,106065.1,124210.3,124637.9,137577,132323,106899.1,94915,81531.8,68464.2
