"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",27.2,22.9,31.4,31.1,36.3,34.5,55.1,64.2,65.2,81.3,74.5,65.7,77.1,74.9,71.2,77.3,73.4,91.7,89.1,114,106.6,111.3,99.7,92.8,92.5,82.3,83.1,100.2,106.7,117.4,129.5
1602,"1111602","Caminha",15.9,13.3,19.1,19,22.5,21.7,14.6,17.4,17.4,10.5,9.6,8.2,9.8,9.9,9,10.5,5.1,6.2,5.5,0,0,0,0,0,0,0,0,0,0,0,0
1603,"1111603","Melgaço",39.2,32.7,46.8,46.5,57.6,54.1,24.7,29.6,29.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,"1111604","Monção",230.9,193.7,267.2,261.2,314.2,295.2,151,176.7,176.3,32.4,29.4,27.2,30.9,29.5,28.4,30.6,22.3,26.7,26.1,23.6,22.1,22.6,20,18.9,19.1,15.8,16.6,20.1,21.3,23.9,26.4
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,9.8,12,11.3,20.3,18,16.9,19.2,18.2,17.8,19.1,14,16.5,16.4,14.6,13.8,14,12.1,11.7,12.2,9.8,10.4,12.5,13.1,14.8,16.1
1606,"1111606","Ponte da Barca",8.4,7.3,10.3,9.5,12.5,11.5,15.5,18.4,18.5,21.9,19.7,18.3,20.8,19.8,19.3,20.7,69,86.3,83.7,184.5,173.8,180.4,159.3,148.7,148.8,133,136,161.3,169.2,189.6,208
1607,"1111607","Ponte de Lima",15.1,12.7,18.2,18.4,21.8,21.1,271.3,322.1,323.5,553,490.3,447.7,518.3,500.2,484.1,523.8,336.2,423.4,407.8,283.2,268.8,276.1,243.1,228.6,230.8,204.4,210,247.7,258.5,290.3,317
1608,"1111608","Valença",41.6,34.8,49.6,48.8,60.6,56.6,36.2,42.5,43.3,21.7,19.3,17.9,20.5,19.5,19,20.3,38.3,48.1,46.5,90.2,86.2,88.9,78.2,73.8,73.3,65.5,67.6,79.3,82.6,93.3,102.2
1609,"1111609","Viana do Castelo",623.3,521.9,740.4,729.2,896.4,850.2,493.5,582.9,583.5,220.3,195.8,177.8,206.1,199,193.3,208.2,190.6,240.2,230.6,289.4,274.3,282.1,250.1,234.7,234.6,208.6,214.2,253.6,265.4,298,326.5
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0,0,4.4,6,5.6,10.3,9.4,8.1,9.5,9.7,8.9,10.2,8.9,12,11,14.6,14,14,12.2,11.7,12.3,9.8,10.5,12.5,13.2,14.8,16.1
301,"1120301","Amares",138.1,115.8,162.4,159,194.9,183.6,284.7,336.2,335.6,420.1,375.6,340.4,395.7,381.1,368.9,398.6,249,313.6,302.1,194.4,182.8,190.3,168.5,157,156.8,140.1,143.4,170.5,179.2,200.5,219.9
302,"1120302","Barcelos",366.9,307.7,424.2,413.9,499.1,469.2,1061.5,1242.2,1240.3,1754.6,1582,1415.9,1653.7,1591.7,1538,1663.7,1222.8,1540.8,1480.8,1384.7,1304.4,1360.4,1214.2,1128.1,1123,994.3,1022,1222.9,1291.6,1434.5,1582.8
303,"1120303","Braga",839,701.4,998.9,985.4,1215.9,1154.3,942.5,1114.8,1115.5,871.4,774.5,705.4,817.8,788.3,762.6,824.7,501.5,631.3,607.9,356.8,339.2,348.4,308.3,289,290.5,257.2,264,312.5,327.6,367.3,402.7
306,"1120306","Esposende",3194.1,2668.4,3839.6,3791.8,4709.3,4480.1,3927,4657.4,4663.9,3962.3,3507.1,3206.6,3711.2,3579,3469.1,3750.1,3010.8,3787.9,3650.6,3905,3711.8,3808.2,3350.3,3156.8,3176.1,2819.5,2889.2,3412,3563.7,4004.7,4380.7
310,"1120310","Terras de Bouro",0,0,0,0,0,0,5,6.7,6.3,11.4,10.6,9,10.6,10.8,9.8,11.4,20.1,25.1,24.3,47.9,45.1,45.8,41.2,38.1,39,34.2,34.8,41.7,44,48.3,52.9
313,"1120313","Vila Verde",87.8,73.3,104.6,103.3,127.8,121.3,125.5,148.6,148.5,147.9,131.5,120.2,138.9,134.5,129.8,140.8,164.9,206.8,199.7,308.2,292.3,300.5,264.9,248.9,250,222.6,227.8,269.3,281.7,315.8,345.6
307,"1130307","Fafe",24.3,20.5,29,28.5,35.3,33.4,81.8,96.5,97.5,139.7,124.7,112.7,130.9,126.2,122.5,132.6,95.4,120,115.8,104.4,98.4,102.3,89.9,84,85.1,75,77.5,91.2,95.1,107.3,117.6
