"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",7.2,17.3,15,17.4,0,0,6.1,19.3,52.4,75.8,83.6,95.7,88.5,89,87.1,76.6,12.1,19.7,36.8,4.9,5.1,0.7,0,0.6,2.4,4.4,6.8,14.3,27.4,32.8,34.5
1602,"1111602","Caminha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,23,26.9,20.5,25.6,32.3,33.4,35.3,43.1,40,46.3,53.2,54.2
1603,"1111603","Melgaço",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,"1111604","Monção",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,"1111605","Paredes de Coura",2.9,6.3,6,7,0.5,1.1,0,0,0,0.9,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,"1111606","Ponte da Barca",30.9,42.4,38.6,44.5,24.3,26.6,19.2,27.4,51.3,51.5,56.6,65.5,50.1,50.2,49.8,45,36.6,37.7,51.8,44.3,49.8,40.3,51.5,62,63.4,70.3,77.5,71.7,87.2,96.2,100.7
1607,"1111607","Ponte de Lima",92,135,126.6,152.4,88.4,100.3,24.2,57.7,106.6,53,61,53.2,45.6,45.4,42.5,37.7,73.7,71.2,98.9,120.8,130.8,95.4,98.2,122.1,130.5,150.1,159.4,153.7,186.6,188.5,194.6
1608,"1111608","Valença",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,5.8,4.4,6.7,8.4,8.9,10.7,12.5,11.4,14.8,16.4,16.9
1609,"1111609","Viana do Castelo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,11.4,5,8.4,12.3,14.8,18.1,25.5,26.3,37.1,42.1,43.9
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,"1120301","Amares",0,7.7,9.1,12.2,8.2,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,8.1,21.3,26.3,28.7,33.3,42.4,38.2,51.5,55.8,58.8
302,"1120302","Barcelos",0,0,0,0,0,0,0,0,0,17.3,25.8,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,11.6,29.8,40.3,66.1,82.1,86.4
303,"1120303","Braga",95.1,130.1,119.5,140,80.2,91.3,55.8,78.3,135.7,111.3,120,150.3,126.7,129.4,130.7,120.3,168.8,154.5,191.1,210.9,235.2,198.5,234.7,276,273.3,301.2,314.2,273.6,317.1,320.5,329.8
306,"1120306","Esposende",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,"1120310","Terras de Bouro",17.9,25.5,22.9,26.4,13.3,14.5,2.2,5.6,13.4,3.1,3.8,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,"1120313","Vila Verde",30.7,47.8,43.2,50.9,20.7,23.9,24,39.3,79.9,96.2,105.2,134.8,123.4,127.8,128.9,118.3,65.3,66.1,88.9,46,53.3,42.5,54.8,65.3,67.4,76.8,88.2,84.9,108.7,116.2,120.6
307,"1130307","Fafe",0.8,4.1,4,4.9,0,0,0,4.7,19,28.5,32.6,27.9,11.6,10,8.1,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3,12.6
308,"1130308","Guimarães",15.2,45.7,43,50.9,0,0,0,29.7,117.1,132.9,148.9,214.1,188.5,198.5,202.3,180.8,175.8,174.2,228.5,215.3,238.6,203.3,247.9,298.1,292.2,305.5,328.7,294.6,318.6,353.9,370
309,"1130309","Póvoa de Lanhoso",0,0,0,0.4,1,2.8,69.8,88.4,147.4,233.1,243.8,349,308.4,318.2,324.3,301,178.5,159.5,194.2,97.1,109.6,92.2,111,128.4,127.9,138.6,144.2,125.5,143.1,149.6,155.3
1314,"1131314","Santo Tirso",0,0,0,0,0,0,7.8,24.1,59.8,104.7,109.6,157.5,141.7,151.6,150.4,112.9,93.9,98.5,126.8,94.2,99.6,77,91.1,129.6,130.1,137.5,146.6,130,149.1,153.8,160.6
1318,"1131318","Trofa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,"1130311","Vieira do Minho",26.2,42,37.2,45.7,25.8,29.7,0,1.9,13.7,0,0,0,0,0,0,0,20.1,20.7,28.8,48.4,54.4,45.6,57.8,67.3,66.7,72.4,78,70,83.4,86.8,91
312,"1130312","Vila Nova de Famalicão",22.3,39,34.5,41.9,12.3,16.1,46.7,70.5,129.2,181.6,197.7,245.8,218.6,222.8,220.6,194.3,92.7,88.5,113.9,37.8,45.5,38.8,52.2,62.1,65.6,72.2,81.7,74,93.1,98.6,102.2
314,"1130314","Vizela",0,0,0,0,0,0,26.9,32.8,45.4,68.2,72.3,100.2,97.1,100,100.6,93.6,58.6,51.5,61.6,27.9,31.2,25.9,30.2,34.6,34.1,37.7,38.5,33.6,39,38.8,41
107,"1140107","Espinho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1304,"1141304","Gondomar",20.9,32.1,28.8,33.8,14.5,16.5,1.5,7,18.8,7.1,9.3,2.7,0,0,0,0,71.1,67.9,85.5,134,144.5,121.2,133.1,166.4,163.6,169.3,183.4,165.8,191,193.3,203.8
1306,"1141306","Maia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,3.6,13.4,16.6,12.7,15.8,18.7,19.1,22.1,24.3,22,27.5,29,30.4
1308,"1141308","Matosinhos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1312,"1141312","Porto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1313,"1141313","Póvoa de Varzim",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1315,"1141315","Valongo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1316,"1141316","Vila do Conde",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1317,"1141317","Vila Nova de Gaia",0,2.3,2.1,4,0,0,0,0,5.3,3.7,4.8,1.3,0,0,0,0,17,17.2,24.3,47.1,24,9.2,7.8,45.4,45.6,62.8,64.8,58.4,67.7,68.6,71.9
1301,"1151301","Amarante",0,4.2,2.8,4.9,0,0,5.7,24.4,57.4,91.1,99.5,133.8,115.5,122.4,125.7,116.6,235.7,212.9,262.5,331.9,362.4,304.9,357.6,410.2,403.1,439.7,451.8,400,460.5,454.1,477.5
1302,"1151302","Baião",50.2,68.4,65.5,78.1,56.3,63.7,69.1,89.4,131.4,150.6,157.6,217.9,202.3,208.3,211.7,195.9,260.6,229.2,276.3,293.3,326.4,272.1,313.7,362,360,389,396.2,343.3,388.1,388,404.2
304,"1150304","Cabeceiras de Basto",0,2,2.3,4.8,5,6.7,8.2,19,32,54,58.8,73.9,68.6,70.8,70.8,64.8,23.5,23.9,34.8,17.6,21.4,16,21.6,26.6,27.9,31.9,37.2,35.1,44.6,48.8,50.7
106,"1150106","Castelo de Paiva",0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,10.8,10.9,15.4,28.4,31.5,25.3,28.9,34.5,35,39,40.9,36.9,43.4,44.1,46
305,"1150305","Celorico de Basto",5.5,11.5,10.5,12.9,2.1,3.2,6.4,15.5,34.5,45,48.3,66.1,57,61.2,62.7,58.8,93.8,86.3,108.7,124.9,141.2,116.5,136.9,159.8,160.2,174.9,182,160.1,185.6,189.9,197.2
1804,"1151804","Cinfães",76.6,96.2,95.7,115.5,108.7,121,34.9,43.6,48.9,8.3,9.3,9.9,12.4,12.4,11.8,10.9,46.7,42,51.7,82,89.6,72.2,78.6,91.6,92,100,100.8,88.1,99.3,96.5,100
1303,"1151303","Felgueiras",0,0,0,0,0,0,0,0,3,13.7,17.6,23.8,20.4,21.8,22.2,20.6,35,35.2,47.1,55.3,63.1,54,67,78.7,79.7,86.5,93.3,81.2,96.4,99.9,103.7
1305,"1151305","Lousada",0,3.1,2.8,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,4.3,19,21.6,17.9,22,25.7,25.9,28.9,30.8,27.4,32.4,34,35.7
1307,"1151307","Marco de Canaveses",0,0,0,0,0,0,3.6,8.8,19.8,39.3,42.2,57.9,48.9,50.5,51.2,47.3,40,37.1,47.2,47.5,52.8,42.9,49.6,58.3,58.3,63.8,66,58.4,68,67.7,68.7
1705,"1151705","Mondim de Basto",0,0,0,0,0,0,0,0.3,1.5,8.6,9.4,11.2,11,11.4,11.6,10.6,31.1,28.6,36.2,46.8,52.5,44.5,53.8,62.4,61.9,67,69.8,61.6,71.4,73.2,76.4
1309,"1151309","Paços de Ferreira",0,0,0,0,0,0,0,0.9,6,16.7,18.2,23.7,19.5,19.7,20.2,18.6,2.6,3.2,5.1,0,0,0,0,0,0,0,0,0,0,0,0
1310,"1151310","Paredes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,6,4.3,6.3,8.1,8.8,10.6,12.5,11.7,15.5,17.1,17.9
1311,"1151311","Penafiel",0,1.4,0.5,2,0,0,0,0,6.6,9.4,11.6,10.8,5.7,5.8,5.8,5,4.1,7,12.1,16.9,19,14.2,15.5,19.1,20.3,23.8,25.3,23.5,29.2,29.6,30.6
1813,"1151813","Resende",58.3,75.2,73.4,88.3,77.5,85.3,162.5,195.2,233.4,288.1,298.2,410.6,433.7,447.8,453.7,418.6,618.8,527,618.1,666.4,729.4,602.5,665.5,766.8,758.9,818.3,813.4,698.5,767.5,743.2,772.1
1709,"1151709","Ribeira de Pena",29.9,37.3,37.8,45.9,46.5,51.3,22.1,28.3,30.9,17.5,18.3,23.5,26.8,27.6,27.8,25.5,48.1,42.7,52.1,66.8,73.4,60.8,69.6,80.8,81.2,88.5,91.3,80.6,91.7,92.3,95.6
104,"1160104","Arouca",0,1.4,1.1,2.5,0,0,0,4.1,12.4,19.1,23.7,24.3,24.9,26.4,26.6,24.9,26.9,26.5,35.1,32.6,36.7,28.2,30.8,36.9,38,42.6,44.7,40.4,47.9,48.1,50
113,"1160113","Oliveira de Azeméis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,"1160109","Santa Maria da Feira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.7,8.5,6.6,8.9,10.6,11.3,13.4,14.8,13,16.4,17.8,18.5
116,"1160116","São João da Madeira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,"1160119","Vale de Cambra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1701,"1171701","Alijó",47.6,65.3,61,70.3,41.7,46.4,137.4,173.6,242.4,309.8,325.5,460.4,464.1,479.2,485.7,449.3,408.6,351.6,415.4,332.5,363.1,301.6,332.6,382.5,379.3,408.9,407.5,349.5,384.9,371.1,386
1801,"1171801","Armamar",660.5,710.4,662.3,759.5,800.1,949,719.5,699.4,763.6,514.9,512,699.5,605.2,636.9,660,609,895.6,753,872.2,973.8,1053.7,862.9,852.8,979.4,969.1,1048.1,982.6,842,884.2,862,921.6
403,"1170403","Carrazeda de Ansiães",3263.5,3506.6,3243.3,3722,3751.1,4156.2,4568.9,4205.2,4355.5,4171.4,4008,5333.4,4258.7,4298.9,4279.5,3791.1,4779.2,3934.5,4466,4468.7,4768.4,3851.5,3750.7,4310.7,4270,4636.6,4422.3,3813.7,4030.6,3926.9,4186.8
404,"1170404","Freixo de Espada à Cinta",13557.1,14624.3,13440.2,15462.6,15079.3,15894,15262.4,13765.8,13979,10836.6,10356.6,13706,10860.7,10871.2,10726,9420.9,9839.3,7982.5,8915.3,7782.5,8117.9,6409,6102.5,7008.4,6934.3,7580.9,7475.4,6516.6,6971.5,6784.7,7160.4
1805,"1171805","Lamego",1225.9,1310.7,1221.6,1397.3,1483.3,1768.9,1731.8,1690.3,1854.1,1581.4,1575.3,2174.5,1824.6,1928.1,2006.6,1859.9,1588.9,1340,1556.3,1075.8,1165.3,950.4,940.9,1082.8,1072.8,1160.7,1085.9,930.1,963.2,937.7,1007.1
1704,"1171704","Mesão Frio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.9,76.6,89,154.4,167.1,136.6,134.9,155,153.7,165.8,155.3,132.9,139.8,136.5,146.4
1807,"1171807","Moimenta da Beira",1227,1315.1,1229.4,1408.3,1492.3,1780.9,1808.6,1765.1,1936.2,1697.1,1689.5,2307,1938.9,2049.5,2135.8,1981.5,2114.8,1782,2066.3,1847.6,2002.6,1627.6,1598.7,1847.5,1830.3,1981,1853.2,1587.9,1658.9,1621.6,1734.4
1812,"1171812","Penedono",1076.4,1174.3,1103.3,1276.1,1308.7,1491.4,1935,1845.6,1972.7,2027.8,1992,2718,2383.2,2474.6,2536.9,2316.5,2729.1,2276.3,2612.7,2554.9,2741.8,2222.3,2172.1,2496.8,2471.8,2678.1,2526.5,2169.6,2282.9,2225.2,2352.1
1708,"1171708","Peso da Régua",12.2,15.3,15.2,18.4,18.3,19.9,251.1,241.3,262.2,388.7,392.3,524.5,441.3,464.8,482.3,446,378.1,318.6,366.5,250.9,269.2,222.2,220.1,251.7,247.9,267.8,250.4,217.1,227.4,221.8,236.6
1710,"1171710","Sabrosa",117.1,125.9,117.6,136.6,142.5,167,1307.2,1271.4,1389.5,1970.1,1958.8,2688.6,2227.5,2352.1,2446.2,2266.5,1561.5,1314.8,1523.2,715,781.3,630.2,614,710.2,707.1,768.9,721.5,624.2,661.6,652.4,699.8
1711,"1171711","Santa Marta de Penaguião",308.7,331.2,309.2,355.7,376.4,448,403.5,393.4,431.8,346.6,344.6,474,404.4,427.1,443.5,411.3,583.1,491.5,569,629,681.5,557.2,550.3,631.4,626.6,677.9,633.4,542.8,570,555.3,595.4
1815,"1171815","São João da Pesqueira",13247.7,14231.2,13178.8,15142.5,15226,16815.3,14785.1,13673.8,14225.2,10528.2,10161.7,13608,10966.3,11140.6,11174.6,9978.7,10657.2,8771.6,9942.9,8771.4,9313.7,7472.4,7244,8330.5,8249.7,8970.1,8617.1,7442.4,7873,7669.1,8154
1818,"1171818","Sernancelhe",968.2,1044.9,981.7,1126.8,1191.9,1414.6,1347.8,1315.8,1437.6,1210.3,1201.6,1649.1,1452.7,1529.5,1586.9,1466.7,2646.9,2225.8,2576.1,3175.1,3439.9,2801.2,2755.2,3165.6,3142.4,3401.7,3181.5,2728.1,2866.9,2797.2,2981.9
1819,"1171819","Tabuaço",409.9,443.8,412.2,477.3,493.8,572.1,590.3,568.2,616.3,542.9,537,735.8,629.6,660.7,683.3,628,749.7,627.4,724.9,713.9,770.2,627.9,616.5,708.8,702.6,762.7,716.4,614.8,646.6,631.4,670.9
1820,"1171820","Tarouca",314.4,340.2,318.9,368.8,389.1,461.6,457.6,450.3,497.7,433,430.9,581.5,494.4,530.8,559.3,521.1,538.4,452.2,524.6,457.4,499.1,398.4,386.3,449.3,447.6,487.2,458.4,397.9,416.6,413.7,440.2
409,"1170409","Torre de Moncorvo",26292.2,28345.5,26104.4,30050.9,29380.4,31054.2,36244.1,32775.4,33358,32012.7,30606.7,40563.6,32193.5,32274.2,31910.5,28084.1,29047.3,23592.1,26380,22830.3,23848.3,18796.4,17873.4,20580.6,20357.3,22290.9,21955.3,19118.3,20470.1,19910.8,21033
410,"1170410","Vila Flor",11001.2,11914.4,10519.4,11973.9,11472.4,12186.2,19315.4,17647.9,18362.4,20698.8,20486.8,27070.8,22152.1,22645.5,22853.2,20575.7,19839.2,16434.1,18677.2,14717.4,15542.9,12748.1,12589.9,14249.6,13952,15118.6,14503.9,12676.3,13545.7,13059.2,14033.2
914,"1170914","Vila Nova de Foz Côa",18378.1,19827.6,18234.8,20983.2,20468.6,21562.3,26323.2,23764.6,24148.6,24077.5,23014.2,30481.7,24156.9,24192.1,23886.9,20968.8,19886.2,16143.5,18018.3,13691.8,14236.1,11191.4,10646.6,12249.8,12121.3,13261.6,13117.6,11441.5,12246.7,11923.2,12571.1
