"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",0.8,0.7,0.3,0.9,1.8,2,4.7,4.6,3.8,5.6,6.5,4.6,4.9,2.4,1.6,7.9,12.1,11.2,14.2,15.9,17.9,10.2,12.3,12,12.6,14.1,14.8,11.6,19.8,14,23.3
1602,"1111602","Caminha",0,0,0,0,0,0,0,0,0,0.3,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1603,"1111603","Melgaço",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,"1111604","Monção",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,"1111606","Ponte da Barca",8.9,9.5,8.4,10.7,12,12.8,8,7.4,7,4.9,5.5,3.9,3,1.6,0.6,5,7.4,7.1,9.2,10.1,11.2,5.5,6.4,6.8,7.5,8.2,9.5,7.4,13.5,9.6,15.9
1607,"1111607","Ponte de Lima",57.2,64.2,55.9,83.8,84.5,92.1,104.4,88.8,96,126.1,119.9,19.4,50.1,15.1,13.3,26,29.7,26.6,33.2,32.3,36.6,20.6,24.4,24.3,25.3,29,30.5,23.5,39.3,27.7,64
1608,"1111608","Valença",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1609,"1111609","Viana do Castelo",5.1,4.9,3.9,5.9,8.7,9.9,22.9,21.5,19.7,42.8,46.1,44.5,32.1,26.3,24.6,40.4,22.4,20,24.6,8.3,10.2,4.4,5.2,4.6,5.3,6.4,7.3,5.5,12,7.6,14.1
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.4,0.4,0.7,0.5,2.4,1.4,1.4,1.3,1.4,1.5,1.5,1.2,1.9,1.4,2.4
