"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",1421.8,1225.8,1152.6,1298.8,1264.8,1327.5,1141.9,1036.1,1018.2,1208.4,762,895.5,692,453.4,511.9,460.5,647.4,539.3,536,776,727.1,460.4,436,529.4,621.9,604,540.5,481.8,419.2,344,563.3
1602,"1111602","Caminha",293.8,249.9,244.3,278.7,279.9,298.1,223.4,205.9,201.9,188.7,109.7,125,79.4,40.4,52.2,45.8,63.3,56.8,56.4,78.4,73.7,38,30.3,47.7,61.8,56.7,55.3,50.9,38.7,38.4,65.8
1603,"1111603","Melgaço",1375,1186,1157.7,1317.3,1318.5,1402.4,991.8,909.7,895.1,553.2,347.9,423,329.4,225.1,253.4,228.6,222.2,184.9,184.2,159.2,146,89.3,81.1,105.8,125.3,120.7,110.4,97,78,68.4,111.9
1604,"1111604","Monção",1674,1445.3,1358.6,1529.9,1491.2,1566.1,1230.8,1117.7,1097.7,1046.9,663.8,777.9,598,394.2,445,402.5,494.9,414.2,411.4,517.9,480.4,299.9,276.6,347.6,411,401,359,321.6,274.6,229.9,379.5
1605,"1111605","Paredes de Coura",581,498.9,490,557.8,561.3,596.7,532.7,490.3,483,597.6,377,461.2,359.2,247.8,277.8,253,324.4,270.1,268.6,374.2,351.3,216,196.5,247.9,296.7,290.6,259.9,230.7,197.4,167.5,272.9
1606,"1111606","Ponte da Barca",436.2,375.2,362,410.4,408.3,432.1,394.3,360.8,354.6,492.1,306.8,343.4,247.8,146.7,168.1,149.8,220,187.5,185.6,284.8,261.1,152.1,135.9,175.9,218.5,212,192.2,176,154.5,131.5,218.9
1607,"1111607","Ponte de Lima",1377.6,1182,1159.5,1322.5,1330.7,1415.5,1137.6,1050.3,1033.8,1053.8,652.3,766.8,573.2,365.4,417.2,376,598.5,503.9,499.1,832.7,778.7,469.8,428.4,537.5,656.8,645,574.9,513.3,447.2,376.2,614.9
1608,"1111608","Valença",442,373.7,364.7,412.8,410.7,433.6,335.6,316.6,318.1,333.2,199.3,239.2,185.6,113.9,130.5,117.7,134.8,115.2,115.1,134,123,74.1,67,87.8,106.2,103.2,92.2,81.1,65.5,55.9,95.7
1609,"1111609","Viana do Castelo",2795.6,2400.9,2325,2644.3,2634.3,2793.6,2039.3,1865,1836.5,1327.7,829,997.5,768.2,514.8,583.7,527.1,730.4,614.4,614.6,882.9,847.1,518.4,457.3,593.1,702.2,654.3,616.6,541.2,447.1,383.4,622.1
1610,"1111610","Vila Nova de Cerveira",360.2,309.6,303.8,346.3,348.2,370.8,281.7,259.1,255.2,208.8,131.7,161,125.8,87.1,97.5,88.7,88.6,73.8,73.9,68.5,64.8,38.4,33.3,45.5,53.7,51.3,47.6,42,34.8,30.1,47
301,"1120301","Amares",452.5,380.8,366.7,414.7,409.5,432.1,281.7,275.6,281.9,299.7,168.5,205.3,129.3,51.6,74.1,67.1,0.2,10.8,10.6,0,0,0,0,0,0,0,0,0,0,0,0
302,"1120302","Barcelos",8965.2,7783.9,7313.1,8229.3,8018,8415.8,5897.2,5356.2,5258.9,3270.2,2048.9,2483.6,1916,1260.1,1410.4,1168.4,1119.4,999.2,1002.6,791.5,725.3,412.6,382.5,499.2,601.4,582,517.4,490.7,407.8,341.5,602.4
303,"1120303","Braga",1959.8,1689.7,1639.8,1865.2,1865.5,1979.4,1495.2,1369.4,1346.7,1095.4,691,826.5,635.7,425.8,479.1,430.9,438.3,369,367.4,351,321.7,196.1,175.2,225.6,269.9,272.7,241.6,214.9,189.5,156.2,256.7
306,"1120306","Esposende",2862.1,2468.7,2419.3,2756.3,2767.2,2941.7,2140.3,1963.9,1929.2,1342.6,837.5,1038.1,806.3,554.8,618.3,530.5,485.8,421,422.9,293,272.7,167.4,155.1,198.4,233.1,227.5,201.4,183.6,160.2,133.5,213.6
310,"1120310","Terras de Bouro",410.5,353.9,339.1,384.8,380.7,402.7,329.5,300.3,295.2,309.8,194.3,229.6,176.7,116,132.4,118.9,77,65.9,64.9,21.5,17.9,6.4,3.7,8.1,14.8,14.3,12.5,13.6,12.5,11.2,22.1
313,"1120313","Vila Verde",1470.5,1266.2,1233.2,1401.9,1402.9,1488.8,1152.1,1058.6,1042.8,925.6,580.2,697.2,538.4,361,408.2,370.2,486.5,405.9,404,567.7,533.8,328.1,301.5,374.5,450.7,444.6,391.1,349.2,301.4,251.7,413.3
307,"1130307","Fafe",1905.7,1645.5,1596.1,1816.7,1811.5,1917.8,1685.7,1542.9,1516.2,1844.6,1171.2,1400.5,1076.5,726.8,816.1,741,626.1,529.3,523.6,375,339.4,194.4,174.9,237.1,299.1,295.1,259.3,237.7,210.3,186.1,326.5
308,"1130308","Guimarães",3108.5,2642.9,2600.3,2962.8,2980.7,3171.9,2255.4,2109.8,2096.3,1561.9,921,1136.4,873.7,556.1,639.3,518.5,428.3,405.1,419.3,254.7,225.4,126.8,111.2,170.9,200.9,169.6,154,156.7,120.9,102.4,191.1
309,"1130309","Póvoa de Lanhoso",945.9,812.7,791.2,902.1,902.5,957.4,700.1,643.2,633.3,447.7,280.4,339.7,263.8,177.9,201.3,183.1,158.5,132.9,132.2,88.4,82.1,46.4,43.5,55.6,68.5,67.1,58.8,53.2,45.5,39.7,67.7
1314,"1131314","Santo Tirso",2136.1,1814,1790.8,2025.6,2045.3,2173.4,1474.5,1359.4,1344,751.7,416.5,606,471.2,332.3,349.7,119.9,226,334.1,365.1,484.5,384,215.2,199,369,437.7,408.2,377.6,336.9,287.5,245.9,389
1318,"1131318","Trofa",0,0,0,0,0,0,392.5,355.7,348.6,1282.7,812,990.7,785.2,542.9,608.2,531.4,470.3,408.1,409.2,301.7,284.5,156.1,142.6,186.8,226.9,221.5,189.9,173.2,146.4,118.9,220.1
311,"1130311","Vieira do Minho",1776.3,1539.8,1444.1,1628.6,1585.2,1663.2,1315.7,1192.3,1169.8,1103.4,707.6,846.6,664.6,456,510,463.9,435.9,361.2,359.2,286.5,267.5,167.6,155.5,191.8,227.7,222.2,197,176.6,154,127.1,211.1
312,"1130312","Vila Nova de Famalicão",4865.5,4217.9,3965.5,4469.1,4352.2,4571.5,3224.2,2915,2858.5,1764.6,1118.8,1340.5,1042.2,698.9,781.4,660.1,570,503,502.6,292.8,245.8,124.9,101.7,178,222.3,225.2,184.2,174,153.1,127.1,224.1
