"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",0,0,0,0,0,0,0,0,0,0,0,0,66.7,38.4,7.1,0,0,2.7,92.2,47.4,0,23.7,78.2,122.7,122.7,220.6,187.9,151.2,116.1,106.7,102.4
1602,"1111602","Caminha",0,0,0,0,0,0,0,0,0,0,0,0,63.4,33.2,6.7,0,0,0,20.8,13,0,0,0,0,0,0,0,0,0,0,0
1603,"1111603","Melgaço",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,36.7,22.7,0.9,19,47.7,76.1,73.3,122.8,107.1,87,62.6,62,59.1
1604,"1111604","Monção",624.7,557.3,755.9,650.5,368.7,51.2,0,0,0,0,0,26.6,0,25.3,38.6,20.5,0,98,323.4,207,47.3,175.2,398.5,604.9,584.9,965.4,822.5,670.3,512.7,481.1,467.1
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6.8,33,26.6,19.3,8.8,7.1,5.7
1606,"1111606","Ponte da Barca",0,0,0,0,0,0,0,0,0,0,0,34.7,77.4,51,31.6,9.3,0,9.3,32.5,8.2,0,0,0,1,2.3,10.4,8.6,6.4,3.4,2.9,2.4
1607,"1111607","Ponte de Lima",1056.3,964.3,1305.3,1059.9,500.5,0,0,0,0,0,0,0,18.7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
1608,"1111608","Valença",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,39.2,18.8,0,13.5,45.8,75.4,74.3,130.1,110.5,88.7,63.6,60.9,58.1
1609,"1111609","Viana do Castelo",1414.5,1270.2,1726.2,1480.4,841,58,0,0,0,0,0,0,130.2,50.9,0,0,0,0,112.9,43.2,0,0,50.7,119.3,123.4,244.9,217.9,169.4,107.3,102.2,92.3
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,"1120301","Amares",785.3,690.6,939.4,883,632,326,0,0,0,0,0,90,79,60.3,41.7,11,0,34.9,126.2,64.6,0,42.8,111.5,171.9,168.3,289.5,242,195,152.8,137.8,132.3
302,"1120302","Barcelos",6948.8,6198.4,8434.8,7852.2,5263.8,1687.2,0,0,0,0,0,397.5,3533.2,1972.4,579.6,0,0,0,885.4,0,0,0,0,0,0,0,0,0,0,0,0
303,"1120303","Braga",411.1,377.1,513.8,441.9,220.4,0,0,0,0,0,0,183.7,553,344.7,173.3,0,0,13,226,35.4,0,0,0,0,7.1,99.7,76.1,49.9,13.1,0.5,0
306,"1120306","Esposende",472.9,434.7,591,507.2,255.8,0,0,0,0,0,0,123.7,549.4,324.2,133.9,0,0,0,150.8,0,0,0,0,0,0,0,0,0,0,0,0
