"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",135.3,133.7,185.3,654.4,1261,2070.8,3210.4,3803.4,5002.4,4708.1,4120.8,4833.9,3585.3,3077.3,2938.4,2584.5,2605.2,1749.2,1584.8,1098.8,927.6,430.2,144.9,163.7,171.9,191.1,186.5,154,131.2,118.7,98.1
1602,"1111602","Caminha",45.5,56.4,74.6,202.4,362.6,574.4,923.3,1073.2,1379,1329.2,1141.3,1320.3,967,831.4,794.4,687.6,719.3,483.8,438.8,329.5,285.4,135.9,54.4,66.6,68,73.6,71.7,59.2,48.7,45.3,36.5
1603,"1111603","Melgaço",0,0,0,0,60,156.4,338.1,423.6,581.5,602,533.4,631.3,470.9,400.8,380.9,331.3,328.8,216.4,189.6,124.3,96.2,35.2,0,0,0,0,0.5,0.4,0.3,0.5,0
1604,"1111604","Monção",97.6,101.3,140.9,681.2,1387.5,2352.5,3745.3,4463.3,5914.2,5623.8,4940.8,5819.8,4327,3706.2,3539.3,3111.5,3115.3,2096.8,1884.7,1282.2,1070,482.9,144.5,166.5,171.7,187.8,179.8,150,131.1,120.3,102.5
1605,"1111605","Paredes de Coura",0,0,0,250.9,629.5,1142.2,1936.6,2350.1,3132.3,3049.5,2681.6,3160.9,2350.7,2074.4,2048.9,1874.3,1975.5,1413.1,1391.5,1071.7,1082.3,689.9,543.4,630.5,633.6,692.2,654.3,543,466.9,424.1,357.3
1606,"1111606","Ponte da Barca",4.7,2.7,5.2,194.8,457.7,809,1234.7,1517,2049.4,1898.4,1694.5,2023.5,1520.8,1302.7,1243.3,1092.9,1082.8,727.2,652.8,433.4,355,153.5,34.1,39.4,42.4,47,45.8,37.2,31.1,27.6,21.4
1607,"1111607","Ponte de Lima",701.3,690.1,928.8,1797.7,2769.9,4020.6,5835.4,6591.7,8310.9,7686.1,6543.8,7506.9,5460.7,4988.5,5114.2,4865.8,5422,4089.3,4303.7,3605.7,3989.5,2856.8,2626.7,3044.7,3039.5,3315.2,3124.7,2594.2,2241.2,2028,1713.9
1608,"1111608","Valença",189.2,176.2,237.4,607,1061.2,1653.7,2451.2,2860.5,3722.6,3453.5,3010.3,3526.4,2611.9,2249.8,2164.4,1917.7,1927.9,1319.4,1212.9,838,732.7,369.1,175.3,205.5,207,226.2,214.4,177.9,151.3,138.1,115.8
1609,"1111609","Viana do Castelo",1046.8,978.7,1328.5,1936.5,2456.3,3069.8,4057.9,4186.6,4861.7,4320.4,3454,3737.6,2582.1,2475.5,2655.7,2628.2,3130.3,2477.6,2759.9,2486.4,2914.4,2205.5,2138.1,2506.5,2499.9,2694.9,2577.4,2139,1831.8,1676.5,1417.1
1610,"1111610","Vila Nova de Cerveira",483.2,438.9,594.3,898.8,1170.5,1499.1,1951.1,2049.8,2442.6,2150.3,1763,1956.6,1381.3,1220.7,1209,1106.4,1175.4,845.1,835.7,650.7,662.7,420.9,328.3,393.7,394.5,424.6,408.3,338.5,287.3,264.9,218.7
301,"1120301","Amares",502.2,444.4,605.2,941.9,1251.9,1633.2,2061.8,2200.6,2672.6,2291.7,1906.8,2147.2,1535.1,1384.1,1400.4,1318.1,1431.8,1065.2,1096.4,882.1,956,667.5,592.8,686.6,684.9,747,701.9,582.7,507.1,459,390.1
302,"1120302","Barcelos",13433.1,12008.6,16305.8,20425.8,22015.4,23070.8,20985.2,17578.9,15871.8,7558,3262.2,621.1,0,2380.6,6452,9827.8,15586.5,15812.5,21694.3,21955.2,29502.1,25455.6,28054.8,32769.7,32805,35729.5,33606.3,27942.9,23669.5,21320.3,17810.7
303,"1120303","Braga",2217.6,1979,2688.2,3381.1,3658.1,3866.6,3961.4,3393.8,3204.7,2132.3,1264.9,903.8,313.4,719.3,1197.2,1604.9,2361.4,2253.1,2947,2943.8,3868.5,3295.2,3535.9,4133.4,4113.3,4517.1,4244.5,3520.4,3054.5,2746.6,2303.6
