"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",11.6,8,16,21.2,35.4,41,18.7,24.2,26.7,0,0,0,0,0,0,0,1.7,1.6,1.1,3.2,2.7,3.5,4.5,4.3,4,3.5,3.6,3.5,2.6,2,2.1
1602,"1111602","Caminha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1603,"1111603","Melgaço",30.1,20.7,41.3,55.2,91.7,106.4,48.5,62.8,69.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,"1111604","Monção",67.4,46.4,92.6,123.9,205.6,238.7,108.8,140.9,156.3,0,0,0,0,0,0,0,1.7,1.6,1.1,3.2,2.7,3.5,4.5,4.3,4,3.5,3.6,3.5,2.6,2,2.1
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,"1111606","Ponte da Barca",16.1,11.1,22.1,29.5,49,56.8,31.9,41,45.6,10.6,7.2,5.5,5.1,4.4,4.3,4.9,2.8,2.8,1.7,0,0,0,0,0,0,0,0,0,0,0,0
1607,"1111607","Ponte de Lima",112.8,77.7,154.9,207.3,343,398.7,196.4,254.1,281.5,26.6,17.8,13.4,12.7,11.1,10.6,12.1,8.1,7.8,5.5,2.4,2,2.6,3.4,3.3,3,2.6,2.7,2.7,1.9,1.5,1.6
1608,"1111608","Valença",0,0,0,0,0,0,5.8,7.3,8.4,10.6,7.2,5.5,5.1,4.4,4.3,4.9,2.8,2.8,1.7,0,0,0,0,0,0,0,0,0,0,0,0
1609,"1111609","Viana do Castelo",26.8,18.5,36.8,49.2,81.7,94.8,69.2,89.8,99.6,48.5,32.7,24.3,23.1,20.2,19.3,22.1,23.6,22.1,15.5,19.8,16.2,22.8,27.9,26.6,24.7,21.5,22.2,20.6,15.6,13.2,14.1
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,"1120301","Amares",27.1,18.7,37.2,49.7,82.5,95.8,61.3,79.3,87.9,32.4,22,16.4,15.6,13.5,13,14.8,33.5,31.6,22.1,45.1,36.8,51.6,63.9,60.9,56.4,49.1,50.7,46.7,35.5,30,32.1
302,"1120302","Barcelos",123.5,85,169.5,226.6,375.2,436.4,345.5,447.5,496,272.7,184.2,137.1,131.2,113.4,109.2,124.2,151.4,142.2,99.5,145.5,118,166.1,204.9,195.4,181.1,157.4,162.6,150.7,114.3,96.1,102.6
303,"1120303","Braga",16,11,22,29.3,48.8,56.5,135,174.8,193.6,203.1,137.1,102.2,97.5,84.4,81.4,92.4,96.3,90.8,63.3,79.2,64.3,90.2,111.5,106.3,98.6,85.7,88.5,81.8,62.2,52.3,55.8
306,"1120306","Esposende",244.8,168.5,336.1,450.1,744.9,865.9,580.1,750.9,832.4,343.9,232.1,173,165.4,143.1,137.9,156.4,188.2,177,123.6,178.9,145.1,203.7,251.7,240,222.5,193.4,199.7,184.9,140.3,118.3,126.3
310,"1120310","Terras de Bouro",0,0,0,0,0,0,8.7,11.3,12.7,16.2,11,8.2,7.8,6.9,6.5,7.5,4.2,4,2.7,0,0,0,0,0,0,0,0,0,0,0,0
