"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",18.8,18.3,18.8,20.9,20,25.4,29.5,25.1,25.6,20.5,23.6,20.1,21.3,15.5,13.6,12.5,11.5,12.4,12.6,13,12,12,12.2,12,9.8,9.7,9.7,12,10.5,10.2,11.1
1602,"1111602","Caminha",17.4,12.4,17.5,12.3,17.7,17.2,16.9,14.1,14.3,6.7,7.4,6.7,7.5,5.4,4.7,4.3,4.3,4.8,4.7,5.4,5,5,5.2,5.1,4,4,4,5.1,4.2,4.1,4.4
1603,"1111603","Melgaço",19.2,13.6,19.2,15.5,19.5,18.9,33.4,28,28.6,24.2,25.5,23.3,23.7,17.6,14.4,14,11.3,12.5,12.3,8.8,8,8,8.2,7.9,6.3,6.3,6.5,8,6.7,6.7,7
1604,"1111604","Monção",25.5,18.6,25.6,21.3,20.4,25.9,46.6,37.2,38,28.3,30.3,27.4,30.6,22.6,18.4,18.4,14.9,17.1,17.4,13.9,13,13,13.4,13.2,10.3,10.2,11.2,13.2,10.8,10.5,11.2
1605,"1111605","Paredes de Coura",26,19.4,24,22.2,22.3,24.3,29.3,24.9,24.2,14.7,15.9,13.9,14.9,10.9,9.2,8.6,8,9.2,9,8.5,8,7.7,8.1,8,6.2,6.1,6.1,8,6.8,6.6,6.5
1606,"1111606","Ponte da Barca",14.6,10.7,14.6,12.2,11.7,14.8,16.4,11.9,12.2,8.6,8.7,8.4,9,6.5,5.2,5.2,4.9,5.3,5,5.4,4.9,4.9,4.9,4.8,3.8,3.7,3.7,4.8,4.1,4,3.9
1607,"1111607","Ponte de Lima",145.7,109.1,146,112,143.2,151.6,160.4,123.1,132.2,106.2,101.4,99.8,91.7,69.1,58.4,55.6,49.5,51.3,52.4,48.4,45.6,43.3,45.4,44.9,35.7,35.4,35.3,41.4,37.1,36.1,41.2
1608,"1111608","Valença",4.3,2.1,4.4,2.4,3.5,2.9,23.5,18.4,20.1,28.2,28.5,27.1,26.4,19.6,16.2,16,21.1,22.7,22.8,35.8,33.7,32.4,33.3,32.9,26,26.6,25.7,31.1,26.3,26.3,30.2
1609,"1111609","Viana do Castelo",48.3,41.1,54.4,40.2,48.2,57.1,64.2,53.9,54.9,38.2,42,39.7,42.7,33.7,29.5,26.3,23.9,26.6,24.7,22.2,20.6,20.6,21.5,21.2,15.6,15.5,17.4,21.1,18.6,18.1,17.7
1610,"1111610","Vila Nova de Cerveira",3.8,1.9,3.8,2.1,3,2.6,7,5.1,5.2,4.4,4.5,4.3,4.8,3.7,3,2.9,2.7,3.2,2.9,3.2,3.1,2.9,3,2.9,2.4,2.4,2.6,2.9,2.5,2.5,2.7
301,"1120301","Amares",26.4,20,29.4,19.5,28.1,31.7,113.4,92.8,94.7,144.9,141.5,136.2,127.9,96.8,79.2,76.2,106.2,114.7,115.1,181.2,167.6,165.8,171.6,165.7,127.1,124.2,129.2,163.2,138,133.5,137.8
302,"1120302","Barcelos",50.5,32.8,50.6,37.4,53.8,45.5,75.3,59.3,60.5,52.6,53,49.4,49.2,36.7,31.1,30.2,24.9,27.2,26.6,21.9,20.3,20.3,21.7,19.7,16.3,16.1,16.1,19.5,17.2,16.8,16.4
303,"1120303","Braga",40.7,28.3,40.8,32.3,37.1,39.3,50.4,40.3,41.2,38.9,39.2,35.6,35.4,26.7,21.7,20.5,19,18.7,19.1,17.6,15.8,15.8,15.8,15.6,11.3,11.2,13.4,15.5,12.9,12.5,14.3
306,"1120306","Esposende",30,22.5,30,23,29.5,31.2,30.7,25,25.5,17,17.1,16,16,11.7,10.2,9.6,7.5,8.3,8.2,6.4,5.9,5.9,5.6,5.5,4.5,4.5,5,5.5,4.8,5.2,5.1
310,"1120310","Terras de Bouro",24.7,20,26.8,20.6,26.3,27.8,32.2,25.8,27.5,26.4,25.7,24.6,22.8,17.5,14.3,13.8,11.3,12,12.2,9.9,9.5,9.1,9.5,8.9,7.5,7.4,7.4,8.3,7.1,7.4,8.6
313,"1120313","Vila Verde",115.7,86.7,116,89,113.7,120.4,148.3,113,120.4,131.2,127.9,124.2,111.6,85,71.1,68.4,59.5,60.5,59.8,53.1,49.1,47.4,48.3,47.6,38.6,38.3,38.2,45,39,38,48.2
307,"1130307","Fafe",28.8,22.4,28.9,25.6,27.6,31.2,38.1,34.7,35.4,31.4,31.7,28.8,27.1,20,16.2,16.6,15.8,18.4,18.4,20.6,19.2,19.2,19.3,19.1,14.5,14.3,14.3,18.9,15.3,14.9,16.1
308,"1130308","Guimarães",72.8,55.1,72.9,62.9,77.5,76.6,105.7,86.5,88.2,78.7,79.4,74.2,71.7,55.2,44.8,41.7,31.9,33.4,34.6,19.8,17.9,17.9,18.6,18.4,13.9,13.8,13.8,18.3,15.5,15.1,16.9
