"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",1187.8,1088.9,1088.9,1034.8,1043.6,1031.9,707.2,705.7,733.3,352.2,351.9,321.7,327.5,296.2,269.7,268.1,175.7,177.7,172.4,50.4,50.2,48.7,43.2,60,55.1,50.2,45.3,57.5,54.7,51.9,51.9
1602,"1111602","Caminha",1037.7,920.3,939.8,933.7,929.5,919.5,693.9,689,720.3,445.1,449.7,422.1,394,363.6,339.8,335.5,208.8,217.3,194.8,47.8,46.3,45.1,43.1,39.8,42.7,38.8,40.1,38.2,40.9,38.8,38.8
1603,"1111603","Melgaço",292.3,263.1,263.1,261.1,262.3,254.9,146.9,144.9,150.4,18.6,19,17.8,19.7,13.8,13.1,13,10.4,10.3,12.3,5.4,6.1,6.1,6.3,6.8,6.3,5.7,5.9,6.3,6,5.7,5.7
1604,"1111604","Monção",1017.9,945.2,945.2,924,914.9,917.2,551.5,549.3,568.8,143.3,146.2,128.9,137.7,118.9,115.5,112.2,69.6,77.9,74,21.3,18.1,17.5,18.4,17,15.6,14.2,19.3,18.4,17.5,16.6,16.6
1605,"1111605","Paredes de Coura",1630.7,1479,1479,1493.1,1470.5,1461.6,1032.4,1025.6,1071.2,557.4,565.1,532.9,493.8,453.6,433.4,426,347.8,359.2,321.5,234.4,234.3,233.7,212.7,207,199.6,199.1,195.3,201.1,205.4,194.8,194.8
1606,"1111606","Ponte da Barca",74,74,74,82.9,74.3,69.2,68.5,67.5,71,62.7,63.6,64,54.2,50.2,46.9,49.9,51.4,56,45.8,51.6,50.8,49.8,48.2,44.6,47.8,43.5,44.9,42.8,45.8,43.4,43.4
1607,"1111607","Ponte de Lima",4738.4,4252.4,4252.4,4311.6,4246.6,4236.5,3330.1,3303.9,3451.2,2353.9,2373.1,2212.6,2059.4,1925.5,1777.8,1773.4,1425.2,1483.6,1341.1,941.7,929.4,937.2,832.7,829,815.6,792.5,759.7,766.9,810.3,768.6,768.6
1608,"1111608","Valença",703.3,607.4,639.4,622.9,614.6,614.2,383,378.4,394.9,120,120.9,111.1,102.5,94.6,88.3,90.4,91.9,95.1,85.4,91.4,90.6,91.7,81,81.7,75.1,74.1,77.1,78.4,79.2,75.1,75.1
1609,"1111609","Viana do Castelo",4340.2,3894,3934.6,3906.5,3888.6,3853,3042.5,3023.1,3154.3,2172.1,2188.9,2045.6,1894.9,1760.9,1654.3,1627.9,1247.4,1287.9,1179.3,723.8,707.6,706.6,642.9,631.5,614,590.4,588.8,588,610,602.7,578.6
1610,"1111610","Vila Nova de Cerveira",973.3,865.1,865.1,867.1,870.6,858.2,614.9,611.1,638.6,346.5,350.2,329.3,307.2,287.4,267.1,262.4,211.1,218.5,200.6,141.3,138.2,137.1,124,119.6,119,112.6,112.9,114.8,119.4,116.5,113.3
