"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",0,0,0,0,0,0,0,0,0,0,0,248.5,396.7,374.6,371.7,165.1,0,337.2,301.7,241.4,107.7,220.6,218.1,230.9,222,211.8,193.9,186.4,174.6,159.2,145.1
1602,"1111602","Caminha",228.5,304,295.9,113.8,0,0,0,0,0,0,0,227,236.4,219.5,210.9,35.4,0,120.4,139.6,57.6,4.1,28.1,0,0,0,8.8,6.3,4.1,0,0,0
1603,"1111603","Melgaço",168,187.3,185.7,84.5,0,0,0,0,0,0,0,16.6,11.3,52.4,68.9,55.2,6.8,74.9,72.9,62.2,58.2,54.9,52.4,53.7,50.1,47.6,44.2,41.5,34,31.7,27.2
1604,"1111604","Monção",664.4,664.4,650,668.7,702.1,678.9,0,0,0,3.8,0,233.7,183.8,223.1,218.2,216,41.3,191.6,184.6,137.2,128.3,121.6,111.2,115.9,107.1,99,98.3,92.5,72.2,67.3,53.8
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,0,0,0,0,0,0,18.1,0,0,0,0,0,127,58.6,0,5.2,165.8,235.6,224.6,220,212.9,210,203.5,192,184.6
1606,"1111606","Ponte da Barca",44.4,48.9,48.9,79.9,77.7,41.3,0,0,0,0,0,98.8,95.2,91,88.9,88.7,0,96.6,87.5,86.9,0,44.4,63,83.4,80,77.4,73.9,73.1,69.3,64.5,61.2
1607,"1111607","Ponte de Lima",2153,2039.6,2001.9,2073,2088.4,1222.4,0,0,0,0,0,626.2,1284.2,845.8,240.4,0,0,0,672.7,212,0,0,2.6,204.3,264.1,674.5,630.9,534.7,305.4,235.8,191.5
1608,"1111608","Valença",0,0,0,0,0,0,0,0,0,0,0,1.3,87.5,102.3,91.3,47.5,0,102.9,94.9,92.7,24.9,87.6,83.4,85.4,81.2,78.3,75.6,73.9,71.9,67,64.5
1609,"1111609","Viana do Castelo",2116.7,2070.7,2024.6,2095.4,2095.4,2062.5,0,0,0,0,0,1281.7,1255.3,1157.5,841.5,0,0,466.2,842.7,588.1,0,431.8,555.4,554.5,544.5,530,518.5,532.6,548,524,510.9
1610,"1111610","Vila Nova de Cerveira",91.8,159.5,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.5,22.6,14.3,0,0,0
301,"1120301","Amares",272.1,272.1,251.2,255.3,270.7,261.6,157.1,73,0,0,0,164.8,162.7,151.7,152.3,153.1,0,141.6,129,113.3,82.4,111.4,104.6,103.3,101.8,102.9,98.2,98.9,105,97.9,97.9
302,"1120302","Barcelos",6377.7,6377.7,6209.9,6330,6302.5,6270,0,0,0,0,0,9700,9298.6,8601.9,8379.6,2320.8,0,3424.8,7840.9,3466.9,0,0,0,643.5,1240.4,5800.7,4900.9,3950.3,1628,966,575
