"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",1442.3,1457,1417.7,1444.1,1463.6,1419.8,1162,1188.9,1187.9,897.4,871.3,840.7,786.8,744.9,743.5,736.3,637.3,675.2,602.9,482.2,463.9,440.8,437.3,463.1,441.4,422.2,390.2,374.7,350.2,320.9,290
1602,"1111602","Caminha",909,859.6,858,882,890.2,882.6,703.6,712.4,738.9,512.9,512.1,493.8,472,437,422.3,428.5,291.7,308.6,278.7,116,112.8,109.3,104.7,105.9,100.9,99.4,96.3,93.4,90.4,85.2,80.9
1603,"1111603","Melgaço",22.3,61.5,57,421.4,472,458.2,323,337.3,331.3,177,169.5,168.8,166,163.3,156.1,154.6,134.4,150.1,145.7,124.3,116.5,109.6,77.5,79.9,87.2,90.9,90.7,82.5,70.2,63.1,55.6
1604,"1111604","Monção",1335.1,1328.9,1295.7,1332.2,1403.9,1353.2,932,976.6,960.2,486.3,473,466.2,453.6,443.3,439.9,427,342.1,386.6,367.4,272.9,257.4,240.3,228.9,241.5,217.8,211.8,199.5,182.2,152,134.9,120
1605,"1111605","Paredes de Coura",913.9,1148.2,1121.2,1304.6,1331.7,1316.8,1039.7,1065.1,1095.4,720.2,721.1,697.5,677.3,635.5,624.3,627.2,586,619,568.6,504,492.7,477.4,457.9,472.1,447.6,441.6,426.6,420.4,405.6,383.4,369.3
1606,"1111606","Ponte da Barca",262.1,289.9,274.1,277.7,278.2,268.1,238.5,236.8,234.9,207.6,202.6,193.7,189.3,179.8,175.1,178.7,186.2,191.7,174.2,174.4,170.7,164.2,160.4,166.7,159.6,154.7,147.9,146,138.3,128.9,122.4
1607,"1111607","Ponte de Lima",4285.5,4055.9,4034.1,4146,4185.8,4155.6,3483.2,3532.4,3653.5,2806.3,2768.3,2677.3,2569.9,2398.1,2342.5,2337,1988.1,2089.6,1890.8,1489.5,1495.3,1471.1,1401.4,1396.8,1371.9,1344.9,1315.2,1334,1363.9,1318.1,1301.2
1608,"1111608","Valença",646.4,621.7,625.8,639.2,643.9,635.6,453.9,456,474.8,241.1,228.1,231.3,219.8,201.6,193.2,191.5,193.3,207.7,191,184.3,182.9,175.8,167.1,169.8,160.9,158.1,153.5,149.7,144.2,136.4,129.6
1609,"1111609","Viana do Castelo",4263.9,4148.4,4071.3,4189,4181.2,4136.1,3449.6,3495.3,3600.1,2836.2,2778.8,2677.3,2508.3,2322.1,2245.5,2231.6,1824.3,1890.4,1676.4,1176.7,1188.3,1155.8,1109.1,1119.2,1082.9,1059.5,1050.1,1051.6,1092.8,1042.6,1014.8
1610,"1111610","Vila Nova de Cerveira",835.1,791.6,787.3,810,824.8,814.2,623.2,640.8,657.9,414.6,411.4,402.9,392.8,362.4,351.2,355.4,295.5,307.4,280.4,215.6,216.3,213.9,200.9,198.3,193,192.3,188.8,190.5,193.7,187,184.8
