"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",15.6,15.6,16.1,16,15.9,15.9,16.7,16.3,15.2,16.2,16.7,22.7,29,29.7,30.3,32,29.1,27,24.4,21.8,21.8,24.1,26.9,24.8,23.6,22.5,21.2,18.5,15.3,12.1,12.1
1602,"1111602","Caminha",0,0,0,1.3,3.4,4.8,6.4,7.9,8.1,9.5,11.2,12.1,16.7,12.3,10.1,14.2,10.7,8.4,7.3,4.8,3,1.3,0,0,0,0,0,0,0,0,0
1603,"1111603","Melgaço",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,"1111604","Monção",11.6,10.9,10.6,9.7,9.8,8.5,5.9,4.5,2.5,2.4,1.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,"1111606","Ponte da Barca",5.8,6,6.1,6,6.1,6,10.2,10.2,9.8,11.5,11.2,20.2,29.1,30.1,31.2,32.7,31.6,28.9,25.8,24.9,25.5,28.4,31.5,29.5,27.8,26,23.8,19.3,14.9,10.9,10.9
1607,"1111607","Ponte de Lima",26,25.8,26.4,25.9,25.4,25,24.8,23.5,21.7,20.7,20.7,32.9,46.1,47.4,49,50.9,59.8,54.4,49.2,54.5,55.9,61.9,69.5,64.7,61.1,56.9,52.2,42.8,33.6,24.1,24.2
1608,"1111608","Valença",11.3,10.6,10.5,9.5,9.7,8.5,6.2,4.7,3,2.2,1.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1609,"1111609","Viana do Castelo",36.8,36.8,36.9,35.7,34.1,33.2,27.5,26.1,24.6,21.2,20.7,28.1,34.8,34.9,35,34.3,35.3,31.8,28.4,28.6,26.5,32,37.4,35.2,33.1,31.6,29.8,25.9,22.1,18.6,18.6
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,"1120301","Amares",19,18.5,18.4,19.3,19,20.1,33.9,29.9,26.7,36.6,35.4,43.9,54.1,53.5,56,58.2,64.1,56.9,48.3,53.6,48.9,50.3,52.9,52.9,51,49.6,48.5,46.5,46.6,44.5,44.6
302,"1120302","Barcelos",32.3,32.4,32.5,31.7,30.8,29.9,30.6,29.7,28.1,28.7,27.4,45.6,64.4,65.8,68.3,69.8,68.6,62,56.8,54.6,54.1,61.3,69.1,64.3,61.9,57.7,53.2,42.6,34.7,24,24.1
303,"1120303","Braga",19,18.8,18.8,17.9,17.3,16.9,14.6,14.4,13.3,12.1,11,19.2,26.2,27.5,29.1,29.9,27.6,26.2,21.8,21.5,21.1,23.3,27.4,24,24,20.7,19.1,15.3,11.5,11.5,11.5
306,"1120306","Esposende",0,0,0,3.5,8.2,13.3,12.4,12.1,11.7,10.1,9.8,17.1,24.5,25.4,25.4,27.1,21.8,19.9,17.8,12.5,8.6,3,0,0,0,0,0,0,0,0,0
310,"1120310","Terras de Bouro",5.4,5.4,5.7,5.6,5.6,5.5,5.4,5.5,5.2,5.3,5.5,8,10.5,10.9,11.2,11.8,12.6,9.8,8.4,5.6,3.4,1.4,0,0,0,0,0,0,0,0,0
