"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",303,303,303,334.5,307.9,215.8,52.1,53.3,53.3,54.5,53.3,580,706.3,662.5,644.4,436.2,84.8,519.8,464.8,291.1,158.3,271.3,270.7,288,278.3,267.5,245.6,241.1,231.5,212.3,198.2
1602,"1111602","Caminha",1269.3,1228.8,1233.3,1047.7,799.8,462.8,95.2,86.7,76.9,70.8,63.5,648.7,631.1,582.4,548.6,370.5,56.2,336,335.8,104.4,50.3,74.1,24.4,31.7,34,48.1,45.4,43.3,35.9,32.1,29.7
1603,"1111603","Melgaço",453,443.2,444,342,246.3,124.9,21.8,17.2,12.6,9.2,5.7,34,28.6,67.2,83,69.2,17.1,85.9,82.8,68.5,64.2,60.9,58.1,61.1,56.1,54.8,48.4,49.3,41.3,38.5,34
1604,"1111604","Monção",1670.3,1582.8,1568.4,1587.6,1626,1586.3,392.3,297.2,213,147.3,95.1,369.8,314.6,342.6,331.9,327.4,111.1,265.7,252.6,153.6,145.7,136.9,133.6,130.5,125.1,120.4,123.1,115.8,94.1,87.7,74.2
1605,"1111605","Paredes de Coura",158.7,158.7,158.7,153.8,130.6,86.7,19.5,19.5,19.5,19.5,18.3,245.4,514.8,424.9,311.4,181.9,30.5,254,454.9,296.2,76.9,238.8,381.4,442.4,427.7,418.5,409.9,408.5,406.2,388.6,377.4
1606,"1111606","Ponte da Barca",124,123.1,123.1,153.5,152,114.5,30.8,31.8,32.8,33.8,32.8,158.5,151.7,142.8,138.8,137.8,36.9,150,136,137.5,46.2,94.3,109.8,129.5,125.5,121.3,117.4,117,113.1,107.3,102.5
1607,"1111607","Ponte de Lima",6885.9,6265.4,6284,6345.3,6338.9,5440.9,1092.1,858.3,646.2,489.1,350,2858.1,3371.5,2767,2033.6,1146.1,170.2,1292.3,2014.1,1149.6,242.2,597,849.9,1008.5,1058.2,1446.4,1398.2,1308.4,1100.8,1012.5,950.8
1608,"1111608","Valença",86.4,86.4,86.4,80.2,66.7,43.2,9.9,9.9,9.9,9.9,8.6,115.2,193.7,199,181.5,136.5,32.1,197.5,181.8,185.5,115.7,178.4,166.9,165.5,158.8,153.8,148.4,151.5,148.9,142.8,140.3
1609,"1111609","Viana do Castelo",6449.3,5921.9,5944.6,6022.4,6001.9,5911.5,1339.4,1054.9,796.1,605.6,434.7,3340.5,3168,2925.1,2492.2,1604.4,249.1,1752.4,2007.3,1302.2,475,1138.1,1202.2,1172.6,1150.5,1116.4,1102.6,1126.8,1157,1121.2,1088.5
1610,"1111610","Vila Nova de Cerveira",1060.1,1022.7,1026.2,799.8,517.2,265.4,48.1,37,28.4,21,14.8,128.4,160.5,124.7,86.4,48.1,7.4,59.2,116,66.7,14.8,42,74.1,96.3,103,144.6,136.5,129,109,98.2,90.9
301,"1120301","Amares",634,606.1,585.2,574.9,592.1,583.2,469.2,378.6,296.6,217.7,147.7,436.6,418.7,381.8,364.8,362.7,92.5,341,312.6,287.4,252.5,280.1,264.8,257.1,244,239.7,238.1,248,252.9,235.7,235.7
302,"1120302","Barcelos",19398.8,18146.7,17978.9,18040.9,18024.3,17875.4,6042.7,5144.6,4271.2,3661.8,3067.2,26506.4,25050.6,23161.3,21893.5,15752.5,2481.2,16760.1,19980.8,15181.2,3094.4,7007.7,8387.6,10613,11100.4,15356.8,14427.4,13537.4,11528,10642.6,10011.4
303,"1120303","Braga",3933.5,3638,3628.8,3649.6,3646.5,3121.4,703.2,624.1,541.4,486.6,428.2,2884.5,2731.2,2539.3,2427.8,2259.8,394.2,2302.1,2071.4,1887.6,517,1163.2,1378.6,1688.2,1669.6,1629.5,1614.2,1637.1,1695.9,1646,1591.7
306,"1120306","Esposende",4448.6,4107,4096.7,4128.6,4111.9,3569.5,804.6,711.8,615.4,550.7,483.5,3856.1,3628.5,3365.4,3192.3,2570.5,415.1,2635.3,2746.5,2222.6,437.1,851,634.9,827.8,886.4,1327.7,1255,1172.3,933.2,842,779.6
310,"1120310","Terras de Bouro",101.5,125.1,117.2,119.8,119.1,114.2,95.2,99.8,69.4,48.4,28.2,72.3,72.1,69,70.4,69.2,15.8,63.4,61.7,48.7,47.4,45.8,44.1,46.3,45.5,43.9,40.8,38.3,35.9,32.2,32.2
313,"1120313","Vila Verde",2962.9,2747.6,2744.7,2769.7,2769.5,2042.9,429.4,371.7,312.8,273.6,234.3,1273.8,1200.1,1113.5,1087.1,1070.2,317.5,1098.6,1006.6,1009.5,780.8,983.8,917.5,896.1,883,863.4,833.7,849.2,881.3,844.8,821.6
