"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",25.8,26.4,25.9,29.6,28.2,27.9,22.6,19.7,20.5,20.5,18.3,4.4,12.8,8.9,3.1,9.9,5.1,5.7,5.3,3.9,3.4,2.4,4.6,3.6,4,3.2,2.5,2.3,7.3,2.1,11.2
1602,"1111602","Caminha",2.7,2.8,2.6,4.4,4.8,6.5,6.6,7,8.6,10.7,12,4.1,12.3,8.4,3.1,8.4,4.2,4.5,3.9,2.7,2.1,1.4,2.1,1.7,1.9,1.5,1.2,1.2,3.5,1.1,5.3
1603,"1111603","Melgaço",36.5,37.3,36.7,40.1,35.4,33.1,24.3,19.2,17,13.8,8.4,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,"1111604","Monção",24.6,25.2,24.6,27.4,24.8,23.6,17.2,14.2,13,12.3,9.1,1.8,3.1,2.1,0.8,1.8,0.9,0.9,0.7,0.4,0.2,0.1,0,0,0,0,0,0,0,0,0
1605,"1111605","Paredes de Coura",5.7,6.4,5.9,7.1,6.9,6.9,5.1,4.8,4.9,5.8,4.9,1.2,3.7,3.6,1.7,6.8,4.3,5.7,6.4,5.8,5.8,5.1,9.9,8.1,8.5,7,5.8,5.4,15,5.3,22.7
1606,"1111606","Ponte da Barca",33.5,33.9,33.4,36.8,33.4,31.5,25.1,20.1,19.1,16.6,12.9,2.5,4,2.9,1,3.5,1.9,2.2,2.1,1.7,1.6,1.2,2.3,1.9,2,1.6,1.2,1.3,3.8,1.2,5.9
1607,"1111607","Ponte de Lima",188.2,185.1,190.9,181.7,184.5,180.4,180.7,167.6,161.1,147.6,144.5,160.3,309.2,314.7,123,327.1,173.1,186.9,172.1,130.2,109.3,79.9,127.1,104.1,109.2,90.8,74.2,72.2,193.2,68.6,162.2
1608,"1111608","Valença",24.3,24.4,24.2,27,25.1,24.8,19.2,16.4,16.2,14.7,12.6,2.9,7.1,4.8,1.7,5.3,2.4,2.6,2.4,1.8,1.5,1.1,1.8,1.4,1.5,1.3,1,1,2.7,1,4.1
1609,"1111609","Viana do Castelo",133.3,135.3,133.7,154.4,148.9,151.2,129.2,114.9,122.1,124,118.2,35.3,91.9,62.1,23.4,61,31.1,32.3,28.5,20.2,15.7,10.2,14.9,12.1,12.9,10.7,8.6,8.1,22.9,7.9,34.6
1610,"1111610","Vila Nova de Cerveira",21.5,21.9,21.7,23.3,21,19.8,14.8,11.7,10.6,8.4,5.5,0.7,0,0.8,0.6,3.2,2.4,3.4,4.2,3.9,4.1,3.7,7.3,6,6.3,5.2,4.2,4.2,11.2,4,10.3
301,"1120301","Amares",123.6,122.6,125,125.4,127.1,129.8,240,210.5,185.2,261.4,252,109.8,321.8,220.2,84,224.7,114.8,122.2,109.9,76.9,62.4,42.1,68.7,55.3,60,49.3,38.9,36.1,110,35.7,166.8
302,"1120302","Barcelos",215.5,212.4,216.9,208.5,204.9,199.7,208.9,197.5,189,191,184.1,59.3,145.8,101.8,39.7,108.3,57.9,63.6,59.7,46,39.6,29.3,48.7,39.8,41.8,34.9,28.4,27.3,74,26.8,110.6
303,"1120303","Braga",125.9,124.4,126.1,119.9,118.4,114.3,102.9,96.9,92.4,81.6,79.5,76.5,177.4,145,57.6,153.7,82.5,90.4,84.2,65.1,55.6,41.9,67.9,55.7,58.5,48.7,39.7,38.8,87.3,36.9,64.3
306,"1120306","Esposende",34.9,36,35.2,41.1,39.7,40.5,34.5,31.3,33.5,34.6,33.2,9.7,26.3,17.5,6.2,16.5,8.2,8.3,6.9,4.7,3.2,1.8,2.2,1.8,1.9,1.6,1.2,1.2,3.7,1.1,5.6
310,"1120310","Terras de Bouro",18.7,19.3,18.6,22.8,22.1,22.9,19.5,18.4,20.3,21.4,21.5,5.5,18.3,14,5.6,18.5,10.7,12.9,13.1,11.1,10.4,8.6,16.1,13.1,14,11.5,9.4,9.1,24.7,8.5,36.9
313,"1120313","Vila Verde",148.2,144.5,150.8,144.7,145.6,145,126,117.2,110,97.8,95.6,49.5,140.5,97.5,36.1,103.3,54,59.3,55,41.6,35.2,25.4,43,34.8,37,30.5,24.6,23.5,66.8,22.6,100.1
307,"1130307","Fafe",53.7,54.7,53.8,59.6,54.1,51.3,40.1,32.4,31.1,27.5,21.3,3.8,7.4,5.3,1.9,6.5,3.3,3.9,3.8,2.8,2.5,2,3.8,3.1,3.4,2.8,2.1,2,6.7,1.9,10.4
308,"1130308","Guimarães",274.1,277.6,275.1,306.7,284.7,277.9,226.3,190.1,189.1,176.1,151.9,39.4,86.8,59.7,22.9,61.6,32.5,34.9,32,24.4,20.2,14.6,23.1,19,19.9,16.5,13.5,13.1,35.1,12.4,52.4
309,"1130309","Póvoa de Lanhoso",52.5,54.1,52.6,64.6,64.8,69.9,63.3,59.6,61.5,49.1,47.8,24,68.2,46.5,17.8,46.8,23.9,25.7,22.7,15.8,12.5,8.4,13.4,10.8,11.7,9.6,7.6,7.2,21.3,6.9,32.4
1314,"1131314","Santo Tirso",246.9,249.5,247.7,278.9,262,259.3,156.6,145.9,139.4,39.6,38.3,46.2,68.4,68.6,28.9,70.4,39.3,42,38.2,28.1,23.2,16.7,25.3,20.8,21.8,18.1,14.7,14.4,25.9,13.7,21.1
1318,"1131318","Trofa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
