"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",144.7,165.3,132.9,159.4,150.6,147.6,136.1,133.1,129.9,129.7,129.7,123.2,136.3,152.5,155.6,152.5,137.3,128,112.4,97.6,100.6,94.6,91.7,112.4,112.4,112.4,106.5,112.4,121.2,112.4,103.5
1602,"1111602","Caminha",57,65,52.2,62.7,59.2,58,40.7,39.8,38.8,26.8,26.8,25.4,28.2,31.6,32.2,31.6,19.5,18.2,16,4.6,4.7,4.5,4.3,5.2,5.2,5.2,4.8,5.2,5.6,5.2,4.8
1603,"1111603","Melgaço",17.9,20.3,16.4,19.7,18.5,18.2,12.8,12.5,12.2,8.4,8.4,7.9,8.9,9.8,10,9.8,9.7,9.1,8,7.9,8.2,7.8,7.4,9.1,9.1,9.1,8.7,9.1,9.8,9.1,8.4
1604,"1111604","Monção",65.2,74.5,59.9,71.8,67.9,66.5,39.2,38.2,37.3,16.7,16.7,15.8,17.4,19.6,20,19.6,16.8,15.8,13.9,11.4,11.7,10.9,10.6,13.1,13.1,13.1,12.3,13.1,14,13.1,12
1605,"1111605","Paredes de Coura",37.8,43.3,34.8,41.8,39.5,38.6,35.8,35,34,34.2,34.2,32.6,35.9,40.2,41.1,40.2,49.6,46.2,40.6,49.4,50.8,47.9,46.4,56.9,56.9,56.9,53.8,56.9,61.3,56.9,52.3
1606,"1111606","Ponte da Barca",41.6,47.5,38.2,45.8,43.2,42.4,37.9,37,36.1,34.8,34.8,33.2,36.6,41,42,41,33.2,31,27.2,19.6,20.3,19,18.5,22.7,22.7,22.7,21.5,22.7,24.5,22.7,20.9
1607,"1111607","Ponte de Lima",200.9,229.7,184.6,221.4,209.2,205,177.5,173.4,169.5,158.4,158.4,150.4,166.3,186.2,190,186.2,163.7,152.6,133.9,112.2,115.6,108.7,105.4,129.2,129.2,129.2,122.3,129.2,139.3,129.2,118.9
1608,"1111608","Valença",21.9,25.1,20.1,24.1,22.9,22.4,17.2,16.8,16.5,13.4,13.4,12.7,14,15.6,15.9,15.6,16.5,15.5,13.6,14.4,14.9,14,13.6,16.5,16.5,16.5,15.6,16.5,17.9,16.5,15.3
1609,"1111609","Viana do Castelo",300.3,343.2,275.8,331,312.5,306.5,215.4,210.6,205.6,143.1,143.1,136,150.3,168.1,171.8,168.1,144.3,134.4,118.1,94.9,97.8,92,89.2,109.3,109.3,109.3,103.5,109.3,118,109.3,100.5
1610,"1111610","Vila Nova de Cerveira",34.2,38.9,31.4,37.6,35.5,34.8,32.1,31.4,30.6,30.6,30.6,28.9,32.1,36,36.7,36,27,25.1,22.1,13.5,13.9,13.1,12.8,15.5,15.5,15.5,14.7,15.5,16.7,15.5,14.4
