"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",737.8,866.2,941,922.3,941,930.3,923.4,912.2,934.3,942.3,919.6,828.8,828.8,840.1,726.7,726.7,599.9,669.9,729.8,545.1,512.2,495.6,470.7,446,446,429.7,404.7,364.4,330.3,305.7,280.9
1602,"1111602","Caminha",73.4,86,93.5,91.6,93.5,92.5,67,66.2,67.7,39.3,38.3,34.6,34.6,35,30.3,30.3,27.5,30.8,33.6,29.1,27.4,26.4,25.2,23.9,23.9,23,21.7,19.4,17.7,16.4,14.9
1603,"1111603","Melgaço",336.6,395.1,429.2,420.7,429.2,424.4,368.5,364.2,373,315.3,307.6,277.3,277.3,281.1,243.1,243.1,224.5,250.4,272.8,241.7,227.1,219.8,208.7,197.8,197.8,190.5,179.6,161.6,146.6,135.6,124.6
1604,"1111604","Monção",89.1,104.7,113.8,111.5,113.8,112.4,132,130.4,133.6,158.2,154.4,139.2,139.2,141.2,122,122,99.8,111.7,121.7,89.6,84.1,81.4,77.3,73.2,73.2,70.4,66.5,59.9,54.3,50.1,46.1
1605,"1111605","Paredes de Coura",22,26,28.2,27.6,28.2,27.8,68.9,68.1,69.7,118.3,115.4,104,104,105.3,91,91,96.8,108.1,117.9,122.5,114.9,111.3,105.7,100.1,100.1,96.6,91,81.9,74.2,68.7,63.1
1606,"1111606","Ponte da Barca",428.3,503,546.4,535.6,546.4,540.3,519.2,513,525.5,510.2,497.9,448.7,448.7,454.9,393.3,393.3,303.3,338.7,368.9,241.1,226.5,219.2,208.3,197.4,197.4,190,179,161.2,146.2,135.2,124.3
1607,"1111607","Ponte de Lima",196.4,230.6,250.7,245.5,250.7,247.6,287.1,283.7,290.8,340.9,332.8,300,300,304.1,263.1,263.1,291.3,325.5,354.5,383.7,360.4,348.8,331.3,313.9,313.9,302.3,284.9,256.4,232.5,215.1,197.6
1608,"1111608","Valença",72.8,85.2,92.7,90.9,92.7,91.7,104.4,103.2,105.8,122.1,119.2,107.5,107.5,109.1,94.2,94.2,74.5,83.2,90.7,62.7,59,56.9,54,51.3,51.3,49.2,46.7,41.7,38,35.1,32.3
1609,"1111609","Viana do Castelo",140.7,165.2,179.4,175.9,179.4,177.3,162.8,160.9,164.6,150.8,147.2,132.7,132.7,134.6,116.2,116.2,137.5,153.7,167.5,191.8,180.2,174.3,165.7,156.9,156.9,151.2,142.3,128.2,116.2,107.6,98.8
1610,"1111610","Vila Nova de Cerveira",22.9,26.8,29.1,28.5,29.1,28.6,42.8,42.2,43.4,60.1,58.7,52.8,52.8,53.5,46.4,46.4,61.6,68.8,74.9,93.3,87.5,84.7,80.6,76.3,76.3,73.4,69.2,62.3,56.5,52.3,48.1
301,"1120301","Amares",55.3,64.8,70.6,69.1,70.6,69.6,70.2,69.4,70.9,72.8,70.9,63.9,63.9,64.8,56.1,56.1,63.4,70.7,77.1,84.9,79.8,77.1,73.3,69.4,69.4,66.9,63,56.6,51.6,47.5,43.6
302,"1120302","Barcelos",27.4,32.2,34.9,34.3,34.9,34.6,47.5,47,48.1,63.8,62.2,56.2,56.2,57,49.2,49.2,67.9,75.9,82.6,105.3,98.9,95.8,90.9,86.2,86.2,83,78.2,70.4,63.8,59.1,54.4
303,"1120303","Braga",33.9,39.8,43.1,42.1,43.1,42.7,56,55.3,56.5,72.8,71,64,64,65,56.2,56.2,54.5,61.1,66.7,63.2,59.4,57.5,54.5,51.8,51.8,49.8,47.1,42.1,38.2,35.4,32.7
306,"1120306","Esposende",6.1,7.4,8,7.8,8,7.8,9.1,8.9,9.2,10.8,10.6,9.5,9.5,9.5,8.4,8.4,12.6,14,15.3,20.5,19.3,18.8,17.9,16.9,16.9,16.3,15.3,13.8,12.4,11.4,10.6
310,"1120310","Terras de Bouro",637.5,748.3,813,796.7,813,803.6,776.4,767.2,785.5,767.5,749.1,675.2,675.2,684.4,591.8,591.8,545.3,608.9,663.3,586.4,550.8,532.9,506.3,479.8,479.8,462,435.3,391.8,355.3,328.7,302
313,"1120313","Vila Verde",220.7,259.1,281.6,275.9,281.6,278.4,265,261.9,268.1,257.3,251,226.3,226.3,229.3,198.6,198.6,234.7,261.9,285.5,326.4,306.7,296.7,281.8,267.2,267.2,257.2,242.3,218.2,197.8,183,168.2
307,"1130307","Fafe",207.9,243.9,265,259.9,265,262.2,220.3,217.7,222.8,178.6,174.3,157.1,157.1,159.4,137.7,137.7,114.5,127.9,139.4,105.3,99,95.9,91.1,86.1,86.1,83,78.3,70.4,63.7,59,54.2
308,"1130308","Guimarães",57.7,67.8,73.7,72.2,73.7,72.9,51.7,50.9,52.2,28.8,28,25.3,25.3,25.6,22.2,22.2,31.8,35.6,38.8,50.6,47.6,46.1,43.7,41.4,41.4,39.7,37.7,33.8,30.6,28.4,26.1
309,"1130309","Póvoa de Lanhoso",102.2,120.1,130.5,127.9,130.5,129,165.3,163.2,167.3,211.8,206.6,186.3,186.3,188.7,163.2,163.2,127.5,142.6,155.2,104.5,98.1,95,90.3,85.5,85.5,82.3,77.5,69.6,63.3,58.6,53.8
1314,"1131314","Santo Tirso",26.9,31.4,34.2,33.4,34.2,33.8,30.5,30.2,31,27.8,27.2,24.5,24.5,24.8,21.4,21.4,29,32.3,35.2,44.6,41.8,40.3,38.3,36.3,36.3,34.8,32.9,29.6,27.1,25,23
1318,"1131318","Trofa",0,0,0,0,0,0,1.8,1.7,1.8,3.8,3.7,3.3,3.3,3.3,2.8,2.8,8,9,9.6,16.1,15,14.5,13.8,13.1,13.1,12.7,11.8,10.8,9.8,9,8.3
311,"1130311","Vieira do Minho",325.3,381.7,414.7,406.3,414.7,410,365,360.7,369.4,323.6,315.9,284.7,284.7,288.6,249.7,249.7,187.6,209.5,228.2,140.8,132.3,128,121.6,115.3,115.3,111.1,104.7,94.1,85.3,79,72.4
312,"1130312","Vila Nova de Famalicão",27,31.7,34.5,33.8,34.5,34.1,36.4,35.9,36.9,40.1,39.2,35.4,35.4,35.9,31,31,42.6,47.5,51.9,65.9,62.1,60,56.9,54,54,52,49,44.2,40.1,37,34.1
314,"1130314","Vizela",0,0,0,0,0,0,2.6,2.6,2.6,5.5,5.4,4.9,4.9,5,4.2,4.2,3.1,3.4,3.7,1.9,1.8,1.8,1.7,1.5,1.5,1.5,1.4,1.4,1.3,1.2,0.9
107,"1140107","Espinho",10,11.7,12.9,11.7,12.9,12.9,2.6,2.6,2.6,2.8,2.6,2.3,2.3,2.3,2.1,2.1,2.1,2.3,2.4,2.4,2.3,2.2,2.1,2,2,1.9,1.9,1.6,1.5,1.4,1.4
1304,"1141304","Gondomar",23.2,27.1,29.3,28.8,29.3,29.2,23.6,23.4,23.9,18,17.5,15.8,15.8,16,13.7,13.7,11.5,12.9,14,10.9,10.3,9.9,9.4,8.9,8.9,8.6,8.3,7.3,6.7,6.1,5.6
1306,"1141306","Maia",9.3,10.9,11.8,11.5,11.8,11.8,10.3,10.2,10.5,8.8,8.6,7.8,7.8,7.8,6.8,6.8,6.9,7.8,8.5,8.5,7.8,7.7,7.2,6.9,6.9,6.7,6.1,5.6,5.1,4.7,4.2
1308,"1141308","Matosinhos",7.8,9,9.8,9.6,9.8,9.6,9.2,9,9.3,8.6,8.5,7.7,7.7,7.8,6.7,6.7,7.8,8.6,9.3,10.6,10,9.6,9.2,8.6,8.6,8.3,7.8,7.1,6.5,5.9,5.4
1312,"1141312","Porto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,1.4,1.4,2.8,2.8,2.6,2.4,2.3,2.3,2.2,2.1,1.9,1.8,1.7,1.4
1313,"1141313","Póvoa de Varzim",6.8,7.9,8.7,8.6,8.7,8.6,10.5,10.4,10.6,13.1,12.8,11.4,11.4,11.7,10.2,10.2,38.6,43.1,47,83.5,78.4,76,72,68.3,68.3,65.8,61.8,55.8,50.8,46.9,42.9
1315,"1141315","Valongo",9.3,10.9,11.9,11.6,11.9,11.8,11.4,11.2,11.7,11.5,11.2,10.1,10.1,10.3,8.8,8.8,8.8,9.9,10.6,10.2,9.8,9.4,8.8,8.6,8.6,8.3,7.7,6.8,6.2,5.8,5.3
1316,"1141316","Vila do Conde",14.2,16.7,18.3,17.8,18.3,18.1,20.5,20.2,20.8,24.1,23.6,21.3,21.3,21.6,18.7,18.7,22.2,24.8,27.1,31.2,29.2,28.4,27,25.5,25.5,24.7,23.2,20.8,18.8,17.6,16.1
1317,"1141317","Vila Nova de Gaia",20.8,24.5,26.6,26,26.6,26.3,17.1,16.9,17.3,6.9,6.9,6.1,6.1,6.3,5.4,5.4,8.3,9.3,10.1,13.6,12.8,12.3,11.8,11,11,10.8,10.2,9.2,8.3,7.8,6.9
1301,"1151301","Amarante",310.7,364.8,396.3,388.4,396.3,391.7,338.9,334.8,342.8,287.6,280.9,253,253,256.5,221.8,221.8,206.8,230.9,251.5,225.6,212,205.2,194.8,184.5,184.5,177.7,167.5,150.8,136.6,126.4,116.1
1302,"1151302","Baião",184.3,216.4,235.2,230.4,235.2,232.5,201.1,198.6,203.5,170.7,166.6,150.2,150.2,152.3,131.6,131.6,114.9,128.2,140,114.7,107.6,104.2,98.8,93.7,93.7,90.3,85,76.5,69.5,64.3,59
304,"1150304","Cabeceiras de Basto",456.5,536,582.1,570.6,582.1,575.6,522,515.9,528.1,475.6,464.1,418.2,418.2,423.9,366.7,366.7,346.8,387.2,422,385.7,362.2,350.6,333,315.5,315.5,303.8,286.4,257.8,233.7,216.1,198.8
106,"1150106","Castelo de Paiva",65.7,77.2,83.9,82.3,83.9,82.9,70.7,69.9,71.6,59,57.5,51.8,51.8,52.6,45.5,45.5,48.1,53.7,58.7,60.8,57.1,55.2,52.6,49.6,49.6,47.8,45.2,40.4,36.8,34.1,31.2
305,"1150305","Celorico de Basto",148.8,174.6,189.7,186,189.7,187.5,210.7,208.3,213.2,243.4,237.3,213.9,213.9,216.8,187.5,187.5,162.3,181.1,197.5,159.4,149.7,144.7,137.6,130.2,130.2,125.6,118.3,106.3,96.7,89.4,82.1
1804,"1151804","Cinfães",363.6,427,463.9,454.6,463.9,458.6,435,429.8,440.2,420.6,410.4,370,370,375,324.4,324.4,288.6,322.1,351,295.6,277.7,268.7,255.2,241.8,241.8,232.8,219.3,197.5,179,165.8,152.3
1303,"1151303","Felgueiras",26.4,31.1,33.8,33.1,33.8,33.3,56.8,56.2,57.5,85.7,83.6,75.3,75.3,76.5,66,66,50.3,56.2,61.4,39.1,36.6,35.6,33.8,32.1,32.1,31,29.2,26.3,23.8,22,20.2
1305,"1151305","Lousada",11.6,13.5,14.8,14.5,14.8,14.7,21,20.7,21.2,28.9,28.1,25.4,25.4,25.7,22.4,22.4,21.2,23.6,25.7,23.5,22.1,21.4,20.2,19.3,19.3,18.4,17.6,15.7,14.2,13.1,12.1
1307,"1151307","Marco de Canaveses",123.8,145.3,157.9,154.8,157.9,156.1,140.7,138.9,142.3,126.7,123.8,111.5,111.5,113,97.7,97.7,78.1,87.4,95.2,67,62.9,61,57.8,54.7,54.7,52.8,49.7,44.9,40.6,37.7,34.5
1705,"1151705","Mondim de Basto",648.2,760.8,826.6,810.1,826.6,817.2,723.3,714.7,732.2,636.6,621.2,560,560,567.5,490.9,490.9,490,547.2,596.2,581.2,545.9,528.1,501.9,475.5,475.5,457.8,431.5,388.4,352.3,325.8,299.3
1309,"1151309","Paços de Ferreira",4,4.6,5,4.9,5,4.9,15.8,15.5,16,28.7,27.9,25.2,25.2,25.6,22,22,22.2,24.8,27.2,26.5,24.8,24.1,23,21.7,21.7,20.9,19.6,17.7,16.2,14.8,13.6
1310,"1151310","Paredes",47.2,55.4,60.3,59,60.3,59.6,66.6,65.9,67.4,76.6,74.7,67.4,67.4,68.3,59.1,59.1,46.9,52.5,57.1,39.8,37.4,36.3,34.4,32.6,32.6,31.4,29.7,26.6,24.1,22.3,20.4
1311,"1151311","Penafiel",82.8,97.1,105.7,103.6,105.7,104.4,89.5,88.4,90.4,75.1,73.1,66,66,66.9,57.7,57.7,58.3,65.2,70.9,70,65.8,63.6,60.6,57.2,57.2,55.3,52.2,46.9,42.4,39.2,36.1
1813,"1151813","Resende",67,78.7,85.4,83.7,85.4,84.4,70.7,69.8,71.6,57.1,55.7,50.3,50.3,50.8,43.9,43.9,30.8,34.4,37.4,19,17.9,17.4,16.5,15.6,15.6,15,14,12.6,11.5,10.5,9.8
1709,"1151709","Ribeira de Pena",697.8,819.1,889.9,872.1,889.9,879.8,885.8,875.2,896.2,918.3,896.2,807.8,807.8,818.8,708.1,708.1,726.9,811.6,884.4,888.3,834.7,807.8,767.3,726.9,726.9,700,659.5,593.6,538.5,498,457.7
104,"1160104","Arouca",511.9,601,653.1,640,653.1,645.6,644.4,636.9,652.1,662.1,646.2,582.4,582.4,590.3,510.7,510.7,408.7,456.4,497.2,351.1,329.9,319.3,303.1,287.2,287.2,276.7,260.7,234.6,212.8,196.8,180.8
113,"1160113","Oliveira de Azeméis",47.1,55.2,60.1,59,60.1,59.4,53.9,53.2,54.5,49.3,48.1,43.2,43.2,43.9,38.1,38.1,62.2,69.7,75.9,106.3,99.9,96.8,91.8,86.9,86.9,83.8,78.9,71,64.4,59.8,54.7
109,"1160109","Santa Maria da Feira",27,31.5,34.3,33.7,34.3,34.1,28.6,28.2,29,23.1,22.6,20.2,20.2,20.4,17.8,17.8,17.9,20,21.8,21.3,20.1,19.4,18.4,17.6,17.6,16.9,16,14.4,13,12,11.1
116,"1160116","São João da Madeira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,"1160119","Vale de Cambra",150.5,176.8,192,188.2,192,189.9,188.6,186.3,190.9,192.8,188.1,169.7,169.7,171.9,148.7,148.7,165.7,185.2,201.6,219.8,206.4,199.7,189.7,179.6,179.6,173,163,146.9,133.3,123.1,113.2
1701,"1171701","Alijó",239.1,280.6,304.9,298.9,304.9,301.5,272.7,269.6,276.1,247.6,241.7,217.7,217.7,220.7,191,191,179,199.9,217.7,196.9,185,179,170.1,161,161,155.2,146.2,131.6,119.3,110.4,101.4
1801,"1171801","Armamar",93.1,110.1,119.3,117.1,114.8,113.9,90.8,87,87.8,58.5,61.1,54.7,45.3,38.8,35,34,25.5,26.3,25.8,14.7,14.5,14,13.6,12.6,12.2,12.2,12,11.7,11.7,11.5,11
403,"1170403","Carrazeda de Ansiães",247.1,292,317,310.7,304.5,302,250.4,239.8,241.9,177.1,185.2,166,136.8,117.6,106.2,103.1,89.2,91.9,90.4,74.4,73.4,70.9,68.7,63.8,61.6,61.6,60.4,59.1,59.2,58.1,55.6
404,"1170404","Freixo de Espada à Cinta",117.4,138.8,150.6,147.5,144.7,143.5,140.2,134.2,135.4,133.8,140.1,125.5,103.4,88.9,80.5,77.9,65.9,68,66.9,52.4,51.8,49.9,48.3,45,43.2,43.2,42.5,41.6,41.6,40.8,39.1
1805,"1171805","Lamego",91.7,108.4,117.6,115.3,113,112.1,108.1,103.5,104.4,101.2,105.8,94.7,78.1,67,60.7,58.9,51,52.6,51.8,43,42.4,41,39.6,36.8,35.6,35.6,34.6,34,34,33.4,32.1
