"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",34.8,27,34,31.4,30.5,33.1,30.3,25.4,24.6,13,12.5,12.1,13.1,9.9,7,6.5,5.2,5.2,6.8,4.7,4.7,4.5,4.7,4.5,4,4.5,3.8,4,3.8,3.8,4.9
1602,"1111602","Caminha",13.8,10.7,13.5,12.4,12.1,13.1,10.3,8.7,8.4,1.8,1.8,1.7,1.8,1.4,0.9,0.9,1.4,1.4,2,3.4,3.4,3.1,3.4,3.1,3,3.2,2.7,3,2.7,2.7,3.6
1603,"1111603","Melgaço",18.4,14.2,17.8,16.5,16,17.4,18.4,15.4,14.9,11.6,11.2,10.9,11.7,9,6.3,5.9,4.1,4.1,5.4,2.4,2.4,2.2,2.4,2.2,2,2.2,1.8,2,1.8,1.8,2.5
1604,"1111604","Monção",34.9,27.1,34.1,31.5,30.6,33.2,25.2,21.1,20.6,2.9,2.8,2.7,2.9,2.2,1.5,1.4,2.6,2.6,3.3,6.3,6.3,5.9,6.3,5.9,5.5,6,5,5.5,5,5,6.7
1605,"1111605","Paredes de Coura",43.8,33.9,42.7,39.4,38.3,41.6,32.1,27,26.1,4.6,4.5,4.3,4.7,3.6,2.5,2.3,2.5,2.5,3.2,4,4,3.7,4,3.7,3.5,3.8,3.2,3.5,3.2,3.2,4.2
1606,"1111606","Ponte da Barca",12.1,9.4,11.8,10.9,10.6,11.5,12,10.1,9.7,7.5,7.2,6.9,7.5,5.8,4,3.6,2.7,2.7,3.4,1.3,1.3,1.2,1.3,1.2,1.2,1.3,1.1,1.2,1.1,1.1,1.4
1607,"1111607","Ponte de Lima",125,96.9,121.8,112.4,109.4,118.7,121.5,101.9,98.7,72,69.5,67.1,72.3,55.6,38.9,36,30.2,30.2,39.9,32.6,32.6,30.2,32.6,30.2,28.4,31.1,25.8,28.4,25.8,25.8,34.4
1608,"1111608","Valença",4.4,3.4,4.3,3.9,3.9,4.1,13.3,11.2,10.8,20.2,19.6,18.9,20.3,15.6,11,10.2,15.8,15.8,21.1,37,37,34.4,37,34.4,32.4,35.3,29.4,32.4,29.4,29.4,39
1609,"1111609","Viana do Castelo",47.7,37,46.5,43,41.8,45.3,39.8,33.3,32.4,14.4,14,13.4,14.5,11.2,7.8,7.2,7.1,7.1,9.5,10.6,10.6,9.9,10.6,9.9,9.2,10.2,8.4,9.2,8.4,8.4,11.2
1610,"1111610","Vila Nova de Cerveira",2.6,2,2.6,2.3,2.2,2.5,2.5,2,2,1.3,1.3,1.2,1.3,0.9,0.7,0.6,0.9,0.9,1.1,1.8,1.8,1.8,1.8,1.8,1.6,1.8,1.4,1.6,1.4,1.4,1.9
301,"1120301","Amares",13.6,10.6,13.3,12.3,12,13,75.6,63.3,61.3,130.3,126,121.6,130.9,100.6,70.5,65.1,62.4,62.4,82.6,88.2,88.2,81.9,88.2,81.9,77,84.1,70.2,77,70.2,70.2,92.8
302,"1120302","Barcelos",49,38.1,47.8,44.1,43,46.6,46.6,39.1,37.8,26.3,25.4,24.5,26.5,20.2,14.2,13.1,10.5,10.5,13.9,9.9,9.9,9.3,9.9,9.3,8.7,9.5,7.9,8.7,7.9,7.9,10.5
303,"1120303","Braga",26.6,20.5,25.8,23.9,23.2,25.2,29.9,25,24.2,23.1,22.4,21.6,23.3,17.9,12.6,11.5,9.7,9.7,12.9,10.5,10.5,9.8,10.5,9.8,9.1,10.1,8.4,9.1,8.4,8.4,11.1
306,"1120306","Esposende",33.6,26.1,32.8,30.2,29.4,31.9,26.7,22.4,21.7,7.6,7.3,7.2,7.7,5.9,4.1,3.8,3.1,3.1,4,2.9,2.9,2.8,2.9,2.8,2.6,2.8,2.3,2.6,2.3,2.3,3.1
310,"1120310","Terras de Bouro",21.8,16.9,21.2,19.6,19,20.7,25.5,21.4,20.7,21.1,20.3,19.6,21.2,16.3,11.4,10.5,10.4,10.4,13.7,15.4,15.4,14.4,15.4,14.4,13.5,14.7,12.2,13.5,12.2,12.2,16.3
313,"1120313","Vila Verde",102.4,79.3,99.9,92.1,89.5,97.2,115.5,96.8,93.8,90.2,87.3,84.2,90.7,69.7,48.8,45.1,36.1,36.1,47.9,34.3,34.3,31.9,34.3,31.9,30,32.7,27.3,30,27.3,27.3,36.2
307,"1130307","Fafe",37.3,28.9,36.4,33.6,32.7,35.5,37.8,31.8,30.7,24.6,23.8,23,24.7,19,13.3,12.3,10.1,10.1,13.4,10.4,10.4,9.6,10.4,9.6,9.1,9.9,8.3,9.1,8.3,8.3,11
308,"1130308","Guimarães",75.8,58.7,73.9,68.2,66.3,72,83.5,69.8,67.7,62.6,60.6,58.4,62.9,48.3,33.9,31.2,22.5,22.5,29.9,14.4,14.4,13.3,14.4,13.3,12.6,13.7,11.4,12.6,11.4,11.4,15.2
309,"1130309","Póvoa de Lanhoso",41.7,32.3,40.6,37.5,36.5,39.6,40.5,34,32.9,24.1,23.2,22.5,24.2,18.6,13.1,12,14.2,14.2,18.7,26.2,26.2,24.4,26.2,24.4,23,24.9,20.8,23,20.8,20.8,27.5
1314,"1131314","Santo Tirso",87.7,68,85.5,79,76.7,83.3,73.5,61.5,59.7,27.3,26.4,25.5,27.4,21.1,14.8,13.7,13.1,13.1,17.2,18.2,18.2,16.9,18.2,16.9,16,17.3,14.5,16,14.5,14.5,19.2
1318,"1131318","Trofa",0,0,0,0,0,0,7.3,6.2,6,14.4,14,13.4,14.5,11.2,7.8,7.2,4.5,4.5,6.1,0.8,0.8,0.8,0.8,0.8,0.7,0.8,0.7,0.7,0.7,0.7,0.9
311,"1130311","Vieira do Minho",60.2,46.6,58.7,54.2,52.7,57.2,56.2,47.1,45.7,30.2,29.2,28.2,30.4,23.4,16.3,15.1,13.1,13.1,17.3,15.3,15.3,14.2,15.3,14.2,13.5,14.6,12.2,13.5,12.2,12.2,16.2
312,"1130312","Vila Nova de Famalicão",29.9,23.2,29.2,26.9,26.2,28.4,33.9,28.4,27.5,26.6,25.8,24.9,26.8,20.6,14.4,13.3,118.4,118.4,156.9,418.1,418.1,388.2,418.1,388.2,365.3,398.5,332.1,365.3,332.1,332.1,439.9
314,"1130314","Vizela",0,0,0,0,0,0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.6,0.6,0.5,0.6,0.5,0.6,0.6,0.5,0.6,0.5,0.5,0.6
107,"1140107","Espinho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
