"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",401.4,401.4,401.4,345.5,290,234,134.3,152.4,170.7,98.4,91.3,125.3,159.6,136.1,113.3,89.7,78.4,169.7,261.5,232,98.9,97.5,96.1,104.8,113.3,121.4,130.1,134,138.1,142,142
1602,"1111602","Caminha",196.2,196.2,196.2,168.9,141.5,114.3,55.4,62.6,70,20.9,19.5,26.7,34,29.2,24.1,19.2,20.7,45,69.1,80.6,34.5,33.8,33.5,36.2,39.3,42,45,46.5,48,49.1,49.1
1603,"1111603","Melgaço",185.3,185.3,185.3,159.3,133.7,108.1,64.2,72.9,81.6,51.2,47.8,65.4,83.2,71.1,59,47.1,28.1,61.5,94.4,22.4,9.6,9.4,9.4,10.3,11.1,11.9,12.6,12.7,13.4,13.7,13.7
1604,"1111604","Monção",676,676,676,582,488.1,394.1,203.7,231.3,258.3,107,99.7,136.7,173.9,148.7,123.3,98.1,120.5,261.4,402.2,529.7,225.2,222.5,219.5,238.9,258.2,277.6,296.5,305.7,314.8,323.8,323.8
1605,"1111605","Paredes de Coura",295.7,295.7,295.7,254.7,213.5,172.3,89.5,101.2,113.7,47.9,44.2,60.9,77.2,66,54.8,43.6,33.5,72.4,111.5,77.2,33,32.3,32.1,35,37.8,40.3,43.3,44.7,45.8,47.5,47.5
1606,"1111606","Ponte da Barca",100.8,100.8,100.8,86.8,72.8,58.5,29.4,33.3,37.4,13.6,12.6,17.2,22,18.7,15.7,12.4,9.3,20.4,31,20.6,8.9,8.6,8.6,9.3,10.2,11,11.4,11.9,12.4,12.6,12.6
1607,"1111607","Ponte de Lima",499,499,499,429.7,360.3,291,168.3,190.9,213.6,125.6,116.8,159.8,203.4,174,144.4,114.7,120,260.5,401.2,456.1,193.8,191.6,188.9,205.7,222.3,238.6,255.5,263,270.8,278.7,278.7
1608,"1111608","Valença",188.7,188.7,188.7,162.5,136.2,110,82.6,93.7,104.7,96.6,89.6,122.9,156.5,133.7,110.9,88.5,71.6,155,238.5,185.6,79,77.8,76.9,83.7,90.5,97.3,103.9,107,110.2,113.3,113.3
1609,"1111609","Viana do Castelo",674.9,674.9,674.9,581,487.1,393.7,221.1,250.9,281,152.9,142.1,195.2,248.2,212.2,176,139.8,121.4,263.4,405.3,358.2,152.4,150.4,148.6,161.6,174.5,187.8,200.6,206.7,212.8,218.8,218.8
1610,"1111610","Vila Nova de Cerveira",106.1,106.1,106.1,91.3,76.4,61.6,41.1,47,52.7,40.9,38,52.2,66.3,56.8,47.2,37.6,24.6,53.3,82.1,33.3,14.1,14.1,13.9,15.1,16.4,17.5,18.8,19.1,19.8,20.5,20.5
301,"1120301","Amares",62.7,62.7,62.7,54.2,45.5,36.6,25.6,28.9,32.3,27,25,34.4,43.5,37,30.6,24.7,25.4,54.7,84.6,94.2,40.1,39.7,39.2,42.6,46.2,49.4,52.8,54.4,56.1,57.7,57.7
302,"1120302","Barcelos",226,226,226,194.6,163.2,131.8,112.9,128.1,143.2,151.6,140.7,193.2,245.6,209.9,174.1,138.4,183.7,399,613.9,856.5,364.4,359.9,355.5,386.3,417.6,448.8,479.7,494.5,508.8,523.8,523.8
303,"1120303","Braga",129.7,129.7,129.7,111.8,93.6,75.5,41.6,47.4,52.8,27.5,25.6,35,44.6,38.2,31.9,24.9,29.1,63.3,97.7,123.1,52.2,51.5,51,55.4,59.9,64.3,68.9,70.7,73,75,75
306,"1120306","Esposende",289.9,289.9,289.9,249.5,209.2,168.8,110.1,125,139.7,105,97.5,133.8,170.2,145.3,120.9,96,97.1,210.8,324.5,355.2,151.1,149.2,147.2,160.1,173,185.9,198.8,205,211.3,217,217
310,"1120310","Terras de Bouro",36.6,36.6,36.6,31.6,26.4,21.3,10.5,12,13.4,4.5,4.1,5.7,7.2,6.4,5,4.1,3.4,7.2,11.4,9.4,3.9,3.9,3.9,4.1,4.5,4.8,5,5.5,5.5,5.7,5.7
313,"1120313","Vila Verde",215.2,215.2,215.2,185.3,155.3,125.6,71,80.6,90.1,50,46.4,63.6,81.2,69.3,57.6,45.9,39.2,85.3,131.2,113.7,48.4,47.7,47.1,51.2,55.5,59.6,63.6,65.5,67.6,69.3,69.3
307,"1130307","Fafe",37.3,37.3,37.3,32.1,26.8,21.6,15.9,18.1,20.5,18.1,16.8,23.2,29.6,25.4,20.9,16.6,27.7,60.2,92.4,147.3,62.7,62,61.1,66.5,71.8,77.2,82.4,84.9,87.4,90,90
308,"1130308","Guimarães",124.8,124.8,124.8,107.3,90.3,72.8,38.8,43.8,49.2,22.9,20.8,28.8,36.7,31.6,26.1,20.6,30.3,66.4,102.4,152.4,64.9,64.2,63.3,68.9,74.4,79.7,85.6,88,90.5,93.4,93.4
309,"1130309","Póvoa de Lanhoso",105.9,105.9,105.9,91.2,76.3,61.5,42.4,48.1,53.7,43.8,40.6,55.7,70.8,60.4,50.3,40,29.9,64.6,99.7,64.5,27.4,26.9,26.7,28.9,31.4,33.8,36.1,37,38.4,39.3,39.3
1314,"1131314","Santo Tirso",275.6,275.6,275.6,237.3,199,160.7,83.1,94.4,105.4,43.9,40.6,55.8,71.1,60.7,50.4,40.1,35.3,76.2,117.7,106,45.3,44.6,43.9,47.8,51.7,55.7,59.6,61.2,63,64.9,64.9
