"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",0,0,0,0,0,0,36.6,31.6,32.3,30.8,34.6,30,32.8,23.7,19,18.8,16.5,19.4,19.2,16.1,14.9,14.9,15.5,14.9,10.7,10.1,11.3,15.2,12.6,12,10.6
1602,"1111602","Caminha",0,0,0,0,0,0,17.4,15,15.4,14.7,16.5,14.3,15.6,11.3,9.1,9,7.8,9.1,9,7.3,6.8,6.8,7,6.8,4.9,4.6,5.2,6.9,5.7,5.5,4.9
1603,"1111603","Melgaço",0,0,0,0,0,0,47.3,40.8,41.8,39.9,44.9,38.9,42.4,30.6,24.6,24.4,18.5,21.8,21.6,12.4,11.4,11.4,11.9,11.4,8.3,7.8,8.7,11.7,9.7,9.2,8.2
1604,"1111604","Monção",0,0,0,0,0,0,80.5,69.5,71.1,67.8,76.3,66.1,72.1,52,41.9,41.5,31.7,37.3,36.9,21.8,20.1,20.1,20.9,20.1,14.5,13.7,15.4,20.5,17.1,16.3,14.3
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,34.9,30.2,30.9,29.4,33,28.7,31.3,22.5,18.2,18,14.9,17.6,17.4,13,12,12,12.5,12,8.7,8.1,9.2,12.2,10.2,9.7,8.6
1606,"1111606","Ponte da Barca",0,0,0,0,0,0,12.6,10.9,11.1,10.6,11.9,10.3,11.3,8.1,6.6,6.5,6.6,7.7,7.6,8.2,7.5,7.5,7.8,7.5,5.4,5.1,5.7,7.6,6.3,6.1,5.3
1607,"1111607","Ponte de Lima",0,0,0,0,0,0,70.9,61.2,62.7,59.8,67.3,58.3,63.6,45.8,37,36.6,32.4,38,37.6,32.4,29.8,29.8,31.1,29.8,21.6,20.3,22.8,30.4,25.4,24.1,21.3
1608,"1111608","Valença",0,0,0,0,0,0,30.7,26.5,27.1,25.9,29.1,25.2,27.5,19.8,15.9,15.8,18.3,21.5,21.3,26.9,24.8,24.8,25.8,24.8,17.9,16.9,19,25.3,21,20,17.7
1609,"1111609","Viana do Castelo",0,0,0,0,0,0,71.4,61.6,63.2,60.1,67.7,58.6,64,46.1,37.2,36.8,34.5,40.5,40,38.3,35.2,35.2,36.8,35.2,25.5,24,27,36,30,28.5,25.2
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0,0,11.1,9.6,9.9,9.4,10.5,9.2,10,7.2,5.8,5.7,4.7,5.5,5.4,3.8,3.6,3.6,3.7,3.6,2.6,2.4,2.7,3.6,3,2.9,2.6
301,"1120301","Amares",0,0,0,0,0,0,107.5,92.8,95.1,90.5,101.8,88.2,96.3,69.4,56,55.4,136.2,159.8,158.1,310.5,285.6,285.6,298.1,285.6,206.7,194.4,218.8,291.8,243.1,231,204.4
302,"1120302","Barcelos",0,0,0,0,0,0,83.8,72.4,74.2,70.6,79.4,68.8,75.1,54.2,43.7,43.2,38.1,44.8,44.3,37.9,34.9,34.9,36.4,34.9,25.3,23.8,26.8,35.6,29.7,28.2,25
303,"1120303","Braga",0,0,0,0,0,0,30,25.9,26.6,25.4,28.5,24.7,26.9,19.4,15.7,15.5,16.6,19.5,19.2,22.4,20.6,20.6,21.5,20.6,14.9,14,15.8,21,17.5,16.7,14.7
306,"1120306","Esposende",0,0,0,0,0,0,20.7,17.9,18.4,17.5,19.7,17.1,18.6,13.4,10.8,10.7,8.7,10.3,10.2,7.2,6.7,6.7,7,6.7,4.9,4.6,5.1,6.8,5.7,5.4,4.8
310,"1120310","Terras de Bouro",0,0,0,0,0,0,17.5,15.1,15.5,14.8,16.6,14.4,15.7,11.3,9.1,9,7.1,8.4,8.3,5.4,5,5,5.2,5,3.6,3.4,3.8,5.1,4.2,4,3.6
313,"1120313","Vila Verde",0,0,0,0,0,0,40.2,34.7,35.6,33.9,38.2,33,36,26,20.9,20.7,19.6,23.1,22.8,22.2,20.4,20.4,21.3,20.4,14.7,13.9,15.6,20.8,17.3,16.5,14.6
307,"1130307","Fafe",0,0,0,0,0,0,39.1,33.7,34.6,32.9,37,32,35,25.2,20.4,20.2,21.2,24.9,24.6,28,25.8,25.8,26.9,25.8,18.6,17.5,19.8,26.4,22,20.9,18.4
308,"1130308","Guimarães",0,0,0,0,0,0,89.8,77.5,79.4,75.6,85.1,73.7,80.4,58,46.7,46.3,33.5,39.3,38.9,18.6,17.1,17.1,17.9,17.1,12.4,11.7,13.1,17.5,14.5,13.9,12.2
309,"1130309","Póvoa de Lanhoso",0,0,0,0,0,0,25.8,22.3,22.8,21.7,24.4,21.2,23.1,16.7,13.4,13.3,16.8,19.7,19.5,26.7,24.6,24.6,25.7,24.6,17.8,16.7,18.8,25.1,21,19.9,17.6
1314,"1131314","Santo Tirso",0,0,0,0,0,0,36.4,31.4,32.1,30.6,34.4,29.8,32.6,23.5,19,18.8,23.5,27.6,27.3,37.3,34.4,34.4,35.8,34.4,24.9,23.4,26.4,35.1,29.2,27.8,24.6
1318,"1131318","Trofa",0,0,0,0,0,0,22.3,19.2,19.7,18.7,21.1,18.3,20,14.4,11.6,11.5,10.1,11.8,11.7,10,9.1,9.1,9.6,9.1,6.6,6.2,7,9.4,7.8,7.4,6.5
311,"1130311","Vieira do Minho",0,0,0,0,0,0,49,42.3,43.4,41.3,46.5,40.3,44,31.7,25.6,25.3,19.2,22.6,22.3,12.9,11.9,11.9,12.4,11.9,8.6,8.1,9.2,12.1,10.1,9.6,8.5
312,"1130312","Vila Nova de Famalicão",0,0,0,0,0,0,42.1,36.4,37.3,35.5,40,34.6,37.8,27.2,21.9,21.7,82.9,97.4,96.3,210.4,193.6,193.6,202,193.6,140,131.8,148.3,197.7,164.8,156.6,138.5
314,"1130314","Vizela",0,0,0,0,0,0,6.8,5.9,6,5.8,6.5,5.6,6.1,4.4,3.6,3.5,2.8,3.2,3.2,2,1.9,1.9,1.9,1.9,1.4,1.3,1.4,1.9,1.6,1.5,1.3
107,"1140107","Espinho",0,0,0,0,0,0,1.3,1.1,1.2,1.1,1.2,1,1.1,0.9,0.6,0.6,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.5,0.5,0.6,0.8,0.7,0.7,0.5
1304,"1141304","Gondomar",0,0,0,0,0,0,31.5,27.2,27.9,26.5,29.8,25.9,28.2,20.4,16.4,16.2,11.9,14,13.8,7,6.4,6.4,6.7,6.4,4.6,4.4,4.9,6.6,5.5,5.2,4.6
1306,"1141306","Maia",0,0,0,0,0,0,9.5,8.2,8.4,8.1,9.1,7.9,8.6,6.1,5,4.9,4.5,5.3,5.2,4.9,4.5,4.5,4.7,4.5,3.3,3.1,3.4,4.6,3.8,3.6,3.2
1308,"1141308","Matosinhos",0,0,0,0,0,0,8.4,7.3,7.5,7.1,8,6.9,7.6,5.4,4.4,4.4,3.2,3.8,3.8,2.1,1.9,1.9,2,1.9,1.4,1.3,1.5,2,1.6,1.6,1.3
1312,"1141312","Porto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1313,"1141313","Póvoa de Varzim",0,0,0,0,0,0,392.1,338.5,346.8,330.3,371.5,322.1,351.3,253.2,204.2,202.1,158,185.5,183.5,116.1,106.7,106.7,111.4,106.7,77.2,72.7,81.8,109,90.9,86.3,76.4
1315,"1141315","Valongo",0,0,0,0,0,0,19.4,16.8,17.1,16.3,18.4,15.9,17.4,12.5,10.1,10,6.3,7.3,7.2,1.1,1,1,1,1,0.8,0.7,0.8,1,0.8,0.8,0.7
1316,"1141316","Vila do Conde",0,0,0,0,0,0,62.6,54,55.4,52.7,59.3,51.4,56.1,40.4,32.6,32.3,23.1,27.1,26.8,12.1,11.1,11.1,11.6,11.1,8.1,7.6,8.5,11.3,9.4,8.9,8
1317,"1141317","Vila Nova de Gaia",0,0,0,0,0,0,23.6,20.3,20.8,19.8,22.3,19.3,21.1,15.2,12.3,12.1,9.9,11.6,11.5,8.3,7.6,7.6,7.9,7.6,5.5,5.2,5.9,7.8,6.5,6.1,5.5
1301,"1151301","Amarante",0,0,0,0,0,0,378.8,327.1,335,319.1,359,311.1,339.4,244.7,197.3,195.2,128.1,150.4,148.8,38.4,35.4,35.4,36.9,35.4,25.6,24.1,27.1,36.1,30.1,28.6,25.3
1302,"1151302","Baião",0,0,0,0,0,0,73.6,63.5,65.1,61.9,69.7,60.4,65.9,47.5,38.3,37.9,33.3,39.1,38.7,32.7,30.1,30.1,31.4,30.1,21.8,20.5,23.1,30.7,25.6,24.3,21.5
