"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",0,0,0,0,0,0,488.1,1211.5,879.2,862.6,1010.3,922.1,1219,1194.9,1404.4,1537,928.8,1230.3,1164.7,867.2,857.8,877.2,791.8,857.6,921.6,936.3,818.2,843.6,833.4,778.9,903.1
1602,"1111602","Caminha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.4,74.4,71.5,124.8,123.4,124.8,113.4,122,132.2,134.8,116.4,120.5,119.1,110.8,128.8
1603,"1111603","Melgaço",0,0,0,0,0,0,246.5,611.8,445.6,437.2,509.8,465.7,616.4,604.2,711,776.2,349.3,463.2,437.3,174.7,172.8,177.1,159.2,173.1,184.7,188,165.1,168.7,166.7,157.2,181.7
1604,"1111604","Monção",0,0,0,0,0,0,746.8,1847.5,1341.5,1316.3,1541.1,1408.5,1860.4,1823.7,2144.2,2346,933.1,1234.6,1168.9,262,259.2,263.6,238.7,257.7,278,283,245.9,254,250.9,234,271.6
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,139.1,345.8,251.5,246.8,288.7,265.1,349.3,342.4,403.1,440.7,269.1,357,336.4,255.8,253,257.5,232.8,251.8,270.3,275.4,240.2,248.4,245.4,228.7,264.6
1606,"1111606","Ponte da Barca",0,0,0,0,0,0,95.2,237,172.5,169.2,197.9,182.1,239.7,234.9,276.9,302.6,128,170,161.9,52,51.4,52.3,47.7,51.2,56.4,57,48.8,50,49.4,46.5,54.7
1607,"1111607","Ponte de Lima",0,0,0,0,0,0,153.8,382.1,277.9,272.6,318.9,292.8,385.8,378.1,445.2,486.8,716.1,947.7,897.7,1195.8,1182.9,1209.3,1092.3,1182.1,1271.6,1291.5,1127.9,1164.4,1150.2,1073.7,1245.3
1608,"1111608","Valença",0,0,0,0,0,0,34.2,87,62.3,61.1,72.1,64.5,86.7,85,99.7,109.6,56.4,74.4,71.5,41.6,41.2,42.3,37.8,41.3,44.7,45.6,39.4,40.8,40.3,37.5,42.3
1609,"1111609","Viana do Castelo",0,0,0,0,0,0,161.1,396.6,287.5,282,330.6,302,399.5,391.6,460.7,504.3,477.4,633.2,599.2,665.5,658.3,672,606.8,657,705.8,717.9,626.8,647.1,639.2,596.7,691.5
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0,0,78.1,195.9,141.3,138.7,162.9,147.6,196.3,192.4,225.9,247.8,188.8,250.7,237.6,226.7,224.2,229.4,206.9,224.2,241.1,245,214,220.6,218,203.6,236.4
301,"1120301","Amares",0,0,0,0,0,0,334.4,827,601.3,590,691.4,631.7,833.2,816.7,959.1,1050.2,644.5,854.2,807.3,611.4,604.8,619.7,559,605.8,649.4,661,578,595.2,587.9,550.2,636.8
302,"1120302","Barcelos",0,0,0,0,0,0,571.1,1417,1030.1,1010.7,1182.6,1081.2,1426.8,1398.5,1643.6,1797.9,4096.9,5429,5138,7593.2,7510.8,7680.1,6933.4,7507.8,8067.3,8195.3,7163.4,7385.1,7295.2,6818.9,7904
303,"1120303","Braga",0,0,0,0,0,0,454,1122,814.5,799.2,935.8,855.3,1130,1107.6,1302.5,1425.2,1425.7,1889,1787,2038.1,2016,2060.4,1860.2,2014.1,2164.1,2199.4,1921.7,1982.1,1958,1829.3,2120.2
306,"1120306","Esposende",0,0,0,0,0,0,195.3,481.2,349.8,343.2,400.4,366.5,483.9,474.4,558.2,609.5,486.1,643.8,609.7,601,594.5,607.6,549.1,594,639.7,649.5,566.8,584.1,576.9,539.5,626.2
310,"1120310","Terras de Bouro",0,0,0,0,0,0,366.1,909.2,661.2,648.7,758.9,693.9,915.4,897.3,1054.4,1153.3,570.7,756.4,716.9,374.3,370.3,378.3,342.2,369.8,398.6,404.5,352.8,365.3,360.8,335.9,389.8
313,"1120313","Vila Verde",0,0,0,0,0,0,659,1629.8,1183.4,1161.2,1359.5,1242.6,1641.3,1608.9,1891.7,2069.8,1150.1,1523.5,1442.2,946.3,936,955.7,863.5,934.3,1005.2,1019.9,891.5,919.6,908.5,848.6,984.3
307,"1130307","Fafe",0,0,0,0,0,0,1142.2,2826.8,2053,2014.4,2358.1,2155.5,2846.6,2790.4,3280.5,3589.2,1972.5,2613.6,2472.3,1593.1,1575.8,1611.7,1454.3,1575.5,1691.6,1718.8,1503.2,1550.1,1531.2,1430.9,1658
308,"1130308","Guimarães",0,0,0,0,0,0,217.2,539.2,392.9,385.5,449.2,410.3,543.3,532.6,626.9,684.1,1058.9,1402.4,1328.6,1794.8,1775.4,1814.9,1639.4,1774.2,1907.4,1937.2,1692.8,1746.6,1725.3,1611.4,1869.8
309,"1130309","Póvoa de Lanhoso",0,0,0,0,0,0,434.4,1078.5,783.4,768.6,900.9,823,1086.6,1065.2,1251.6,1370.3,828.9,1098.6,1038.6,773.7,765.3,782.7,706.3,765.2,822.5,835.7,730,752.8,743.6,694.9,804.3
1314,"1131314","Santo Tirso",0,0,0,0,0,0,9.8,26.6,19.1,18.8,23.3,20.7,27.4,26.8,31,35.1,39.1,51,48.4,56.2,55.6,56.4,51.7,55.1,60.3,60.8,52.5,55.6,54.9,50,58.2
1318,"1131318","Trofa",0,0,0,0,0,0,109.8,270.8,196.4,192.7,225.8,205.2,271.6,266.3,312.3,342,642.3,850,805.2,1143.8,1131.5,1156.9,1044.5,1131,1215.2,1234.5,1079.1,1112.5,1098.9,1027.2,1190.6
311,"1130311","Vieira do Minho",0,0,0,0,0,0,673.6,1668.5,1212.2,1189.3,1392.1,1272.5,1680.1,1646.9,1936,2118,1230.4,1629.8,1543.1,1085.6,1073.8,1098.6,990.8,1074,1153,1171.8,1024.7,1055,1042.2,975.4,1128.9
312,"1130312","Vila Nova de Famalicão",0,0,0,0,0,0,717.6,1779.8,1293.6,1269.2,1485.2,1357.9,1792,1756.5,2064.5,2258.3,2009.4,2662.5,2518.6,2680.8,2651.7,2710.2,2447.1,2649.5,2846.6,2892.6,2527.9,2606.9,2575.2,2406.4,2790.5
314,"1130314","Vizela",0,0,0,0,0,0,14.6,33.9,24,23.5,27.9,25.3,34.2,33.6,39.9,43.8,54.2,72.3,67.3,85.3,84.3,86.5,77.6,84.6,89.4,91.2,80.7,83.4,82.4,76.8,88.2
107,"1140107","Espinho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,2.1,2.1,2,2,2,2,2,1.9,1.9,1.9,1.9,1.8,1.8
1304,"1141304","Gondomar",0,0,0,0,0,0,368.5,914,663.6,651.1,761.2,696.2,919.9,901.8,1061,1159.8,575,762.8,721.1,378.5,374.4,384.3,346.2,375.7,402.5,408.4,358.4,369,364.5,341.2,395.1
1306,"1141306","Maia",0,0,0,0,0,0,117.2,287.8,208.4,204.5,239.8,219,289.9,284.2,334.5,366.1,288.6,382.5,361.6,353.6,349.7,356.1,322.3,348.1,375.3,381.8,332.2,343,338.8,316.2,366.9
1308,"1141308","Matosinhos",0,0,0,0,0,0,68.4,169.2,124.6,122.2,142,129.1,171.2,167.8,197.2,214.9,403.6,533.3,504.5,717.5,709.7,724.3,654.6,708.1,762.2,773,675.6,697.2,688.7,643.1,746.1
1312,"1141312","Porto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.4,40.4,37.8,64.4,63.8,66.4,59.7,64.9,70,70.3,62,63,62.3,59,68.8
1313,"1141313","Póvoa de Varzim",0,0,0,0,0,0,197.7,488.5,354.5,347.9,407.4,371.1,490.8,481.1,564.8,618.3,813.8,1079.4,1021.7,1312.3,1298.1,1325.9,1197.7,1296.2,1394.1,1415,1236.7,1275.6,1260.1,1177.3,1365.2
1315,"1141315","Valongo",0,0,0,0,0,0,9.8,26.6,19.1,18.8,23.3,20.7,27.4,26.8,31,35.1,104.2,138.1,130.3,199.6,197.5,203.2,183,198.7,213.9,216.5,189.5,194.7,192.3,180.4,208.1
1316,"1141316","Vila do Conde",0,0,0,0,0,0,375.9,933.4,678,665.2,779.8,712.4,940.5,921.9,1083.2,1186.2,1280.3,1695.6,1606.1,1900.9,1880.3,1921.5,1734.8,1878.5,2018.3,2051.2,1792.3,1848.6,1826.1,1706.1,1977.3
1317,"1141317","Vila Nova de Gaia",0,0,0,0,0,0,63.5,159.6,115,112.8,132.7,119.9,159.8,156.6,183.9,201.7,258.2,342.1,323.8,411.8,407.3,416.5,376,407.2,437.5,444.4,388.5,400.5,395.6,369.8,428.6
1301,"1151301","Amarante",0,0,0,0,0,0,273.4,674.7,491.1,481.8,563.4,516.4,680.3,666.8,784.2,857.3,494.8,654.5,620.2,430.5,425.8,436.6,393.9,426.8,458.9,465.3,407.2,419,414,387.6,449.8
1302,"1151302","Baião",0,0,0,0,0,0,229.4,568.3,414.4,406.6,474.9,433.4,573,561.7,660.1,721.3,477.4,633.2,599.2,499.1,493.7,505,455.6,493.7,530.8,539.4,471.1,485.8,479.9,448.4,518.6
304,"1150304","Cabeceiras de Basto",0,0,0,0,0,0,68.4,171.7,124.6,122.2,144.3,131.4,173.5,170.1,199.4,219.2,1035.1,1372.7,1299.2,2098.5,2075.7,2122.7,1915.9,2075.1,2228.3,2263.9,1979.9,2041.4,2016.6,1884.7,2183.7
