"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",2.4,1.5,2.4,1.8,2.7,2.3,2.8,1.8,2.1,2.1,2.1,2.1,2.1,1.7,1.2,1.7,1.5,1.5,1.7,2.8,1.9,1.9,1.9,1.9,2.1,2.1,2.1,2.1,2.1,2.1,2.3
1602,"1111602","Caminha",5.2,3.3,5.2,3.9,5.9,5.2,3.9,2.5,2.9,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.3,0.3,0.3,0.9,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7
1603,"1111603","Melgaço",4.9,3,4.9,3.7,5.5,4.8,4.8,3,3.6,2.5,2.5,2.5,2.3,1.9,1.4,1.9,1.5,1.5,1.7,2.3,1.5,1.5,1.5,1.5,1.7,1.7,1.7,1.7,1.7,1.7,1.9
1604,"1111604","Monção",3.2,2,3.2,2.4,3.5,3.2,2.3,1.4,1.8,0,0,0,0,0,0,0,0.4,0.4,0.4,1.6,1,1,1,1,1.2,1.2,1.2,1.2,1.2,1.2,1.3
1605,"1111605","Paredes de Coura",1.9,1.2,1.8,1.4,2.1,1.8,1.7,1,1.2,0.6,0.6,0.6,0.6,0.5,0.4,0.5,0.6,0.6,0.7,1.4,0.9,0.9,0.9,0.9,1,1,1,1,1,1,1.1
1606,"1111606","Ponte da Barca",3.9,2.4,3.9,3,4.4,3.9,3.5,2.1,2.6,1,1,1,1,0.8,0.6,0.8,0.7,0.7,0.8,1,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.9
1607,"1111607","Ponte de Lima",44.8,27.8,44.6,33.4,50.1,44.3,47.3,29.5,35.4,28.2,28.2,28.2,27.4,21.9,16.3,21.9,16.1,16.1,18.4,17.9,11.9,11.9,11.9,11.9,13.4,13.3,13.3,13.3,13.3,13.3,14.7
1608,"1111608","Valença",0.7,0.4,0.7,0.5,0.8,0.6,3.4,2.1,2.6,5.7,5.7,5.7,5.5,4.3,3.3,4.3,5,5,5.7,10.8,7.2,7.1,7.1,7.1,8.1,8,8,8,8,8,8.9
1609,"1111609","Viana do Castelo",14,8.7,13.9,10.4,15.7,13.8,12.6,7.9,9.5,4.6,4.6,4.6,4.4,3.5,2.7,3.5,2.5,2.4,2.8,2.4,1.6,1.6,1.6,1.6,1.8,1.8,1.8,1.8,1.8,1.8,2
1610,"1111610","Vila Nova de Cerveira",1,0.6,1,0.8,1.1,1,0.8,0.6,0.6,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.3,0.3,0.3,0.7,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6
301,"1120301","Amares",11.1,6.9,11,8.3,12.4,11,24.5,15.3,18.4,31.8,31.8,31.8,30.9,24.6,18.5,24.6,21.3,21.2,24.3,32.4,21.6,21.5,21.5,21.5,24.2,24.1,24.1,24.1,24.1,24.1,26.6
302,"1120302","Barcelos",12.4,7.7,12.4,9.3,13.9,12.3,12.9,8.1,9.7,7.5,7.5,7.5,7.3,5.8,4.4,5.8,3.7,3.7,4.2,2.3,1.5,1.5,1.5,1.5,1.7,1.7,1.7,1.7,1.7,1.7,1.9
303,"1120303","Braga",13,8.1,13,9.7,14.6,12.9,14.8,9.3,11.1,10.4,10.4,10.4,10,7.9,6,7.9,5.1,5.1,5.8,3.3,2.2,2.2,2.2,2.2,2.5,2.5,2.5,2.5,2.5,2.5,2.7
306,"1120306","Esposende",6.5,4.1,6.5,4.9,7.3,6.5,6.5,4.1,5,3.5,3.5,3.5,3.4,2.7,2.1,2.7,1.7,1.7,2,1,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.9
310,"1120310","Terras de Bouro",8.1,5,8.1,6.1,9.1,8,9.4,5.8,7.1,6.8,6.8,6.8,6.6,5.2,3.9,5.2,3.4,3.4,3.8,2.4,1.6,1.6,1.6,1.6,1.8,1.8,1.8,1.8,1.8,1.8,2
