"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",16,12.4,15.6,13.8,12.8,13.3,15,11.7,10.4,9.2,7.9,6.7,6,4.5,3.1,2.8,2.5,2.4,3,2.8,2.7,2.3,2.2,2.1,1.9,2.1,1.8,1.9,1.8,1.8,2.3
1602,"1111602","Caminha",6.4,4.9,6.2,5.4,4.9,4.9,5.3,4,3.4,2.7,2.1,1.4,0.9,0.8,0.6,0.6,0.6,0.7,1,1.1,1.2,1.3,1.6,1.5,1.4,1.5,1.2,1.4,1.2,1.2,1.7
1603,"1111603","Melgaço",8.4,6.5,8.2,7.4,7.1,7.5,8.8,7.1,6.6,6.2,5.7,5.3,5.4,4,2.7,2.3,2,1.9,2.3,2.1,1.8,1.4,1.1,1,0.9,1,0.9,0.9,0.9,0.9,1.2
1604,"1111604","Monção",16.1,12.5,15.7,13.6,12.3,12.2,13.2,9.7,8.1,6.4,4.8,3,1.4,1.2,1,1,1,1.2,1.8,2,2.3,2.4,2.9,2.7,2.6,2.8,2.3,2.6,2.3,2.3,3.1
1605,"1111605","Paredes de Coura",20.1,15.6,19.7,17,15.4,15.4,16.7,12.4,10.4,8.3,6.2,4.1,2.2,1.7,1.2,1.1,1.1,1.1,1.6,1.6,1.7,1.6,1.9,1.7,1.6,1.8,1.5,1.6,1.5,1.5,2
1606,"1111606","Ponte da Barca",5.5,4.3,5.4,4.9,4.6,4.9,5.7,4.6,4.3,4,3.7,3.4,3.5,2.6,1.7,1.5,1.3,1.2,1.5,1.3,1.1,0.8,0.6,0.6,0.6,0.6,0.5,0.6,0.5,0.5,0.6
1607,"1111607","Ponte de Lima",57.5,44.6,56.1,50.5,47.8,50.4,58.5,47,43.6,40.3,36.8,33.4,33.6,25.4,17.5,15.8,14.3,13.9,18.1,17.5,16.8,14.9,15.1,14.1,13.2,14.5,12,13.2,12,12,16.1
1608,"1111608","Valença",2,1.6,2,2.3,2.8,3.7,5.3,5.1,5.7,6.4,7,7.7,9.4,8.1,6.3,6.4,6.6,7.3,10.9,12.2,13.6,14.2,17.2,16,15.1,16.4,13.7,15.1,13.7,13.7,18.3
1609,"1111609","Viana do Castelo",22,17,21.4,18.9,17.4,17.8,20,15.3,13.5,11.7,9.8,7.9,6.7,5.2,3.7,3.5,3.2,3.3,4.5,4.6,4.7,4.4,4.9,4.6,4.3,4.7,3.9,4.3,3.9,3.9,5.2
1610,"1111610","Vila Nova de Cerveira",1.2,0.9,1.2,1,1,1,1.2,0.9,0.9,0.8,0.7,0.6,0.6,0.5,0.4,0.4,0.4,0.4,0.6,0.6,0.7,0.7,0.8,0.8,0.7,0.8,0.7,0.7,0.7,0.7,0.9
