"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",69.9,62.3,63.1,63.2,63.2,62.6,41.8,41.8,43.7,18.8,19,17.9,16.8,15.5,14.5,14.4,8.1,8.4,7.7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1602,"1111602","Caminha",63.7,56.8,57.6,57.6,57.6,57,42.9,42.9,44.8,27.5,27.9,26.2,24.6,22.7,21.2,21.1,13,13.5,12.3,2.6,2.6,2.6,2.4,2.2,2.2,2.2,2.2,2.2,2.3,2.2,2.2
1603,"1111603","Melgaço",17.8,15.9,16.1,16.1,16.1,15.9,8.6,8.6,9,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0
1604,"1111604","Monção",60.5,53.9,54.7,54.8,54.7,54.2,32.2,32.1,33.6,7.5,7.6,7.2,6.7,6.2,5.8,5.8,3.4,3.5,3.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1605,"1111605","Paredes de Coura",101.7,90.6,91.9,92,91.9,91,64.1,64,67,34.4,34.9,32.8,30.8,28.5,26.5,26.5,21,21.9,20,13.9,13.7,13.7,12.5,11.8,11.7,11.4,11.4,11.5,12,11.8,11.6
1606,"1111606","Ponte da Barca",4.9,4.3,4.4,4.4,4.4,4.4,4.2,4.2,4.3,4,4,3.8,3.6,3.3,3.1,3.1,3.2,3.3,3,3.2,3.2,3.1,2.9,2.7,2.7,2.6,2.6,2.7,2.8,2.7,2.7
1607,"1111607","Ponte de Lima",293.6,261.6,265.2,265.5,265.4,262.7,206.3,206,215.4,145.4,147.2,138.6,130.1,120.3,112.1,111.8,88.6,92.1,84,57.9,57.5,57.2,52.2,49.4,48.9,47.7,47.5,48.1,50.1,49.2,48.3
1608,"1111608","Valença",42.8,38.1,38.6,38.7,38.6,38.3,23.3,23.3,24.3,6.5,6.6,6.2,5.8,5.4,5,5,5,5.2,4.8,4.9,4.8,4.8,4.4,4.2,4.1,4,4,4.1,4.2,4.2,4.1
1609,"1111609","Viana do Castelo",262.7,234.1,237.3,237.6,237.5,235.1,184.9,184.7,193.1,130.8,132.5,124.7,117.1,108.2,100.8,100.6,75.4,78.4,71.5,42.7,42.4,42.2,38.5,36.5,36.1,35.2,35.1,35.5,37,36.2,35.6
1610,"1111610","Vila Nova de Cerveira",60.2,53.6,54.3,54.4,54.4,53.8,38.5,38.4,40.2,21.5,21.8,20.5,19.2,17.8,16.6,16.5,13.2,13.8,12.5,8.9,8.8,8.8,8,7.6,7.5,7.3,7.3,7.4,7.7,7.5,7.4
301,"1120301","Amares",22.2,19.8,20.1,20.1,20.1,19.9,18.1,18,18.9,16.4,16.6,15.6,14.6,13.5,12.6,12.6,10.8,11.2,10.2,8.2,8.2,8.1,7.4,7,6.9,6.8,6.7,6.8,7.1,7,6.9
302,"1120302","Barcelos",779.5,694.5,704.1,704.9,704.6,697.5,867.3,866.2,905.8,1079.6,1093,1029.1,966.3,893,832.1,829.9,794,825.6,753,727.8,723.4,719.4,656.8,621.6,615.5,599.7,597.7,605,630.6,618.2,606.9
303,"1120303","Braga",157.9,140.7,142.7,142.8,142.8,141.3,125,124.9,130.6,108.7,110.1,103.7,97.3,89.9,83.8,83.6,76.8,79.9,72.9,66.5,66.1,65.7,60,56.8,56.2,54.8,54.6,55.3,57.6,56.5,55.5
306,"1120306","Esposende",179.6,160,162.2,162.4,162.3,160.7,157.2,157,164.2,156.3,158.2,148.9,139.9,129.3,120.5,120.1,109.6,114,104,93.8,93.2,92.7,84.6,80.1,79.3,77.3,77,78,81.2,79.7,78.2
310,"1120310","Terras de Bouro",0.3,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,"1120313","Vila Verde",117.2,104.4,105.9,106,106,104.9,75.8,75.7,79.2,43.9,44.5,41.8,39.3,36.3,33.8,33.8,33.9,35.3,32.2,33.1,32.9,32.7,29.9,28.3,28,27.3,27.2,27.6,28.7,28.1,27.6
307,"1130307","Fafe",23.2,20.6,20.9,21,20.9,20.7,16.1,16.1,16.8,11,11.2,10.5,9.9,9.1,8.5,8.5,6.6,6.9,6.3,4.2,4.1,4.1,3.8,3.6,3.5,3.4,3.4,3.5,3.6,3.5,3.5
308,"1130308","Guimarães",144.1,128.4,130.1,130.3,130.2,128.9,113.3,113.2,118.3,97.6,98.8,93,87.4,80.7,75.2,75.1,65.5,68.1,62.1,52,51.6,51.4,46.9,44.4,43.9,42.8,42.7,43.2,45,44.1,43.3
309,"1130309","Póvoa de Lanhoso",39.9,35.6,36.1,36.1,36.1,35.7,33.4,33.3,34.9,31.3,31.7,29.9,28,25.9,24.1,24.1,18.8,19.5,17.8,11.8,11.7,11.7,10.7,10.1,10,9.7,9.7,9.8,10.2,10,9.9
1314,"1131314","Santo Tirso",172.7,153.8,156,156.1,156.1,154.5,118.3,118.2,123.6,79.1,80,75.4,70.8,65.4,60.9,60.8,53.9,56.1,51.1,44.1,43.8,43.6,39.8,37.6,37.3,36.3,36.2,36.6,38.2,37.4,36.8
1318,"1131318","Trofa",0,0,0,0,0,0,68.4,68.3,71.4,148.3,150.2,141.4,132.8,122.7,114.3,114,109.9,114.3,104.2,101.8,101.2,100.6,91.9,86.9,86.1,83.9,83.6,84.6,88.2,86.5,84.9
311,"1130311","Vieira do Minho",10,8.9,9,9,9,8.9,8.3,8.3,8.6,7.7,7.8,7.3,6.9,6.3,5.9,5.9,4.3,4.5,4.1,2.3,2.3,2.3,2.1,2,2,1.9,1.9,1.9,2,2,1.9
312,"1130312","Vila Nova de Famalicão",272.6,242.9,246.2,246.5,246.4,243.9,294.4,294,307.4,358.3,362.7,341.5,320.7,296.4,276.1,275.4,272.3,283.1,258.2,260.7,259.1,257.7,235.3,222.6,220.4,214.8,214.1,216.7,225.9,221.4,217.4
314,"1130314","Vizela",0,0,0,0,0,0,3.7,3.7,3.8,7.9,8,7.6,7.1,6.5,6.1,6.1,4.9,5,4.6,3.2,3.2,3.1,2.9,2.7,2.7,2.6,2.6,2.7,2.8,2.7,2.7
107,"1140107","Espinho",1.4,1.2,1.2,1.2,1.2,1.2,1,1,1,0.8,0.8,0.8,0.7,0.6,0.6,0.6,2.3,2.4,2.2,4.3,4.3,4.2,3.9,3.7,3.6,3.5,3.5,3.6,3.7,3.6,3.6
1304,"1141304","Gondomar",14.4,12.8,13,13,13,12.8,11.5,11.5,12,10.1,10.2,9.6,9,8.3,7.8,7.8,6,6.2,5.7,3.7,3.6,3.6,3.3,3.1,3.1,3,3,3,3.2,3.1,3
