"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",214.9,208.8,224.4,239.5,185.9,186.8,246.6,259.6,255.4,354.1,292.3,287.2,237.9,218.2,194.1,140.6,230.2,189.2,162.3,194.2,190,193.5,177.3,161.6,146.5,139.2,156.2,141.9,138,134,108.3
1602,"1111602","Caminha",122.1,118.6,128.6,138.2,106.6,105.5,140.6,146.8,144.4,200.3,165.1,162.2,134.3,123.9,108.8,80.1,123.8,100.5,86.9,97.9,95.8,97.5,89.4,81.5,74,70.3,78.8,71.6,69.6,67.6,54.7
1603,"1111603","Melgaço",102.5,99.6,107.6,115.1,88.4,90.1,131.9,138.3,136,206.4,169,166,138.2,127.6,112.5,81.8,82,67,57.4,24.1,23.6,24,22,20,18.1,17.2,19.4,17.6,17.1,16.6,13.4
1604,"1111604","Monção",312.6,303.7,327.2,350,269.8,272.6,456.4,478.8,471,760.8,628.4,617.3,512.3,471.5,419.1,302.5,279.1,227.7,196.7,46.5,45.5,46.5,42.5,38.6,34.9,33.1,37.4,33.9,33,32,25.7
1605,"1111605","Paredes de Coura",83,80.7,86.5,92.1,72.5,72.5,86.5,91.5,90,113.3,93.4,91.8,76.7,70.3,63.5,46.3,87.2,70.3,60.7,83.5,81.7,82.5,76.2,68.7,62.8,59.7,67.1,60.3,58.6,56.9,46.9
1606,"1111606","Ponte da Barca",75.7,73.5,79.5,85.2,65.8,65.9,56.2,59.6,58.6,44.5,37.8,37.1,30.7,27.8,25.4,17.8,27.9,21.8,19.7,20.8,20.4,21,19,17.2,15.3,14.6,16.8,15.1,14.7,14.2,11.2
1607,"1111607","Ponte de Lima",637.4,619.2,668.5,716.1,553.3,553.9,863,906.6,891.7,1380,1137.5,1117.5,928.7,854.2,758.3,548,844.3,688.3,595.2,659.6,645.2,657.1,602.2,549.3,496.8,471.9,530.5,482.3,468.9,455.5,367.3
1608,"1111608","Valença",129.4,125.7,135.5,145,113.4,112.1,144.9,151.1,148.6,202.3,167,164.1,136.3,125.7,110.7,80.1,137.8,112.2,96.8,120.4,117.8,120,109.9,100.1,90.7,86.2,96.8,87.9,85.5,83,67
1609,"1111609","Viana do Castelo",2139.3,2078.2,2246.3,2408.5,1859.5,1863.8,2433.4,2558,2516,3454,2845.6,2795.7,2323.6,2137.4,1897.6,1371.8,1833.3,1495.4,1292.1,1176.3,1150.7,1173.1,1074,978.4,886.1,841.8,946.1,859,835.2,811.4,654.2
1610,"1111610","Vila Nova de Cerveira",136.7,132.8,144.9,156.5,120.2,120.9,125.5,129.8,127.7,139.6,115.3,113.3,94,86.9,76.2,55.1,90.7,73.7,64,75.4,73.8,75,68.9,62.9,57.2,54.3,60.7,55.3,53.7,52.2,42.4
301,"1120301","Amares",122.1,118.6,128.6,138.2,106.6,105.5,77.9,83,81.7,42.5,35.8,35.2,28.8,25.9,23.6,17.8,15.7,13.4,11.5,3.2,3.1,3,2.9,2.9,2.8,2.7,2.6,2.5,2.5,2.4,2.2
302,"1120302","Barcelos",5001.4,4858.5,5249.8,5627.4,4344.8,4356.2,5801.1,6099.1,5999.2,8360.9,6892.3,6771.4,5625.8,5175.4,4595.1,3320,5330.7,4348.9,3758.2,4365.1,4270.1,4351.9,3985.5,3631.7,3289.1,3124.7,3511,3188.8,3100.2,3011.6,2429.2
303,"1120303","Braga",837.6,813.7,878.9,941.7,727.9,729.7,858.7,902.3,887.5,1112.9,916.7,900.6,748.4,687.8,611.3,441.2,889.6,725.1,626.3,887.5,868.1,885.1,810.3,738.1,668.4,635,713.8,648.1,630.1,612.1,493.5
