"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",1337.9,2203,1564,1849.9,1696.6,1750.9,2452.2,2018.2,2140.6,3017.6,2903.3,2719.2,2248.9,1976.3,1881.6,2063.5,2441.2,2215.1,1480.6,1804.9,1777.9,1628.8,1603.3,1670.2,1643.2,1501.5,1389.7,1450.6,1591.9,1374.2,1269.9
1602,"1111602","Caminha",186.3,306.4,217,255,236.1,242.3,513.6,423.5,452.2,764.5,736.7,687.9,569.3,499.2,475.5,522.6,389.8,353.1,234.1,90.4,89,80.4,79.1,83.6,82.3,74.1,67.5,71.6,78.2,67.8,61.6
1603,"1111603","Melgaço",351.4,579.8,413.6,489.8,448.1,465.1,378.4,312.8,331.6,272,261.3,243.6,201.6,179,169.8,184.3,178.4,163.7,107.5,99.8,98.2,89.3,87.9,92.3,90.8,82.3,75.6,79.6,88.6,75.4,69.1
1604,"1111604","Monção",897.6,1474.1,1048.2,1238.6,1136.4,1172.5,741.4,610.4,648.2,246.3,235.9,222.1,183.9,161.8,152.8,167.5,317.1,288.9,193,336.7,331.6,303.7,298.9,311.6,306.5,280,259.1,270.5,297,256.3,236.7
1605,"1111605","Paredes de Coura",292.1,480.3,339.8,400.7,368.1,379.1,521.3,431.1,456,635.9,613.3,573.2,473.8,416.6,397.4,435.5,624.3,565,379.6,554.9,546.6,500.2,492.4,513.4,505.2,461.1,426.4,445.5,489.8,422.1,389.6
1606,"1111606","Ponte da Barca",486.9,799.2,569.1,671.9,616.2,637,699,576.1,610.5,716.8,689.5,644.9,533.9,468.2,448.3,489.1,551.7,500.8,335.4,383.4,377.7,345.4,340,354.8,349.1,318.4,294.1,307.6,338.7,291.4,268.8
1607,"1111607","Ponte de Lima",1579.3,2604.6,1850.6,2185.8,2004.7,2075.3,2788.2,2296.7,2438.3,3352.2,3229.9,3023.6,2500,2200,2092.2,2291.3,2008.4,1823.4,1218,879.1,865.9,792,779.7,813.4,800.3,730.1,674.6,705.4,773.8,668.2,616.4
1608,"1111608","Valença",177.8,294,208.8,246.9,224.1,234.5,451.8,370.1,391.9,646.9,620.6,580.4,480.9,423.5,400.8,442.2,389.8,353.1,237.3,174.5,172,157.8,155.4,161.5,158.9,145.5,134.9,140.5,153.7,133.2,123.3
1609,"1111609","Viana do Castelo",3565,5871.8,4172.2,4930.3,4521.5,4674.3,5221.1,4299.7,4563.9,5454.6,5251.3,4918.8,4066.4,3577.2,3403.2,3728.4,3511.5,3184.7,2129.2,1817.4,1790.2,1640.7,1615,1681.7,1654.6,1512.5,1397.8,1461.2,1604.9,1384.3,1277.3
1610,"1111610","Vila Nova de Cerveira",414.9,679.1,483.1,570.8,524.2,539.3,463.4,381.5,407,356.6,341.1,322.4,265.2,234.1,220.8,244.5,191.6,173.3,113.9,56.1,55.3,50.6,49.8,51.9,51.1,46.7,43.2,45.1,49.5,42.7,39.4
301,"1120301","Amares",770.6,1267.1,900.8,1064.6,976.3,1008.3,552.2,454,482.4,44.1,39.9,39.4,31.8,27.5,27.1,30.1,62.8,57.8,38,68.6,67.5,62.5,61.6,63.4,62.4,57.7,54,55.7,62.5,52.8,49.3
302,"1120302","Barcelos",13823.9,22766.7,16180.9,19126,17533.7,18130.4,21969.3,18087.8,19205.1,24542,23625.3,22125.8,18295.3,16092.4,15307.6,16772.9,17365.7,15749.7,10532.2,10682.8,10523.3,9635.7,9485.1,9885.5,9726,8882.8,8219.5,8581.7,9423.8,8130,7510.9
303,"1120303","Braga",3086.6,5080.9,3611.2,4266.4,3913.3,4045,5085.9,4185.3,4443.3,5833.2,5617.8,5259.1,4349.3,3825.1,3637.6,3986.4,3471.8,3149.3,2103.9,1486.9,1464.7,1342.9,1321.9,1376,1353.8,1238,1144.1,1196,1313.1,1133.1,1045.5
306,"1120306","Esposende",2815.6,4637.8,3295.9,3894,3569.2,3693.3,4016.2,3304,3512.4,4094.6,3941.2,3690,3051.6,2685.5,2554.1,2797.2,3220.8,2921.4,1955.2,2300.5,2266.2,2075.4,2043,2128.8,2094.5,1913.3,1770.2,1848.4,2029.6,1751.1,1617.6
310,"1120310","Terras de Bouro",635.1,1043.5,741.1,874.3,804.3,828.5,471.1,385.3,410.8,66.1,65.3,60.9,49.5,44.8,40.8,46.9,109,99.5,66.5,127.8,125.9,116.1,114.3,118.3,116.4,107.1,99.8,103.4,114.7,98,91.2
313,"1120313","Vila Verde",2328.7,3838.6,2726.8,3222.1,2953,3056.2,2637.6,2170.9,2306.4,2040,1963.3,1837.8,1520.5,1335.9,1270.3,1393.6,1466.7,1329.1,889,922.7,908.9,833.7,820.7,853.8,840.1,768.6,712.4,742.5,815.5,703.4,651
307,"1130307","Fafe",3988.4,6571.6,4671.7,5521.3,5061.7,5233.2,3016,2483.7,2638,529.3,511.7,480.1,396,347.8,332.8,361.8,492.2,446.2,300.5,417.7,411.5,378.1,372.2,386.5,380.3,348.6,323.8,336.8,370,319.1,295.9
308,"1130308","Guimarães",3539.6,5830.4,4143.5,4897.9,4489.5,4643,3884.9,3197.1,3395.5,2855.9,2747.2,2575.8,2128.7,1873,1779.7,1953,1631.9,1479.9,990.3,623.4,614.1,562.8,554,576.9,567.6,518.8,480.3,501.2,549.8,474.8,438.9
309,"1130309","Póvoa de Lanhoso",1367.6,2252.7,1600.9,1894.4,1736.6,1793.9,988.6,812.6,863,88.2,87.1,82.4,67.2,58.6,54.4,60.3,171.8,157.3,104.4,215.1,211.9,193.6,190.5,199,195.8,178.4,164.6,172.4,190.2,163.3,150.4
1314,"1131314","Santo Tirso",5690.4,9375,6661.5,7873,7218.4,7464.8,5518.4,4543.9,4823.9,3153.7,3037.5,2844.5,2351.5,2069.2,1966.5,2157.3,2381.7,2160.5,1445.8,1614.7,1590.6,1456.1,1433.3,1494.2,1470.1,1342.3,1241.3,1296.8,1422.6,1228.5,1134.3
1318,"1131318","Trofa",0,0,0,0,0,0,1193.3,980.5,1040.2,2348.7,2260.9,2117.3,1750.3,1539,1463.8,1604.6,1436.9,1303.4,873.2,664,654.1,598.5,589.2,614.4,604.5,551.7,510,533,586.2,505,466
311,"1130311","Vieira do Minho",1659.7,2737.1,1944.8,2299.2,2108.7,2180.8,1266.6,1045.3,1108,246.3,235.9,222.1,183.9,161.8,152.8,167.5,317.1,288.9,193,336.7,331.6,303.7,298.9,311.6,306.5,280,259.1,270.5,297,256.3,236.7
312,"1130312","Vila Nova de Famalicão",7362.8,12128.7,8618.6,10188.4,9339.1,9657.3,8248.6,6791,7209.4,6266.9,6031.5,5649.7,4671.1,4107.4,3909.3,4281.1,4598.3,4170.2,2790.4,2989.4,2944.8,2697.8,2655.6,2766.3,2721.7,2487,2301.8,2402.7,2636.7,2276.2,2103.3
314,"1130314","Vizela",0,0,0,0,0,0,200.8,167.9,177.1,397,384.7,358.3,297,261.7,247.9,271.4,277.5,253.6,167.7,168.3,165.8,151.9,149.5,155.8,153.2,140,129.5,135.3,148.5,128.1,118.3
107,"1140107","Espinho",93.1,157.3,110.5,129.5,120,125.1,100.4,80.1,86.7,66.1,65.3,60.9,49.5,44.8,40.8,46.9,36.3,32.1,22.1,12.4,12.3,11.9,11.7,11.5,11.3,11,10.8,10.6,10.4,10,9.8
