"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",0,0,0,0,0,0,0,0,0,0,0,62.2,121.9,102,80.4,60.8,56.7,50.1,44.9,169.1,223.4,142.3,66.5,73.2,78.2,85,89.8,95.6,101.2,104.8,104.8
1602,"1111602","Caminha",0,0,0,0,0,0,0,0,0,0,0,16.6,32.5,27.3,21.4,16.3,14.2,12.6,11.1,37.3,49.2,31.5,14.6,16.2,17.2,18.8,19.9,21.1,22.3,23.1,23.1
1603,"1111603","Melgaço",0,0,0,0,0,0,0,0,0,0,0,21.4,41.8,35,27.5,20.8,14.8,13,11.7,20.3,26.9,17.2,8,8.9,9.4,10.3,10.7,11.5,12.3,12.6,12.6
1604,"1111604","Monção",0,0,0,0,0,0,0,0,0,0,0,57.9,113.6,95,74.8,56.7,40,35.4,31.7,55,72.7,46.4,21.7,23.8,25.6,27.7,29.3,31.1,33,34.1,34.1
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,0,0,0,0,0,27.3,53.2,44.5,35.1,26.5,17.2,15.4,13.7,14.5,19.1,12.1,5.7,6.2,6.8,7.3,7.6,8.2,8.7,9,9
1606,"1111606","Ponte da Barca",0,0,0,0,0,0,0,0,0,0,0,21.4,41.8,34.9,27.5,20.8,16.8,14.8,13.4,37.3,49.2,31.5,14.6,16.2,17.2,18.8,19.9,21.1,22.3,23.1,23.1
1607,"1111607","Ponte de Lima",0,0,0,0,0,0,0,0,0,0,0,79.4,155.8,130.4,102.7,77.9,65.2,57.7,51.6,158.8,209.6,133.7,62.4,68.8,73.6,79.8,84.2,89.6,95.1,98.3,98.3
1608,"1111608","Valença",0,0,0,0,0,0,0,0,0,0,0,52.8,103.5,86.5,68.2,51.7,33,29.3,26.2,22.7,30,19,8.9,9.8,10.4,11.3,12.1,12.8,13.6,14,14
1609,"1111609","Viana do Castelo",0,0,0,0,0,0,0,0,0,0,0,475,930.5,778.6,613.9,465.1,285.8,253.1,226.4,116.1,153.5,97.8,45.5,50.3,53.9,58.4,61.7,65.7,69.6,71.8,71.8
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0,0,0,0,0,0,0,22.1,43.4,36.4,28.6,21.6,15.1,13.4,11.9,19.6,25.8,16.5,7.6,8.5,9,9.9,10.4,11,11.7,12.2,12.2
301,"1120301","Amares",0,0,0,0,0,0,0,0,0,0,0,39.3,77,64.4,50.8,38.5,27.9,24.7,22.1,42.5,56.3,35.9,16.7,18.5,19.6,21.4,22.6,24,25.5,26.3,26.3
302,"1120302","Barcelos",0,0,0,0,0,0,0,0,0,0,0,46.6,91.3,76.4,60.3,45.7,40.9,36.4,32.7,116.1,153.1,97.6,45.5,50.3,53.7,58.3,61.6,65.5,69.4,71.8,71.8
303,"1120303","Braga",0,0,0,0,0,0,0,0,0,0,0,92.1,180.6,151.2,119,90.2,66.7,59,52.9,112.8,149.1,95.1,44.3,48.9,52.3,56.9,59.9,63.8,67.5,69.9,69.9
306,"1120306","Esposende",0,0,0,0,0,0,0,0,0,0,0,36.5,71.8,60,47.4,35.8,33,29.3,26.2,97.2,128.4,81.9,38.2,42.1,45.1,48.9,51.5,55,58.2,60.2,60.2
310,"1120310","Terras de Bouro",0,0,0,0,0,0,0,0,0,0,0,10.7,20.9,17.6,13.8,10.4,10.4,9.3,8.3,35,46.3,29.5,13.7,15.3,16.3,17.6,18.5,19.9,20.9,21.6,21.6
313,"1120313","Vila Verde",0,0,0,0,0,0,0,0,0,0,0,34.8,68,56.9,44.7,33.9,31.6,28.2,25.1,95.9,126.8,80.9,37.7,41.6,44.5,48.4,51,54.3,57.5,59.4,59.4
307,"1130307","Fafe",0,0,0,0,0,0,0,0,0,0,0,5.5,10.7,8.9,7,5.3,8.5,7.6,6.7,43.6,57.6,36.8,17.1,18.8,20.2,21.9,23.1,24.7,26,26.9,26.9
308,"1130308","Guimarães",0,0,0,0,0,0,0,0,0,0,0,21.8,42.6,35.6,28.1,21.2,19,16.7,15,52.3,69.2,44.1,20.6,22.8,24.4,26.4,27.7,29.6,31.3,32.4,32.4
309,"1130309","Póvoa de Lanhoso",0,0,0,0,0,0,0,0,0,0,0,12.4,24.4,20.5,16.1,12.2,12.9,11.3,10.2,46.1,60.8,38.8,18.1,19.9,21.4,23.1,24.5,26,27.6,28.4,28.4
