"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",1359.7,1521.4,1559.4,1553.8,1578.5,1549.9,1515.3,1552.4,1505.9,1442.2,1378.7,1424.1,1406,1415,1324.3,1315.3,1385.3,1576.4,1585.9,1698.2,1566.9,1455.7,1364.6,1425.3,1253.4,1233.3,1162.6,1011.1,798.5,697.6,596.5
1602,"1111602","Caminha",342,382.7,392.3,390.8,397,389.9,360,368.8,357.8,320.3,306.3,316.3,312.3,314.3,294.1,292.2,317.6,361.3,363.6,401.8,370.7,344.4,322.8,337.3,296.5,291.8,274.9,239.2,188.8,165.1,141.1
1603,"1111603","Melgaço",1190.2,1331.6,1364.9,1360,1381.6,1356.6,1273.3,1304.6,1265.6,1156.1,1105.3,1141.6,1127.2,1134.3,1061.6,1054.3,959.6,1091.9,1098.6,985.7,909.4,844.9,792.1,827.4,727.6,715.9,674.8,587,463.5,404.9,346.2
1604,"1111604","Monção",2154.2,2410.5,2470.7,2461.6,2500.7,2455.5,2466.8,2527.3,2451.7,2417.9,2311.4,2387.5,2357.1,2372.2,2220.3,2204.9,2066.1,2351.1,2365.3,2209,2038.1,1893.4,1775,1854,1630.5,1604.2,1512.1,1315.2,1038.8,907.2,775.8
1605,"1111605","Paredes de Coura",717.9,803.3,823.5,820.4,833.5,818.5,1089.5,1116.3,1082.8,1342.5,1283.3,1325.5,1308.7,1317.1,1232.7,1224.3,1191.4,1355.7,1363.9,1336.7,1233.2,1145.7,1074.1,1121.8,986.6,970.7,914.9,795.8,628.6,549,469.4
1606,"1111606","Ponte da Barca",357.2,399.5,409.5,408.1,414.6,407.1,345.3,353.8,343.2,273,261.1,269.6,266.2,268,250.7,249.1,236.7,269.3,270.9,257.8,237.8,221,207.2,216.4,190.3,187.2,176.5,153.4,121.2,105.9,90.5
1607,"1111607","Ponte de Lima",604.9,676.7,693.7,691.3,702.2,689.5,855.6,876.6,850.4,1006.1,961.8,993.3,980.7,987.1,923.7,917.5,1060.1,1206.4,1213.7,1418,1308.3,1215.5,1139.5,1190.2,1046.7,1029.8,970.7,844.3,666.8,582.4,498
1608,"1111608","Valença",963.8,1078.2,1105.1,1101.2,1118.7,1098.5,978.2,1002.2,972.2,830.2,793.6,819.8,809.2,814.6,762.2,757,682.1,776.1,780.8,690.4,637,591.8,554.8,579.5,509.6,501.4,472.6,411,324.6,283.6,242.5
1609,"1111609","Viana do Castelo",424.9,475.4,487.1,485.4,493.1,484.2,464.8,476.3,462,433.6,414.4,428.1,422.6,425.3,398.1,395.4,433.2,492.8,495.8,552,509.3,473.2,443.6,463.3,407.5,400.9,377.8,328.7,259.6,226.8,193.9
1610,"1111610","Vila Nova de Cerveira",261.4,292.5,299.8,298.6,303.4,298,315.8,323.6,313.9,326.4,312.1,322.4,318.2,320.3,299.8,297.7,301.7,343.2,345.3,354.8,327.3,304.1,285.1,297.7,261.9,257.6,242.8,211.2,166.9,145.7,124.6
301,"1120301","Amares",172.5,193,197.9,197.2,200.3,196.6,183.8,188.2,182.6,166,158.7,163.9,161.8,162.8,152.4,151.4,197.2,224.4,225.7,289.4,267.1,248,232.6,243,213.7,210.1,198.1,172.3,136,118.8,101.7
302,"1120302","Barcelos",191.7,214.6,219.9,219.1,222.6,218.6,256.8,263.1,255.2,290,277.2,286.4,282.7,284.5,266.3,264.4,337,383.3,385.7,486.7,449.1,417.1,391.1,408.5,359.2,353.5,333.1,289.8,228.8,199.9,170.8
303,"1120303","Braga",101.7,113.8,116.6,116.2,118.1,116,213.5,218.7,212.2,308.8,295.3,305,301.1,303.1,283.7,281.6,298.9,340.1,342.2,369.2,340.7,316.4,296.7,309.9,272.4,268.1,252.8,219.9,173.7,151.7,129.7
306,"1120306","Esposende",46,51.4,52.6,52.4,53.2,52.4,56.3,57.7,55.9,59,56.5,58.3,57.5,58,54.3,53.8,61.9,70.3,70.8,82.4,76,70.6,66.2,69.1,60.8,59.8,56.3,49,38.7,33.8,28.9
310,"1120310","Terras de Bouro",502.9,562.7,576.8,574.6,583.8,573.2,410.7,420.8,408.2,232.9,222.8,230,227.1,228.5,213.8,212.5,157,178.7,179.8,108.3,99.9,92.8,87,90.9,79.9,78.7,74.1,64.5,50.9,44.5,38.1
313,"1120313","Vila Verde",552.7,618.4,633.9,631.6,641.6,630.1,725.1,742.9,720.8,805.5,770,795.3,785.1,790.2,739.6,734.6,874.5,995.1,1001.2,1199.6,1106.6,1028.1,963.9,1006.7,885.4,871.1,821.1,714.2,564,492.7,421.3
307,"1130307","Fafe",729.1,815.8,836.2,833,846.3,830.9,783.7,802.9,778.7,715.4,684,706.5,697.4,702,656.9,652.5,623.1,709,713.3,682.9,630.1,585.3,548.7,573.1,503.9,495.9,467.4,406.6,321.1,280.4,239.8
308,"1130308","Guimarães",174,194.6,199.6,198.8,201.9,198.2,173.4,177.5,172.3,143.3,137.1,141.5,139.8,140.7,131.8,130.7,151.4,172.2,173.2,202.7,186.9,173.7,162.8,170.1,149.6,147.2,138.8,120.6,95.3,83.3,71.2
309,"1130309","Póvoa de Lanhoso",271.1,303.4,310.9,309.8,314.7,309,314.2,321.9,312.3,311.8,298.1,307.8,303.9,305.9,286.3,284.3,291.3,331.5,333.5,346.8,320,297.3,278.7,291,255.9,251.9,237.3,206.5,163.1,142.5,121.8
1314,"1131314","Santo Tirso",266.3,298,305.4,304.3,309.1,303.5,269,275.6,267.4,226.6,216.7,223.8,221,222.4,208.2,206.7,244.6,278.2,280,333.7,307.8,286,268.1,280,246.2,242.2,228.4,198.7,156.9,137.1,117.2
1318,"1131318","Trofa",0,0,0,0,0,0,35.5,36.4,35.4,71.4,68.2,70.5,69.6,70,65.6,65.1,69,78.5,79,84.9,78.4,72.9,68.2,71.2,62.8,61.7,58.1,50.5,40,34.9,29.9
311,"1130311","Vieira do Minho",546.2,611,626.3,624.1,633.9,622.5,583.2,597.5,579.7,528.5,505.1,521.8,515.1,518.5,485.2,481.9,526.4,599,602.7,669.2,617.4,573.5,537.7,561.7,493.9,485.9,458,398.3,314.7,274.8,235
312,"1130312","Vila Nova de Famalicão",86.5,96.8,99.2,98.8,100.4,98.6,117.2,120.1,116.4,133.5,127.6,131.8,130.1,131,122.5,121.8,133.5,151.8,152.8,170.2,157,145.9,136.8,142.9,125.7,123.6,116.6,101.3,80,69.9,59.8
314,"1130314","Vizela",0,0,0,0,0,0,11.6,11.9,11.5,23.2,22.1,22.9,22.6,22.7,21.3,21.1,18.4,20.8,21,17.6,16.2,15,14.1,14.7,12.9,12.8,12.1,10.5,8.3,7.3,6.2
107,"1140107","Espinho",2.2,2.5,2.5,2.5,2.5,2.5,3,3.1,3,3.6,3.4,3.4,3.4,3.4,3.3,3.3,3.4,3.9,3.9,4.3,3.9,3.6,3.4,3.6,3.1,3.1,3,2.5,2.1,1.8,1.5
1304,"1141304","Gondomar",646.7,723.6,741.6,739,750.7,737.1,626.5,641.8,622.6,496.8,475,490.6,484.3,487.4,456.2,453.1,351.1,399.5,401.9,271.1,250.1,232.4,217.9,227.5,200.2,196.9,185.6,161.4,127.4,111.4,95.2
