"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",1053.4,1178.6,1208.1,1210.2,1212.1,1184.8,1179.4,1202.7,1161.2,1134.1,1079,1108.9,1089.2,1107.3,1046.9,1050.6,1061.8,1221.2,1242.1,1271.1,1186.1,1114.6,1057.2,1104.2,971,955.5,900.6,791,618.6,540.4,462.1
1602,"1111602","Caminha",265,296.5,303.9,301.1,298.4,288.3,283.6,285.7,272.4,262.7,246.5,249.9,241.9,247.4,235.5,237.8,241.9,279.9,286.5,295,277.1,262,250.1,261.3,229.7,226,213,187.1,146.3,127.9,109.3
1603,"1111603","Melgaço",922.1,1031.6,1057.4,1051.1,1044.5,1012.7,999.7,1010.8,967.2,936.1,882.2,898,873.2,863.9,794.2,774,758.9,846,832.9,824,742.2,672.3,613.7,641,563.7,554.6,522.8,459.2,359.1,313.7,268.2
1604,"1111604","Monção",1668.9,1867.4,1914,1927.4,1940.9,1907.6,1909.3,1958.1,1901.1,1867.7,1787.2,1847.8,1826.2,1815.9,1678.5,1645.4,1623.4,1821.4,1805.8,1799.7,1634,1492.9,1375.1,1436.3,1263.2,1242.8,1171.5,1028.9,804.8,702.8,601
1605,"1111605","Paredes de Coura",556.3,622.4,638,683.5,729.9,758.7,801.1,864.8,882.1,908.6,910,983.2,1013.9,1015.3,945.2,933.6,928.4,1050.3,1050.4,1056.4,968.5,893.7,832.1,869.1,764.4,752,708.8,622.5,487,425.3,363.7
1606,"1111606","Ponte da Barca",276.6,309.5,317.3,309.8,301.9,287,277.3,274.1,256,241.5,221.4,218.9,206.2,205.6,190.5,187.3,185.4,208.6,207.5,207.6,189.2,173.5,160.5,167.6,147.5,145,136.7,120,93.9,82,70.2
1607,"1111607","Ponte de Lima",468.6,524.3,537.4,566.2,595.5,610.4,636.5,679.1,685.2,698.8,693.4,742.7,759.7,787.3,758.4,775.3,798,934.6,967.7,1007.9,957,914.9,882.8,922.1,810.9,797.8,752,660.4,516.6,451.2,385.8
1608,"1111608","Valença",746.5,835.3,856.2,842.9,829.3,795.7,776.9,776.4,734.1,701.5,652.1,654.5,626.9,619.1,568.1,552.6,540.6,601.2,590.5,582.6,523.2,472.6,429.8,448.9,394.8,388.5,366.1,321.5,251.5,219.7,187.9
1609,"1111609","Viana do Castelo",329,368.2,377.4,376.7,376,366.2,363.2,369,354.8,345.3,327.1,334.8,327.4,335.5,319.7,323.4,329.4,381.8,391.3,403.7,379.6,359.5,343.6,359,315.6,310.6,292.7,257.1,201.1,175.7,150.2
1610,"1111610","Vila Nova de Cerveira",202.5,226.6,232.2,236.4,240.7,239,241.8,250.7,246,244.2,236.2,246.9,246.5,248.7,233.4,232.5,233,265.9,268.3,272.3,252.1,234.8,220.8,230.6,202.9,199.5,188.1,165.2,129.3,112.9,96.5
301,"1120301","Amares",133.7,149.5,153.3,133.3,113.4,91.5,54.2,72.9,69.8,67.4,63.5,32.3,15.7,66.7,98.8,138,145.3,173.8,183.7,195,188.7,183.6,180.2,188.2,165.5,162.8,153.4,134.8,105.4,92,78.8
302,"1120302","Barcelos",148.6,166.2,170.4,177.3,184.3,186.9,192.8,203.9,203.8,206.1,202.9,188.7,136.9,144.9,142.5,148.5,155.7,185.6,195.5,206.9,199.4,154.8,151.5,158.2,139.2,102.7,96.8,85,66.5,58.1,49.6
303,"1120303","Braga",78.8,88.1,90.3,105.9,121.7,134.6,131.1,169.5,157.3,167.9,173.6,192.9,175,178.2,196.8,197.8,200.2,263.5,268.4,275.1,257,241.9,201.1,210.1,211,207.7,195.8,172,134.6,117.5,100.5
306,"1120306","Esposende",35.6,39.7,40.8,41.7,42.5,42.4,43,44.7,44,43.8,42.5,44.5,27.9,28.8,27.7,28.4,29.2,34.1,42.3,44.1,41.7,33.3,25.6,26.8,23.6,23.2,21.8,19.2,15,13.1,11.2
310,"1120310","Terras de Bouro",389.6,435.9,446.9,424.6,401.8,369.4,344,326,290.4,259.3,223,204.5,175.9,168.3,149.1,139.5,130.8,138.5,128.6,119.1,99.3,82.3,67.4,70.4,61.9,60.9,57.4,50.5,39.4,34.4,29.5
313,"1120313","Vila Verde",428.2,479.1,491.1,508.7,526.6,531.8,546.7,575.5,573.5,577.8,566.9,600.8,608.3,634.3,614.9,632.3,654.7,770.9,802.6,840.3,801.8,770.3,746.7,779.9,685.9,674.8,636.1,558.7,437,381.7,326.4
