"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",29,28.9,29.8,29.7,29.9,29.8,31.7,30.8,28.9,30.1,31.2,42.1,53.1,54.1,55.3,58.2,52.9,49.4,44.2,40,39.8,44.1,48.7,45.3,43.3,41.3,39,33.5,27.8,22.1,22.1
1602,"1111602","Caminha",18.3,18,18.3,17.4,17.2,16.6,21.4,20.9,20.6,23.5,22.8,24.7,25.9,25.1,21.9,26.1,27.2,26.7,23.9,24.6,24,24,34.3,33.5,34.1,33,30.6,25.1,19.5,13.9,13.9
1603,"1111603","Melgaço",22.7,22.4,23,22.4,22.3,22,18,17,16,13.2,13.5,18.1,22.1,21.3,18.7,22.4,18.9,18.6,16.5,14.2,13.9,13.9,17.7,16.5,15.7,15,14.2,12.3,10.2,8.2,8.2
1604,"1111604","Monção",26.9,26.5,27.3,27,26.3,26.8,27.5,25.6,24.1,22.9,22.5,33,43.9,44.3,45,46.3,41.4,38.2,34.6,30.3,29.8,33.5,37.2,34.9,32.9,31.1,29.4,24.9,20.2,15.6,15.7
1605,"1111605","Paredes de Coura",16.6,16.2,16.6,16.4,16.2,16.3,14.6,13.4,12.5,10.4,10.4,15.2,20.1,20.5,21.1,21.8,34.6,31.8,28.6,28.6,28,28,39.9,39.1,39.6,38.1,35.4,29.1,22.7,16.3,16.3
1606,"1111606","Ponte da Barca",11.7,11.4,12,11.8,11.8,12,19.8,19.4,18.8,21.5,21.2,37.5,51.5,49.8,43.8,52.2,43.7,42.7,38.3,32.8,32.2,32.2,45.8,45,45.5,45.1,44.3,36.3,28.1,20,20
1607,"1111607","Ponte de Lima",58.2,56,58.3,55.7,56.6,56.1,56.4,51.8,49.7,46,44.7,69,93,94.5,96.7,99.7,117,107,96.6,107.3,108.4,121.2,134.5,126.3,117.8,110,102.1,84.4,66.1,48,48.4
1608,"1111608","Valença",29.6,29.4,29.6,30.4,31.2,32.1,38.9,33.1,27.7,31.3,30.3,33.5,36.7,37.2,37.9,38.9,32.5,29.5,26.3,19,18.2,19.8,21.6,20.5,19.3,18.6,17.7,16.2,14.1,12.3,12.6
1609,"1111609","Viana do Castelo",80.4,79.6,80.9,77.2,75.4,73.1,61.9,58.3,55.5,47.3,46,61.1,76.5,75.5,74.8,74.3,75.8,69.1,61.7,61.4,57,68.3,79.9,75.1,71.1,67.3,63.5,56,48,40.1,40.1
1610,"1111610","Vila Nova de Cerveira",11,11,11.2,10.9,10.7,10.5,7.3,6.6,6.1,3.7,3.7,5.3,6.9,7,7.2,7.4,7.1,6.6,5.9,5.6,5.6,6.2,6.9,6.4,6.1,5.8,5.6,4.8,3.9,3.1,3.1
301,"1120301","Amares",39.2,38.8,39.4,39.4,40.4,40.9,76.7,67.3,59.1,84,80.8,63.6,66.8,64.7,56.6,67.7,64.6,63.3,56.8,54.5,53.5,53.5,76.3,74.7,75.7,75.1,74.9,74.9,72.1,70.2,69.1
302,"1120302","Barcelos",64.5,63.3,64.6,62.2,61.5,59.5,62.6,59.6,57.2,57.1,55.2,90.2,116.3,112.5,98.7,117.7,122.3,119.7,107.5,105.8,105.5,108,133.2,125.1,117.2,109.4,101.7,84.5,66.9,49.4,49.4
303,"1120303","Braga",39.9,39.2,40,38.2,37.1,36.1,32.8,30.9,29.7,25.8,25,40.2,55.5,56.8,58.4,60.3,57.2,52,46.9,44,44.3,49.6,55,51.6,48.2,45,42,34.9,27.4,20.1,20.3
306,"1120306","Esposende",34.9,34.5,35.1,33.3,32.2,30.8,25,24.1,23.5,20,19.3,33.2,44.4,42.9,37.6,44.9,41.4,37.8,34.2,26.9,26.8,30.1,33.3,31.4,29.4,27.4,25.5,21.1,16.7,12.3,12.3
310,"1120310","Terras de Bouro",10.5,10.1,11.1,10.6,10.8,10.9,11,10.7,10.4,10.5,10.7,14.9,19.1,19.3,19.6,20.6,26.6,24.6,22.1,25.9,26.4,29.7,33,30.7,28.9,27,25.2,20.8,16.2,11.7,11.7
313,"1120313","Vila Verde",45,43.3,45.6,43.5,43.9,43.6,39.4,35.7,33.9,30.7,29.9,41.5,52.7,52.5,53.1,54.7,65.4,59.9,54.2,60.7,60.8,67.5,74.8,70.3,65.7,61.7,57.3,48.4,38.6,29.2,29.9
307,"1130307","Fafe",20.3,20.1,20.4,20,20,20.2,30.3,29.4,28.7,31.9,30.7,56.2,81.7,84.5,87.5,90.7,126.1,117.5,105.9,96.8,94.9,94.9,135.3,132.6,134.4,133.2,125.6,101.8,77.5,53.5,53.6
308,"1130308","Guimarães",184.1,182.9,184.4,184.1,184.9,185.2,183.8,163.1,144.1,136.7,130.9,148,165.2,162.8,160.8,158.9,148.7,133.2,117.6,99.8,92.8,102.8,113,108.3,104,99.9,95.7,88.4,80.6,73.1,73.2
309,"1130309","Póvoa de Lanhoso",30,29.5,30.7,29,28.9,28.6,21.4,19.6,18.3,14.6,14.3,18.6,23,22.9,23,23.5,24.6,22.6,20.4,20.6,20.4,23,25.6,24.1,22.4,21,19.7,16.9,13.6,10.4,10.6
1314,"1131314","Santo Tirso",109.9,108.7,110.1,104.5,100.9,96.7,57.9,54.2,51.7,15,14.4,19.9,25.5,25.5,25.7,26.2,21.6,19.8,17.9,14.2,13.9,15.5,17.2,16.2,15.1,14.2,13.3,11.8,9.7,7.8,7.9
1318,"1131318","Trofa",0,0,0,0,0,0,8.6,6.3,6.4,22.1,21.1,14.1,14.9,14.3,12.6,15.1,19.4,18.9,17.1,20,19.5,19.5,27.9,27.3,27.7,27.5,27.3,27.3,26.3,25.6,25.3
311,"1130311","Vieira do Minho",17.5,16.8,18.4,17.5,17.9,17.8,17.2,16.2,15.5,14.2,14.3,20.2,26,26.3,26.8,28,25.8,24,21.6,19.6,19.6,21.8,24.1,22.4,21.3,20.2,19,16.3,13.3,10.4,10.5
312,"1130312","Vila Nova de Famalicão",36.6,36.4,37.2,35.3,34.8,33.3,30.2,28.9,27.9,25.1,24.3,38.6,53.1,54.2,55.3,57,53.5,49.6,45.6,49.3,48.1,51.8,56.8,53.7,48.5,46.5,43.5,40.6,33.6,28.2,30
314,"1130314","Vizela",0,0,0,0,0,0,1.3,1.2,1.2,1.9,1.8,2.7,3.6,3.7,3.8,3.9,3.4,3.1,2.8,2.4,2.4,2.7,3,2.8,2.6,2.5,2.3,2,1.6,1.2,1.2
107,"1140107","Espinho",0.7,0.7,0.7,0.6,0.6,0.6,0.7,0.6,0.6,0.5,0.5,0.9,1.3,1.3,1.3,1.4,1,0.9,0.8,0.5,0.5,0.6,0.6,0.6,0.5,0.5,0.5,0.4,0.3,0.2,0.2
1304,"1141304","Gondomar",16.2,16,16.5,15.7,15.3,14.7,12.2,11.6,11.3,9.1,8.9,14,19.3,19.5,19.9,20.4,15.9,14.6,13.1,9.7,9.7,10.8,11.9,11.2,10.5,9.8,9.1,7.7,6.2,4.7,4.7
1306,"1141306","Maia",12,11.7,12.1,11.5,11.4,11.1,9.8,9.3,8.8,7.3,7.1,10.7,14.3,14.5,14.3,15.1,14.4,13.1,11.7,11.2,10.6,12.6,14.6,13.7,13,12.2,11.5,10,8.4,6.9,6.9
1308,"1141308","Matosinhos",6.6,6.5,6.7,6.5,6.5,6.4,5.7,5.3,5,4.3,4.2,6.3,8.4,8.6,8.3,9.1,7.6,7,6.3,5,5,5.6,6.1,5.8,5.4,5.1,4.8,4.1,3.3,2.5,2.6
1312,"1141312","Porto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1
1313,"1141313","Póvoa de Varzim",24.5,23.1,25.4,23.2,23.8,23.4,32.6,29.5,29.7,22.7,22.7,10.9,11.5,11.1,9.8,11.6,13.1,12.8,11.5,12.3,12,12,17.1,16.8,16.9,16.8,16.8,16.7,16.1,15.7,15.5
1315,"1141315","Valongo",42.1,41.7,42.1,44.1,46.8,49.2,51.4,38.5,33.9,30.5,30.4,14.7,15.5,14.9,13.2,15.6,25.8,25.2,22.6,29.1,28.6,28.6,40.8,39.9,40.5,40.1,39.9,40.1,38.6,37.5,36.9
1316,"1141316","Vila do Conde",21.4,20.4,21.6,20.6,21.2,21.3,22.4,20,18.5,18.5,18,17,17.9,17.4,15.3,18.2,22.7,22.2,19.9,21.3,20.7,22.5,25.4,24.1,22.8,21.6,20.4,17.7,15,12.3,12.3
1317,"1141317","Vila Nova de Gaia",24.6,24.1,24.8,23.5,23.2,22.3,16.5,15.6,15,9.8,9.6,15.2,20.9,21.3,21.9,22.6,15,13.8,12.4,6.8,6.8,7.6,8.4,7.8,7.3,6.9,6.5,5.6,4.5,3.6,3.6
1301,"1151301","Amarante",23.9,22.6,24.3,22.6,24.1,23.9,36,31.8,30.9,33.6,33.3,41.6,50.5,47.6,46.5,47.6,40.5,37.8,34.7,26.3,26.4,29.2,32.2,30.3,28.2,26.6,24.4,20.8,16.7,12.8,12.8
1302,"1151302","Baião",16.6,16,16.9,16.2,16,15.8,15.5,14.2,13.6,11.9,11.7,17.6,23.7,23.9,24.4,25.1,23.8,21.9,19.8,18.2,18.3,20.2,22.3,21,19.6,18.3,17,14.4,11.5,8.7,8.7
304,"1150304","Cabeceiras de Basto",24,22.9,24,22.5,22.7,22.5,19.4,17.7,17.4,14.9,14.5,21.8,29,29.1,29.5,30.4,40.5,37.1,33.5,40.7,40.1,45.8,51.8,48.6,45.4,42.6,39.6,33.4,26.8,20.5,20.6
106,"1150106","Castelo de Paiva",7.9,7.5,7.9,7.5,7.8,7.6,7.8,7,6.8,6.1,6,8.6,11.3,11.2,11.3,11.6,13.3,12.2,11.1,12,12,13.3,14.8,13.9,13,12.1,11.3,9.5,7.6,5.7,5.7
305,"1150305","Celorico de Basto",26.8,26.1,26.9,25.7,25.8,25,28.4,25.6,24.7,24.6,24,30.7,37.4,35.7,35,35.5,33.1,30.5,27.8,24.4,23.6,26.9,30.4,28.7,26.8,25.3,23.7,20.6,17,13.8,13.7
1804,"1151804","Cinfães",11.7,11.4,11.7,11.3,11.9,11.7,12.2,11,10.2,9.4,9.2,13.9,18.8,19.1,19.5,20.1,19.3,17.7,16,15,15.1,16.8,18.6,17.5,16.3,15.3,14.2,12,9.6,7.2,7.2
1303,"1151303","Felgueiras",25.7,24.2,25.9,24.9,26,26.7,41.2,35.4,31.8,39.2,38.3,43.7,49.3,48.3,48.4,49.7,50.1,46.1,41.7,41.5,39.8,42.6,45.8,43.8,40.4,38.9,37,35.1,30.4,26.9,27.7
1305,"1151305","Lousada",39.9,39,40,41.3,43.8,46,50.9,42.8,35.2,35.5,34.4,40.6,47.1,46.8,47,47.4,34,30.8,27.4,12.8,12.5,14.1,15.7,14.8,13.9,13.1,12.2,10.7,8.8,7.1,7
1307,"1151307","Marco de Canaveses",16.5,15.8,16.8,15.7,16,16.4,16.4,15,14.2,12.3,12.1,17.1,22.5,22.5,22.8,23.5,19.7,18.2,16.4,12.9,12.9,14.3,15.7,14.9,14,13.1,12.3,10.5,8.6,6.7,6.7
1705,"1151705","Mondim de Basto",7.8,7.4,8,7.4,7.3,7.4,7.5,6.8,6.5,6,5.7,7.9,9.9,9.7,9.7,9.9,11.3,10.4,9.5,10.2,10.2,11.1,12.2,11.5,10.8,10.1,9.2,7.9,6.4,5,5
1309,"1151309","Paços de Ferreira",17.1,16.5,17.2,16.1,15.9,15.4,12.2,11.3,11,7.4,7.1,10.8,14.6,14.8,15,15.4,13.3,12.2,11,9.5,9.3,10.5,11.7,11,10.3,9.7,9.1,7.8,6.4,5,5
1310,"1151310","Paredes",22.5,21.3,22.6,21.3,22.1,21.7,21.2,19.4,18.7,16.1,15.8,25.5,35.2,35.8,36.6,37.8,28.9,26.5,24,17.4,17.5,19.3,21.3,20.1,18.7,17.5,16.3,13.9,11.1,8.5,8.4
1311,"1151311","Penafiel",25.9,24.1,26.2,24.2,25.4,25.5,25.4,22.8,22.1,18.7,18.5,27.2,36.1,36,36.5,37.5,28.4,26.3,23.9,16.5,16.4,18,19.9,18.9,17.5,16.4,15.3,13.2,10.7,8.4,8.4
