"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",300825,333846,264416.4,312444,290745,276129,250542,241011,231390,223416,219564,204876,222503.4,239931,240318,230877,203850,182520,156933,133308,134460,120744,114345,136899,133560,126882,117050.4,120204,126000,113526,98352
1602,"1111602","Caminha",117810,130662,103413.6,122364,113781.6,108014.4,74493,71643.6,68850,45936,45144,42084,45788.4,49370.4,49374,47505.6,28800,25920,22208.4,6210,6278.4,5612.4,5292,6273,6120,5814,5328,5508,5828.4,5202,4608
1603,"1111603","Melgaço",37170,41004,32562,38610,35685,34020,23436,22509,21600,14355,14106.6,13104,14355,15501.6,15444,14918.4,14400,12960,11210.4,10764,10935,9867.6,9261,11070,10800,10260,9489.6,9720,10238.4,9180,7920
1604,"1111604","Monção",133875,148410,117585,138996,129285,122756.4,71145,68349.6,65610,28449,27957.6,25956,28215,30528,30420,29376,24750,22248,19035,15318,15390,13737.6,13041,15681.6,15300,14535,13320,13770,14331.6,13005,11232
1605,"1111605","Paredes de Coura",78435,87210,69044.4,81675,76050,72009,65565,63135,60480,58725,57711.6,53928,58410,62964,63180,60588,73350,65664,56469.6,67275,67635,60951.6,57645,69003,67320,63954,58941,60588,63471.6,57222,49536
1606,"1111606","Ponte da Barca",87255,96696,76581,90585,84240,79947,70308,67527,64800,60552,59508,55692,60390,65109.6,65286,62654.4,49725,44496,38282.4,27117,27338.4,24573.6,23247,27860.4,27180,25821,23810.4,24462,25671.6,23103,20016
1607,"1111607","Ponte de Lima",413910,459612,363909.6,430056,400140,380174.4,323919,311283,299160,270396,265734,247968,269280,290493,290862,279531,240975,215568,185274,151938,153090,137577.6,130221,155901.6,152100,144495,133200,136890,143481.6,129285,112032
1608,"1111608","Valença",45990,51102,40401,47817,44460,42242.4,32085,30744,29700,23229,22827.6,21168,23018.4,24804,24804,23868,24750,22248,19035,19872,20048.4,17996.4,17010,20295,19800,18810,17316,17820,18741.6,16830,14688
1609,"1111609","Viana do Castelo",620865,689112,545715,645084,599918.4,570117.6,394506,379359,364500,245079,240852.6,224784,244035,263066.4,263718,253137.6,213075,190512,163911.6,128961,130005,116874,110565,132285.6,129060,122607,113054.4,116154,121905,109701,95040
1610,"1111610","Vila Nova de Cerveira",72135,79866,63315,74844,69615,66056.4,59985,57645,55350,53505,52581.6,48888,53213.4,57477.6,57564,55310.4,40725,36288,31302,18630,18831.6,17028,16065,19188,18720,17784,16484.4,16848,17640,15912,13824
301,"1120301","Amares",88830,98532,78087.6,106362,112455,120528,67824,66096,64800,21168,21168,19872,22032,24624,25056,24624,18900,16848,14382,19458,19440,17607.6,16632,19926,19440,18468,16983,17496,18270,16524,14256
302,"1120302","Barcelos",2055690,2282148,1807191,2136024,1986951.6,1887825.6,2068506,1988751.6,1910790,3268188,3231050.4,3034080,3314745,3621830.4,3654576,3534555.6,3817530,3083184,2672208,2872701,2925360,2688453,2573037,3500406,3461940,3385008,3170367,3308076,3527798.4,3231144,2905137
303,"1120303","Braga",444150,492966,390441.6,461538,429390,407955.6,509976,491391,473130,685080,599445,562248,613238.4,667839.6,672624,558057.6,417150,311040,267336,164358,165645,148995,174564,209763,205650,197424,183159,148068,155451.6,139842,121248
306,"1120306","Esposende",482895,536112,424512,501633,466830,443394,409014,393084,377730,561924,555537.6,521676,569925,697640.4,705042,682635.6,505080,458757,346122,264627,268515,283824,308853,373977,369360,360126,336798,350892,373611.6,341658,306180
310,"1120310","Terras de Bouro",85365,94860,75074.4,88803,82485,78530.4,45756,44193.6,42390,18792,18468,17388,18810,20271.6,20358,19508.4,20925,18792,16074,17388,17618.4,15867,14931,17895.6,17460,16587,15318,15714,16380,14841,12816
313,"1120313","Vila Verde",449190,498780,394965,466884,434070,412491.6,288207,276969.6,266220,181917,178779.6,166824,181170,195332.4,195858,187959.6,153450,137160,118017,87975,88695,79722,75411,90219.6,88020,83619,77090.4,79218,83160,74817,64800
307,"1130307","Fafe",290745,322830,255672,302346,281091.6,267057,132525,127641.6,122580,22968,22572,20916,22770,24566.4,24570,23637.6,30825,27648,23688,30015,30171.6,27090,25704,30812.4,30060,28557,26307,27054,28350,25551,22176
308,"1130308","Guimarães",578340,641988,508329,600831,558968.4,530996.4,521028,440910,424620,417384,365211,387774,423428.4,462765.6,466785,451616.4,227475,203472,174909.6,125649,126561.6,113778,107730,128966.4,125820,119529,110223,113238,118755,106947,92736
309,"1130309","Póvoa de Lanhoso",166635,185130,146529,173151,161168.4,153090,91233,87840,84240,39933,39243.6,36792,39848.4,42930,43056,41310,42300,37800,32571,33327,33615,30186,28539,34131.6,33300,31635,29138.4,29970,31500,28305,24480
1314,"1131314","Santo Tirso",508725,564570,447123.6,528363,491691.6,467208,300762,289047.6,277830,188802,158259.6,174042,189540,205538.4,206739,166388.4,157275,140832,120978,112815,113805,102168,96768,115866,113040,107388,99068.4,101736,106628.4,96084,83232
1318,"1131318","Trofa",0,0,0,0,0,0,207747,200840.4,217890,420156,415382.4,390096,426105,465753.6,469737,454532.4,457200,361998,313257.6,266364,318531.6,290588.4,321732,388832.4,383355,372402,347630.4,361449,384051.6,350496,312759
311,"1130311","Vieira do Minho",132300,146880,116379,137511,127821.6,121622.4,75051,72194.4,69390,36279,35652.6,33264,36135,38876.4,39078,37407.6,38700,34776,29822.4,30843,31185,27864,26460,31734,30960,29412,27140.4,27864,29138.4,26316,22752
312,"1130312","Vila Nova de Famalicão",877590,974304,771537.6,911790,848250,805989.6,1016595,860094,710100,1089396,1077015.6,1011618,1105041.6,1207526.4,1218438,1178429.4,1109160,878526,760082.4,596232,603405,650631.6,720252,870638.4,858375,833850,778473,809325,859950,784800,700290
314,"1130314","Vizela",0,0,0,0,0,0,12177,11664,11160,16182,15903,14868,19011.6,20696.4,17316,16754.4,13725,12312,10575,7866,8100,7160.4,6804,8118,7920,7524,6993,7128,7560,6732,5904
107,"1140107","Espinho",9187.2,10395,8307,9946.8,9502.2,9039.6,3627,3294,3240,1305,1281.6,1008,1238.4,1431,1404,1377,7425,6696,5709.6,20511,21038.4,19422,18450,22233.6,21960,21411,20097,23607,25245,23058,20664
1304,"1141304","Gondomar",53235,59058,46731.6,55242,51480,56502,43542,37062,35595,26325,25988.4,24624,23108.4,24948,21060,20196,16650,14904,12902.4,9729,9720,8708.4,8316,9963,9720,9234,8492.4,8748,9135,8262,7200
1306,"1141306","Maia",317835,353124,279491.4,330264,307125,292005,252774,243207,233550,289224,248436,267786,291938.4,317988,320112,309276,326970,296208,218025,230076,232898.4,251181,277992,336114,331380,321912,300294,312444,331988.4,255636,226746
1308,"1141308","Matosinhos",294525,327114,258987.6,306207,284601.6,270459,252216,242658,233010,310635,306651.6,287280,355341.6,388440,391878,379080,268110,200016,171950.4,158355,159771.6,143577,135891,162543.6,158580,150651,139028.4,142722,149781.6,134793,116928
1312,"1141312","Porto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1313,"1141313","Póvoa de Varzim",675045,749394,593352,701217,652275,619731,834948,691466.4,664200,1286928,1166277.6,1222560,1337220,1464750,1480050,1433250,1430055,1302840,1131044.4,1124622,1145205,1052523,1007370,1219982.4,1204920,1325412,1241055,1295289,1381208.4,1265166,1137258
1315,"1141315","Valongo",59850,66708,52761.6,62370,57915,63729,55404,53676,51660,47736,40014,43956,47970,52164,52173,42228,64890,50112,43347.6,56430,65811.6,60444,57672,69651,68670,66708,62409.6,64746,68738.4,62784,56079
1316,"1141316","Vila do Conde",1749825,1942794,1538253,1818234,1691235,1606878,1903824,1576179,1514430,2457576,2429649,2281752,2492751.6,2723936.4,3083472,2986484.4,3057750,2785860,2418296.4,2475639,2817651.6,2595956.4,2487726,3016377,2983230,2916936,2731887,2850642,3397770,3115818,2808990
