"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",125283,147072,159786,156591,159786,157968,156792,154914,158652,160002,156147,140733,140733,142650,123384,123384,101850,113742,123912,92559,86964,84147,79941,75735,75735,72939,68733,61857,56097,51894,47688
1602,"1111602","Caminha",12402,14553,15804,15487.5,15804,15627,11307,11169,11424,6651,6495,5847,5847,5928,5124,5124,4656,5202,5673,4911,4617,4461,4245,4029,4029,3873,3657,3277.5,2973,2757,2523
1603,"1111603","Melgaço",57096,67032,72822,71365.5,72822,72000,62532,61791,63276,53478,52185,47043,47043,47688,41232,41232,38064,42504,46299,41016,38532,37281,35424,33564,33564,32313,30456,27412.5,24861,23004,21126
1604,"1111604","Monção",14943,17526,19050,18669,19050,18837,22122,21849,22377,26523,25896,23334,23334,23649,20460,20460,16743,18699,20382,15003,14082,13632,12948,12264,12264,11814,11130,10026,9096,8412,7725
1605,"1111605","Paredes de Coura",3735,4401,4773,4677,4773,4713,11658,11520,11796,19989,19521,17583,17583,17820,15414,15414,16371,18288,19932,20733,19461,18837,17898,16959,16959,16332,15393,13839,12558,11619,10680
1606,"1111606","Ponte da Barca",73389,86163,93615,91743,93615,92559,88938,87882,90015,87393,85302,76872,76872,77928,67383,67383,51951,58014,63198,41310,38808,37554,35676,33801,33801,32547,30669,27603,25038,23160,21282
1607,"1111607","Ponte de Lima",33057,38808,42171,41328,42171,41682,48333,47766,48921,57390,56019,50484,50484,51168,44265,44265,49038,54768,59658,64569,60657,58701,55767,52833,52833,50877,47943,43150.5,39141,36207,33273
1608,"1111608","Valença",12459,14610,15882,15564,15882,15708,17898,17682,18114,20928,20421,18405,18405,18660,16137,16137,12774,14259,15549,10737,10092,9759,9270,8781,8781,8451,7980,7167,6513,6024,5535
1609,"1111609","Viana do Castelo",23745,27894,30297,29691,30297,29946,27501,27168,27813,25467,24840,22395,22395,22710,19638,19638,23238,25956,28284,32391,30435,29439,27972,26505,26505,25527,24039,21642,19638,18153,16686
1610,"1111610","Vila Nova de Cerveira",3933,4617,5007,4906.5,5007,4950,7374,7275,7452,10368,10113,9114,9114,9231,7980,7980,10620,11853,12909,16077,15099,14610,13887,13164,13164,12675,11931,10734,9741,9018,8292
301,"1120301","Amares",9369,10992,11952,11713.5,11952,11814,11892,11757,12030,12324,12030,10836,10836,10992,9507,9507,10737,11991,13065,14376,13515,13065,12420,11775,11775,11325,10680,9604.5,8724,8058,7413
302,"1120302","Barcelos",4617,5418,5889,5770.5,5889,5829,8019,7923,8097,10758,10503,9468,9468,9603,8292,8292,11442,12792,13926,17760,16686,16137,15336,14532,14532,13986,13182,11866.5,10758,9957,9153
303,"1120303","Braga",5730,6729,7314,7167,7314,7236,9486,9369,9585,12342,12048,10857,10857,11013,9525,9525,9270,10368,11286,10719,10053,9741,9252,8763,8763,8451,7962,7150.5,6495,6006,5517
306,"1120306","Esposende",1038,1233,1329,1302,1329,1311,1527,1506,1545,1818,1779,1605,1605,1623,1407,1407,2112,2367,2583,3462,3246,3150,2994,2835,2835,2739,2583,2319,2094,1935,1779
310,"1120310","Terras de Bouro",108657,127551,138582,135810,138582,136998,132342,130779,133926,130857,127707,115092,115092,116655,100890,100890,92949,103806,113097,99951,93888,90855,86319,81780,81780,78750,74211,66784.5,60576,56040,51483
313,"1120313","Vila Verde",37632,44187,48000,47040,48000,47454,45183,44637,45711,43872,42816,38592,38592,39120,33840,33840,39999,44655,48666,55647,52284,50583,48060,45537,45537,43854,41310,37188,33720,31197,28674
307,"1130307","Fafe",35481,41643,45243,44338.5,45243,44733,37593,37143,38043,30495,29751,26817,26817,27189,23511,23511,19539,21828,23784,17976,16899,16353,15531,14709,14709,14160,13359,12018,10896,10074,9270
308,"1130308","Guimarães",9858,11580,12576,12324,12576,12441,8823,8703,8919,4911,4791,4323,4323,4380,3795,3795,5439,6084,6630,8646,8136,7863,7473,7080,7080,6807,6417,5788.5,5241,4851,4461
309,"1130309","Póvoa de Lanhoso",17664,20733,22533,22083,22533,22278,28539,28185,28872,36558,35676,32157,32157,32586,28185,28185,22026,24606,26796,18033,16938,16392,15570,14748,14748,14202,13380,12039,10935,10113,9291
1314,"1131314","Santo Tirso",4500,5280,5730,5616,5730,5673,5124,5067,5202,4674,4557,4107,4107,4167,3600,3600,4869,5439,5928,7452,7002,6768,6435,6102,6102,5868,5535,4983,4518,4185,3834
1318,"1131318","Trofa",0,0,0,0,0,0,294,273,294,627,606,549,549,549,468,468,1329,1488,1605,2700,2523,2445,2328,2211,2211,2133,1995,1801.5,1644,1506,1389
311,"1130311","Vieira do Minho",55686,65370,71022,69601.5,71022,70221,62493,61752,63237,55434,54102,48762,48762,49428,42759,42759,32118,35874,39081,24117,22650,21927,20832,19737,19737,19011,17916,16120.5,14610,13515,12420
312,"1130312","Vila Nova de Famalicão",4557,5340,5808,5692.5,5808,5751,6141,6063,6219,6786,6612,5967,5967,6045,5223,5223,7179,8019,8742,11109,10446,10113,9603,9096,9096,8763,8253,7438.5,6747,6240,5730
314,"1130314","Vizela",0,0,0,0,0,0,429,429,429,939,918,822,822,840,723,723,510,567,606,312,294,294,273,255,255,255,234,211.5,195,177,156
107,"1140107","Espinho",333,390,429,420,429,429,429,429,429,450,429,390,390,390,351,351,351,390,411,411,390,372,351,333,333,312,312,267,255,234,216
1304,"1141304","Gondomar",3873,4557,4950,4851,4950,4890,3951,3912,4011,3012,2934,2640,2640,2679,2307,2307,1956,2172,2367,1839,1722,1662,1584,1506,1506,1446,1368,1225.5,1116,1038,939
1306,"1141306","Maia",1566,1839,1995,1954.5,1995,1977,1722,1701,1740,1467,1428,1290,1290,1311,1134,1134,1155,1290,1407,1407,1311,1272,1212,1155,1155,1116,1038,937.5,861,783,723
1308,"1141308","Matosinhos",1290,1506,1644,1611,1644,1623,1527,1506,1545,1446,1407,1272,1272,1290,1116,1116,1290,1446,1566,1761,1662,1605,1527,1446,1446,1389,1311,1188,1077,999,900
1312,"1141312","Porto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,216,234,468,450,429,411,390,390,372,351,327,294,273,234
1313,"1141313","Póvoa de Varzim",1155,1350,1467,1437,1467,1446,1779,1761,1800,2229,2172,1956,1956,1977,1722,1722,6552,7314,7962,14160,13302,12870,12225,11580,11580,11148,10503,9448.5,8586,7941,7296
1315,"1141315","Valongo",1683,1977,2151,2107.5,2151,2133,2073,2055,2112,2094,2034,1839,1839,1857,1605,1605,1605,1779,1935,1878,1761,1701,1623,1545,1545,1488,1389,1264.5,1134,1056,978
1316,"1141316","Vila do Conde",2424,2835,3090,3028.5,3090,3051,3501,3462,3540,4107,4011,3618,3618,3678,3168,3168,3774,4224,4596,5301,4968,4812,4578,4341,4341,4185,3933,3546,3207,2973,2739
1317,"1141317","Vila Nova de Gaia",3501,4107,4461,4372.5,4461,4401,2874,2835,2895,1173,1155,1038,1038,1056,900,900,1389,1545,1683,2289,2151,2073,1977,1878,1878,1800,1701,1534.5,1389,1290,1173
1301,"1151301","Amarante",52500,61635,66954,65614.5,66954,66192,57234,56568,57918,48606,47454,42759,42759,43344,37476,37476,34935,39003,42504,38121,35814,34659,32919,31179,31179,30024,28302,25474.5,23100,21360,19638
1302,"1151302","Baião",30867,36246,39375,38587.5,39375,38925,33663,33273,34074,28596,27912,25155,25155,25506,22044,22044,19248,21495,23433,19188,18015,17448,16566,15687,15687,15120,14241,12825,11619,10758,9879
304,"1150304","Cabeceiras de Basto",77556,91053,98916,96937.5,98916,97779,88686,87630,89742,80802,78846,71061,71061,72039,62298,62298,58914,65781,71688,65526,61554,59559,56586,53613,53613,51618,48645,43782,39708,36735,33762
106,"1150106","Castelo de Paiva",11031,12948,14064,13782,14064,13908,11874,11736,12009,9897,9663,8703,8703,8823,7629,7629,8079,9018,9840,10191,9585,9270,8802,8334,8334,8019,7569,6805.5,6180,5712,5241
305,"1150305","Celorico de Basto",24999,29340,31884,31246.5,31884,31512,35385,34974,35814,40881,39882,35952,35952,36441,31512,31512,27267,30435,33174,26778,25155,24333,23121,21906,21906,21087,19872,17884.5,16236,15003,13791
1804,"1151804","Cinfães",62241,73077,79395,77806.5,79395,78495,74445,73566,75345,71982,70260,63315,63315,64176,55512,55512,49389,55140,60087,50583,47511,45987,43677,41388,41388,39843,37554,33795,30651,28362,26055
1303,"1151303","Felgueiras",4440,5223,5673,5559,5673,5613,9564,9468,9681,14415,14064,12675,12675,12852,11109,11109,8469,9468,10308,6591,6180,5985,5691,5400,5400,5202,4890,4410,3990,3696,3402
1305,"1151305","Lousada",1977,2328,2523,2472,2523,2505,3600,3561,3639,4968,4830,4362,4362,4422,3834,3834,3618,4050,4401,4029,3795,3657,3483,3306,3306,3168,2994,2683.5,2445,2268,2073
1307,"1151307","Marco de Canaveses",21126,24783,26934,26395.5,26934,26622,23982,23706,24273,21633,21126,19032,19032,19287,16686,16686,13341,14904,16236,11442,10737,10407,9879,9351,9351,9018,8490,7647,6924,6417,5889
1705,"1151705","Mondim de Basto",111453,130836,142143,139300.5,142143,140520,124401,122916,125889,109476,106836,96294,96294,97605,84420,84420,84264,94104,102534,99933,93867,90837,86298,81762,81762,78729,74190,66765,60558,56019,51483
1309,"1151309","Paços de Ferreira",666,783,840,823.5,840,822,2661,2622,2700,4851,4734,4263,4263,4323,3735,3735,3756,4185,4578,4479,4206,4068,3873,3678,3678,3540,3324,2989.5,2718,2505,2307
