"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",24.3,15,24,18,27,23.7,28.5,17.7,21.3,21,21,21,20.7,16.5,12.3,16.5,15.3,15,17.1,27.6,18.6,18.3,18.3,18.3,20.7,20.4,20.4,20.4,20.4,20.4,22.5
1602,"1111602","Caminha",53.1,33,52.5,39,59.1,51.9,39,24.9,29.4,1.8,1.8,1.8,2.1,2.1,0.9,2.1,3,3,3.3,9.3,6,5.7,5.7,5.7,6.6,6.6,6.6,6.6,6.6,6.6,7.2
1603,"1111603","Melgaço",50.1,30.6,49.5,37.5,55.5,48.9,48.9,30.3,36.6,24.6,24.6,24.6,23.7,18.3,14.1,18.3,15.3,15,17.1,23.1,15,14.7,14.7,14.7,16.5,16.5,16.5,16.5,16.5,16.5,18
1604,"1111604","Monção",32.4,20.4,32.1,24,36,31.8,23.1,14.4,17.7,0,0,0,0,0,0,0,3.9,3.9,4.5,15.9,10.5,10.2,10.2,10.2,11.7,11.4,11.4,11.4,11.4,11.4,12.6
1605,"1111605","Paredes de Coura",18.9,12,18.6,14.4,21,18.6,16.8,10.8,12.3,6.3,6.3,6.3,6.3,5.1,3.9,5.1,6.3,6,6.9,13.8,9.3,9,9,9,10.2,10.2,10.2,10.2,10.2,10.2,11.1
1606,"1111606","Ponte da Barca",40.2,24.6,39.6,30,45,39.3,34.8,21.3,25.8,10.5,10.5,10.5,10.2,8.1,6.3,8.1,7.2,7.2,8.1,10.5,6.9,6.9,6.9,6.9,7.8,7.8,7.8,7.8,7.8,7.8,8.4
1607,"1111607","Ponte de Lima",456,282,451.2,338.1,507.6,446.7,476.4,297.3,357,282,282,282,274.5,217.5,162.9,217.5,160.8,159,181.8,177,118.5,117.3,117.3,117.3,131.7,130.5,130.5,130.5,130.5,130.5,143.4
1608,"1111608","Valença",6.9,4.5,6.9,5.4,7.5,6.6,33.9,21.3,25.8,56.4,56.4,56.4,54.3,42.6,32.4,42.6,49.8,49.5,56.4,106.8,71.4,70.5,70.5,70.5,79.5,78.6,78.6,78.6,78.6,78.6,86.4
1609,"1111609","Viana do Castelo",142.5,88.5,141,105.6,159,139.5,126.3,79.2,95.4,45.9,45.9,45.9,44.1,34.5,26.4,34.5,24.3,24,27.6,24,15.9,15.9,15.9,15.9,17.7,17.7,17.7,17.7,17.7,17.7,19.5
1610,"1111610","Vila Nova de Cerveira",9.9,6,9.6,7.5,11.1,9.6,8.1,5.4,6.3,1.8,1.8,1.8,2.1,2.1,0.9,2.1,3,3,3.3,6.9,4.5,4.5,4.5,4.5,5.1,5.1,5.1,5.1,5.1,5.1,5.4
301,"1120301","Amares",112.8,69.6,111.6,85.8,128.7,114,254.4,158.7,191.1,331.5,331.5,331.5,322.5,258,193.8,258,212.7,210.3,240.6,321,214.2,211.8,211.8,211.8,238.2,235.8,235.8,235.8,235.8,235.8,259.2
302,"1120302","Barcelos",126.6,78,125.4,93.9,141,123.9,134.1,81.9,98.1,78,78,78,75.9,61.2,45.9,61.2,38.7,38.7,44.1,24.6,15.9,15.9,15.9,15.9,17.7,17.7,17.7,17.7,17.7,17.7,19.8
303,"1120303","Braga",132.6,81.6,131.1,98.1,147.6,129.9,154.2,96.6,115.8,108.3,108.3,108.3,105,83.7,63.3,83.7,53.7,53.7,57.6,32.4,21.9,21.6,23.4,23.4,26.1,26.1,26.1,26.1,26.1,24,26.4
306,"1120306","Esposende",66.6,41.1,66,49.5,74.1,65.4,65.7,41.1,49.8,36.6,36.6,36.6,35.4,27.9,21.3,27.9,18.3,18.3,21,11.1,7.5,7.5,7.5,7.5,8.4,8.4,8.4,8.4,8.4,8.4,9.3
310,"1120310","Terras de Bouro",82.5,51,81.6,61.5,92.1,81,94.5,58.8,71.1,67.8,67.8,67.8,65.7,51.9,38.7,51.9,33.6,33.3,37.8,24,15.9,15.9,15.9,15.9,17.7,17.7,17.7,17.7,17.7,17.7,19.5
313,"1120313","Vila Verde",341.7,211.5,338.1,253.5,380.1,334.8,482.7,301.8,362.4,454.8,454.8,454.8,442.2,349.8,262.5,349.8,251.4,248.7,284.4,252,168,166.2,166.2,166.2,187.2,185.1,185.1,185.1,185.1,185.1,203.4
307,"1130307","Fafe",52.2,32.1,51.6,39,58.5,51.3,57.9,36.6,43.5,38.7,38.7,38.7,38.1,30.6,22.2,30.6,28.5,28.2,32.4,50.4,33.3,33,33,33,37.2,36.9,36.9,36.9,36.9,36.9,40.5
308,"1130308","Guimarães",193.8,120,192,144,216,195.9,221.1,138.6,166.2,149.7,149.7,149.7,145.8,116.7,87.9,116.7,74.1,73.5,84,58.8,39,38.7,38.7,38.7,43.5,42.9,42.9,42.9,42.9,42.9,47.1
309,"1130309","Póvoa de Lanhoso",185.7,114.6,183.6,138,207,181.8,150.6,93.6,112.2,30.9,30.9,30.9,29.7,23.4,17.4,23.4,34.5,34.2,39,86.1,57.6,57,57,57,63.9,63.3,63.3,63.3,63.3,63.3,69.6
1314,"1131314","Santo Tirso",177.3,109.5,175.5,132,197.1,173.7,170.7,103.5,123.9,75.3,72.3,75.3,72.9,57.9,43.8,57.9,43.8,43.2,49.5,57.6,37.8,37.5,37.5,37.5,42.3,41.7,41.7,41.7,41.7,41.7,45.9
1318,"1131318","Trofa",0,0,0,0,0,0,25.8,15.6,19.2,49.5,49.5,49.5,48,38.7,29.1,38.7,21.3,21.3,24.6,2.4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.5
311,"1130311","Vieira do Minho",108.3,66.6,107.1,80.4,120.6,106.2,98.1,60.6,72.9,36.9,36.9,36.9,36,28.5,21.3,28.5,21.3,21,24,25.2,17.1,17.1,17.1,17.1,19.2,18.9,18.9,18.9,18.9,18.9,20.7
312,"1130312","Vila Nova de Famalicão",86.4,53.1,85.5,64.5,96,84.6,105.6,66,78.9,80.7,80.7,80.7,78,62.1,47.1,62.1,184.2,184.2,210.6,603.3,402.6,402.6,402.6,402.6,453,453,453,453,453,453,503.4
314,"1130314","Vizela",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.5
107,"1140107","Espinho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1304,"1141304","Gondomar",57.6,36,57,42.9,66,58.2,52.5,33,39.3,18.3,18.3,18.3,18.3,15,10.8,14.1,8.1,8.1,9.3,3.3,2.4,2.1,2.1,2.1,2.4,2.4,2.4,2.4,2.4,2.4,2.7
1306,"1141306","Maia",53.1,33,52.5,39,59.1,51.9,42.3,25.8,31.2,5.7,5.7,5.7,5.4,4.2,3,4.2,3,3,3.6,2.4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.5
1308,"1141308","Matosinhos",17.4,10.5,17.1,12.9,19.5,17.1,20.4,13.2,16.2,16.5,16.5,16.5,15.9,12.9,9.6,12.9,10.8,10.8,11.4,13.8,9.3,9,9,9.9,10.2,10.2,10.2,10.2,10.2,10.2,11.1
1312,"1141312","Porto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1313,"1141313","Póvoa de Varzim",270.3,167.1,267.6,201,301.2,264.9,444.3,277.2,333.3,472.8,472.8,472.8,459.6,367.2,275.4,367.2,263.7,263.7,301.2,265.8,177.6,177.6,177.6,177.6,199.8,199.8,199.8,199.8,199.8,199.8,222
1315,"1141315","Valongo",77.1,48,76.5,57,86.1,78,60.6,37.5,45,5.7,5.7,5.7,5.4,4.2,3,4.2,2.1,2.1,2.4,0,0,0,0,0,0,0,0,0,0,0,0
1316,"1141316","Vila do Conde",149.4,92.1,147.6,111,166.5,146.1,189.3,118.5,138,152.4,152.4,152.4,147.9,117.9,88.8,117.9,64.2,64.2,73.5,3.6,2.4,2.4,2.4,2.4,2.7,2.7,2.7,2.7,2.7,2.7,3
1317,"1141317","Vila Nova de Gaia",118.2,73.5,117,87.9,132,115.8,108.6,67.8,81.9,45.9,45.9,45.9,44.1,34.5,26.4,34.5,28.5,28.2,32.4,39,26.4,26.1,26.1,26.1,29.4,29.1,29.1,29.1,29.1,29.1,32.1
1301,"1151301","Amarante",266.7,165,264,198,297,269.4,445.2,277.8,333.9,486.3,486.3,486.3,473.1,374.4,280.8,374.4,208.8,206.4,236.1,32.4,21.9,21.6,21.6,21.6,24.3,24,24,24,24,24,26.4
1302,"1151302","Baião",66.6,41.1,66,49.5,74.1,65.4,56.1,35.7,42.9,15.9,15.9,15.9,15.3,12.3,9.3,12.3,8.1,8.1,9.3,6.9,4.5,4.5,4.5,4.5,5.1,5.1,5.1,5.1,5.1,5.1,5.4
304,"1150304","Cabeceiras de Basto",228.6,141.6,226.5,169.5,255,224.1,233.4,145.2,174.6,130.5,130.5,130.5,126.3,99.6,75.3,99.6,74.1,73.5,84,80.4,54,53.7,53.7,53.7,60.3,59.7,59.7,59.7,59.7,59.7,65.4
106,"1150106","Castelo de Paiva",78.6,48.9,78.6,59.1,88.8,78.6,74.4,45.9,55.2,31.2,31.2,31.2,30,23.4,18.3,23.4,15,15,15.9,9.3,6,5.7,5.7,5.7,6.6,6.6,6.6,6.6,6.6,6.6,7.2
305,"1150305","Celorico de Basto",169.8,106.5,169.8,127.2,191.4,169.8,285.6,177.9,213.9,299.7,299.7,299.7,291,230.1,173.1,230.1,134.4,132.9,151.8,41.4,27.6,27.3,27.3,27.3,30.6,30.3,30.3,30.3,30.3,30.3,33.3
1804,"1151804","Cinfães",66.6,41.1,66,49.5,74.1,65.4,55.2,34.8,42,14.1,14.1,14.1,13.2,10.2,8.1,10.2,8.1,8.1,9.3,9.3,6,5.7,5.7,5.7,6.6,6.6,6.6,6.6,6.6,6.6,7.2
1303,"1151303","Felgueiras",231.6,144.6,231.6,173.7,261,231.6,337.8,211.2,253.5,324.9,324.9,324.9,315.9,252.9,189.6,252.9,236.7,236.7,270.6,405,270.6,270.6,270.6,270.6,304.2,304.2,304.2,304.2,304.2,304.2,338.1
1305,"1151305","Lousada",135.6,84,134.1,100.5,150.6,132.9,143.4,87.3,104.1,82.5,82.5,82.5,80.1,64.2,48,64.2,39.6,39.6,45.3,19.8,13.5,13.5,13.5,13.5,15,15,15,15,15,15,16.8
1307,"1151307","Marco de Canaveses",121.2,75,120,90,137.7,122.4,102.3,64.2,76.5,28.2,28.2,28.2,27.9,22.2,16.5,22.2,14.1,14.1,15.9,9.3,6,5.7,5.7,5.7,6.6,6.6,6.6,6.6,6.6,6.6,7.2
1705,"1151705","Mondim de Basto",66.6,41.1,66,49.5,74.1,65.4,88.2,55.2,65.7,77.7,77.7,77.7,75,59.1,44.7,59.1,33.6,33.3,37.8,9.3,6,5.7,5.7,5.7,6.6,6.6,6.6,6.6,6.6,6.6,7.2
1309,"1151309","Paços de Ferreira",105.9,66,105,78.9,118.5,103.8,86.4,53.4,64.2,17.7,17.7,17.7,17.4,14.1,10.2,14.1,9.3,9,10.5,9.3,6,5.7,5.7,5.7,6.6,6.6,6.6,6.6,6.6,6.6,7.2
1310,"1151310","Paredes",249.3,154.5,246.6,185.1,283.2,251.7,238.8,148.8,178.8,102.9,98.7,98.7,99.6,79.2,60,75.3,49.5,46.5,53.1,27,18.3,18.3,18.3,18.3,20.4,20.4,20.4,20.4,20.4,20.4,22.8
1311,"1151311","Penafiel",378,234,374.1,280.2,420.6,381.6,360.6,225,269.7,153.3,153.3,153.3,148.8,118.8,88.8,118.8,67.2,66.6,75.9,24,15.9,15.9,15.9,15.9,17.7,17.7,17.7,17.7,17.7,17.7,19.5
1813,"1151813","Resende",90.9,56.1,90,67.5,101.1,89.1,98.7,62.4,74.7,64.2,64.2,64.2,62.7,49.8,37.8,49.8,27.6,27.3,31.2,2.4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.5
1709,"1151709","Ribeira de Pena",64.2,39.6,63.6,48,72,63,62.4,39,47.1,30.9,30.9,30.9,29.7,23.4,17.4,23.4,15.3,15,17.1,10.5,6.9,6.9,6.9,6.9,7.8,7.8,7.8,7.8,7.8,7.8,8.4
