"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",11.7,11.7,17.7,6,11.7,17.7,19.8,6.9,13.2,11.1,5.7,5.7,6.6,6.6,6.6,6.3,6.3,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0
1602,"1111602","Caminha",7.8,7.8,11.1,3.6,7.8,11.1,10.5,3.6,6.9,1.5,0.6,0.6,0.9,0.9,0.9,0.9,0.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0
1603,"1111603","Melgaço",13.5,13.5,20.7,7.2,13.5,20.7,21.3,6.9,14.1,6.9,3.6,3.6,4.2,4.2,4.2,3.9,3.9,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,"1111604","Monção",24,24,36,11.7,24,36,34.5,11.1,22.5,5.7,2.7,2.7,3.3,3.3,3.3,3.3,3.3,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,"1111605","Paredes de Coura",8.7,8.7,12.9,4.2,8.7,12.9,14.1,4.2,9,5.7,2.7,2.7,3.3,3.3,3.3,3.3,3.3,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,"1111606","Ponte da Barca",7.8,7.8,11.7,4.2,7.8,11.7,12,4.2,8.4,4.2,2.1,2.1,2.4,2.4,2.4,2.4,2.4,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0
1607,"1111607","Ponte de Lima",42.3,42.3,63.6,21.3,42.3,63.6,69.3,22.5,45.3,30.6,15.3,15.3,18,18,18,17.7,17.7,17.7,0,0,0,0,0,0,0,0,0,0,0,0,0
1608,"1111608","Valença",4.2,4.2,6.6,2.4,4.2,6.6,12,4.2,8.4,16.8,8.4,8.4,9.9,9.9,9.9,9.6,9.6,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0
1609,"1111609","Viana do Castelo",31.8,31.8,47.7,15.9,31.8,47.7,48.6,16.2,32.1,15.3,7.8,7.8,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
1610,"1111610","Vila Nova de Cerveira",4.8,4.8,7.2,2.4,4.8,7.2,7.2,2.7,4.8,2.7,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
301,"1120301","Amares",7.8,7.8,11.1,3.6,7.8,11.1,39.6,13.2,26.4,78.3,39,39,45.6,45.6,45.6,45.3,45.3,45.3,0,0,0,0,0,0,0,0,0,0,0,0,0
302,"1120302","Barcelos",32.4,32.4,48.9,16.5,32.4,48.9,58.5,19.5,39,39,19.5,19.5,22.8,22.8,22.8,22.5,22.5,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0
303,"1120303","Braga",19.5,19.5,28.8,9.3,19.5,28.8,33.9,11.1,22.5,21,10.5,10.5,12.3,12.3,12.3,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
306,"1120306","Esposende",11.7,11.7,17.7,6,11.7,17.7,19.8,6.9,13.2,11.1,5.7,5.7,6.6,6.6,6.6,6.3,6.3,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0
310,"1120310","Terras de Bouro",8.7,8.7,12.9,4.2,8.7,12.9,14.1,4.8,9.9,6.9,3.6,3.6,4.2,4.2,4.2,3.9,3.9,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0
313,"1120313","Vila Verde",28.8,28.8,42.9,14.1,28.8,42.9,50.1,16.8,32.7,29.4,14.7,14.7,17.1,17.1,17.1,16.8,16.8,16.8,0,0,0,0,0,0,0,0,0,0,0,0,0
307,"1130307","Fafe",18.3,18.3,27.6,9.3,18.3,27.6,30.9,10.5,21,16.8,8.4,8.4,9.9,9.9,9.9,9.6,9.6,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0
308,"1130308","Guimarães",53.4,53.4,80.1,26.4,53.4,80.1,90.3,29.4,59.4,47.4,23.7,23.7,27.6,27.6,27.6,27.3,27.3,27.3,0,0,0,0,0,0,0,0,0,0,0,0,0
309,"1130309","Póvoa de Lanhoso",9.3,9.3,14.1,4.8,9.3,14.1,16.2,5.7,11.1,9.9,4.8,4.8,5.7,5.7,5.7,5.7,5.7,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0
1314,"1131314","Santo Tirso",48.3,48.3,72.3,24,48.3,72.3,72,23.7,47.4,18.3,9,9,10.5,10.5,10.5,10.5,10.5,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1318,"1131318","Trofa",0,0,0,0,0,0,7.2,2.7,4.8,19.5,9.9,9.9,11.4,11.4,11.4,11.4,11.4,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0
311,"1130311","Vieira do Minho",11.1,11.1,16.5,5.4,11.1,16.5,20.4,6.9,14.1,15.3,7.8,7.8,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
312,"1130312","Vila Nova de Famalicão",22.8,22.8,34.8,11.7,22.8,34.8,40.2,13.2,26.4,23.7,12,12,13.8,13.8,13.8,13.8,13.8,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0
314,"1130314","Vizela",0,0,0,0,0,0,0.6,0,0,1.5,0.6,0.6,0.9,0.9,0.9,0.9,0.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0
107,"1140107","Espinho",0.6,0.6,1.2,0.6,0.6,1.2,1.5,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1304,"1141304","Gondomar",11.1,11.1,16.5,5.4,11.1,16.5,16.8,5.7,11.1,5.7,2.7,2.7,3.3,3.3,3.3,3.3,3.3,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0
1306,"1141306","Maia",6.6,6.6,9.9,3.6,6.6,9.9,11.4,3.6,6.9,5.7,2.7,2.7,3.3,3.3,3.3,3.3,3.3,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0
1308,"1141308","Matosinhos",2.4,2.4,3.6,1.2,2.4,3.6,4.8,1.5,2.7,4.2,2.1,2.1,2.4,2.4,2.4,2.4,2.4,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0
1312,"1141312","Porto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1313,"1141313","Póvoa de Varzim",80.1,80.1,120,39.9,80.1,120,175.8,57.9,115.8,179.4,89.4,89.4,104.4,104.4,104.4,103.2,103.2,103.2,0,0,0,0,0,0,0,0,0,0,0,0,0
1315,"1141315","Valongo",25.2,25.2,37.5,12.3,25.2,37.5,35.4,11.1,23.1,2.7,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1316,"1141316","Vila do Conde",24.6,24.6,37.2,12.3,24.6,37.2,40.2,13.2,26.4,18.3,9,9,10.5,10.5,10.5,10.5,10.5,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1317,"1141317","Vila Nova de Gaia",17.7,17.7,26.4,8.7,17.7,26.4,26.7,9,18.3,8.4,4.2,4.2,4.8,4.8,4.8,4.8,4.8,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0
1301,"1151301","Amarante",35.4,35.4,52.8,17.7,35.4,52.8,107.1,35.7,71.1,158.4,78.9,78.9,92.1,92.1,92.1,91.2,91.2,91.2,0,0,0,0,0,0,0,0,0,0,0,0,0
1302,"1151302","Baião",31.8,31.8,47.7,15.9,31.8,47.7,48.6,16.2,32.1,15.3,7.8,7.8,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
304,"1150304","Cabeceiras de Basto",14.7,14.7,22.5,7.8,14.7,22.5,24.6,8.4,16.8,12.6,6.3,6.3,7.2,7.2,7.2,7.2,7.2,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0
106,"1150106","Castelo de Paiva",19.5,19.5,28.8,9.3,19.5,28.8,30.9,9.9,20.4,12.6,6.3,6.3,7.2,7.2,7.2,7.2,7.2,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0
305,"1150305","Celorico de Basto",31.8,31.8,47.7,15.9,31.8,47.7,74.1,24.3,48.9,82.5,41.1,41.1,48,48,48,47.7,47.7,47.7,0,0,0,0,0,0,0,0,0,0,0,0,0
1804,"1151804","Cinfães",37.5,37.5,56.4,18.9,37.5,56.4,60.6,19.5,39.9,25.2,12.6,12.6,14.7,14.7,14.7,14.4,14.4,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0
1303,"1151303","Felgueiras",75.9,75.9,114,38.1,75.9,114,138.9,46.2,91.5,95.1,47.4,47.4,55.5,55.5,55.5,54.9,54.9,54.9,0,0,0,0,0,0,0,0,0,0,0,0,0
1305,"1151305","Lousada",18.3,18.3,27.6,9.3,18.3,27.6,31.8,10.5,21,18.3,9,9,10.5,10.5,10.5,10.5,10.5,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1307,"1151307","Marco de Canaveses",26.4,26.4,39.9,13.5,26.4,39.9,43.8,14.1,28.5,19.5,9.9,9.9,11.4,11.4,11.4,11.4,11.4,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0
1705,"1151705","Mondim de Basto",15.9,15.9,24,8.1,15.9,24,28.2,9.9,18.9,18.3,9,9,10.5,10.5,10.5,10.5,10.5,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1309,"1151309","Paços de Ferreira",9.3,9.3,14.1,4.8,9.3,14.1,15.6,4.8,9.9,6.9,3.6,3.6,4.2,4.2,4.2,3.9,3.9,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0
1310,"1151310","Paredes",27.6,27.6,41.1,13.5,27.6,41.1,42.9,14.1,27.9,15.3,7.8,7.8,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
1311,"1151311","Penafiel",36.6,36.6,54.6,18.3,36.6,54.6,56.4,18.9,37.8,19.5,9.9,9.9,11.4,11.4,11.4,11.4,11.4,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0
1813,"1151813","Resende",21.6,21.6,33,11.1,21.6,33,37.5,12.6,25.2,21,10.5,10.5,12.3,12.3,12.3,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1709,"1151709","Ribeira de Pena",8.7,8.7,13.5,4.8,8.7,13.5,15.6,5.7,10.5,9.9,4.8,4.8,5.7,5.7,5.7,5.7,5.7,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0
104,"1160104","Arouca",37.2,37.2,55.8,18.9,37.2,55.8,60.6,20.4,40.5,27.9,14.1,14.1,16.2,16.2,16.2,16.2,16.2,16.2,0,0,0,0,0,0,0,0,0,0,0,0,0
113,"1160113","Oliveira de Azeméis",36,36,54,18.3,36,54,66.9,22.5,44.1,47.4,23.7,23.7,27.6,27.6,27.6,27.3,27.3,27.3,0,0,0,0,0,0,0,0,0,0,0,0,0
109,"1160109","Santa Maria da Feira",51.6,51.6,77.7,25.8,51.6,77.7,110.1,36.3,72.6,106.2,53.1,53.1,61.8,61.8,61.8,61.2,61.2,61.2,0,0,0,0,0,0,0,0,0,0,0,0,0
116,"1160116","São João da Madeira",0.6,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,"1160119","Vale de Cambra",41.1,41.1,61.8,20.7,41.1,61.8,62.7,21,41.1,18.3,9,9,10.5,10.5,10.5,10.5,10.5,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1701,"1171701","Alijó",11.1,11.1,16.5,5.4,11.1,16.5,16.2,5.7,11.1,4.2,2.1,2.1,2.4,2.4,2.4,2.4,2.4,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0
1801,"1171801","Armamar",0,0,6.6,0,0,0,0,5.7,0,0,0,0,4.8,4.8,4.8,4.8,4.8,4.8,5.4,0,0,0,0,0,0,0,0,0,0,0,0
403,"1170403","Carrazeda de Ansiães",0,0,5.4,0,0,0,0,5.7,0,0,0,0,6.6,6.6,6.6,6.3,6.3,6.3,7.5,0,0,0,0,0,0,0,0,0,0,0,0
404,"1170404","Freixo de Espada à Cinta",0,0,4.8,0,0,0,0,3.6,0,0,0,0,1.5,1.5,1.5,1.5,1.5,1.5,1.8,0,0,0,0,0,0,0,0,0,0,0,0
1805,"1171805","Lamego",0,0,26.4,0,0,0,0,27.9,0,0,0,0,29.4,29.4,29.4,29.1,29.1,29.1,33.3,0,0,0,0,0,0,0,0,0,0,0,0
1704,"1171704","Mesão Frio",0,0,1.8,0,0,0,0,1.5,0,0,0,0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0
