"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",81338.4,526680,378180,452430,419760,443520,628650,523710,562320,812790,792000,751410,629640,568260,548460,609840,731610,683100,463320,573210,573210,541530,541530,573210,573210,541530,509850,541530,604890,536115.6,509850
1602,"1111602","Caminha",11325.6,73260,52470,62370,58410,61380,131670,109890,118800,205920,200970,190080,159388.2,143550,138600,154440,116820,108900,73260,28710,28711.8,26730,26730,28710,28710,26730,24750,26730,29700,26463.6,24750
1603,"1111603","Melgaço",21364.2,138600,99990,119790,110880,117810,97020,81180,87120,73260,71280,67320,56430,51480,49500,54450,53460,50490,33660,31680,31680,29700,29700,31680,31680,29700,27720,29700,33660,29403,27720
1604,"1111604","Monção",54568.8,352440,253440,302940,281160,297000,190080,158400,170280,66330,64348.2,61380,51480,46530,44550,49500,95040,89100,60390,106920,106920,100980,100980,106920,106920,100980,95040,100980,112860,99970.2,95040
1605,"1111605","Paredes de Coura",17760.6,114840,82170,98010,91080,96031.8,133650,111870,119790,171270,167310,158400,132660,119791.8,115830,128700,187110,174240,118800,176220,176220,166320,166320,176220,176220,166320,156420,166320,186120,164656.8,156420
1606,"1111606","Ponte da Barca",29601,191070,137610,164340,152460,161370,179190,149491.8,160380,193050,188100,178200,149490,134640,130680,144540,165330,154440,104940,121770,121770,114840,114840,121770,121770,114840,107910,114840,128700,113691.6,107910
1607,"1111607","Ponte de Lima",96010.2,622710,447480,534600,495990,525690,714780,595980,640530,902880,881100,835560,699930,632611.8,609840,677160,601920,562320,381150,279180,279180,263340,263340,279180,279180,263340,247500,263340,294030,260706.6,247500
1608,"1111608","Valença",10810.8,70290,50490,60390,55440,59400,115830,96028.2,102960,174240,169290,160380,134640,121770,116820,130680,116820,108900,74250,55440,55440,52471.8,52470,55440,55440,52470,49500,52470,58411.8,51946.2,49500
1609,"1111609","Viana do Castelo",216730.8,1403820,1008810,1205820,1118700,1184040,1338480,1115730,1198890,1469160,1432530,1359270,1138500,1028610,991980,1101871.8,1052370,982080,666268.2,577170,577168.2,545490,545490,577170,577170,545490,512820,545490,609840,540034.2,512820
1610,"1111610","Vila Nova de Cerveira",25225.2,162360,116820,139590,129690,136620,118800,99000,106920,96030,93060,89100,74250,67320,64350,72271.8,57420,53460,35640,17820,17820,16831.8,16830,17820,17820,16830,15840,16830,18810,16662.6,15840
