"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",8617166.7,14578628,15297436.8,15407038.8,14747317.2,14585050.9,14051948.5,13984963.9,15402044.9,15655589.6,15061710.1,15172474.5,14317429,14654198.5,14012869,13884704.2,13968601.3,13329904.5,12884860.2,13168695.8,12619176,12642065.6,13011293,12887781.6,12641715.2,12347760.3,12012999.2,11440968.2,10940331.5,10433735.2,10238923.9
1602,"1111602","Caminha",527506.8,3961435.8,3972760.8,4037358.9,4026498.8,3994242.8,3522432,3563680.9,3661803.3,3064693.9,3029205.8,3236621.6,3385454.2,3294009.5,3224409.1,3258515.5,2670609.5,2654831.6,2440627.3,1792032,1754680.6,1820605.6,1889923,1850937.4,1745116.8,1682855.6,1603358.9,1436721.6,1246424.2,1077131,1040504.4
1603,"1111603","Melgaço",3829772.7,6090761.7,6405140.1,6448173.6,6254555.3,6173777.1,5189116.6,5217542.7,5595046.1,4711424.6,4535229.4,4640161.8,4495015.5,4618656,4373312.9,4356164,3838139.5,3820250.9,3753412.1,3188725.5,3033886.7,3019181.5,3061363.9,3008391.3,2874597.5,2813684,2713880,2492588.9,2235088.2,2056541.1,1974580.1
1604,"1111604","Monção",4542695.1,9880938.7,10032560.5,10202145.1,10321969,10114458.4,8848828.8,9029624.2,9375979.2,8317824.8,7955934.5,8220666.1,8061028.6,8227143.5,7856661.6,7765623.1,6958822.5,6982926.7,6859437.2,6011531.1,5686653.7,5627470.9,5664049.6,5655982.7,5338121,5209500.4,5027970.4,4622691.6,4103439.1,3766785.3,3602745.2
1605,"1111605","Paredes de Coura",1205999.7,6136528.6,6230565.4,6342344.3,6361862.4,6297905.7,5873251.9,5951116.9,6167198.6,5605027.3,5461601.6,5527790.5,5405826.5,5356083.7,5200675.7,5171631.6,5893950.5,5946765.5,5689746.7,6254886.2,6058270.1,6056123.5,6116190.3,6144140,5880494.8,5745147.9,5556524.8,5253153.3,4828676.4,4472758,4351418
1606,"1111606","Ponte da Barca",3511180.8,4817731.7,5133789.9,5157773.1,4844363.1,4805572,4495573.8,4419915.6,4952223.7,4720621.7,4525401.8,4825193.8,4873960.1,5037700.1,4847554,4842723.3,4765158.8,4471179.9,4298318.5,4180895.6,4077201.1,4190087.1,4382941.5,4278911,4154476.2,4016833.2,3878567.2,3602404.9,3300218.6,3017294,2977416.6
1607,"1111607","Ponte de Lima",3574253.1,18862034.1,19054625.7,19388220.5,19207864.3,19134418.4,16972758.5,17051818.7,17901157.1,15534004,15223060.8,15418091.1,15175494.6,14778487.4,14515220,14460074.2,14052535.4,14035351.7,13044264,12327306.5,12153979.3,12337013,12428047.1,12330535.2,11928739.9,11654219.4,11305329.1,10816938.6,10268833.5,9556715.5,9379159.1
1608,"1111608","Valença",1277965.8,4245415.9,4310585.4,4377065.8,4386394,4360568.7,3900453.4,3823658.9,3812695.1,3246366.4,3121709.4,3192824.6,3132089,3154368.8,3040157.5,3040903,2874787.2,2869321.5,2727784.1,2488545.5,2382893.8,2376620.9,2389896.3,2389296,2270649.9,2225869.2,2152780,2022884.2,1846946.9,1711137.9,1648654.7
1609,"1111609","Viana do Castelo",2111242.8,18285178,18011750.2,18384402.3,18120724.3,17992126.8,15556404.5,15602748.5,16101479.9,13899224.1,13531257,13538190.2,13011959.1,12399159.4,12078316,11931891,11007269.3,11024443.4,9917122.2,8489519.2,8318459.7,8577943.4,8770827.9,8735615.3,8517823.8,8358314.8,8152137.5,7939198.7,7749039.9,7288864.7,7133446.3
1610,"1111610","Vila Nova de Cerveira",405944.7,3511237.3,3495083.4,3581132.1,3604813.3,3579056.8,2944276.1,2991802.5,3072818.2,2353836.4,2315423.5,2310742.8,2274278.4,2213990.4,2150233.4,2160637,1901536.7,1968625,1842526.2,1568006.7,1534220.8,1536700.8,1509773.4,1492921,1440898.8,1423700.7,1389536.1,1332589.2,1267406.3,1184973.1,1153519.6
