"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",12513.6,21067.2,15127.2,18097.2,16790.4,17740.8,25146,20948.4,22492.8,32511.6,31680,30056.4,25185.6,22730.4,21938.4,24393.6,29264.4,27324,18532.8,22928.4,22928.4,21661.2,21661.2,22928.4,22928.4,21661.2,20394,21661.2,24195.6,21661.2,20394
1602,"1111602","Caminha",1742.4,2930.4,2098.8,2494.8,2336.4,2455.2,5266.8,4395.6,4752,8236.8,8038.8,7603.2,6375.6,5742,5544,6177.6,4672.8,4356,2930.4,1148.4,1148.4,1069.2,1069.2,1148.4,1148.4,1069.2,990,1069.2,1188,1069.2,990
1603,"1111603","Melgaço",3286.8,5544,3999.6,4791.6,4435.2,4712.4,3880.8,3247.2,3484.8,2930.4,2851.2,2692.8,2257.2,2059.2,1980,2178,2138.4,2019.6,1346.4,1267.2,1267.2,1188,1188,1267.2,1267.2,1188,1108.8,1188,1346.4,1188,1108.8
1604,"1111604","Monção",8395.2,14097.6,10137.6,12117.6,11246.4,11880,7603.2,6336,6811.2,2653.2,2574,2455.2,2059.2,1861.2,1782,1980,3801.6,3564,2415.6,4276.8,4276.8,4039.2,4039.2,4276.8,4276.8,4039.2,3801.6,4039.2,4514.4,4039.2,3801.6
1605,"1111605","Paredes de Coura",2732.4,4593.6,3286.8,3920.4,3643.2,3841.2,5346,4474.8,4791.6,6850.8,6692.4,6336,5306.4,4791.6,4633.2,5148,7484.4,6969.6,4752,7048.8,7048.8,6652.8,6652.8,7048.8,7048.8,6652.8,6256.8,6652.8,7444.8,6652.8,6256.8
1606,"1111606","Ponte da Barca",4554,7642.8,5504.4,6573.6,6098.4,6454.8,7167.6,5979.6,6415.2,7722,7524,7128,5979.6,5385.6,5227.2,5781.6,6613.2,6177.6,4197.6,4870.8,4870.8,4593.6,4593.6,4870.8,4870.8,4593.6,4316.4,4593.6,5148,4593.6,4316.4
1607,"1111607","Ponte de Lima",14770.8,24908.4,17899.2,21384,19839.6,21027.6,28591.2,23839.2,25621.2,36115.2,35244,33422.4,27997.2,25304.4,24393.6,27086.4,24076.8,22492.8,15246,11167.2,11167.2,10533.6,10533.6,11167.2,11167.2,10533.6,9900,10533.6,11761.2,10533.6,9900
1608,"1111608","Valença",1663.2,2811.6,2019.6,2415.6,2217.6,2376,4633.2,3841.2,4118.4,6969.6,6771.6,6415.2,5385.6,4870.8,4672.8,5227.2,4672.8,4356,2970,2217.6,2217.6,2098.8,2098.8,2217.6,2217.6,2098.8,1980,2098.8,2336.4,2098.8,1980
1609,"1111609","Viana do Castelo",33343.2,56152.8,40352.4,48232.8,44748,47361.6,53539.2,44629.2,47955.6,58766.4,57301.2,54370.8,45540,41144.4,39679.2,44074.8,42094.8,39283.2,26650.8,23086.8,23086.8,21819.6,21819.6,23086.8,23086.8,21819.6,20512.8,21819.6,24393.6,21819.6,20512.8
1610,"1111610","Vila Nova de Cerveira",3880.8,6494.4,4672.8,5583.6,5187.6,5464.8,4752,3960,4276.8,3841.2,3722.4,3564,2970,2692.8,2574,2890.8,2296.8,2138.4,1425.6,712.8,712.8,673.2,673.2,712.8,712.8,673.2,633.6,673.2,752.4,673.2,633.6
301,"1120301","Amares",7207.2,12117.6,8712,10414.8,9662.4,10216.8,5662.8,4712.4,5068.8,475.2,435.6,435.6,356.4,316.8,316.8,356.4,752.4,712.8,475.2,871.2,871.2,831.6,831.6,871.2,871.2,831.6,792,831.6,950.4,831.6,792
302,"1120302","Barcelos",129294,217720.8,156499.2,187110,173527.2,183704.4,225284.4,187743.6,201801.6,264409.2,257796,244569.6,204890.4,185090.4,178477.2,198277.2,208177.2,194277.6,131828.4,135709.2,135709.2,128145.6,128145.6,135709.2,135709.2,128145.6,120621.6,128145.6,143233.2,128145.6,120621.6
303,"1120303","Braga",28868.4,48589.2,34927.2,41738.4,38728.8,40986,52153.2,43441.2,46688.4,62845.2,61300.8,58132.8,48708,43995.6,42411.6,47124,41619.6,38847.6,26334,18889.2,18889.2,17859.6,17859.6,18889.2,18889.2,17859.6,16790.4,17859.6,19958.4,17859.6,16790.4
306,"1120306","Esposende",26334,44352,31878,38095.2,35323.2,37422,41184,34293.6,36907.2,44114.4,43005.6,40788,34174.8,30888,29779.2,33066,38610,36036,24472.8,29224.8,29224.8,27601.2,27601.2,29224.8,29224.8,27601.2,25977.6,27601.2,30848.4,27601.2,25977.6
310,"1120310","Terras de Bouro",5940,9979.2,7167.6,8553.6,7959.6,8395.2,4831.2,3999.6,4316.4,712.8,712.8,673.2,554.4,514.8,475.2,554.4,1306.8,1227.6,831.6,1623.6,1623.6,1544.4,1544.4,1623.6,1623.6,1544.4,1465.2,1544.4,1742.4,1544.4,1465.2
313,"1120313","Vila Verde",21780,36709.2,26373.6,31521.6,29224.8,30967.2,27046.8,22532.4,24235.2,21978,21423.6,20314.8,17028,15364.8,14810.4,16473.6,17582.4,16394.4,11127.6,11721.6,11721.6,11088,11088,11721.6,11721.6,11088,10454.4,11088,12394.8,11088,10454.4
307,"1130307","Fafe",37303.2,62845.2,45183.6,54014.4,50094,53024.4,30927.6,25779.6,27720,5702.4,5583.6,5306.4,4435.2,3999.6,3880.8,4276.8,5900.4,5504.4,3762,5306.4,5306.4,5029.2,5029.2,5306.4,5306.4,5029.2,4752,5029.2,5623.2,5029.2,4752
308,"1130308","Guimarães",33105.6,55756.8,40075.2,47916,44431.2,47044.8,39837.6,33184.8,35679.6,30769.2,29977.2,28472.4,23839.2,21542.4,20750.4,23086.8,19562.4,18255.6,12394.8,7920,7920,7484.4,7484.4,7920,7920,7484.4,7048.8,7484.4,8355.6,7484.4,7048.8
309,"1130309","Póvoa de Lanhoso",12790.8,21542.4,15483.6,18532.8,17186.4,18176.4,10137.6,8434.8,9068.4,950.4,950.4,910.8,752.4,673.2,633.6,712.8,2059.2,1940.4,1306.8,2732.4,2732.4,2574,2574,2732.4,2732.4,2574,2415.6,2574,2890.8,2574,2415.6
