"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",0,0,0,0,0,0,1700,4383.8,3303,3486.5,4231.5,4000,5473.5,5740.5,6974,7886.2,4922,6948,6786.5,5212.5,5316.8,5777,5373,5995,6636,7148.5,6431,6825,6938.8,6758,8192
1602,"1111602","Caminha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,420,416.5,750,765,821.5,769.5,852.5,952,1029.5,914.5,975,991.2,961,1168
1603,"1111603","Melgaço",0,0,0,0,0,0,858.5,2213.8,1674,1767,2135.2,2020,2767.5,2902.5,3531,3982.5,1851.5,2616,2548,1050,1071,1166,1080,1210,1330,1435.5,1298,1365,1387.8,1364,1648
1604,"1111604","Monção",0,0,0,0,0,0,2601,6685,5040,5320,6454.5,6110,8353.8,8761.2,10648,12037.5,4945,6972,6811,1575,1606.5,1735.8,1620,1801.3,2002,2160.5,1932.2,2055,2089.2,2030.5,2464
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,484.5,1251.2,945,997.5,1209,1150,1568.2,1644.8,2002,2261.2,1426,2016,1960,1537.5,1568.2,1696,1579.5,1760,1946,2102.5,1888,2010,2043.5,1984,2400
1606,"1111606","Ponte da Barca",0,0,0,0,0,0,331.5,857.5,648,684,828.8,790,1076.2,1128.8,1375,1552.5,678.5,960,943.2,312.5,318.8,344.5,324,357.5,406,435,383.5,405,411.8,403,496
1607,"1111607","Ponte de Lima",0,0,0,0,0,0,535.5,1382.5,1044,1102,1335.8,1270,1732.2,1816.8,2211,2497.5,3795,5352,5230.8,7187.5,7331.2,7963.2,7411.5,8263.8,9156,9860,8864.8,9420,9577,9315.5,11296
1608,"1111608","Valença",0,0,0,0,0,0,119,315,234,247,302.2,280,389.5,408.5,495,562.5,299,420,416.5,250,255,278.2,256.5,288.8,322,348,309.8,330,335.5,325.5,384
1609,"1111609","Viana do Castelo",0,0,0,0,0,0,561,1435,1080,1140,1384.5,1310,1793.8,1881.2,2288,2587.5,2530,3576,3491.2,4000,4080,4425.5,4117.5,4592.5,5082,5481,4926.5,5235,5322.2,5177,6272
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0,0,272,708.8,531,560.5,682.5,640,881.5,924.5,1122,1271.2,1000.5,1416,1384.2,1362.5,1389.8,1510.5,1404,1567.5,1736,1870.5,1681.5,1785,1814.8,1767,2144
301,"1120301","Amares",0,0,0,0,0,0,1164.5,2992.5,2259,2384.5,2895.8,2740,3741.2,3923.8,4763,5388.8,3415.5,4824,4704,3675,3748.5,4081,3793.5,4235,4676,5046,4543,4815,4895.2,4774,5776
302,"1120302","Barcelos",0,0,0,0,0,0,1989,5127.5,3870,4085,4953,4690,6406.2,6718.8,8162,9225,21712,30660,29939,45637.5,46550.2,50575.2,47047.5,52483.8,58086,62567.5,56300.8,59745,60740.8,59163.5,71696
303,"1120303","Braga",0,0,0,0,0,0,1581,4060,3060,3230,3919.5,3710,5073.8,5321.2,6468,7312.5,7555.5,10668,10412.5,12250,12495,13568,12622.5,14080,15582,16791,15104,16035,16302.2,15872,19232
306,"1120306","Esposende",0,0,0,0,0,0,680,1741.2,1314,1387,1677,1590,2173,2279,2772,3127.5,2576,3636,3552.5,3612.5,3684.8,4001.5,3726,4152.5,4606,4959,4454.5,4725,4803.8,4681,5680
310,"1120310","Terras de Bouro",0,0,0,0,0,0,1275,3290,2484,2622,3178.5,3010,4110.2,4310.8,5236,5917.5,3024.5,4272,4177.2,2250,2295,2491,2322,2585,2870,3088.5,2773,2955,3004.2,2914,3536
313,"1120313","Vila Verde",0,0,0,0,0,0,2295,5897.5,4446,4693,5694,5390,7369.8,7729.2,9394,10620,6095,8604,8403.5,5687.5,5801.2,6293.8,5859,6531.3,7238,7786.5,7006.2,7440,7564,7362.5,8928
307,"1130307","Fafe",0,0,0,0,0,0,3978,10228.8,7713,8141.5,9876.8,9350,12781.8,13405.2,16291,18416.2,10453.5,14760,14406,9575,9766.5,10613.2,9868.5,11013.8,12180,13122.5,11814.8,12540,12749,12415.5,15040
308,"1130308","Guimarães",0,0,0,0,0,0,756.5,1951.2,1476,1558,1881.8,1780,2439.5,2558.5,3113,3510,5612,7920,7742,10787.5,11003.2,11951.5,11124,12402.5,13734,14790,13304.5,14130,14365.5,13981,16960
309,"1130309","Póvoa de Lanhoso",0,0,0,0,0,0,1513,3902.5,2943,3106.5,3773.2,3570,4879,5117,6215,7031.2,4393,6204,6051.5,4650,4743,5154.2,4792.5,5348.8,5922,6380,5737.8,6090,6191.5,6029.5,7296
1314,"1131314","Santo Tirso",0,0,0,0,0,0,34,96.2,72,76,97.5,90,123,129,154,180,207,288,281.8,337.5,344.2,371,351,385,434,464,413,450,457.5,434,528
1318,"1131318","Trofa",0,0,0,0,0,0,382.5,980,738,779,945.8,890,1219.8,1279.2,1551,1755,3404,4800,4691.8,6875,7012.5,7618.8,7087.5,7906.3,8750,9425,8481.2,9000,9150,8912.5,10800
311,"1130311","Vieira do Minho",0,0,0,0,0,0,2346,6037.5,4554,4807,5830.5,5520,7544,7912,9614,10867.5,6520.5,9204,8991.5,6525,6655.5,7234.5,6723,7507.5,8302,8946.5,8053.5,8535,8677.2,8463,10240
312,"1130312","Vila Nova de Famalicão",0,0,0,0,0,0,2499,6440,4860,5130,6220.5,5890,8046.2,8438.8,10252,11587.5,10649,15036,14675.5,16112.5,16434.8,17847.8,16605,18521.2,20496,22083.5,19868.2,21090,21441.5,20878.5,25312
314,"1130314","Vizela",0,0,0,0,0,0,51,122.5,90,95,117,110,153.8,161.2,198,225,287.5,408,392,512.5,522.8,569.8,526.5,591.2,644,696,634.2,675,686.2,666.5,800
107,"1140107","Espinho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12.2,12.5,12.8,13.2,13.5,13.8,14,14.5,14.8,15,15.2,15.5,16
1304,"1141304","Gondomar",0,0,0,0,0,0,1283.5,3307.5,2493,2631.5,3188.2,3020,4130.8,4332.2,5269,5951.2,3047.5,4308,4201.8,2275,2320.5,2530.8,2349,2626.2,2898,3117.5,2817.2,2985,3034.8,2960.5,3584
1306,"1141306","Maia",0,0,0,0,0,0,408,1041.2,783,826.5,1004.2,950,1301.8,1365.2,1661,1878.8,1529.5,2160,2107,2125,2167.5,2345.2,2187,2433.8,2702,2914.5,2610.8,2775,2821.2,2743.5,3328
1308,"1141308","Matosinhos",0,0,0,0,0,0,238,612.5,468,494,594.8,560,768.8,806.2,979,1102.5,2139,3012,2940,4312.5,4398.8,4770,4441.5,4950,5488,5901.5,5310,5640,5734,5580,6768
1312,"1141312","Porto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,228,220.5,387.5,395.2,437.2,405,453.8,504,536.5,486.8,510,518.5,511.5,624
1313,"1141313","Póvoa de Varzim",0,0,0,0,0,0,688.5,1767.5,1332,1406,1706.2,1610,2203.8,2311.2,2805,3172.5,4312.5,6096,5953.5,7887.5,8045.2,8731.8,8127,9061.2,10038,10802.5,9720.2,10320,10492,10214.5,12384
1315,"1141315","Valongo",0,0,0,0,0,0,34,96.2,72,76,97.5,90,123,129,154,180,552,780,759.5,1200,1224,1338.2,1242,1388.8,1540,1653,1489.8,1575,1601.2,1565.5,1888
1316,"1141316","Vila do Conde",0,0,0,0,0,0,1309,3377.5,2547,2688.5,3266.2,3090,4223,4429,5379,6086.2,6785,9576,9359,11425,11653.5,12653.8,11772,13131.3,14532,15660,14086.2,14955,15204.2,14802.5,17936
