"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",87782.4,98217.6,100675.2,101289.6,101904,100060.8,97824,100224,97219.2,93110.4,89011.2,91939.2,90768,91353.6,85497.6,84912,89433.6,101769.6,102384,109632,101155.2,93974.4,88099.2,92016,80918.4,79622.4,75052.8,65913.6,51552,45033.6,38505.6
1602,"1111602","Caminha",22080,24710.4,25324.8,25478.4,25632,25171.2,23241.6,23808,23097.6,20678.4,19776,20419.2,20160,20294.4,18988.8,18864,20505.6,23328,23472,25939.2,23932.8,22233.6,20841.6,21772.8,19142.4,18835.2,17750.4,15590.4,12192,10656,9110.4
1603,"1111603","Melgaço",76838.4,85968,88118.4,88656,89193.6,87580.8,82204.8,84220.8,81705.6,74640,71356.8,73699.2,72768,73228.8,68534.4,68064,61948.8,70492.8,70924.8,63638.4,58713.6,54547.2,51139.2,53414.4,46972.8,46214.4,43564.8,38265.6,29923.2,26140.8,22348.8
1604,"1111604","Monção",139075.2,155616,159504,160473.6,161443.2,158524.8,159254.4,163161.6,158275.2,156096,149222.4,154137.6,152169.6,153148.8,143337.6,142348.8,133382.4,151785.6,152697.6,142608,131577.6,122236.8,114595.2,119692.8,105264,103564.8,97622.4,85737.6,67065.6,58569.6,50083.2
1605,"1111605","Paredes de Coura",46348.8,51859.2,53164.8,53481.6,53808,52838.4,70339.2,72067.2,69907.2,86668.8,82848,85574.4,84489.6,85027.2,79584,79036.8,76915.2,87523.2,88051.2,86294.4,79612.8,73968,69340.8,72422.4,63696,62668.8,59068.8,51878.4,40579.2,35443.2,30307.2
1606,"1111606","Ponte da Barca",23059.2,25795.2,26438.4,26601.6,26764.8,26284.8,22291.2,22838.4,22156.8,17625.6,16857.6,17404.8,17184,17299.2,16185.6,16080,15283.2,17385.6,17491.2,16646.4,15350.4,14265.6,13372.8,13968,12288,12086.4,11395.2,10003.2,7824,6835.2,5846.4
1607,"1111607","Ponte de Lima",39052.8,43689.6,44784,45062.4,45331.2,44515.2,55238.4,56592,54902.4,64953.6,62092.8,64128,63312,63724.8,59635.2,59232,68438.4,77884.8,78355.2,91545.6,84460.8,78470.4,73564.8,76838.4,67574.4,66480,62668.8,55036.8,43046.4,37603.2,32150.4
1608,"1111608","Valença",62217.6,69609.6,71347.2,71788.8,72220.8,70915.2,63148.8,64704,62764.8,53596.8,51235.2,52924.8,52243.2,52588.8,49209.6,48873.6,44035.2,50102.4,50409.6,44572.8,41126.4,38208,35817.6,37411.2,32899.2,32371.2,30508.8,26793.6,20956.8,18307.2,15657.6
1609,"1111609","Viana do Castelo",27427.2,30691.2,31449.6,31641.6,31833.6,31257.6,30009.6,30748.8,29827.2,27993.6,26755.2,27638.4,27283.2,27456,25699.2,25526.4,27964.8,31814.4,32006.4,35635.2,32880,30547.2,28636.8,29913.6,26304,25881.6,24393.6,21427.2,16761.6,14640,12518.4
1610,"1111610","Vila Nova de Cerveira",16876.8,18883.2,19353.6,19468.8,19584,19238.4,20390.4,20889.6,20265.6,21072,20150.4,20812.8,20544,20678.4,19353.6,19219.2,19478.4,22156.8,22291.2,22905.6,21129.6,19632,18403.2,19219.2,16905.6,16627.2,15676.8,13766.4,10771.2,9408,8044.8
301,"1120301","Amares",11136,12460.8,12777.6,12854.4,12931.2,12691.2,11865.6,12153.6,11788.8,10713.6,10243.2,10579.2,10444.8,10512,9840,9772.8,12729.6,14486.4,14572.8,18681.6,17241.6,16012.8,15014.4,15686.4,13795.2,13564.8,12787.2,11232,8784,7670.4,6566.4
302,"1120302","Barcelos",12374.4,13852.8,14198.4,14284.8,14371.2,14112,16579.2,16982.4,16473.6,18720,17894.4,18489.6,18249.6,18364.8,17193.6,17068.8,21753.6,24748.8,24902.4,31420.8,28992,26928,25248,26371.2,23193.6,22819.2,21504,18892.8,14774.4,12902.4,11030.4
303,"1120303","Braga",6566.4,7344,7526.4,7574.4,7622.4,7488,13785.6,14121.6,13699.2,19939.2,19065.6,19689.6,19440,19564.8,18316.8,18182.4,19296,21955.2,22089.6,23836.8,21993.6,20428.8,19152,20006.4,17587.2,17308.8,16320,14332.8,11212.8,9792,8371.2
306,"1120306","Esposende",2966.4,3321.6,3398.4,3417.6,3436.8,3379.2,3638.4,3724.8,3609.6,3811.2,3648,3763.2,3715.2,3744,3504,3475.2,3993.6,4540.8,4569.6,5318.4,4905.6,4560,4272,4464,3926.4,3859.2,3638.4,3196.8,2496,2179.2,1862.4
310,"1120310","Terras de Bouro",32467.2,36326.4,37238.4,37459.2,37689.6,37008,26515.2,27168,26352,15033.6,14380.8,14851.2,14659.2,14755.2,13804.8,13718.4,10137.6,11539.2,11606.4,6988.8,6451.2,5990.4,5616,5865.6,5155.2,5078.4,4780.8,4204.8,3283.2,2870.4,2457.6
313,"1120313","Vila Verde",35683.2,39926.4,40924.8,41174.4,41424,40675.2,46809.6,47961.6,46531.2,52003.2,49708.8,51340.8,50688,51014.4,47750.4,47424,56457.6,64243.2,64636.8,77443.2,71443.2,66374.4,62227.2,64992,57158.4,56236.8,53011.2,46560,36412.8,31804.8,27196.8
307,"1130307","Fafe",47068.8,52665.6,53980.8,54307.2,54633.6,53644.8,50592,51830.4,50275.2,46185.6,44160,45609.6,45024,45321.6,42412.8,42124.8,40224,45772.8,46051.2,44083.2,40675.2,37785.6,35424,36998.4,32534.4,32016,30172.8,26505.6,20726.4,18105.6,15484.8
308,"1130308","Guimarães",11232,12566.4,12883.2,12960,13036.8,12796.8,11193.6,11462.4,11126.4,9254.4,8851.2,9139.2,9024,9081.6,8505.6,8438.4,9772.8,11116.8,11184,13084.8,12067.2,11212.8,10512,10982.4,9657.6,9504,8956.8,7862.4,6153.6,5376,4598.4
309,"1130309","Póvoa de Lanhoso",17500.8,19584,20073.6,20198.4,20313.6,19948.8,20284.8,20784,20160,20131.2,19248,19872,19622.4,19747.2,18480,18355.2,18806.4,21398.4,21532.8,22387.2,20659.2,19190.4,17990.4,18787.2,16521.6,16262.4,15321.6,13459.2,10531.2,9196.8,7862.4
1314,"1131314","Santo Tirso",17193.6,19238.4,19718.4,19833.6,19958.4,19593.6,17366.4,17788.8,17260.8,14630.4,13987.2,14448,14265.6,14361.6,13440,13344,15792,17961.6,18076.8,21542.4,19872,18460.8,17308.8,18076.8,15897.6,15638.4,14745.6,12950.4,10128,8851.2,7564.8
1318,"1131318","Trofa",0,0,0,0,0,0,2294.4,2352,2284.8,4608,4406.4,4550.4,4492.8,4521.6,4233.6,4204.8,4454.4,5068.8,5097.6,5481.6,5059.2,4704,4406.4,4598.4,4051.2,3984,3753.6,3292.8,2582.4,2256,1929.6
311,"1130311","Vieira do Minho",35260.8,39446.4,40435.2,40684.8,40924.8,40185.6,37651.2,38572.8,37420.8,34118.4,32611.2,33686.4,33254.4,33475.2,31324.8,31113.6,33984,38668.8,38908.8,43200,39859.2,37027.2,34713.6,36259.2,31881.6,31372.8,29568,25968,20313.6,17740.8,15168
312,"1130312","Vila Nova de Famalicão",5587.2,6249.6,6403.2,6441.6,6480,6364.8,7564.8,7756.8,7516.8,8620.8,8236.8,8505.6,8400,8457.6,7910.4,7862.4,8620.8,9801.6,9868.8,10992,10137.6,9417.6,8832,9225.6,8112,7977.6,7526.4,6604.8,5164.8,4512,3859.2
314,"1130314","Vizela",0,0,0,0,0,0,748.8,768,739.2,1497.6,1430.4,1478.4,1459.2,1468.8,1372.8,1363.2,1190.4,1344,1353.6,1132.8,1046.4,969.6,912,950.4,835.2,825.6,777.6,681.6,537.6,470.4,403.2
107,"1140107","Espinho",144,163.2,163.2,163.2,163.2,163.2,192,201.6,192,230.4,220.8,220.8,220.8,220.8,211.2,211.2,220.8,249.6,249.6,278.4,249.6,230.4,220.8,230.4,201.6,201.6,192,163.2,134.4,115.2,96
1304,"1141304","Gondomar",41750.4,46713.6,47875.2,48172.8,48460.8,47587.2,40444.8,41433.6,40195.2,32073.6,30662.4,31670.4,31267.2,31468.8,29452.8,29251.2,22665.6,25795.2,25948.8,17500.8,16147.2,15004.8,14064,14688,12921.6,12710.4,11980.8,10521.6,8227.2,7190.4,6144
1306,"1141306","Maia",4713.6,5280,5404.8,5443.2,5472,5376,5241.6,5376,5212.8,4982.4,4761.6,4924.8,4857.6,4886.4,4579.2,4540.8,5404.8,6153.6,6192,7411.2,6835.2,6345.6,5952,6220.8,5472,5376,5068.8,4454.4,3484.8,3043.2,2601.6
