"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",0,0,0,0,0,0,134.3,336.4,246.4,246.4,291.4,268.5,358.5,358.5,425.7,470.6,287.3,388.7,371.9,280,280,292.8,267.2,292.8,318.3,331,292.8,305.5,305.5,292.8,343.8
1602,"1111602","Caminha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,23.6,22.9,40.5,40.5,41.8,38.5,41.8,45.9,47.9,41.8,43.8,43.8,41.8,49.3
1603,"1111603","Melgaço",0,0,0,0,0,0,67.9,169.9,125,125,147.2,135.8,181.4,181.4,215.7,237.8,108.2,146.5,139.8,56.5,56.5,59.1,53.8,59.1,63.8,66.5,59.1,61.2,61.2,59.1,69.2
1604,"1111604","Monção",0,0,0,0,0,0,208.1,519.5,380.8,380.8,450.2,415.5,554.2,554.2,658.4,727.7,292.5,395.1,378.1,85.7,85.7,89,81.6,89,97.2,101.3,89,93.1,93.1,89,104.7
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,38.4,96.3,70.7,70.7,83.6,77.4,103,103,122.6,135.4,83.6,113.2,107.7,82.9,82.9,86.2,78.8,86.2,93.6,97.7,86.2,90.3,90.3,86.2,101
1606,"1111606","Ponte da Barca",0,0,0,0,0,0,26,65.2,47.9,47.9,56.6,52.6,69.9,69.9,83.1,91.8,39.2,53.3,51.2,16.6,16.6,17.3,16,17.3,19.3,20,17.3,18,18,17.3,20.6
1607,"1111607","Ponte de Lima",0,0,0,0,0,0,42.7,107.1,78.6,78.6,92.8,86,114.5,114.5,136.2,150.4,223.5,302.1,289.2,389.4,389.4,407.1,371.8,407.1,442.9,460.6,407.1,425.3,425.3,407.1,478.2
1608,"1111608","Valença",0,0,0,0,0,0,9.3,24,17.3,17.3,20.6,18.6,25.3,25.3,30,33.3,17.3,23.3,22.6,13.3,13.3,14,12.7,14,15.3,16,14,14.6,14.6,14,16
1609,"1111609","Viana do Castelo",0,0,0,0,0,0,44.5,110.7,81,81,95.8,88.4,118.1,118.1,140.5,155.3,148.5,201.1,192.4,216,216,225.5,205.9,225.5,245.1,255.2,225.5,235.6,235.6,225.5,264.6
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0,0,21.1,53.5,39,39,46.2,42.3,56.9,56.9,67.5,74.7,57.5,78,74.7,72,72,75.3,68.7,75.3,82,85.3,75.3,78.7,78.7,75.3,88.6
301,"1120301","Amares",0,0,0,0,0,0,92.1,230,168.9,168.9,199.8,184.3,245.5,245.5,291.3,322.2,199.8,270.4,258.3,197.8,197.8,207.2,189,207.2,224.7,234,207.2,215.9,215.9,207.2,242.8
302,"1120302","Barcelos",0,0,0,0,0,0,158.2,396.3,290.8,290.8,343.5,317.1,422.5,422.5,501.6,554.4,1276.5,1727.5,1652.5,2468.6,2468.6,2580.8,2356.4,2580.8,2805.3,2917.5,2580.8,2693,2693,2580.8,3029.7
