"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",570.8,642.3,642.3,499.2,607.5,392.8,368.3,368.3,328.2,520.2,453.8,453.8,260.1,195.5,195.5,129.2,185,371.8,279.3,363,363,363,483.5,603.9,603.9,603.9,483.5,483.5,483.5,483.5,483.5
1602,"1111602","Caminha",33.3,36.8,36.8,28.1,35.1,22.7,26.3,26.3,24.5,56.2,49.1,49.1,28.1,21.1,21.1,14,14,28.1,21.1,22.7,22.7,22.7,29.9,36.8,36.8,36.8,29.9,29.9,29.9,29.9,29.9
1603,"1111603","Melgaço",115.3,129.3,129.3,101.3,122.3,78.6,64.6,64.6,57.6,59.4,52.4,52.4,29.8,22.7,22.7,14,15.8,31.4,22.7,24.4,24.4,24.4,31.4,38.4,38.4,38.4,31.4,31.4,31.4,31.4,31.4
1604,"1111604","Monção",313,351.9,351.9,274,332.5,215.7,169.7,169.7,152.1,130.8,115,115,65.4,49.5,49.5,31.8,28.3,56.6,42.5,35.4,35.4,35.4,46,56.6,56.6,56.6,46,46,46,46,46
1605,"1111605","Paredes de Coura",49,54.2,54.2,42.1,50.8,33.3,31.5,31.5,28,49,42.1,42.1,24.5,17.5,17.5,12.2,24.5,49,36.7,56.1,56.1,56.1,73.6,91.1,91.1,91.1,73.6,73.6,73.6,73.6,73.6
1606,"1111606","Ponte da Barca",169.6,190.4,190.4,148.8,179.9,115.9,88.2,88.2,77.9,48.4,41.6,41.6,24.2,17.3,17.3,12.1,17.3,32.9,24.2,31.1,31.1,31.1,41.6,51.9,51.9,51.9,41.6,41.6,41.6,41.6,41.6
1607,"1111607","Ponte de Lima",207.8,234.2,234.2,181.3,221.9,142.6,162,162,142.6,320.5,280.1,280.1,160.2,119.8,119.8,80.9,86.3,172.6,130.3,139.1,139.1,139.1,184.9,230.7,230.7,230.7,184.9,184.9,184.9,184.9,184.9
1608,"1111608","Valença",64,72.7,72.7,57.1,69.2,45,36.3,36.3,31.1,31.1,27.7,27.7,15.6,12.1,12.1,6.9,15.6,31.1,22.4,34.6,34.6,34.6,45,55.4,55.4,55.4,45,45,45,45,45
1609,"1111609","Viana do Castelo",668.7,752.9,752.9,586.3,710.8,459.9,484.4,484.4,430,860,751.2,751.2,430,323,323,214.1,201.8,402,301.9,280.8,280.8,280.8,375.6,468.7,468.7,468.7,375.6,375.6,375.6,375.6,375.6
1610,"1111610","Vila Nova de Cerveira",20.6,22.3,22.3,17.2,20.6,13.8,13.8,13.8,12,20.6,17.2,17.2,10.3,6.9,6.9,5.1,5.1,10.3,6.9,6.9,6.9,6.9,8.6,10.3,10.3,10.3,8.6,8.6,8.6,8.6,8.6
301,"1120301","Amares",160.9,181.9,181.9,141.6,171.4,111.9,85.7,85.7,76.9,56,48.9,48.9,28,21,21,14,14,28,21,22.7,22.7,22.7,29.8,36.7,36.7,36.7,29.8,29.8,29.8,29.8,29.8
302,"1120302","Barcelos",824.5,928.1,928.1,722.5,877.2,567.8,550.2,550.2,488.7,833.3,727.8,727.8,416.7,312.9,312.9,207.4,321.7,641.6,481.7,650.5,650.5,650.5,868.5,1084.7,1084.7,1084.7,868.5,868.5,868.5,868.5,868.5
303,"1120303","Braga",491.3,552.5,552.5,430.1,521.1,337.4,274.5,274.5,244.8,237.7,208.1,208.1,118.9,89.1,89.1,59.5,104.9,211.5,159.1,227.3,227.3,227.3,304.3,379.5,379.5,379.5,304.3,304.3,304.3,304.3,304.3
306,"1120306","Esposende",169.2,190.4,190.4,148.2,179.9,116.3,111.1,111.1,98.7,162.2,141.1,141.1,81,60,60,40.6,65.2,130.5,98.7,135.7,135.7,135.7,181.6,227.5,227.5,227.5,181.6,181.6,181.6,181.6,181.6
