"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",0,0,0,0,0,0,0,0,0,0,0,8.8,23.5,20.6,21.9,17.5,12.7,15.2,15.2,29.3,45.5,42.6,27.9,30.8,37.7,41,49.2,52.4,55.6,64.5,64.5
1602,"1111602","Caminha",0,0,0,0,0,0,0,0,0,0,0,2.3,6.3,5.4,5.6,4.6,3.4,3.8,3.8,7.1,10.7,9.8,6.2,6.7,8.3,9,10.9,11.7,12.4,14.4,14.4
1603,"1111603","Melgaço",0,0,0,0,0,0,0,0,0,0,0,3,8.1,6.7,6.9,5.2,3.7,3.9,3.5,6.3,8.6,6.5,3.3,3.7,4.6,4.8,5.8,6.3,6.7,7.9,7.9
1604,"1111604","Monção",0,0,0,0,0,0,0,0,0,0,0,8.4,22.3,18.5,18.9,14.4,9.9,11,9.9,17.3,23.2,18.1,9.3,10.1,12.5,13.7,16.3,17.5,18.3,21.4,21.4
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,0,0,0,0,0,3.8,10.3,8.6,8.6,6.5,4.5,4.6,4,6.7,8.6,6,2.5,2.7,3.4,3.6,4.1,4.4,4.6,5.6,5.6
1606,"1111606","Ponte da Barca",0,0,0,0,0,0,0,0,0,0,0,2.9,8,6.8,7.2,5.6,3.9,4.4,4.3,7.8,11.5,10.1,6.1,6.6,8.2,8.9,10.7,11.5,12.2,14.2,14.2
1607,"1111607","Ponte de Lima",0,0,0,0,0,0,0,0,0,0,0,11.3,30.4,26,27.1,21.5,15.3,17.5,16.8,32.1,47.8,42.6,26.6,29.2,35.9,38.8,46.7,49.7,52.6,61.2,61.2
1608,"1111608","Valença",0,0,0,0,0,0,0,0,0,0,0,7.4,19.8,16.5,16.3,12.2,8.2,8.9,7.6,12.6,15.5,10.3,3.7,4.1,5,5.4,6.4,7,7.4,8.5,8.5
1609,"1111609","Viana do Castelo",0,0,0,0,0,0,0,0,0,0,0,67.4,180.4,149.1,147.7,109.9,72.8,76.6,65.5,105.7,125.6,76.1,19.2,21.3,26.1,28.4,34,36.2,38.3,44.6,44.6
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0,0,0,0,0,0,0,3.1,8.3,7,7,5.3,3.7,3.9,3.7,6.2,8.4,6.4,3.1,3.5,4.5,4.6,5.5,5.9,6.4,7.4,7.4
301,"1120301","Amares",0,0,0,0,0,0,0,0,0,0,0,5.6,15,12.5,12.7,9.8,6.7,7.5,6.7,11.9,16.7,13.3,7.1,7.9,9.6,10.5,12.5,13.1,14,16.3,16.3
302,"1120302","Barcelos",0,0,0,0,0,0,0,0,0,0,0,6.5,17.6,15.5,16.4,13.2,9.4,11.1,10.9,21.1,32.3,29.7,19.2,21.3,26.2,28.5,34.1,36.1,38.4,44.7,44.7
