"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",4962.5,4962.5,6622.6,6622.6,6622.6,6622.6,10763.8,13441.4,13441.4,19671.5,22956.1,22956.1,22956.1,22956.1,22956.1,26240.5,25205.2,25205.2,22063.6,21367.3,21367.3,24419.7,27472.2,24419.7,24419.7,24419.7,24419.7,21367.3,18314.9,15262.4,15262.4
1602,"1111602","Caminha",412.6,412.6,556.1,556.1,556.1,556.1,1381,1721.8,1721.8,2780.1,3246.5,3246.5,3246.5,3246.5,3246.5,3712.7,2260,2260,1972.9,986.5,986.5,1129.9,1273.6,1129.9,1129.9,1129.9,1129.9,986.5,843,699.5,699.5
1603,"1111603","Melgaço",1750.8,1750.8,2340.4,2340.4,2340.4,2340.4,3519.6,4394.9,4394.9,6288.6,7342.7,7342.7,7342.7,7342.7,7342.7,8396.6,9039.8,9039.8,7896.5,8343.1,8343.1,9522.2,10719.2,9522.2,9522.2,9522.2,9522.2,8343.1,7146,5949.1,5949.1
1604,"1111604","Monção",1374.4,1374.4,1844.4,1844.4,1844.4,1844.4,2405,3001.9,3001.9,4086.7,4755.7,4755.7,4755.7,4755.7,4755.7,5443,7269.4,7269.4,6365.2,7631.1,7631.1,8716,9800.9,8716,8716,8716,8716,7631.1,6528,5443,5443
1605,"1111605","Paredes de Coura",1164.1,1164.1,1558,1558,1558,1558,1486.5,1862.5,1862.5,2184.9,2542.9,2542.9,2542.9,2542.9,2542.9,2901.4,3922.1,3922.1,3438.3,4119,4119,4710,5301,4710,4710,4710,4710,4119,3528.2,2936.9,2936.9
1606,"1111606","Ponte da Barca",1557,1557,2087.8,2087.8,2087.8,2087.8,2600.8,3255.5,3255.5,4352.5,5078,5078,5078,5078,5078,5803.2,6564.1,6564.1,5750.1,6263.2,6263.2,7148,8050.2,7148,7148,7148,7148,6263.2,5360.9,4476.2,4476.2
1607,"1111607","Ponte de Lima",2016.9,2016.9,2683.2,2683.2,2683.2,2683.2,2989.5,3727.7,3727.7,4736.2,5528.7,5528.7,5528.7,5528.7,5528.7,6321.1,5114.3,5114.3,4484,3673.7,3673.7,4196,4718.1,4196,4196,4196,4196,3673.7,3151.4,2629.3,2629.3
1608,"1111608","Valença",442.3,442.3,583.9,583.9,583.9,583.9,866.8,1079.2,1079.2,1539.1,1804.5,1804.5,1804.5,1804.5,1804.5,2069.7,2989.7,2989.7,2618.3,3255.2,3255.2,3715.1,4175.3,3715.1,3715.1,3715.1,3715.1,3255.2,2777.4,2317.6,2317.6
1609,"1111609","Viana do Castelo",1435.9,1435.9,1920.4,1920.4,1920.4,1920.4,2422.9,3015.3,3015.3,4056.4,4720.5,4720.5,4720.5,4720.5,4720.5,5402.6,7000,7000,6120.6,7197.4,7197.4,8238.3,9261.6,8238.3,8238.3,8238.3,8238.3,7197.4,6174.4,5151.4,5151.4
1610,"1111610","Vila Nova de Cerveira",351.5,351.5,457,457,457,457,527.2,667.9,667.9,878.8,1019.4,1019.4,1019.4,1019.4,1019.4,1160,2144.2,2144.2,1880.4,2548.3,2548.3,2899.9,3269.1,2899.9,2899.9,2899.9,2899.9,2548.3,2179.2,1810.2,1810.2
301,"1120301","Amares",894.3,894.3,1180.5,1180.5,1180.5,1180.5,1162.6,1448.8,1448.8,1717,2003.1,2003.1,2003.1,2003.1,2003.1,2289.2,1967.3,1967.3,1717,1502.2,1502.2,1717,1931.7,1717,1717,1717,1717,1502.2,1287.7,1073.1,1073.1
302,"1120302","Barcelos",1599.9,1599.9,2139.2,2139.2,2139.2,2139.2,2157.3,2696.6,2696.6,3235.9,3775.3,3775.3,3775.3,3775.3,3775.3,4314.7,3811.4,3811.4,3344,2984.4,2984.4,3415.8,3847.1,3415.8,3415.8,3415.8,3415.8,2984.4,2570.8,2139.2,2139.2
303,"1120303","Braga",894.1,894.1,1180.3,1180.3,1180.3,1180.3,1054.9,1305.4,1305.4,1448.5,1698.8,1698.8,1698.8,1698.8,1698.8,1949,1985,1985,1734.5,1770.2,1770.2,2020.6,2270.9,2020.6,2020.6,2020.6,2020.6,1770.2,1519.9,1251.7,1251.7
306,"1120306","Esposende",667.1,667.1,883.5,883.5,883.5,883.5,396.8,486.9,486.9,162.2,198.4,198.4,198.4,198.4,198.4,234.5,360.7,360.7,324.6,414.8,414.8,486.9,541,486.9,486.9,486.9,486.9,414.8,360.7,306.5,306.5
310,"1120310","Terras de Bouro",3253.8,3253.8,4338.2,4338.2,4338.2,4338.2,4053.8,5085.2,5085.2,5849.7,6827.5,6827.5,6827.5,6827.5,6827.5,7805.4,6969.8,6969.8,6098.5,5529.6,5529.6,6329.7,7112,6329.7,6329.7,6329.7,6329.7,5529.6,4747.3,3947.2,3947.2
313,"1120313","Vila Verde",3662.4,3662.4,4871.2,4871.2,4871.2,4871.2,3395.7,4231.2,4231.2,3804.4,4444.5,4444.5,4444.5,4444.5,4444.5,5084.6,4640.2,4640.2,4053.4,3769.1,3769.1,4302.2,4835.8,4302.2,4302.2,4302.2,4302.2,3769.1,3218,2684.5,2684.5
307,"1130307","Fafe",621.6,621.6,834.8,834.8,834.8,834.8,710.5,888.1,888.1,959.1,1119,1119,1119,1119,1119,1278.8,1563.1,1563.1,1367.6,1580.7,1580.7,1794,2024.7,1794,1794,1794,1794,1580.7,1350,1119,1119
308,"1130308","Guimarães",1773.6,1773.6,2376.6,2376.6,2376.6,2376.6,1897.7,2376.6,2376.6,2447.6,2855.7,2855.7,2855.7,2855.7,2855.7,3263.5,3689.3,3689.3,3228,3511.9,3511.9,4008.4,4505.1,4008.4,4008.4,4008.4,4008.4,3511.9,2997.4,2501,2501
309,"1130309","Póvoa de Lanhoso",1667.6,1667.6,2229.2,2229.2,2229.2,2229.2,1614.8,2036.3,2036.3,1913.3,2229.2,2229.2,2229.2,2229.2,2229.2,2545.2,2036.3,2036.3,1790.4,1439.3,1439.3,1650,1860.8,1650,1650,1650,1650,1439.3,1246.4,1035.6,1035.6
1314,"1131314","Santo Tirso",613.5,613.5,830.2,830.2,830.2,830.2,541.4,667.7,667.7,541.4,631.6,631.6,631.6,631.6,631.6,721.9,830.2,830.2,721.9,794,794,920.4,1028.6,920.4,920.4,920.4,920.4,794,685.8,577.5,577.5
1318,"1131318","Trofa",0,0,0,0,0,0,361.2,451.6,451.6,848.9,993.4,993.4,993.4,993.4,993.4,1137.8,794.6,794.6,686.3,451.6,451.6,505.7,578,505.7,505.7,505.7,505.7,451.6,379.3,325.1,325.1
311,"1130311","Vieira do Minho",3894,3894,5203.9,5203.9,5203.9,5203.9,4372.1,5451.7,5451.7,5823.4,6796.9,6796.9,6796.9,6796.9,6796.9,7770.3,9664.4,9664.4,8460.5,9752.8,9752.8,11133.5,12531.8,11133.5,11133.5,11133.5,11133.5,9752.8,8354.6,6956.2,6956.2
312,"1130312","Vila Nova de Famalicão",826.9,826.9,1114.5,1114.5,1114.5,1114.5,1186.5,1474,1474,1833.5,2139,2139,2139,2139,2139,2444.7,2552.4,2552.4,2228.9,2300.8,2300.8,2624.6,2947.9,2624.6,2624.6,2624.6,2624.6,2300.8,1959.3,1635.9,1635.9
314,"1130314","Vizela",0,0,0,0,0,0,107.7,125.6,125.6,233.3,269.2,269.2,269.2,269.2,269.2,305,215.3,215.3,179.4,125.6,125.6,143.7,161.4,143.7,143.7,143.7,143.7,125.6,107.7,89.7,89.7
107,"1140107","Espinho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1304,"1141304","Gondomar",469,469,631.3,631.3,631.3,631.3,396.9,487.1,487.1,378.8,451,451,451,451,451,523.2,360.8,360.8,324.7,216.5,216.5,234.6,270.7,234.6,234.6,234.6,234.6,216.5,180.4,144.4,144.4
1306,"1141306","Maia",577.9,577.9,758.4,758.4,758.4,758.4,614,776.6,776.6,812.7,957.2,957.2,957.2,957.2,957.2,1101.7,830.8,830.8,722.4,541.8,541.8,614,686.3,614,614,614,614,541.8,451.5,379.2,379.2
