"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",0,0,0,0,0,0,1853.5,1601.1,1637.6,1561,1754.3,1520.9,1659.9,1198,963.5,953.5,835.7,982.1,971.5,816,752.5,752.5,784.3,752.5,542.9,511.8,574,767.7,639.7,608.6,536.9
1602,"1111602","Caminha",0,0,0,0,0,0,880.7,762.2,780.5,744,835.2,725.8,790.2,570.1,458.3,453.6,392.8,460.7,455.8,370.9,342.7,342.7,356.8,342.7,249,231.7,262.8,349.3,290.5,276.6,246.2
1603,"1111603","Melgaço",0,0,0,0,0,0,2395.1,2068,2119,2020.5,2272.2,1969.5,2147,1548,1248.5,1235.6,939.2,1103.5,1091.7,628.8,579.4,579.4,604.1,579.4,418.4,394.2,442.6,591.3,491,466.8,413.8
1604,"1111604","Monção",0,0,0,0,0,0,4075.4,3519.5,3603.4,3432,3862.4,3348.1,3651.7,2634.1,2121.7,2099.8,1607,1889.2,1868.9,1102.3,1017.4,1017.4,1059.8,1017.4,733.1,691.6,778.1,1037.4,864.5,823,725
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,1768.7,1528.2,1564.6,1488,1674,1451.5,1584.1,1140.3,920.1,910.7,757.1,889.3,879.7,657.1,607.7,607.7,632.4,607.7,439.2,411.5,463.4,619,515.2,491,434.3
1606,"1111606","Ponte da Barca",0,0,0,0,0,0,637.5,550.7,561.6,536.2,601.8,521.5,570.1,411.3,332,328.6,332.1,389.3,385.1,413.4,378,378,395.7,378,273.2,259.4,290.5,387.3,321.6,307.8,270.2
1607,"1111607","Ponte de Lima",0,0,0,0,0,0,3592.7,3100.1,3176.7,3027.2,3406.5,2950.6,3218.7,2320.2,1872.7,1853.5,1639.2,1924.9,1904.2,1642.8,1508.5,1508.5,1575.6,1508.5,1092.7,1027,1155,1542.3,1286.4,1220.7,1080.7
1608,"1111608","Valença",0,0,0,0,0,0,1554.9,1342.1,1375,1309.3,1473.4,1276.5,1392.9,1003.1,808.3,800,928.5,1089.2,1077.5,1360.1,1254.1,1254.1,1307.1,1254.1,906,854.1,961.3,1279.5,1065.1,1013.2,896
1609,"1111609","Viana do Castelo",0,0,0,0,0,0,3618.4,3122,3198.6,3045.4,3428.4,2968.8,3240.3,2334.7,1883.6,1864.2,1746.4,2049.9,2027.9,1939.5,1784.1,1784.1,1861.8,1784.1,1289.8,1213.8,1365.9,1822.4,1518.1,1442,1275.7
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0,0,563.8,488.7,499.7,474.1,532.5,463.2,505.2,364.5,292.3,289.2,235.7,278.5,275.5,194.3,180.1,180.1,187.2,180.1,131.4,121,138.3,183.3,152.2,145.2,130
301,"1120301","Amares",0,0,0,0,0,0,5442.4,4697.6,4814.3,4584.6,5157.1,4467.8,4875,3514.6,2836.2,2806.9,6896,8092.3,8005.3,15724.5,14466.8,14466.8,15095.6,14466.8,10467.4,9848.4,11082.9,14776,12313.9,11698.4,10352.3
302,"1120302","Barcelos",0,0,0,0,0,0,4244.9,3665.4,3756.6,3574.3,4022.8,3486.7,3803.2,2742.4,2211.9,2189.1,1932,2267.7,2243.3,1921.9,1766.4,1766.4,1844.1,1766.4,1279.5,1203.4,1355.5,1805.1,1504.2,1428.2,1265.4
303,"1120303","Braga",0,0,0,0,0,0,1521.9,1313,1345.8,1283.9,1444.3,1251,1363.9,981.5,793.8,785.7,842.8,985.6,975,1134,1042.2,1042.2,1088.1,1042.2,753.8,708.9,798.8,1065.1,888.7,843.8,745.6
306,"1120306","Esposende",0,0,0,0,0,0,1050.2,908.1,930,886.2,995.6,864.4,941.8,678.3,548.5,542.8,442.9,521.4,515.8,367.4,339.1,339.1,353.3,339.1,245.5,231.7,259.4,345.8,287,273.2,242.8
310,"1120310","Terras de Bouro",0,0,0,0,0,0,884.4,765.9,784.1,747.7,838.9,729.4,793.8,573.7,461.8,457.1,360.7,425,420.4,275.5,254.4,254.4,265,254.4,183.3,172.9,193.6,259.4,214.4,204,181.3
313,"1120313","Vila Verde",0,0,0,0,0,0,2037.7,1758,1801.7,1717.8,1933,1674,1825.9,1317.1,1060.9,1050,992.8,1167.8,1155.2,1123.4,1031.6,1031.6,1077.5,1031.6,746.9,702,791.9,1054.7,878.3,833.4,738.7
307,"1130307","Fafe",0,0,0,0,0,0,1978.7,1706.9,1750.7,1666.8,1874.6,1623,1771.7,1277.4,1032,1021.3,1074.9,1260.6,1247.1,1420.2,1307.1,1307.1,1363.6,1307.1,944,888.7,1002.8,1334.8,1113.5,1058.1,933.7
308,"1130308","Guimarães",0,0,0,0,0,0,4547.1,3924.4,4022.8,3829.6,4311,3734.7,4073.9,2937.2,2367.1,2342.7,1696.3,1992.7,1971.3,943.3,865.5,865.5,904.4,865.5,625.9,591.3,663.9,885.2,736.6,702,619
309,"1130309","Póvoa de Lanhoso",0,0,0,0,0,0,1304.4,1127,1152.5,1097.8,1236.4,1072.3,1169.1,844.3,678.3,671.4,849.9,996.4,985.7,1353,1247.1,1247.1,1300.1,1247.1,902.5,847.2,954.4,1272.5,1061.6,1006.3,892.6
1314,"1131314","Santo Tirso",0,0,0,0,0,0,1842.4,1590.2,1626.7,1550.1,1743.3,1509.9,1649.1,1190.8,959.9,949.9,1189.2,1396.3,1381.3,1890,1741.7,1741.7,1815.9,1741.7,1258.7,1186.1,1334.8,1777.4,1480,1407.4,1244.9
1318,"1131318","Trofa",0,0,0,0,0,0,1127.5,973.8,999.3,948.3,1068.6,926.4,1010.4,728.9,588.1,582.1,510.7,599.9,593.5,505.2,462.8,462.8,484,462.8,335.4,314.7,356.2,473.7,394.2,373.5,331.7
311,"1130311","Vieira do Minho",0,0,0,0,0,0,2483.6,2144.5,2199.2,2093.5,2356.1,2042.4,2226.4,1605.7,1295.4,1282.1,974.9,1142.8,1130.5,653.6,604.1,604.1,628.8,604.1,435.7,411.5,463.4,615.5,511.8,487.6,430.9
312,"1130312","Vila Nova de Famalicão",0,0,0,0,0,0,2133.5,1841.8,1889.2,1798,2024.2,1754.3,1912.5,1378.4,1111.4,1099.9,4199.7,4931.8,4878.8,10654.9,9803.5,9803.5,10231,9803.5,7092.4,6677.4,7510.8,10014.4,8344.2,7929.2,7014.4
314,"1130314","Vizela",0,0,0,0,0,0,346.4,299.1,306.3,291.8,328.2,284.4,310.3,223.8,180.4,178.6,139.3,164.2,162.5,102.5,95.4,95.4,98.9,95.4,69.2,65.7,72.6,96.8,79.5,76.1,68.4
107,"1140107","Espinho",0,0,0,0,0,0,66.4,54.7,58.4,54.7,62,51,57.8,43.3,32.5,32.2,35.7,39.2,38.8,42.4,42.4,42.4,42.4,42.4,27.7,27.7,31.1,41.5,34.6,34.6,27.4
1304,"1141304","Gondomar",0,0,0,0,0,0,1595.6,1378.6,1411.5,1342.1,1509.9,1309.3,1428.9,1032,829.9,821.4,603.6,707.1,699.5,353.3,325,325,339.1,325,235.1,221.3,249,332,276.6,262.8,232.6
1306,"1141306","Maia",0,0,0,0,0,0,482.7,415.8,426.8,408.5,459.6,397.5,433,310.3,252.6,250,228.6,267.8,265,247.3,226.1,226.1,236.7,226.1,166,155.6,172.9,231.7,193.6,183.3,164.2
1308,"1141308","Matosinhos",0,0,0,0,0,0,427.4,368.4,379.3,361.1,404.9,350.1,382.5,274.3,223.8,221.4,164.2,192.9,190.8,106,98.9,98.9,102.5,98.9,69.2,65.7,76.1,100.3,83,79.5,68.4
1312,"1141312","Porto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,3.5,3.5,7.1,7.1,7.1,7.1,7.1,3.5,3.5,6.9,6.9,6.9,6.9,3.4
1313,"1141313","Póvoa de Varzim",0,0,0,0,0,0,19857.4,17145.5,17564.9,16726.1,18815.9,16310.3,17789.4,12824.2,10341.7,10235,8003,9392.3,9291.3,5878.6,5405.2,5405.2,5641.9,5405.2,3911,3682.8,4142.7,5522.4,4602.6,4370.9,3868
1315,"1141315","Valongo",0,0,0,0,0,0,983.8,849.8,868,828,930,806,880.4,635.1,512.4,507.1,317.9,371.4,367.4,56.5,49.5,49.5,53,49.5,38,34.6,38,51.9,41.5,41.5,37.6
1316,"1141316","Vila do Conde",0,0,0,0,0,0,3168.9,2735.4,2804.7,2669.8,3005.3,2604.1,2839.8,2046,1652.6,1635.6,1167.8,1371.4,1356.6,611.2,561.8,561.8,586.4,561.8,408,383.8,428.8,574,477.2,453,403.6
1317,"1141317","Vila Nova de Gaia",0,0,0,0,0,0,1193.9,1028.5,1054,1003,1130.6,977.4,1068.1,768.6,620.7,614.3,503.5,589.2,582.9,420.4,385.1,385.1,402.8,385.1,280.1,262.8,297.4,394.2,328.5,311.2,277
1301,"1151301","Amarante",0,0,0,0,0,0,19183,16565.6,16966.8,16160.8,18181.3,15755.9,17186.8,12391.2,9991.6,9888.7,6488.9,7617.4,7535.4,1946.5,1791.1,1791.1,1868.9,1791.1,1296.8,1220.7,1372.8,1829.3,1525,1448.9,1282.5
1302,"1151302","Baião",0,0,0,0,0,0,3725.3,3216.9,3297,3136.6,3530.5,3060,3337.8,2406.8,1941.3,1921.3,1685.6,1978.5,1957.2,1656.9,1522.6,1522.6,1589.8,1522.6,1103.1,1037.4,1168.8,1556.1,1296.8,1231,1091
304,"1150304","Cabeceiras de Basto",0,0,0,0,0,0,1842.4,1590.2,1626.7,1550.1,1743.3,1509.9,1649.1,1190.8,959.9,949.9,989.2,1160.6,1148.2,1286,1180,1180,1233,1180,854.1,805.7,906,1206.8,1006.3,954.4,844.7
106,"1150106","Castelo de Paiva",0,0,0,0,0,0,1941.9,1677.7,1717.8,1633.9,1838.2,1593.9,1739.3,1255.7,1010.4,999.9,882.1,1035.6,1024.5,872.6,802,802,837.3,802,580.9,546.4,615.5,819.5,684.7,650.1,574.6
305,"1150305","Celorico de Basto",0,0,0,0,0,0,9193.6,7940,8133.3,7746.6,8713.1,7553.4,8237.9,5939.4,4788.4,4739,3274.8,3846.2,3804.8,1430.8,1317.7,1317.7,1374.3,1317.7,954.4,895.6,1009.7,1345.2,1120.4,1065.1,943.9
1804,"1151804","Cinfães",0,0,0,0,0,0,2365.6,2042.4,2089.8,1991.4,2239.4,1940.3,2118.2,1526.3,1230.5,1217.7,1050,1235.6,1222.3,996.3,918.5,918.5,957.4,918.5,663.9,625.9,702,937.1,781.5,740,656.6
1303,"1151303","Felgueiras",0,0,0,0,0,0,10254.8,8855.4,9070.6,8636.5,9716.1,8421.4,9187,6625,5340.4,5285.4,5592.5,6567.5,6496.9,7422.4,6828.9,6828.9,7125.7,6828.9,4941.5,4651,5232,6974.8,5812.9,5522.4,4887.2
1305,"1151305","Lousada",0,0,0,0,0,0,2288.2,1976.8,2024.2,1925.7,2166.4,1878.3,2049.5,1479.4,1190.8,1178.5,1042.8,1221.4,1208.2,1038.7,953.9,953.9,996.3,953.9,691.6,650.1,733.1,975.2,812.6,771.1,684
1307,"1151307","Marco de Canaveses",0,0,0,0,0,0,4189.6,3618.1,3705.6,3530.5,3968.1,3439.3,3752.7,2706.3,2183.1,2160.6,1621.4,1899.9,1879.5,1035.1,950.4,950.4,992.7,950.4,688.1,646.6,729.6,971.7,809.2,767.7,680.6
1705,"1151705","Mondim de Basto",0,0,0,0,0,0,1429.7,1232.7,1265.6,1203.6,1356.8,1174.4,1281,923.8,743.3,735.6,603.6,707.1,699.5,505.2,462.8,462.8,484,462.8,335.4,314.7,356.2,473.7,394.2,373.5,331.7
1309,"1151309","Paços de Ferreira",0,0,0,0,0,0,1046.5,904.5,926.4,882.7,992.1,860.8,938.2,674.8,544.9,539.2,432.1,507.1,501.7,342.7,314.5,314.5,328.5,314.5,228.2,214.4,242.1,321.6,269.7,255.9,225.7
1310,"1151310","Paredes",0,0,0,0,0,0,2162.9,1867.4,1911.1,1823.6,2049.8,1776.2,1937.7,1396.5,1125.9,1114.2,1085.7,1274.9,1261.2,1289.5,1183.5,1183.5,1236.5,1183.5,857.6,805.7,906,1210.3,1009.7,957.9,848.2
1311,"1151311","Penafiel",0,0,0,0,0,0,4989.2,4307.4,4413.1,4205.2,4730.5,4099.4,4470.8,3222.3,2598,2571.3,2196.3,2578.4,2550.7,2031.4,1868.9,1868.9,1950.1,1868.9,1352.1,1272.5,1431.6,1908.8,1590.7,1511.1,1337.2
1813,"1151813","Resende",0,0,0,0,0,0,1392.9,1203.6,1232.7,1174.4,1320.3,1145.2,1248.5,898.5,725.3,717.8,692.9,814.2,805.5,805.5,741.9,741.9,773.7,741.9,536,504.9,567.1,757.3,629.4,598.2,530.1
1709,"1151709","Ribeira de Pena",0,0,0,0,0,0,814.3,703.9,718.5,685.6,769.6,667.4,728.9,526.8,422.2,417.8,389.3,457.1,452.2,423.9,388.6,388.6,406.3,388.6,283.6,266.3,297.4,397.7,332,314.7,280.4
104,"1160104","Arouca",0,0,0,0,0,0,5792.5,5000.3,5124.3,4879.9,5489,4755.9,5188.8,3741.9,3016.6,2985.5,2392.7,2810.6,2780.3,1890,1741.7,1741.7,1815.9,1741.7,1258.7,1186.1,1334.8,1777.4,1480,1407.4,1244.9
