"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",244.5,193.6,266.3,169.5,266.3,287.5,284.4,237.1,231.6,229.2,205.8,205.8,180.3,143.1,155.5,137.8,143.1,153.8,162.6,179.9,191.1,205.3,222.5,222.5,176,174.2,174.2,217.7,174.2,174.2,255.5
1602,"1111602","Caminha",538,430.2,586.5,344.5,502.7,491.1,432.2,313.7,266.2,211.1,140.8,82.2,23.2,23,28.3,28.3,34.4,34.1,45,50.1,56.2,61.6,71.9,71.9,55.1,54.4,54.4,70.3,54.4,54.4,85.1
1603,"1111603","Melgaço",507.9,399.4,551.2,338.9,513.9,532.7,509.7,403,379.3,357.4,299.6,276.2,220.5,166.1,172.2,149.3,149.3,153.8,157.4,162.6,168.6,172.9,177.9,177.9,143.1,141.5,141.5,174.2,141.5,141.5,202.3
1604,"1111604","Monção",336.7,266.3,363.1,212.2,309.1,299.4,260.8,189.7,154.1,117.3,75.8,35.2,0,11.4,23,28.3,34.4,45.5,62.3,72.7,90,106.1,122.4,122.4,99,97.9,97.9,119.8,97.9,97.9,138.4
1605,"1111605","Paredes de Coura",190,150.9,205.8,126.6,188.1,191.7,171.5,136.8,124,105.6,88.5,70.4,51.8,45.9,51.2,51.2,57.5,68.2,72.7,84.7,95.1,106.1,116.4,116.4,93.1,92.1,92.1,113.8,92.1,92.1,132.7
1606,"1111606","Ponte da Barca",403.5,320.2,441.3,266.3,392.9,401.8,367.4,279,255.3,222.9,176,140.8,98.2,74.2,80.4,68.9,68.9,73.5,72.7,78.7,78.7,83.8,89,89,71.1,70.3,70.3,87.1,70.3,70.3,101.5
1607,"1111607","Ponte de Lima",4602.8,3643,5010.7,3122.6,4787.2,5036.9,4848,3917.1,3781.2,3607.8,3115.1,2968,2478.5,1837.7,1832.4,1521.4,1516.1,1500.1,1478.8,1472.7,1466.7,1446,1434.8,1434.8,1133.2,1121,1121,1403.9,1121,1121,1650.3
1608,"1111608","Valença",67.7,54,72.6,78.2,169.5,239.6,296.3,296.3,355.6,410.6,427.7,487.3,487.5,408.2,459.4,425,477.1,522.8,579.4,640.8,708.3,778.6,867.6,867.6,687.2,679.8,679.8,848.9,679.8,679.8,995.9
1609,"1111609","Viana do Castelo",1442.8,1137.7,1567.8,949.6,1416.1,1437.5,1327.6,1019.4,930,826.6,651.5,551.4,394.6,287.2,287.2,235,229.7,222.1,213.6,213.6,202.4,195,189.1,189.1,149,147.3,147.3,185,147.3,147.3,217.9
1610,"1111610","Vila Nova de Cerveira",97.8,72.6,102.4,60.5,91.2,90.3,83,59.2,52.9,46.9,35.2,28.9,17.9,17.7,23,23,23,28,33.8,39.7,45,49.6,55.7,55.7,44,43.5,43.5,54.4,43.5,43.5,63.9
301,"1120301","Amares",1137.1,895.7,1234.5,938.6,1698.6,2111.8,2358.5,2205.2,2462.8,2737.3,2725.1,3006.1,2913.7,2260.8,2345.5,1929.6,2009.9,2073.6,2141.2,2243.3,2355.8,2452.2,2591.6,2591.6,2051.4,2029.4,2029.4,2535.9,2029.4,2029.4,2981.2
302,"1120302","Barcelos",1277.2,1011.1,1391.8,865.8,1325.7,1389.7,1333,1072.3,1031.3,980,844.7,831,689.1,502.2,483.6,381.3,362.7,344.1,316.5,292.6,268.6,239.2,203.3,203.3,160.2,160.2,160.2,201.1,160.2,160.2,239.4
303,"1120303","Braga",1339.3,1059.4,1458,919.8,1433.7,1538.9,1551.9,1283.1,1270.9,1258.7,1118.6,1099.8,955.1,689.1,665,532,507.8,478,415.9,382.3,348.5,306.3,281.5,281.5,224.8,224.8,224.8,278.5,224.8,206.8,298.1
306,"1120306","Esposende",672.5,532.6,731.8,454.3,683.3,713.3,675.7,539.7,509.7,481,404.3,391,314.3,229.7,217.6,174.8,163.7,150.7,143.5,131.6,114.1,101.2,83.7,83.7,65.5,65.5,65.5,82.8,65.5,65.5,99
310,"1120310","Terras de Bouro",831.4,653.6,901.2,568.9,895.7,963.9,948.3,787.8,782.4,768.8,685.8,685.8,598.2,431.1,418.8,333,321.6,306.8,287.1,269.8,247.3,222.5,200.2,200.2,159.1,157.4,157.4,195.9,157.4,157.4,229.3
313,"1120313","Vila Verde",3447.8,2729.7,3751.9,2481.1,4054.5,4557.7,4694,4077.5,4255.4,4392.9,4134.8,4328.8,3987.3,2928.8,2899.6,2389,2360.7,2300.9,2243.3,2203.5,2158.5,2091.1,2035.5,2035.5,1611.3,1594,1594,1991.7,1594,1594,2342.3
307,"1130307","Fafe",525.7,411.5,568.9,357.5,556.7,599,580.8,479.6,474.1,463.8,410.6,404.3,348.2,275.7,287.2,258,270.4,284.1,303.5,320,348.5,367.1,395.3,395.3,313.1,309.8,309.8,386.8,309.8,309.8,452.1
308,"1130308","Guimarães",1956.2,1549.2,2130.1,1343.4,2081.7,2284.8,2229.7,1833,1802.9,1765.3,1558.5,1527.5,1311.3,961.6,930.9,755.2,689.1,659.2,624.4,589.8,557,511.6,467.2,467.2,369,365,365,457.1,365,365,537.3
309,"1130309","Póvoa de Lanhoso",1870.6,1482.2,2038.9,1222.4,1785.6,1778.5,1600.2,1197.2,1043.1,879.8,638.9,474.7,266.9,241.1,287.2,281,326.9,375.1,427.2,483.5,550.9,617.8,700.8,700.8,555.2,549.2,549.2,685.7,549.2,549.2,804.2
