"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",0,0,0,0,0,12.9,10.6,25.1,29,41,40.9,59.8,105.1,93,101.2,86,74.6,78.6,67.7,121,136.9,123.1,89.7,92,106,108.6,123.6,121.6,119.5,129.4,129.4
1602,"1111602","Caminha",0,0,0,0,0,7.3,5.8,13.7,15.9,21.7,21.7,29.2,48.9,43.6,48,41.4,34.8,36.6,31.3,42.2,44.3,43.6,36.4,36.7,41.5,41.8,46.9,44.9,42.9,45.1,45.1
1603,"1111603","Melgaço",0,0,0,0,0,7.8,5.7,13.5,15.7,19.8,19.8,27.6,47.2,42,45.9,39.4,33.2,34.9,30,36.4,36.4,38,34.2,34.2,38.4,38.3,42.5,40.2,37.9,39.1,39.1
1604,"1111604","Monção",0,0,0,0,0,16.2,15.5,36.7,42.5,67.3,67.3,91.7,154.7,137.8,151.2,130.1,110.3,115.9,99.4,119.1,117.2,124.3,114.6,114.1,128,127.6,141.4,133,124.6,127.9,127.9
1605,"1111605","Paredes de Coura",0,0,0,0,0,5.3,4.4,10.5,12.2,17.5,17.5,25.6,45,39.9,43.3,36.9,32,33.6,28.8,36,35.1,37.5,35.2,34.9,39.1,39,43.1,40.4,37.8,38.6,38.6
1606,"1111606","Ponte da Barca",0,0,0,0,0,4.6,3.3,7.9,9.1,11.3,11.3,17.1,30.6,27,29.2,24.8,20.6,21.7,18.8,28.9,32.2,29.5,22.1,22.6,25.9,26.4,30.1,29.4,28.7,30.9,30.9
1607,"1111607","Ponte de Lima",0,0,0,0,0,27.8,21.4,50.9,59,78.8,78.8,109.1,185.8,165.4,181,155.3,138.6,145.8,125.2,192,199.9,198.3,168.2,169.2,191.5,192.7,215.4,205.9,196.4,205.7,205.7
1608,"1111608","Valença",0,0,0,0,0,6.7,5.8,13.7,15.9,23.3,23.3,36.7,66.8,58.8,63.5,53.5,46.2,48.7,42,53,51.9,55.2,51.3,51.1,57.2,56.9,63.1,59.3,55.5,56.7,56.7
1609,"1111609","Viana do Castelo",0,0,0,0,0,28.5,36.4,86.4,100,185.5,185.4,300.3,553.8,486.4,523.9,439.7,305.7,322.8,278.9,161.5,165.7,167.4,145.6,146.1,165,165.4,184.5,175.4,166.5,173.1,173.1
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0,5.7,3.6,8.5,9.8,10.1,10,15.8,28.6,25.2,27.3,22.9,20.7,21.8,18.7,28.3,28.7,29.2,25.6,25.6,29,29,32.3,30.7,29.1,30.2,30.2
301,"1120301","Amares",0,0,0,0,0,28.1,17.4,41.4,48,48.7,48.7,65.9,110.9,98.8,108.5,93.4,67.3,70.7,60.6,45.1,47.9,46.5,38.2,38.6,43.9,44.3,49.7,47.7,45.9,48.3,48.3
302,"1120302","Barcelos",0,0,0,0,0,7.1,7.7,18.2,21,35.9,35.9,51.3,88.8,78.8,85.9,73.4,78.2,82.4,70.8,146,151.3,150.9,129,129.6,146.6,147.4,164.7,157.2,149.7,156.4,156.4
303,"1120303","Braga",0,0,0,0,0,4.9,5.5,13,15.1,26.3,26.3,46.4,88.6,77.4,82.8,68.8,62.2,65.7,56.9,100.8,109.7,103.3,81.2,82.5,94.2,95.6,107.8,104.5,101.2,107.8,107.8
306,"1120306","Esposende",0,0,0,0,0,9.4,6.6,15.7,18.2,22.1,22.1,32.8,57.9,51.2,55.7,47.3,47.1,49.6,42.8,88.9,96.3,91.1,72.2,73.3,83.6,84.8,95.5,92.5,89.4,95,95
