"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",121.1,93.9,118.2,109.2,106,115.2,106.1,88.5,85.7,45.2,43.5,42.1,45.6,35,24.4,22.6,18,18,24,16.6,16.6,15.4,16.6,15.4,14.4,15.7,13.3,14.4,13.3,13.3,17.5
1602,"1111602","Caminha",48,37.2,46.8,43.3,41.9,45.7,36.2,30.3,29.1,6.5,6.3,6.1,6.5,4.9,3.5,3.2,5.1,5.1,6.8,12,12,11.1,12,11.1,10.6,11.3,9.6,10.6,9.6,9.6,12.5
1603,"1111603","Melgaço",63.7,49.4,62.1,57.4,55.7,60.6,64.4,53.5,51.9,40.5,39.1,37.9,41,31.5,22,20.4,14.2,14.2,19,8.3,8.3,7.7,8.3,7.7,7.2,7.9,6.5,7.2,6.5,6.5,8.7
1604,"1111604","Monção",121.5,94.3,118.6,109.4,106.4,115.4,88.4,73.6,71.5,10.2,9.8,9.5,10.3,7.9,5.4,5.1,8.9,8.9,11.7,22.1,22.1,20.6,22.1,20.6,19.5,21.2,17.4,19.5,17.4,17.4,23.6
1605,"1111605","Paredes de Coura",152.3,118,148.6,137.2,133.3,144.7,112.4,93.8,90.8,16.1,15.6,15.1,16.3,12.5,8.7,8.1,8.6,8.6,11.4,14.1,14.1,13.2,14.1,13.2,12.3,13.3,11.3,12.3,11.3,11.3,14.8
1606,"1111606","Ponte da Barca",41.9,32.5,41,37.8,36.9,40,42.1,35.2,34,26.1,25.1,24.2,26.3,20.4,14.1,12.9,9.1,9.1,12,4.6,4.6,4.3,4.6,4.3,4.1,4.4,3.8,4.1,3.8,3.8,4.9
1607,"1111607","Ponte de Lima",435.1,337.3,424.3,391.6,380.8,413.4,426.2,355.3,344.1,251,242.6,234.2,253.7,195,136.6,125.5,105.4,105.4,140.4,114.6,114.6,106.3,114.6,106.3,100.2,109.4,91,100.2,91,91,121.6
1608,"1111608","Valença",15.3,11.8,14.9,13.7,13.3,14.5,46.6,38.9,37.7,70.5,68.2,65.9,71.4,54.9,38.6,35.5,55.4,55.4,73.7,130.3,130.3,121,130.3,121,113.9,124.5,103.6,113.9,103.6,103.6,138.3
1609,"1111609","Viana do Castelo",166.2,128.8,162.1,149.6,145.4,158,139.5,116.2,112.7,50.3,48.7,46.8,50.8,39.1,27.4,25.3,24.7,24.7,33.2,37.2,37.2,34.4,37.2,34.4,32.5,35.6,29.4,32.5,29.4,29.4,39.5
1610,"1111610","Vila Nova de Cerveira",9.2,7.2,9,8.2,8,8.8,8.7,7.2,7,4.7,4.4,4.2,4.6,3.5,2.4,2.1,3,3,4,6.4,6.4,6.1,6.4,6.1,5.5,6.2,5.1,5.5,5.1,5.1,6.8
