"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",11473,11145.2,9986.4,10236.6,12977.2,11122.6,10332.3,9628.9,8316,7592.2,7022.4,6529.6,6050,5101.2,8322.6,6311.2,7315,7392,6669.3,5996.1,5692.5,5250.3,5220.6,6020.8,5434,5162.3,4802.6,4672.8,3368.8,2879.8,2710.4
1602,"1111602","Caminha",770,748,663.3,762.3,1108.2,1039.5,1091.2,1107.1,1056,1052.7,1065.9,1078,1089,932.8,1573,1234.2,1457.5,1478.4,1370,1265,1212.8,1135.2,1155,1330.4,1188,1128.6,1058.2,1029.6,750.8,635.8,598.4
1603,"1111603","Melgaço",8932,8676.8,7775.4,7368.9,8544.2,6583.5,5387.8,4294.4,3069,2169.2,1379.4,677.6,0,29.2,114.4,140.2,220,264,284.3,278.3,297,307.4,346.5,405.9,352,334.4,325.6,316.8,231,187,176
1604,"1111604","Monção",36036,35006.4,31359.4,29802.3,34677.5,26853.8,22199.1,17882.1,12936,9346.7,6238.6,3388,756.3,903.7,1887.6,1739.1,2392.5,2745.6,2791.8,2783,2895.8,2885.3,3095.4,3562.9,3212,3051.4,2849,2772,2002,1701.7,1601.6
1605,"1111605","Paredes de Coura",1232,1196.8,1068.7,1560.9,2574,2737.3,3103.1,3422.1,3432,3604.7,3824.7,4004,4174.5,4314.2,8322.6,7265,9487.5,10639.2,10520.9,10297.1,10494,10382.4,10972.5,12650.5,11396,10826.2,10114,9840.6,7064.8,6058.8,5702.4
1606,"1111606","Ponte da Barca",3734.5,3627.8,3242.8,3194.4,3932.5,3222.4,2864.4,2516.2,2046,1754.5,1504.8,1262.8,1058.8,1399.2,3060.2,2889.2,4015,4699.2,4808.1,4832.3,5049,5084.8,5451.6,6291.4,5676,5392.2,5026.4,4890.6,3503.5,3010.7,2833.6
1607,"1111607","Ponte de Lima",17055.5,16568.2,14850.6,15826.8,20878,18572.4,18004.8,17446,15708,14993,14546.4,14106.4,13673,11805.8,19705.4,15259.2,18067.5,18585.6,17086.8,15686,15097.5,14190,14322,16529.1,14872,14128.4,13186.8,12830.4,9220.8,7910.1,7444.8
1608,"1111608","Valença",539,523.6,479,544.5,715,658.4,682,671,627,606.1,627,616,605,728.8,1544.4,1430.6,1952.5,2244,2274.8,2277,2376,2365,2541,2931.5,2640,2508,2340.2,2277,1636.2,1402.5,1320
1609,"1111609","Viana do Castelo",12281.5,11930.6,10686.5,11107.8,14335.8,12474,11798.6,11172.1,9834,9155.3,8652.6,8192.8,7774.3,6937.7,11983.4,9565,11632.5,12276,11529.1,10803.1,10593,10145.9,10395,11996.6,10802,10261.9,9564.5,9306,6699,5740.9,5403.2
1610,"1111610","Vila Nova de Cerveira",2926,2842.4,2542.7,2541,3146,2598.8,2352.9,2113.7,1749,1531.2,1348,1170.4,1028.5,845.4,1315.6,953.7,1045,1029.6,878.9,759,693,614.9,577.5,676.5,594,564.3,529.1,514.8,365.8,317.9,299.2
301,"1120301","Amares",12743.5,12379.4,11091.9,14000.8,16783.2,15628.8,13622.4,11774.4,9292.8,7708.8,6230.4,4804.8,3432,2745.6,3562.9,1570.8,1650,1478.4,1163.2,910.8,742.5,567.6,462,541.2,484,459.8,427.4,415.8,308,261.8,246.4
302,"1120302","Barcelos",40463.5,39307.4,35191.8,39930,55913,52529.4,53502.9,54351,51084,50721,51131.8,69764.2,89138.5,86290,158175.6,132882.8,169092,187598.4,182978.4,177375,179613.5,179221.9,212165.8,248047.8,226413,221381.6,209774.4,207363.2,151470,132085.8,128940.9
303,"1120303","Braga",8200.5,7966.2,7148.9,8893.5,13406.2,13374.9,16632,17689.6,19756,20420.4,18498.7,21986.8,25712.5,21181.6,29541.6,21711.8,20922,16975.2,14734.5,12801.8,11632.5,10358.7,12240.8,14193.3,12842.5,12328.8,11580.8,8870.4,6371.8,5460.4,5139.2
306,"1120306","Esposende",10318,10023.2,8991.4,9510.6,12441,10984,10571,10165.6,9075,8613,8276.4,9401.7,13271.5,11150.7,18064.2,13563.6,15592.5,13942.5,12450.9,11118.8,10436.2,9676.1,10869.1,12696.8,11572,11282.7,10672.2,10533.6,7672.5,6674.8,6494.4
310,"1120310","Terras de Bouro",1232,1196.8,1068.7,1197.9,1680.2,1593.9,1602.7,1644,1518,1531.2,1536.1,1540,1542.8,1340.9,2288,1795.2,2145,2217.6,2068,1897.5,1856.2,1750.1,1778.7,2052,1848,1755.6,1628,1584,1155,972.4,915.2
313,"1120313","Vila Verde",19866,19298.4,17282.7,18113.7,23559.2,20616.8,19675.7,18788,16665,15631,14922.6,14260.4,13642.8,11718.3,19533.8,15062.9,17792.5,18268.8,16750.8,15331.8,14701.5,13811.6,13906.2,16055.6,14454,13731.3,12800.1,12454.2,8951.2,7667,7216
307,"1130307","Fafe",2117.5,2057,1842.5,3085.5,5505.5,6167.7,7161,8052,8250,8804.4,9405,9948.4,10436.2,7899.7,11440,7601.6,7617.5,6494.4,4808.1,3440.8,2400.8,1442.7,693,811.8,726,689.7,630.9,613.8,442.8,374,352
308,"1130308","Guimarães",18980.5,18438.2,16508.8,17532.9,23058.8,23728.6,26158,25393.5,22880,21921.9,18535.6,20691,22814,18260,24631.2,15030.4,13502.5,12619.2,10469.2,8627.3,7425,6220,5520.9,6359.1,5742,5454.9,5087.5,4950,3561.2,3048.1,2868.8
