"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",78.4,78.4,117.6,39.2,78.4,117.6,109.8,38.8,73.7,62.1,31,31,31,31,31,30.7,30.7,30.7,0,0,0,0,0,0,0,0,0,0,0,0,0
1602,"1111602","Caminha",51,51,74.5,23.5,51,74.5,58.8,19.4,38.8,7.8,3.9,3.9,3.9,3.9,3.9,3.8,3.8,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0
1603,"1111603","Melgaço",90.2,90.2,137.2,47,90.2,137.2,117.6,38.8,77.6,38.8,19.4,19.4,19.4,19.4,19.4,19.2,19.2,19.2,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,"1111604","Monção",160.7,160.7,239.1,78.4,160.7,239.1,192.1,62.1,124.2,31,15.5,15.5,15.5,15.5,15.5,15.4,15.4,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,"1111605","Paredes de Coura",58.8,58.8,86.2,27.4,58.8,86.2,78.4,23.3,50.4,31,15.5,15.5,15.5,15.5,15.5,15.4,15.4,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,"1111606","Ponte da Barca",51,51,78.4,27.4,51,78.4,66.6,23.3,46.6,23.3,11.6,11.6,11.6,11.6,11.6,11.5,11.5,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1607,"1111607","Ponte de Lima",282.2,282.2,423.4,141.1,282.2,423.4,384.2,124.2,252.2,170.7,85.4,85.4,85.4,85.4,85.4,84.5,84.5,84.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1608,"1111608","Valença",27.4,27.4,43.1,15.7,27.4,43.1,66.6,23.3,46.6,93.1,46.6,46.6,46.6,46.6,46.6,46.1,46.1,46.1,0,0,0,0,0,0,0,0,0,0,0,0,0
1609,"1111609","Viana do Castelo",211.7,211.7,317.5,105.8,211.7,317.5,270.5,89.2,178.5,85.4,42.7,42.7,42.7,42.7,42.7,42.2,42.2,42.2,0,0,0,0,0,0,0,0,0,0,0,0,0
1610,"1111610","Vila Nova de Cerveira",31.4,31.4,47,15.7,31.4,47,39.2,15.5,27.2,15.5,7.8,7.8,7.8,7.8,7.8,7.7,7.7,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0
301,"1120301","Amares",51,51,74.5,23.5,51,74.5,219.5,73.7,147.4,434.6,217.3,217.3,217.3,217.3,217.3,215,215,215,0,0,0,0,0,0,0,0,0,0,0,0,0
302,"1120302","Barcelos",215.6,215.6,325.4,109.8,215.6,325.4,325.4,108.6,217.3,217.3,108.6,108.6,108.6,108.6,108.6,107.5,107.5,107.5,0,0,0,0,0,0,0,0,0,0,0,0,0
303,"1120303","Braga",129.4,129.4,192.1,62.7,129.4,192.1,188.2,62.1,124.2,116.4,58.2,58.2,58.2,58.2,58.2,57.6,57.6,57.6,0,0,0,0,0,0,0,0,0,0,0,0,0
306,"1120306","Esposende",78.4,78.4,117.6,39.2,78.4,117.6,109.8,38.8,73.7,62.1,31,31,31,31,31,30.7,30.7,30.7,0,0,0,0,0,0,0,0,0,0,0,0,0
310,"1120310","Terras de Bouro",58.8,58.8,86.2,27.4,58.8,86.2,78.4,27.2,54.3,38.8,19.4,19.4,19.4,19.4,19.4,19.2,19.2,19.2,0,0,0,0,0,0,0,0,0,0,0,0,0
313,"1120313","Vila Verde",192.1,192.1,286.2,94.1,192.1,286.2,278.3,93.1,182.4,163,81.5,81.5,81.5,81.5,81.5,80.6,80.6,80.6,0,0,0,0,0,0,0,0,0,0,0,0,0
307,"1130307","Fafe",121.5,121.5,184.2,62.7,121.5,184.2,172.5,58.2,116.4,93.1,46.6,46.6,46.6,46.6,46.6,46.1,46.1,46.1,0,0,0,0,0,0,0,0,0,0,0,0,0
308,"1130308","Guimarães",356.7,356.7,533.1,176.4,356.7,533.1,501.8,163,329.8,263.8,131.9,131.9,131.9,131.9,131.9,130.6,130.6,130.6,0,0,0,0,0,0,0,0,0,0,0,0,0
309,"1130309","Póvoa de Lanhoso",62.7,62.7,94.1,31.4,62.7,94.1,90.2,31,62.1,54.3,27.2,27.2,27.2,27.2,27.2,26.9,26.9,26.9,0,0,0,0,0,0,0,0,0,0,0,0,0
1314,"1131314","Santo Tirso",321.4,321.4,482.2,160.7,321.4,482.2,399.8,131.9,263.8,100.9,50.4,50.4,50.4,50.4,50.4,49.9,49.9,49.9,0,0,0,0,0,0,0,0,0,0,0,0,0
1318,"1131318","Trofa",0,0,0,0,0,0,39.2,15.5,27.2,108.6,54.3,54.3,54.3,54.3,54.3,53.8,53.8,53.8,0,0,0,0,0,0,0,0,0,0,0,0,0
311,"1130311","Vieira do Minho",74.5,74.5,109.8,35.3,74.5,109.8,113.7,38.8,77.6,85.4,42.7,42.7,42.7,42.7,42.7,42.2,42.2,42.2,0,0,0,0,0,0,0,0,0,0,0,0,0
312,"1130312","Vila Nova de Famalicão",152.9,152.9,231.3,78.4,152.9,231.3,223.4,73.7,147.4,131.9,66,66,66,66,66,65.3,65.3,65.3,0,0,0,0,0,0,0,0,0,0,0,0,0
