"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",6043.8,6575.1,6661.7,5832.9,4393.8,5152.4,4258.4,4588.8,4599.5,4401.8,4000.8,4011.5,4130,3976.1,4013.2,4166.5,4194.1,4018.9,3649.4,3791.1,3917,4093.8,4334.2,4123.4,4152.5,3970.8,3989.6,3896.2,3907.1,3913.2,3425.2
1602,"1111602","Caminha",2438.4,2653.8,2684.2,2276.7,1654.3,1857.8,1470.8,1510,1437.5,1287.1,1095.6,1012.3,949.8,873.9,841.4,835.5,803.9,734.3,640.5,636.3,631.5,636.3,644.9,610.3,617.8,590.8,596.8,582.9,581.2,585,509.7
1603,"1111603","Melgaço",1111.2,1204.5,1221.1,1009.1,706.1,769.4,573.6,565.2,497.1,404.9,303.6,233.4,165.4,195.3,227,266,303.5,316.8,311,344.2,376,412.7,462.1,438,442.5,423.1,426.4,416.6,418.8,420.6,365.1
1604,"1111604","Monção",2342.2,2551.4,2583.6,2174.6,1570.2,1767.8,1389.6,1409.8,1328.3,1180.6,989.1,897.8,827.5,746.4,707,694.7,648.4,584.1,500.5,483,465.9,455,453,429.3,434,415,418.6,408.6,411.4,407.3,357.9
1605,"1111605","Paredes de Coura",1022.1,1106.7,1125,1076.8,890.2,1135.9,1027,1194,1305.6,1352.8,1322.1,1432,1593,1558.3,1592.9,1677.2,1706.6,1653.5,1518.8,1591.9,1661,1750.8,1866.8,1777.9,1788.4,1710.1,1716.3,1676.1,1685.3,1686,1475.2
1606,"1111606","Ponte da Barca",2065,2253.3,2277.2,1923.5,1398.6,1575.2,1248,1269.5,1211.1,1088.3,920.9,850.7,791.5,739,726.4,739.2,726.3,684,608.1,619.9,623,642.1,664.8,629.8,636.9,609,614.2,600,597.6,600.8,525.3
1607,"1111607","Ponte de Lima",14261.6,15526.2,15714.7,13562.6,10040.8,11590.6,9397.8,9930.5,9751.3,9104.9,8072.4,7868.2,7861,7467.6,7437.1,7628.3,7578.5,7175.4,6454.9,6624.1,6789.9,7012.1,7362.8,7001.9,7054,6745.2,6779.5,6620.7,6642,6654.3,5818.6
1608,"1111608","Valença",1361.3,1479.9,1503.4,1289.3,953.6,1101.6,892.8,939.6,915.6,859.2,751.6,730.3,727.7,651,605.3,577.7,534.1,474.7,394.9,371.8,357,335.7,321.8,307.9,308.2,294.6,294.4,287.5,292.8,291.6,254.2
1609,"1111609","Viana do Castelo",16734.8,18208.7,18436.9,15839.6,11673.4,13400.8,10807.5,11337.5,11067.6,10256,9008.2,8686.4,8582.4,7782,7394.9,7240.8,6859,6188.2,5295.8,5171.8,5040.8,4945.3,4931,4692.6,4724.2,4517.3,4537.2,4430.9,4448.4,4453.7,3896.8
1610,"1111610","Vila Nova de Cerveira",1431.2,1558.2,1580.2,1515.7,1231.5,1575.1,1411.2,1638.4,1780.2,1839.8,1801.5,1938,2150.7,1904.9,1769.4,1688.1,1550.5,1350.9,1121.9,1054.4,981.2,920.7,866.2,820.4,829.9,793.5,800.7,782.1,781.6,780.1,684.5
