"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",857.2,857.2,857.2,782.2,707.3,625.6,512.5,602,696.9,649.5,648.5,798.6,939,845.5,744.1,652,554.6,478.8,408.3,363.1,330.7,332.1,336.6,332.1,324.6,320.1,312.1,288.3,264.6,238.1,238.1
1602,"1111602","Caminha",490.8,490.8,490.8,447.4,404.6,357.6,282.1,331.3,383.9,345.1,344.7,424.3,498.9,449.3,395.6,346.4,289.8,250.4,213.7,181.7,165.2,166.2,168.5,166.2,162.1,159.9,155.9,144.1,132.1,118.7,118.7
1603,"1111603","Melgaço",518.7,518.7,518.7,473.1,427.4,378.1,277.1,325.2,376.6,314.4,314.4,386.6,454.6,409.5,360.5,315.7,272.9,235.4,200.9,185.9,169.6,170,172.2,170,166,163.7,159.7,147.4,135.4,121.7,121.7
1604,"1111604","Monção",1093.6,1093.6,1093.6,997.8,902.1,797.7,759.4,892.8,1033.4,1080.6,1079.6,1329.3,1562.4,1407,1238.8,1084.6,939.9,811.7,692.6,645.5,587.9,589.8,598,590.3,576.2,568.6,554.5,512.2,469.8,422.6,422.6
1605,"1111605","Paredes de Coura",351.8,351.8,351.8,320.9,289.9,256.4,215,252.8,292.7,277.9,277.4,341.8,401.5,361.8,318.4,278.6,255.4,220.3,188,198.3,181.1,181.3,184,181.3,177,174.9,170.8,157.4,144.6,129.8,129.8
1606,"1111606","Ponte da Barca",302.9,302.9,302.9,276.2,249.5,220.6,159.1,186.9,216,177,177,218,256.3,230.8,203.4,178,149,128.7,110.1,93.5,85.3,85.3,86.7,85.3,83.6,82.2,80.4,74.3,68.2,61.4,61.4
1607,"1111607","Ponte de Lima",1860.9,1860.9,1860.9,1697.9,1534.9,1358,1049.3,1232.9,1427.7,1259.8,1258.7,1550.1,1822.1,1640.8,1444.4,1264.7,1140.3,984.3,840.2,858.5,782.1,784.7,796.1,785.5,766.7,756.3,737.8,681.3,624.8,562.5,562.5
1608,"1111608","Valença",442.7,442.7,442.7,403.9,365,323,277.2,325.9,377.2,365.9,365.4,450.2,528.9,476.2,419.2,367.1,345.9,298.4,254.7,284.8,259.6,260.4,263.9,260.8,254.6,250.9,244.6,226.3,207.6,186.7,186.7
1609,"1111609","Viana do Castelo",1904,1904,1904,1737.1,1570.2,1389.1,1773.4,2084.1,2413.3,2953.9,2951.9,3634.6,4272.7,3847.2,3386.5,2965.9,2155,1859.7,1587.4,764.5,696.7,698.6,708.7,699.6,682.6,673.1,656.9,606.4,556.8,500.6,500.6
1610,"1111610","Vila Nova de Cerveira",375.1,375.1,375.1,342.3,309.7,274,170.9,200.9,232.6,157.2,156.7,193.2,226.8,204.6,180,157.6,152.5,131.9,112.5,132.2,120.7,121.3,122.9,121.3,118.6,116.8,113.7,105,96.3,86.8,86.8
301,"1120301","Amares",1873.7,1873.7,1873.7,1709.3,1544.9,1366.8,847.8,996.5,1153.8,773.2,772.7,951.1,1118.4,1007.4,886.3,776.2,558.5,482.1,411.5,187.1,170.6,171.1,173.5,171.1,167,164.8,160.8,148.4,136.4,122.8,122.8
302,"1120302","Barcelos",476.1,476.1,476.1,434.1,392.6,347.3,373.6,438.9,508.1,572.3,571.8,704.3,827.8,745.4,656.1,574.6,632.2,545.3,465.6,663.9,604.6,606.8,615.5,607.2,592.5,585,570.5,527,483.5,434.7,434.7
303,"1120303","Braga",325.4,325.4,325.4,296.9,268.5,237.5,266.7,313.6,362.6,417.9,417.9,514.1,604.4,544.5,479.2,419.4,415.3,358.4,305.8,373.2,340,341.3,345.8,341.3,333.2,328.6,320.6,295.9,271.6,244.5,244.5
306,"1120306","Esposende",630.4,630.4,630.4,575,519.6,459.9,324.8,381.6,441.7,353.7,353.7,435.3,511.6,460.7,405.7,355.4,360.5,311.2,265.6,337.7,308,308.6,313.2,309,301.7,297.6,290.3,268.1,245.9,221.1,221.1
310,"1120310","Terras de Bouro",103,103,103,93.7,84.8,74.8,76.8,90.4,104.3,114.1,114.1,140.5,165.4,149,131.2,114.9,88.4,76.6,65.2,42.2,38.6,38.6,39.1,38.6,37.7,37.3,36.3,33.4,30.7,27.8,27.8
313,"1120313","Vila Verde",545.4,545.4,545.4,497.6,449.8,397.9,325.9,383,443.2,413,412.6,508.2,597.1,537.6,473.6,414.7,359.2,310,264.6,246.4,224.5,224.8,227.9,225.2,219.8,217.1,211.6,195.4,179.2,161.2,161.2
307,"1130307","Fafe",278.7,278.7,278.7,254.4,230,203.6,179,210.6,243.5,240.5,240.1,295.9,348.1,313.6,275.9,241.8,191.2,164.9,141.2,100.1,91.6,92,92.8,92,89.6,88.3,86.4,79.8,72.8,66,66
308,"1130308","Guimarães",279.3,279.3,279.3,255,230.2,203.8,149.4,175.4,203.2,170,170,208.6,245.8,221,194.7,170.7,204.3,176.5,150.6,238.1,216.9,217.6,220.4,217.6,212.1,209.4,204.6,188.8,173,155.9,155.9
309,"1130309","Póvoa de Lanhoso",112.3,112.3,112.3,102.1,92.5,81.5,73.1,85.9,99.6,99,99,122,143.4,129,114,99.8,96.5,83.4,71.1,83.7,76.6,76.7,78,76.7,74.9,74,72,66.4,61.1,54.9,54.9
1314,"1131314","Santo Tirso",266.4,266.4,266.4,243.2,219.8,194.1,140.2,165,190.7,156.6,156.6,192.6,226.8,204,179.6,157.6,147.2,127,108.4,119.4,108.7,108.9,110.7,108.9,106.2,105,102.6,94.5,87,78,78
1318,"1131318","Trofa",0,0,0,0,0,0,18.2,21.4,24.4,42.7,42.7,52.4,61.8,55.7,49,42.7,70.2,60.6,51.7,105.1,95.4,96.1,97.1,96.1,93.7,92.6,90.1,83.4,76.3,68.8,68.8
311,"1130311","Vieira do Minho",129.2,129.2,129.2,118.1,106.9,94.2,76.8,90.5,104.7,97.5,97.5,119.7,140.8,126.7,111.7,97.8,98.3,84.9,72.6,91.2,83.1,83.1,84.5,83.1,81.3,80.4,78.2,72.5,66.4,59.7,59.7
312,"1130312","Vila Nova de Famalicão",169.2,169.2,169.2,154.4,139.6,123.6,187.5,220,254.8,333.4,333,410,482.1,434.2,381.9,334.5,330.3,285.1,243.5,295.9,269.6,270.4,274.1,270.9,264.4,260.4,253.8,234.8,215.4,193.7,193.7
314,"1130314","Vizela",0,0,0,0,0,0,17.5,20.8,24.1,42,42,51.6,60.6,54.8,48.1,42.1,33.2,28.7,24.5,16.9,15.6,15.9,15.9,15.9,15.3,15.3,14.6,13.8,12.4,11.4,11.4
