"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",0,0,0,3.8,3.1,2.8,2.7,2.3,2.4,2.3,2.6,2.2,2.4,1.7,1.4,1.4,1.2,1.4,1.4,1.3,1.1,1.1,1.1,1.1,0.8,0.7,0.8,1.1,0.9,0.9,0.8
1602,"1111602","Caminha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1603,"1111603","Melgaço",0,0,0,2.5,2,1.8,1.7,1.5,1.5,1.5,1.7,1.4,1.6,1.1,0.9,0.8,0.7,0.8,0.7,0.6,0.5,0.5,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.3,0.3
1604,"1111604","Monção",0,0,0,3.9,3.2,2.8,2.7,2.3,2.4,2.3,2.6,2.2,2.4,1.7,1.3,1.3,1.1,1.3,1.2,1,0.9,0.8,0.7,0.7,0.5,0.5,0.5,0.7,0.6,0.5,0.5
1605,"1111605","Paredes de Coura",0,0,0,3.5,2.9,2.5,2.5,2.1,2.2,2.1,2.3,2,2.2,1.6,1.2,1.2,1.1,1.2,1.2,1.1,0.9,0.9,0.9,0.8,0.6,0.6,0.6,0.9,0.7,0.7,0.6
1606,"1111606","Ponte da Barca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1607,"1111607","Ponte de Lima",0,0,0,4,3.3,2.9,2.8,2.4,2.5,2.4,2.7,2.3,2.5,1.8,1.5,1.4,1.3,1.5,1.5,1.4,1.2,1.2,1.2,1.2,0.9,0.8,0.9,1.2,1,1,0.9
1608,"1111608","Valença",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1609,"1111609","Viana do Castelo",0,0,0,13.1,10.7,9.5,9.2,8,8.2,7.8,8.7,7.6,8.3,6,4.8,4.8,4.4,5.2,5.2,4.8,4.5,4.5,4.7,4.5,3.3,3.1,3.5,4.6,3.9,3.7,3.3
1610,"1111610","Vila Nova de Cerveira",0,0,0,1.8,1.5,1.3,1.3,1.1,1.2,1.1,1.2,1.1,1.2,0.8,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.3,0.3
301,"1120301","Amares",0,0,0,18.7,15.3,13.6,13.1,11.5,11.7,11.2,12.6,10.9,11.9,10.9,10.9,12.6,13.8,19.2,22.2,23.9,25.5,29.6,35.7,34.2,24.8,23.3,26.2,35,29.1,27.7,24.5
302,"1120302","Barcelos",0,0,0,9.5,7.8,6.9,6.7,5.8,5.9,5.6,6.3,5.7,6.2,4.4,3.5,3.5,3.2,3.7,3.6,3.3,3,3,3,2.9,2.1,2,2.3,3,2.5,2.4,2.1
303,"1120303","Braga",0,0,0,12.2,10,8.9,8.8,7.6,7.8,7.5,8.4,7.3,7.9,5.9,4.9,5,4.8,5.8,5.7,5.5,5.3,5.6,6.4,6.1,4.5,4.2,4.7,6.3,5.3,4.8,4.2
306,"1120306","Esposende",0,0,0,5.1,4.2,3.7,3.6,3.1,3.2,3,3.4,3,3.3,2.3,1.8,1.8,1.6,1.8,1.8,1.6,1.4,1.3,1.3,1.2,0.9,0.8,0.9,1.2,1,1,0.9
310,"1120310","Terras de Bouro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,"1120313","Vila Verde",0,0,0,20.5,16.8,14.9,14.5,12.5,12.8,12.2,13.7,11.9,13,9.4,7.6,7.6,7,8.3,8.3,7.7,7.2,7.3,7.7,7.3,5.3,5,5.6,7.5,6.2,5.9,5.2
307,"1130307","Fafe",0,0,0,4.9,4,3.6,3.5,3,3.1,2.9,3.3,2.9,3.1,2.3,1.9,1.9,1.8,2.2,2.3,2.2,2.1,2.2,2.4,2.3,1.7,1.6,1.8,2.3,2,1.9,1.6
308,"1130308","Guimarães",0,0,0,4.7,3.8,3.5,3.4,2.9,3,2.9,3.2,2.8,3.1,2.1,1.6,1.6,1.3,1.5,1.3,1.1,0.9,0.8,0.7,0.6,0.5,0.4,0.5,0.6,0.5,0.5,0.5
309,"1130309","Póvoa de Lanhoso",0,0,0,2,1.7,1.5,1.4,1.2,1.3,1.2,1.4,1.2,1.3,1,0.8,0.9,0.9,1.1,1.2,1.2,1.1,1.2,1.4,1.4,1,0.9,1,1.4,1.2,1.1,1
1314,"1131314","Santo Tirso",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1318,"1131318","Trofa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,"1130311","Vieira do Minho",0,0,0,14.1,11.6,10.3,9.9,8.6,8.8,8.4,9.4,8.2,8.9,6.2,4.9,4.6,4.1,4.6,4.3,3.7,3.1,2.8,2.5,2.4,1.7,1.6,1.9,2.5,2,2,1.7
312,"1130312","Vila Nova de Famalicão",0,0,0,9.2,7.5,6.8,6.6,5.8,5.9,5.6,6.3,5.5,6,6.5,7.2,9.4,10.8,15.6,18.6,20.5,22.4,26.4,32.3,31,22.7,21.3,24,32,26.7,25.3,22.4
314,"1130314","Vizela",0,0,0,3.2,2.6,2.3,2.3,2,2,1.9,2.1,1.9,2,1.4,1.1,1,0.9,1,1,0.9,0.7,0.7,0.6,0.6,0.4,0.4,0.5,0.6,0.5,0.5,0.4
107,"1140107","Espinho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1304,"1141304","Gondomar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1306,"1141306","Maia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1308,"1141308","Matosinhos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1312,"1141312","Porto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1313,"1141313","Póvoa de Varzim",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1315,"1141315","Valongo",0,0,0,33.6,27.5,25,24.3,21.2,21.6,20.6,22.5,20.1,21.9,15,11.3,10.6,8.9,9.3,8.1,6.2,4.4,3,1.3,1.2,1,0.9,1,1.3,1.1,1.1,1
1316,"1141316","Vila do Conde",0,0,0,4.9,4,3.6,3.5,3.1,3.2,3,3.4,2.9,3.2,2.2,1.7,1.6,1.4,1.6,1.4,1.2,1,0.8,0.7,0.6,0.5,0.4,0.5,0.7,0.5,0.5,0.5
1317,"1141317","Vila Nova de Gaia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1301,"1151301","Amarante",0,0,0,76,62.2,55.3,53.6,46.2,47.4,45.1,50.8,44,48,33,25.2,23.3,19.9,21.3,18.7,14.9,11.2,8.3,5.2,5,3.6,3.4,3.8,5.1,4.3,4,3.6
1302,"1151302","Baião",0,0,0,3.2,2.6,2.3,2.3,2,2,1.9,2.1,1.9,2,1.4,1.2,1.1,1,1.2,1.2,1.1,1,0.9,1,0.9,0.7,0.6,0.7,0.9,0.8,0.7,0.7
