"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",41535.7,37004.9,37517.8,37555.8,37543.6,37173.8,24838.6,24808,25941,11149.8,11288.8,10617.7,9978,9213.2,8593.2,8569.1,4806.1,5002.9,4558.2,81.9,80.4,80.9,80.5,79.2,79.3,78.3,78.2,77,75.3,74.8,73.3
1602,"1111602","Caminha",37868.3,33747.7,34215.6,34250.1,34238.8,33888.6,25494.9,25463.6,26627,16350.4,16554,15581.1,14626,13509.7,12583.6,12551.4,7698,8012.6,7305.6,1555.9,1549,1537.8,1408,1325.7,1310.3,1294,1289.6,1290.3,1356.2,1327.3,1303
1603,"1111603","Melgaço",10589.9,9442,9572.8,9582.5,9579.2,9473.6,5124.3,5118.1,5338.2,192.7,195,172.7,170.5,149.6,147.8,145.9,81.4,81.2,83.2,0,0,0,0,0,0,0,0,0,0,0,0
1604,"1111604","Monção",35972.9,32057.1,32501.5,32534.4,32523.9,32193.1,19121.2,19097.6,19959.5,4451.4,4506.8,4251.4,3986.9,3676.6,3441.6,3419.4,1995.8,2074.3,1894,204.8,201.1,202.4,181.1,178.2,158.8,156.8,156.3,173.4,169.4,168.2,165.1
1605,"1111605","Paredes de Coura",60428.6,53847.8,54594.2,54649.6,54631.6,54086.2,38094.2,38047.2,39790.5,20459.2,20714.2,19508.8,18314.4,16929.8,15771.8,15720.6,12504.2,12995,11863.7,8230.1,8167.1,8134.8,7422,7024.2,6948.4,6783.6,6760.8,6837.1,7119.7,6991.4,6863.8
1606,"1111606","Ponte da Barca",2884.3,2576.9,2612.7,2615.4,2614.3,2585.6,2477.6,2474.6,2572.7,2375.5,2405.2,2266,2132.1,1966.6,1836.8,1834.8,1873.6,1952.3,1790,1883.4,1890.9,1861.7,1709.7,1622.5,1608,1568.4,1563.2,1579.2,1638.6,1607.7,1578.4
1607,"1111607","Ponte de Lima",174445.4,155420.6,157575.1,157734.6,157682.7,156091.5,122562.3,122411.2,127990,86395.7,87471.8,82351.4,77329.8,71460.2,66592.5,66426.7,52643.9,54745.8,49910.8,34394.7,34176.9,33996.2,31035.4,29362.8,29083.9,28329.9,28235.7,28581,29797.3,29217.9,28684.9
1608,"1111608","Valença",25403.6,22635.9,22949.6,22972.9,22965.2,22740.8,13848.5,13831.5,14449.8,3873.5,3921.9,3711.9,3475.3,3206.4,2998.2,2981.6,2973.2,3091.1,2830.7,2907.1,2876.4,2873.4,2614.8,2473.3,2441.8,2391.9,2383.9,2407.4,2505.1,2467.5,2422.5
1609,"1111609","Viana do Castelo",156108.8,139093.2,141021.2,141164,141117.5,139687.5,109878.4,109743,114762.1,77749.6,78718,74107.6,69590.4,64320.5,59920.6,59775.7,44823.7,46611.2,42501.3,25366.1,25205.3,25072.2,22889.4,21665.9,21440.7,20899.4,20829.8,21089,21980.7,21534.8,21141.9
1610,"1111610","Vila Nova de Cerveira",35746.2,31851.1,32292.6,32325.4,32314.4,31981.2,22848.1,22819.8,23861.4,12776.4,12935.5,12171.5,11427.9,10559.7,9838.8,9820.1,7860.9,8175.2,7451.2,5261.6,5230.2,5200.6,4746.8,4491.5,4447,4332.8,4318.4,4371.8,4558.1,4467.7,4386.2
301,"1120301","Amares",13185.9,11750.9,11913.8,11925.8,11921.9,11804.9,10735.9,10722.5,11212.5,9716.1,9837,9258.1,8698.7,8037.5,7495.2,7464.2,6394.6,6629.8,6056.8,4872.6,4848,4816.2,4405,4174.9,4129.2,4019.2,4005.8,4063.7,4238,4149.9,4074.2
