"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",122.2,96.8,133.2,84.8,133.2,143.8,139.5,118.5,118.5,114.6,102.9,102.9,90.2,66.2,66.2,54.8,77.8,76.9,76.1,112.4,112.4,111.2,111.2,111.2,88,87.1,87.1,108.8,87.1,87.1,127.8
1602,"1111602","Caminha",269,215.1,293.2,187.6,293.2,317.4,189.7,156.8,156.8,14.4,11.8,11.8,11.6,8.8,8.8,5.7,17.2,17.1,16.9,36.4,36.4,36,36,36,27.6,27.2,27.2,35.1,27.2,27.2,42.5
1603,"1111603","Melgaço",253.9,199.7,275.6,175.5,275.6,296.8,243,201.5,201.5,140.8,126.3,126.3,110.2,80.4,80.4,68.9,77.8,76.9,76.1,90,90,89,89,89,71.5,70.8,70.8,87.1,70.8,70.8,101.2
1604,"1111604","Monção",168.3,133.2,181.6,115,181.6,197.7,112.6,94.8,94.8,0,0,0,0,0,0,0,22.9,22.8,22.5,61.8,61.8,61.2,61.2,61.2,49.5,49,49,59.9,49,49,69.2
1605,"1111605","Paredes de Coura",95,75.5,102.9,66.5,102.9,110.6,80.2,68.4,68.4,32.5,29.4,29.4,25.9,20.3,20.3,17.2,34.5,34.1,33.7,58.8,58.8,58.2,58.2,58.2,46.5,46,46,56.9,46,46,66.3
1606,"1111606","Ponte da Barca",201.8,160.1,220.7,139.2,220.7,239.6,168.7,139.5,139.5,61.4,56,56,49.1,37.1,37.1,31.8,37.1,36.8,36.4,45,45,44.5,44.5,44.5,35.5,35.1,35.1,43.5,35.1,35.1,50.8
1607,"1111607","Ponte de Lima",2301.4,1821.5,2505.3,1594.8,2505.3,2704.6,2349.7,1958.5,1958.5,1566.2,1407.8,1407.8,1239.2,918.9,918.9,766.9,758,750,742,725.1,725.1,717.4,717.4,717.4,569.5,563.5,563.5,702,563.5,563.5,825.1
1608,"1111608","Valença",33.9,27,36.3,24.2,36.3,38.7,180.6,148.2,148.2,307.7,275.7,275.7,243.8,181.1,181.1,149.3,264.1,261.4,258.6,438.4,438.4,433.8,433.8,433.8,343.6,339.9,339.9,424.4,339.9,339.9,497.9
1609,"1111609","Viana do Castelo",721.4,568.9,783.9,499.1,783.9,847.8,610.5,509.7,509.7,249.1,222.8,222.8,197.3,146.7,146.7,120.5,112.2,111,109.8,95.5,95.5,94.5,94.5,94.5,74.5,73.7,73.7,92.5,73.7,73.7,109
1610,"1111610","Vila Nova de Cerveira",48.9,36.3,51.2,33.5,51.2,53.9,38.3,29.6,29.6,11.8,9,9,8.9,5.7,5.7,5.7,14.2,14,13.8,28.1,28.1,27.9,27.9,27.9,22,21.8,21.8,27.2,21.8,21.8,31.9
301,"1120301","Amares",568.5,447.9,617.2,393.4,617.2,668.1,1282.9,1069.5,1069.5,1765.5,1589.6,1589.6,1398.6,1039.4,1039.4,864,1047.8,1036.8,1025.7,1309.8,1309.8,1295.8,1295.8,1295.8,1025.7,1014.7,1014.7,1268,1014.7,1014.7,1490.6
302,"1120302","Barcelos",638.6,505.6,695.9,441.8,695.9,751.9,642.8,536.1,536.1,416.4,375.4,375.4,330.8,246.9,246.9,204.1,163.4,161.8,160,95.5,95.5,94.5,94.5,94.5,74.5,73.7,73.7,92.5,73.7,73.7,109
303,"1120303","Braga",669.6,529.7,729,462.7,729,787.9,746.8,622.3,622.3,580.7,522,522,458.4,338.8,338.8,284.5,227.1,224.7,222.2,132.3,132.3,130.9,130.9,130.9,104.5,103.4,103.4,128.1,103.4,103.4,149.1
306,"1120306","Esposende",336.2,266.3,365.9,232.8,365.9,395.4,322.8,269.9,269.9,190.4,170.1,170.1,150.9,112.2,112.2,91.9,71.5,70.8,70,39.4,39.4,38.9,38.9,38.9,30.5,30.1,30.1,38.1,30.1,30.1,45
310,"1120310","Terras de Bouro",415.7,326.8,450.6,287.6,450.6,488.4,471.4,393.9,393.9,378.1,340.2,340.2,299.1,220.9,220.9,183.8,155.1,153.4,151.8,101.2,101.2,100.1,100.1,100.1,79.5,78.7,78.7,98,78.7,78.7,114.7
313,"1120313","Vila Verde",1723.9,1364.8,1876,1195.4,1876,2024.5,2447.7,2038.8,2038.8,2519.5,2266.8,2266.8,1993.7,1479,1479,1231.6,1162.7,1150.5,1138.1,1028.7,1028.7,1017.8,1017.8,1017.8,805.6,797,797,995.9,797,797,1171.2
307,"1130307","Fafe",262.9,205.8,284.4,181.6,284.4,308.7,287.2,239.8,239.8,220.2,199.4,199.4,174.1,129,129,109.1,143.6,142.1,140.6,199.8,199.8,197.7,197.7,197.7,156.6,154.9,154.9,193.4,154.9,154.9,226.1
308,"1130308","Guimarães",978.1,774.6,1065,677.8,1065,1150,1064.1,889,889,795,715.6,715.6,629.4,468.2,468.2,390.5,333.1,329.6,326.1,236.1,236.1,233.6,233.6,233.6,184.5,182.5,182.5,228.6,182.5,182.5,268.6
309,"1130309","Póvoa de Lanhoso",935.3,741.1,1019.5,647.5,1019.5,1102.1,717.1,598.6,598.6,170.1,152.5,152.5,133.4,97.6,97.6,83,189.5,187.6,185.5,354.1,354.1,350.4,350.4,350.4,277.6,274.6,274.6,342.9,274.6,274.6,402.1
1314,"1131314","Santo Tirso",895.4,708,974.2,620,974.2,1051.4,806,669.7,669.7,396.1,357.8,357.8,313.4,232.3,232.3,195.2,209.4,207.2,205,227.4,227.4,225.1,225.1,225.1,178.6,176.7,176.7,220.2,176.7,176.7,258
1318,"1131318","Trofa",0,0,0,0,0,0,136.3,112.6,112.6,267.1,240.5,240.5,211.6,158.2,158.2,132.1,80.4,79.5,78.7,2.6,2.6,2.6,2.6,2.6,2.5,2.5,2.5,2.5,2.5,2.5,2.5
311,"1130311","Vieira do Minho",544,432.9,593,378,593,640.9,468.2,391.2,391.2,202.2,181.8,181.8,159.8,117.5,117.5,97.6,100.7,99.7,98.6,101.2,101.2,100.1,100.1,100.1,79.5,78.7,78.7,98,78.7,78.7,114.7
312,"1130312","Vila Nova de Famalicão",437.4,344.9,474.8,302.6,474.8,512.4,512.5,426.7,426.7,428.1,387.1,387.1,339.2,252.7,252.7,209.4,1039.4,1028.5,1017.5,2315.9,2315.9,2291.3,2291.3,2291.3,1812.8,1793.3,1793.3,2242,1793.3,1793.3,2629.8
314,"1130314","Vizela",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,2.6,2.6,2.6,2.6,2.5,2.5,2.5,2.5,2.5,2.5,2.5
107,"1140107","Espinho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1304,"1141304","Gondomar",293.4,229.9,317.5,202.9,317.5,344.6,248.9,207.4,207.4,102.9,93.8,93.8,81.2,60.1,60.1,51.6,34.5,34.1,33.7,11.2,11.2,11.2,11.2,11.2,8.4,8.3,8.3,10.8,8.3,8.3,13.1
1306,"1141306","Maia",269,215.1,293.2,187.6,293.2,317.4,198.8,165.9,165.9,32.5,29.4,29.4,25.9,20.3,20.3,17.2,11.5,11.3,11.2,2.6,2.6,2.6,2.6,2.6,2.5,2.5,2.5,2.5,2.5,2.5,2.5
1308,"1141308","Matosinhos",85.6,66.5,94,60.5,94,101.8,104,88.9,88.9,91.2,82.1,82.1,72.3,54.8,54.8,46,48.6,48.1,47.5,53.6,53.6,53,53,53,41.5,41,41,51.9,41,41,61.5
1312,"1141312","Porto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
