"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",0,0,0,5023.4,3949.9,2239.6,1883.8,4642.8,3345.3,3233.8,3758.2,3403,4461.9,4066.1,4471.4,4586.7,3441,4222.2,3741.5,3459.2,3199.4,3018.1,2539.5,2715.8,2880.4,2846,2450.8,2488.5,2419.3,2252.1,2489
1602,"1111602","Caminha",0,0,0,0,0,0,0,0,0,0,0,0,0,48.3,102.7,155,167.1,255.2,285.6,314.5,341.8,378.9,363.7,386.2,413.3,409.8,348.5,355.5,345.6,320.2,354.9
1603,"1111603","Melgaço",0,0,0,2536.7,1994.7,1129.4,951.4,2344.6,1695.4,1639,1896.4,1718.6,2256,1956.6,2046.1,1983.4,1390.1,1589.7,1292.4,1083.2,888.7,725.1,510.5,548.2,577.3,571.5,494.6,497.8,483.8,454.5,500.7
1604,"1111604","Monção",0,0,0,7660.4,6033.5,3416.8,2882.2,7080.1,5104.5,4934.3,5732.5,5198.1,6809.8,5821.4,5972.3,5640.5,3851.2,4236.7,3291.6,2592.7,1948.3,1391.4,765.7,816,869,860.2,736.3,749.3,728.5,676.6,748.6
1605,"1111605","Paredes de Coura",0,0,0,1433.8,1135.6,641.3,536.9,1325.2,957,925.1,1073.8,978.3,1278.5,1167.5,1287.7,1324.9,995.1,1225,1085.4,1006.3,936.6,881.8,746.5,797.3,844.7,837.1,719.5,732.9,712.5,661.1,729.2
1606,"1111606","Ponte da Barca",0,0,0,982.6,780.1,440.2,367.4,908.2,656.3,634.4,736,672.1,877.4,756.9,782.1,751.6,524.1,583.4,464.2,377.4,300.8,235.1,153.2,162,176.2,173.2,146.2,147.7,143.5,134.2,150.6
1607,"1111607","Ponte de Lima",0,0,0,1584.2,1254.1,708.2,593.4,1464.2,1057.4,1022.1,1186.3,1080.5,1412.1,1618.4,2164.6,2634.3,2301.6,3252.3,3284.5,3431.3,3555,3743.2,3503,3743.4,3974.2,3925.6,3378.2,3434.6,3339.2,3104.3,3432.2
1608,"1111608","Valença",0,0,0,361,276.5,162.7,131.8,333.6,237,229.1,268.4,238.2,317.4,281.8,300.2,302.2,220.2,255.2,221.4,195.7,170.9,150.2,121.3,130.8,139.8,138.6,118.1,120.3,117,108.5,116.6
1609,"1111609","Viana do Castelo",0,0,0,1644.4,1293.6,737,621.7,1519.8,1093.8,1057.4,1229.6,1114.5,1462.2,1465.4,1777.4,1991.3,1625.5,2173,2092.2,2096.5,2098.8,2142.6,1946.1,2080.4,2205.9,2182.2,1877.4,1908.7,1855.8,1725.2,1905.8
1610,"1111610","Vila Nova de Cerveira",0,0,0,812.2,632,363.7,301.4,750.6,537.8,519.9,606.2,544.5,718.6,684.4,790,852.2,668.5,860.5,799.7,775.8,752,751.2,663.5,710.1,753.5,744.7,640.8,650.8,632.7,588.9,651.4
301,"1120301","Amares",0,0,0,4468.2,3538.2,2333.5,1998,4987.8,3660.7,3660.7,4331.5,3996.1,5323.3,5046.2,4845.9,3161.2,2377.5,2931.4,2599,2418,2242.3,2123.1,1793,1918.5,2029.7,2009,1731.3,1755.6,1706.9,1591,1755
302,"1120302","Barcelos",0,0,0,5875.7,4631.3,2613,2204.1,5430.6,3919.5,3788.9,4399,5415,9020.3,12475.5,18700.8,24608,22847.3,34157.7,35831.4,38725,41373.9,50707.4,48708.6,52769,56728.5,57687.1,50449.4,52038.3,51433.4,48709.8,55821.8
303,"1120303","Braga",0,0,0,4652.4,3663.5,2076.9,2034.5,5004.9,4132.2,4029,4091.8,4283.5,6392.1,6594.6,7131.8,8111.3,5779,6482.7,6276.2,6331.4,6371.5,6532.6,7386.3,7933.8,8454.3,8444.3,7311.6,7470.6,5684.2,5289.2,5843.4
306,"1120306","Esposende",0,0,0,1995.3,1570.1,890.2,753.5,1844.2,1330.8,1286.5,1489.4,1594.2,3059.7,2995.3,3508.2,3829.4,3062.7,3590.5,3392.4,3348.3,3304.3,3808.1,3438.3,3716.3,3998.6,4052.6,3532.7,3637,3589,3395.1,3883.1
310,"1120310","Terras de Bouro",0,0,0,3770,2972.3,1674.9,1412.8,3484.5,2515.8,2432,2823,2560.7,3350.6,2955,3136.2,3091.4,2218,2596,2177.8,1900.8,1640.7,1430.6,1097.4,1171,1245.8,1229.6,1056.7,1077.4,1047.5,971,1074.4
