"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",5421.1,5421.1,7234.7,8385.2,9399.3,10276.8,11056.8,14684,15464,19403.1,23537.2,24336.8,25077.8,24863.2,24648.8,27963.9,27749.3,27534.8,23927.3,23771.2,23615.2,26832.8,30011.4,26676.8,26676.8,26676.8,26676.8,23342.2,20007.6,16673,16673
1602,"1111602","Caminha",448.5,448.5,604.5,838.5,1033.6,1209,1365.1,1872.1,2028,2613.1,3217.6,3393.1,3529.6,3217.6,2925.1,3042.1,2730.1,2457.1,1911.1,1696.5,1482,1443,1384.5,1228.6,1228.6,1228.6,1228.6,1072.5,916.5,760.5,760.5
1603,"1111603","Melgaço",1911.1,1911.1,2554.6,2886.1,3178.6,3432.1,3646.6,4797.2,5031.2,6279.2,7566.2,7800.2,8014.7,8151.2,8287.7,9594.3,9730.8,9867.3,8736.3,8833.8,8931.3,10296.3,11700.4,10393.8,10393.8,10393.8,10393.8,9106.8,7800.2,6493.7,6493.7
1604,"1111604","Monção",1482,1482,1989,2145.1,2281.6,2398.5,2496.1,3237.1,3334.6,4114.6,4914.1,5031.2,5128.7,5518.7,5889.2,7117.7,7488.2,7839.2,7156.7,7449.3,7722.3,9106.8,10569.3,9399.3,9399.3,9399.3,9399.3,8229.3,7039.7,5869.7,5869.7
1605,"1111605","Paredes de Coura",1267.6,1267.6,1696.5,1677.1,1657.5,1638.1,1638.1,2028,2028,2418.1,2788.6,2788.6,2769.1,2983.6,3198.1,3861.1,4075.6,4270.6,3900.1,4056.1,4212.1,4972.7,5772.2,5128.7,5128.7,5128.7,5128.7,4485.1,3841.6,3198.1,3198.1
1606,"1111606","Ponte da Barca",1716,1716,2301,2457.1,2574.1,2691.1,2788.6,3588.1,3685.6,4524.2,5401.7,5499.2,5596.6,5752.7,5908.7,6922.7,7078.8,7234.7,6454.7,6571.7,6688.7,7761.2,8872.8,7878.2,7878.2,7878.2,7878.2,6903.2,5908.7,4933.7,4933.7
1607,"1111607","Ponte de Lima",2184.1,2184.1,2905.6,2983.6,3061.6,3120.1,3178.6,4036.6,4095.1,4972.7,5869.7,5928.2,5986.7,5733.2,5499.2,6025.7,5772.2,5538.2,4660.7,4485.1,4309.6,4719.1,5109.2,4543.6,4543.6,4543.6,4543.6,3978.1,3412.6,2847.1,2847.1
1608,"1111608","Valença",487.5,487.5,643.5,721.5,799.5,858.1,916.5,1189.5,1248,1560,1872.1,1930.5,1989,2184.1,2379.1,2925.1,3120.1,3295.6,3042.1,3178.6,3315.1,3939.1,4602.1,4095.1,4095.1,4095.1,4095.1,3588.1,3061.6,2554.6,2554.6
1609,"1111609","Viana do Castelo",1560,1560,2086.6,2223.1,2340.1,2457.1,2535,3276.1,3373.6,4153.7,4953.1,5031.2,5128.7,5460.1,5791.7,6961.7,7293.2,7605.2,6903.2,7156.7,7390.7,8697.3,10062.3,8950.8,8950.8,8950.8,8950.8,7819.8,6708.2,5596.6,5596.6
1610,"1111610","Vila Nova de Cerveira",390,390,507,526.5,546,565.5,585,741,760.5,936,1092,1111.5,1131.1,1345.5,1540.6,1989,2184.1,2379.1,2242.6,2398.5,2535,3061.6,3627.1,3217.6,3217.6,3217.6,3217.6,2827.6,2418.1,2008.6,2008.6
301,"1120301","Amares",975,975,1287,1501.6,1690.1,2112.6,2112.6,2632.6,2632.6,3152.6,3640.1,3640.1,3640.1,3510.1,3071.3,2281.6,2203.6,2145.1,1833.1,1774.6,1735.6,1911.1,2106.1,1872.1,1872.1,1872.1,1872.1,1638.1,1404.1,1170,1170
302,"1120302","Barcelos",1735.6,1735.6,2320.6,2320.6,2320.6,2320.6,2340.1,2925.1,2925.1,3510.1,4095.1,4777.6,6142.7,5996.4,5820.9,6493.7,6347.5,6201.2,5294.4,5177.4,5089.6,6305.2,6955.2,6175.2,6175.2,6175.2,6175.2,5395.2,4647.6,3867.6,3867.6
