"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",69.6,54,68,60.2,55.9,57.7,65.2,50.9,45.5,40.1,34.6,29,26.2,19.7,13.4,12,10.7,10.4,13.1,12.3,11.7,9.9,9.6,8.9,8.3,9,7.7,8.3,7.7,7.7,10.1
1602,"1111602","Caminha",27.6,21.4,26.9,23.4,21.2,21.3,23.3,17.4,14.6,11.9,9,6.3,3.8,3.3,2.4,2.4,2.7,2.9,4.4,4.8,5.5,5.6,6.9,6.4,6.1,6.5,5.5,6.1,5.5,5.5,7.1
1603,"1111603","Melgaço",36.7,28.4,35.7,32.3,30.8,32.5,38.1,30.8,28.9,27.1,25.1,23,23.6,17.5,11.7,10.1,8.8,8.2,10.1,9,7.8,5.9,4.8,4.4,4.1,4.6,3.8,4.1,3.8,3.8,5
1604,"1111604","Monção",69.9,54.2,68.2,59.1,53.3,53.1,57.5,42.3,35.2,28,20.6,12.9,5.9,5.2,4.2,4.3,4.5,5.1,7.8,8.7,9.9,10.4,12.7,11.9,11.3,12.2,10,11.3,10,10,13.6
1605,"1111605","Paredes de Coura",87.6,67.8,85.5,74.1,67.1,66.9,72.7,54,45.1,36.2,27.1,17.8,9.4,7.3,5.3,5,4.8,5,6.7,7.1,7.4,7.1,8.1,7.6,7.1,7.7,6.5,7.1,6.5,6.5,8.5
1606,"1111606","Ponte da Barca",24.1,18.7,23.6,21.3,20.2,21.4,25.1,20.3,18.8,17.6,16.2,14.8,15.1,11.3,7.5,6.5,5.6,5.2,6.4,5.6,4.8,3.5,2.7,2.4,2.4,2.6,2.2,2.4,2.2,2.2,2.9
1607,"1111607","Ponte de Lima",250.2,194,244,219.8,208,219,254.3,204.3,189.7,175.1,160.2,145.1,145.9,110.6,76.2,68.7,62.2,60.6,78.6,76.2,73.1,64.8,65.9,61.2,57.6,62.9,52.3,57.6,52.3,52.3,69.9
1608,"1111608","Valença",8.8,6.8,8.6,10.1,12.2,16.1,23,22.4,25.1,27.8,30.7,33.5,41.1,35.1,27.3,28,28.6,31.8,47.3,52.8,59,61.6,75,69.6,65.5,71.6,59.6,65.5,59.6,59.6,79.5
1609,"1111609","Viana do Castelo",95.6,74.1,93.2,82.1,75.7,77.4,86.9,66.8,58.9,50.9,42.7,34.4,29.2,22.8,16.1,15,14.1,14.2,19.4,19.7,20.3,19.2,21.4,19.7,18.7,20.4,16.9,18.7,16.9,16.9,22.8
1610,"1111610","Vila Nova de Cerveira",5.3,4.1,5.2,4.6,4.4,4.5,5.3,4.1,3.8,3.5,3.1,2.7,2.7,2.2,1.8,1.8,1.5,1.8,2.4,2.8,3,3.2,3.6,3.5,3.2,3.6,2.9,3.2,2.9,2.9,3.9
