"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",12.2,9.7,13.2,8.4,13.2,14.3,16.8,14.3,14.3,13.8,12.4,12.4,12.8,9.4,9.4,7.8,11.1,10.9,12.5,18.5,18.5,18.3,18.3,18.3,16.4,16.2,16.2,20.3,16.2,16.2,26.8
1602,"1111602","Caminha",26.7,21.3,29.2,18.6,29.2,31.6,22.9,18.9,18.9,1.8,1.4,1.4,1.7,1.3,1.3,0.8,2.4,2.4,2.7,5.9,5.9,5.9,5.9,5.9,5.1,5.1,5.1,6.6,5.1,5.1,9
1603,"1111603","Melgaço",25.2,19.8,27.4,17.5,27.4,29.5,29.3,24.3,24.3,17,15.2,15.2,15.7,11.4,11.4,9.8,11.1,10.9,12.5,14.8,14.8,14.6,14.6,14.6,13.3,13.2,13.2,16.2,13.2,13.2,21.2
1604,"1111604","Monção",16.7,13.2,18.1,11.4,18.1,19.7,13.6,11.4,11.4,0,0,0,0,0,0,0,3.3,3.2,3.7,10.2,10.2,10,10,10,9.2,9.2,9.2,11.1,9.2,9.2,14.6
1605,"1111605","Paredes de Coura",9.4,7.5,10.2,6.6,10.2,11,9.7,8.2,8.2,3.8,3.5,3.5,3.7,2.9,2.9,2.4,4.9,4.8,5.5,9.7,9.7,9.5,9.5,9.5,8.7,8.6,8.6,10.6,8.6,8.6,13.9
1606,"1111606","Ponte da Barca",20,16,21.9,13.9,21.9,23.8,20.3,16.8,16.8,7.3,6.7,6.7,7,5.3,5.3,4.6,5.3,5.2,5.9,7.3,7.3,7.3,7.3,7.3,6.6,6.6,6.6,8.1,6.6,6.6,10.6
1607,"1111607","Ponte de Lima",228.8,181.1,249.1,158.5,249.1,268.9,283.4,236.1,236.1,188.8,169.8,169.8,176.2,130.6,130.6,109,107.8,106.6,121.9,119.1,119.1,117.9,117.9,117.9,106.4,105.2,105.2,131.2,105.2,105.2,173.2
1608,"1111608","Valença",3.4,2.7,3.6,2.4,3.6,3.8,21.8,17.8,17.8,37.1,33.2,33.2,34.6,25.8,25.8,21.2,37.6,37.1,42.5,72,72,71.2,71.2,71.2,64.2,63.5,63.5,79.3,63.5,63.5,104.5
1609,"1111609","Viana do Castelo",71.7,56.6,77.9,49.6,77.9,84.3,73.6,61.5,61.5,30,26.9,26.9,28.1,20.9,20.9,17.1,16,15.7,18.1,15.7,15.7,15.5,15.5,15.5,13.9,13.8,13.8,17.3,13.8,13.8,22.9
1610,"1111610","Vila Nova de Cerveira",4.9,3.6,5.1,3.3,5.1,5.4,4.6,3.6,3.6,1.4,1.1,1.1,1.3,0.8,0.8,0.8,2,2,2.3,4.6,4.6,4.6,4.6,4.6,4.1,4.1,4.1,5.1,4.1,4.1,6.7
301,"1120301","Amares",56.5,44.5,61.4,39.1,61.4,66.4,154.7,128.9,128.9,212.9,191.7,191.7,198.8,147.8,147.8,122.8,149,147.4,168.5,215.1,215.1,212.9,212.9,212.9,191.7,189.6,189.6,236.9,189.6,189.6,312.8
302,"1120302","Barcelos",63.5,50.3,69.2,43.9,69.2,74.8,77.6,64.6,64.6,50.3,45.2,45.2,47,35.1,35.1,29,23.2,23,26.2,15.7,15.7,15.5,15.5,15.5,13.9,13.8,13.8,17.3,13.8,13.8,22.9
303,"1120303","Braga",66.6,52.7,72.4,46,72.4,78.3,90,75,75,70,62.9,62.9,65.2,48.2,48.2,40.4,32.3,31.9,36.5,21.7,21.7,21.5,21.5,21.5,19.5,19.2,19.2,23.9,19.2,19.2,31.3
306,"1120306","Esposende",33.5,26.5,36.4,23.2,36.4,39.3,38.9,32.5,32.5,23,20.5,20.5,21.4,16,16,13,10.2,10.1,11.5,6.4,6.4,6.4,6.4,6.4,5.7,5.7,5.7,7.1,5.7,5.7,9.4
310,"1120310","Terras de Bouro",41.4,32.5,44.8,28.6,44.8,48.5,56.8,47.5,47.5,45.6,41,41,42.5,31.4,31.4,26.2,22,21.8,24.9,16.6,16.6,16.4,16.4,16.4,14.8,14.8,14.8,18.3,14.8,14.8,24.1
313,"1120313","Vila Verde",171.4,135.7,186.5,118.8,186.5,201.2,295.1,245.8,245.8,303.7,273.3,273.3,283.4,210.2,210.2,175.1,165.3,163.6,186.9,169,169,167.2,167.2,167.2,150.6,149,149,186.1,149,149,245.8
307,"1130307","Fafe",26.2,20.5,28.3,18.1,28.3,30.7,34.6,28.9,28.9,26.5,24.1,24.1,24.8,18.3,18.3,15.5,20.4,20.2,23,32.8,32.8,32.5,32.5,32.5,29.3,28.9,28.9,36,28.9,28.9,47.5
308,"1130308","Guimarães",97.3,77,105.9,67.3,105.9,114.4,128.2,107.2,107.2,95.8,86.3,86.3,89.5,66.6,66.6,55.5,47.3,46.8,53.5,38.8,38.8,38.4,38.4,38.4,34.4,34.1,34.1,42.7,34.1,34.1,56.4
309,"1130309","Póvoa de Lanhoso",93,73.7,101.4,64.4,101.4,109.6,86.4,72.2,72.2,20.5,18.4,18.4,19,13.9,13.9,11.8,27,26.7,30.5,58.2,58.2,57.5,57.5,57.5,51.9,51.3,51.3,64,51.3,51.3,84.4
1314,"1131314","Santo Tirso",89,70.3,96.9,61.7,96.9,104.5,97.2,80.8,80.8,47.8,43.2,43.2,44.6,33,33,27.8,29.7,29.5,33.7,37.4,37.4,37,37,37,33.3,33,33,41.2,33,33,54.1
1318,"1131318","Trofa",0,0,0,0,0,0,16.4,13.6,13.6,32.2,29,29,30.1,22.5,22.5,18.8,11.4,11.3,12.9,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6
311,"1130311","Vieira do Minho",54.1,43,58.9,37.6,58.9,63.8,56.5,47.1,47.1,24.4,21.9,21.9,22.8,16.7,16.7,13.9,14.3,14.1,16.2,16.6,16.6,16.4,16.4,16.4,14.8,14.8,14.8,18.3,14.8,14.8,24.1
312,"1130312","Vila Nova de Famalicão",43.5,34.3,47.2,30.1,47.2,50.9,61.8,51.4,51.4,51.7,46.7,46.7,48.2,35.9,35.9,29.7,147.8,146.2,167.1,380.4,380.4,376.4,376.4,376.4,338.7,335,335,418.9,335,335,551.9
314,"1130314","Vizela",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6
107,"1140107","Espinho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1304,"1141304","Gondomar",29.2,22.9,31.6,20.2,31.6,34.3,30,25,25,12.4,11.3,11.3,11.5,8.5,8.5,7.3,4.9,4.8,5.5,1.9,1.9,1.8,1.8,1.8,1.6,1.6,1.6,2.1,1.6,1.6,2.7
1306,"1141306","Maia",26.7,21.3,29.2,18.6,29.2,31.6,24,20,20,3.8,3.5,3.5,3.7,2.9,2.9,2.4,1.6,1.6,1.9,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6
1308,"1141308","Matosinhos",8.5,6.6,9.3,6,9.3,10.1,12.5,10.8,10.8,11,9.9,9.9,10.3,7.8,7.8,6.5,6.9,6.8,7.8,8.8,8.8,8.7,8.7,8.7,7.7,7.6,7.6,9.7,7.6,7.6,12.9
1312,"1141312","Porto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1313,"1141313","Póvoa de Varzim",135.5,107.1,147.4,93.9,147.4,159.3,265.5,221.2,221.2,303,272.9,272.9,282.9,209.9,209.9,175.1,164.9,163.2,186.5,167.6,167.6,165.8,165.8,165.8,149.6,148,148,184.5,148,148,243.6
1315,"1141315","Valongo",38.9,31,42.4,27.1,42.4,45.9,33.6,27.9,27.9,3.5,3.1,3.1,3.3,2.4,2.4,2,1.3,1.2,1.4,0,0,0,0,0,0,0,0,0,0,0,0
1316,"1141316","Vila do Conde",74.8,59.2,81.5,51.7,81.5,88.1,111.2,92.9,92.9,98.3,88.4,88.4,91.6,67.8,67.8,56.8,35.5,35.1,40.2,2.3,2.3,2.2,2.2,2.2,2.1,2.1,2.1,2.4,2.1,2.1,3.4
1317,"1141317","Vila Nova de Gaia",59.3,47,64.4,40.9,64.4,69.7,63.9,53.2,53.2,30.4,27.6,27.6,28.4,21.2,21.2,17.6,19.5,19.4,22.2,26.2,26.2,26,26,26,23.6,23.4,23.4,28.9,23.4,23.4,37.9
1301,"1151301","Amarante",133.7,105.9,145.6,92.7,145.6,157.2,275.5,229.7,229.7,325.6,293.1,293.1,304,225.7,225.7,188.2,123.3,122,139.4,22.6,22.6,22.4,22.4,22.4,20.1,19.8,19.8,24.8,19.8,19.8,33
1302,"1151302","Baião",33.5,26.5,36.4,23.2,36.4,39.3,32.9,27.5,27.5,11,9.9,9.9,10.3,7.8,7.8,6.5,5.3,5.2,5.9,4.1,4.1,4.1,4.1,4.1,3.6,3.6,3.6,4.6,3.6,3.6,6.2
304,"1150304","Cabeceiras de Basto",114.9,91.1,125.2,79.7,125.2,135.2,137.9,115,115,86.6,77.8,77.8,80.8,60.1,60.1,49.8,49,48.4,55.4,54,54,53.4,53.4,53.4,48.3,47.8,47.8,59.4,47.8,47.8,78.2
106,"1150106","Castelo de Paiva",38.9,31,42.4,27.1,42.4,45.9,41.8,34.6,34.6,19.5,17.6,17.6,18.1,13.4,13.4,11.4,8.5,8.4,9.7,5.1,5.1,5.1,5.1,5.1,4.6,4.6,4.6,5.7,4.6,4.6,7.2
305,"1150305","Celorico de Basto",84.1,66.8,91.7,58.4,91.7,99.2,171.1,142.6,142.6,200.1,180.3,180.3,186.8,138.8,138.8,115.6,80.8,80,91.4,28.1,28.1,27.9,27.9,27.9,25.1,24.8,24.8,31,24.8,24.8,40.7
1804,"1151804","Cinfães",33,26.2,36,22.9,36,39,32.1,26.8,26.8,9.9,8.8,8.8,9.1,6.5,6.5,5.7,5.3,5.2,5.9,5.5,5.5,5.5,5.5,5.5,5.1,5.1,5.1,6.2,5.1,5.1,7.8
1303,"1151303","Felgueiras",115.2,91.1,125.4,79.7,125.4,135.5,200.4,166.9,166.9,208.2,187.4,187.4,194.3,144.1,144.1,120,160.9,159.2,181.9,254.8,254.8,252.1,252.1,252.1,227.1,224.7,224.7,280.6,224.7,224.7,370.4
1305,"1151305","Lousada",68.1,53.8,74.1,47.2,74.1,79.8,82.5,68.9,68.9,53.1,47.8,47.8,49.5,36.8,36.8,30.7,23.2,23,26.2,12.9,12.9,12.7,12.7,12.7,11.3,11.1,11.1,14.3,11.1,11.1,19
1307,"1151307","Marco de Canaveses",61,48.4,66.5,42.4,66.5,71.8,59.7,50,50,19.5,17.6,17.6,18.1,13.4,13.4,11.4,8.5,8.4,9.7,5.1,5.1,5.1,5.1,5.1,4.6,4.6,4.6,5.7,4.6,4.6,7.2
1705,"1151705","Mondim de Basto",33,26.2,36,22.9,36,39,53.2,44.3,44.3,51.3,46,46,47.9,35.5,35.5,29.4,20.4,20.2,23,5.9,5.9,5.9,5.9,5.9,5.1,5.1,5.1,6.6,5.1,5.1,9
1309,"1151309","Paços de Ferreira",53.2,42.1,57.8,36.8,57.8,62.5,49.3,41.1,41.1,12,10.6,10.6,11.1,8.1,8.1,6.9,6.2,6,7,5.5,5.5,5.5,5.5,5.5,5.1,5.1,5.1,6.2,5.1,5.1,7.8
