"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",1225,1225,1225,1117.9,1010.8,894,732.5,860.2,996.1,928.2,926.8,1141.4,1342,1208.3,1063.3,931.7,792.7,684.3,583.7,518.8,472.6,474.6,481,474.6,463.7,457.4,446,412,378,340.1,340.1
1602,"1111602","Caminha",697.9,697.9,697.9,636.3,575.4,508.7,401.2,471.3,546.1,490.9,490.2,603.6,709.7,639.1,562.6,492.7,412.3,356,304,258.4,235,236.3,239.5,236.3,230.6,227.4,221.8,204.8,187.7,168.8,168.8
1603,"1111603","Melgaço",740.6,740.6,740.6,675.5,610.4,539.8,395.7,464.4,537.8,448.8,448.8,552,649.2,584.6,514.7,450.9,389.7,336.2,286.9,265.6,242.2,242.8,246,242.8,236.9,233.8,228.1,210.4,193.4,173.8,173.8
1604,"1111604","Monção",1542.8,1542.8,1542.8,1407.7,1272.6,1125.5,1071.3,1259.5,1457.8,1524.4,1523,1875.4,2204.2,1985.1,1747.6,1530.1,1326,1144.9,977.1,910.8,829.4,832,843.6,832.7,812.8,802,782.5,722.6,662.8,596.2,596.2
1605,"1111605","Paredes de Coura",501.2,501.2,501.2,457.1,413,365.2,306.3,360.1,417.1,395.8,395.1,486.8,571.9,515.4,453.5,397,363.7,313.9,267.8,282.5,257.8,258.2,262.1,258.2,252.3,249.1,243.2,224.3,206,185,185
1606,"1111606","Ponte da Barca",436.8,436.8,436.8,398.3,359.8,318.1,229.4,269.6,311.4,255.3,255.3,314.4,369.6,332.6,293.3,256.7,214.8,185.6,158.5,134.8,123.1,123,124.9,123,120.4,118.5,115.9,107.1,98.3,88.5,88.5
1607,"1111607","Ponte de Lima",2636.2,2636.2,2636.2,2405.2,2174.2,1923.7,1486.5,1746.6,2022.3,1784.4,1783,2195.9,2581.2,2324.4,2046.2,1791.5,1615.2,1394.3,1190.3,1216,1108,1111.5,1127.6,1112.9,1086.1,1071.4,1045.2,965.2,885.1,796.8,796.8
1608,"1111608","Valença",638.4,638.4,638.4,582.4,526.4,465.7,399.8,469.9,544,527.6,526.9,649.1,762.7,686.8,604.4,529.3,498.7,430.4,367.1,410.8,374.4,375.5,380.6,376.1,366.9,361.8,352.8,326.3,299.2,269.1,269.1
1609,"1111609","Viana do Castelo",2706.2,2706.2,2706.2,2468.9,2231.6,1974.3,2520.4,2962.1,3430,4198.2,4195.5,5165.9,6072.8,5468,4813.3,4215.4,3063,2643.2,2256.3,1086.5,990.1,993,1007.2,994.3,970.1,956.8,933.7,861.8,791.3,711.5,711.5
1610,"1111610","Vila Nova de Cerveira",544.6,544.6,544.6,497,449.4,397.8,248.1,291.5,337.5,228.1,227.5,280.4,329.3,297,261.3,228.8,221.4,191.4,163.2,192.1,175.1,175.8,178.4,175.8,172,169.5,165.1,152.5,139.9,125.9,125.9
301,"1120301","Amares",2672.6,2672.6,2672.6,2438.1,2203.6,1949.4,1209.3,1421.4,1645.7,1102.7,1102,1356.7,1595.3,1436.8,1264.1,1107.3,796.7,687.6,586.9,266.9,243.5,244.1,247.3,244.1,238.2,235.1,229.3,211.7,194.7,175.1,175.1
302,"1120302","Barcelos",675.5,675.5,675.5,616,557.2,492.7,530.2,622.9,721,812.1,811.4,999.5,1174.7,1057.7,931,815.3,897.1,773.8,660.7,942,858,861,873.2,861.7,840.8,830,809.5,747.8,686.1,616.8,616.8
303,"1120303","Braga",464.1,464.1,464.1,423.5,382.9,338.9,380.4,447.3,517.2,596.2,596.2,733.3,862.2,776.9,683.6,598.5,592.5,511.3,436.2,532.5,485,486.8,493.3,486.8,475.2,468.9,457.4,422.1,387.4,348.9,348.9
306,"1120306","Esposende",891.8,891.8,891.8,813.4,735,650.7,459.5,539.9,625,500.4,500.4,615.9,723.7,651.8,573.9,502.7,510,440.2,375.7,477.8,435.5,436.7,443.1,437.3,426.8,421,410.8,379.3,347.8,312.8,312.8
310,"1120310","Terras de Bouro",147.7,147.7,147.7,134.4,121.8,107.4,110.2,129.6,149.5,163.7,163.7,201.7,237.2,213.7,188.2,164.9,127,109.9,93.4,60.5,55.3,55.4,56,55.4,54.2,53.5,52.3,47.9,44.1,39.9,39.9
313,"1120313","Vila Verde",782.6,782.6,782.6,714,645.4,571.1,467.7,549.5,635.9,592.8,592.1,729.3,856.8,771.5,679.6,595.1,515.3,444.8,379.7,353.5,322.3,322.6,327.2,323.3,315.3,311.5,303.7,280.3,257,231.1,231.1
307,"1130307","Fafe",400.4,400.4,400.4,365.4,330.4,292.5,257.1,302.5,349.9,345.6,345,425,499.9,450.2,396.3,347.1,274.6,236.9,202.6,143.8,131.5,132,133.3,132,128.7,126.8,124.1,114.7,104.6,94.7,94.7
308,"1130308","Guimarães",401.8,401.8,401.8,366.8,331.1,293.2,214.8,252.4,292.2,244.4,244.4,300.1,353.5,317.9,280,245.4,293.9,254,216.5,342.4,311.8,313,316.8,313,305.1,301.3,294.2,271.5,248.8,224.3,224.3
309,"1130309","Póvoa de Lanhoso",163.1,163.1,163.1,148.4,134.4,118.5,106,124.9,144.8,143.9,143.9,177.2,208.3,187.5,165.5,145,140.3,121.1,103.3,121.7,111.3,111.4,113.3,111.4,108.9,107.7,104.6,96.4,88.8,79.7,79.7
1314,"1131314","Santo Tirso",376.6,376.6,376.6,343.7,310.8,274.4,198.2,233.2,269.6,221.3,221.3,272.3,320.5,288.3,254,222.7,208.1,179.6,153.3,168.6,153.6,153.9,156.5,153.9,150.4,148.4,144.9,133.6,122.8,110.2,110.2
1318,"1131318","Trofa",0,0,0,0,0,0,25.6,30.2,34.3,60.4,60.4,74,87.4,78.6,69.2,60.5,99,85.5,73,148.4,134.8,135.9,137.2,135.9,132.5,130.6,127.3,117.8,107.7,97.2,97.2
311,"1130311","Vieira do Minho",186.2,186.2,186.2,170.1,154,135.8,110.9,130.3,150.9,140.6,140.6,172.5,202.9,182.8,160.9,141,141.6,122.4,104.6,131.5,119.8,119.8,121.7,119.8,117.2,115.9,112.8,104.6,95.8,86,86
312,"1130312","Vila Nova de Famalicão",240.1,240.1,240.1,219.1,198.1,175.3,266.1,312.1,361.5,473.3,472.6,581.9,684.1,616.2,541.9,474.8,468.9,404.7,345.4,419.9,382.8,383.8,389,384.4,375.2,369.5,360.4,333.3,305.5,274.8,274.8
314,"1130314","Vizela",0,0,0,0,0,0,24.9,29.5,34.3,59.8,59.8,73.4,86,78,68.5,59.8,47.2,40.8,34.9,24.1,22.1,22.5,22.5,22.5,21.6,21.6,20.8,19.5,17.6,16.2,16.2
107,"1140107","Espinho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1304,"1141304","Gondomar",170.8,170.8,170.8,155.4,140.7,124.7,85.3,100.2,115.9,89.6,89.6,110,129.7,116.3,102.4,89.7,89.7,77.6,66.4,82,74.9,75.3,76,75.3,73.3,72.6,70.6,65.5,59.8,53.5,53.5
1306,"1141306","Maia",91.7,91.7,91.7,84,75.6,67.2,69.3,81.6,94.6,103.9,103.9,128.3,150.5,135.7,119.7,104.4,95.1,82.2,69.7,72.9,66.4,66.4,67,66.4,65,63.7,62.4,57.3,52.9,47.3,47.3
1308,"1141308","Matosinhos",101.5,101.5,101.5,92.4,84,74.1,52.6,61.7,71.3,58.4,57.7,71.3,84,75.2,66.5,57.8,73.1,63.1,54,89.2,81.3,81.1,82.5,81.1,79.7,78.3,76.9,70.6,64.9,58.6,58.6
1312,"1141312","Porto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.3,1.3,3.9,3.9,3.8,3.8,3.8,3.8,3.2,3.1,3.1,2.5,2.5,2.5
1313,"1141313","Póvoa de Varzim",82.6,82.6,82.6,75.6,67.9,60.3,70,82.3,95.3,111.4,111.4,137.1,160.6,145.2,127.7,111.7,125.6,108.6,92.1,135.4,123.7,124.3,125.6,124.3,121,119.8,116.6,107.7,98.9,89.1,89.1
1315,"1141315","Valongo",56,56,56,51.1,46.2,40.9,36,42.6,49.4,48.9,48.9,60.4,70.6,63.8,55.9,49.2,42.6,36.8,31.6,30,27.4,27.7,27.7,27.7,26.7,26.1,25.8,23.9,22,20,20
1316,"1141316","Vila do Conde",293.3,293.3,293.3,267.4,242.2,214.1,158.7,186.6,216.1,182.6,182.6,224.8,264.1,237.9,209.4,182.8,220.8,190.8,163.2,258.4,235,236.3,239.5,236.3,230.6,227.4,221.8,204.8,187.7,168.8,168.8
1317,"1141317","Vila Nova de Gaia",264.6,264.6,264.6,240.8,217.7,192.6,121.9,142.7,165.3,114.1,114.1,140.6,164.6,148.5,130.3,114.4,100.4,86.9,73.7,71,65.1,65,66.4,65,63.7,63.1,61.1,56.7,51.7,46.8,46.8
1301,"1151301","Amarante",538.3,538.3,538.3,490.7,443.8,392.9,244.6,287.4,333.4,225.4,225.4,277.7,325.9,293.6,258,226.1,222.7,192.1,163.9,198.6,180.3,180.9,183.5,181.6,177.1,174.5,170.1,157.5,144.3,129.6,129.6
1302,"1151302","Baião",208.6,208.6,208.6,190.4,172.2,152.5,138.6,162.6,188.6,190.8,190.8,234.9,276.2,248.6,218.8,191.5,154.3,132.9,113.8,84.6,77.5,77.9,78.5,77.9,75.8,74.6,73.1,67.4,61.7,56.1,56.1
304,"1150304","Cabeceiras de Basto",332.5,332.5,332.5,303.1,274.4,242.5,226.6,266.8,308.7,318.4,318.4,391.8,461,414.6,365,319.9,268.7,231.6,198,169.9,154.9,155.2,157.1,155.2,151.6,149.7,145.5,134.8,123.5,111.5,111.5
