"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",2911.3,2911.3,2911.3,3118.5,3318.7,3511.2,3696.7,2965.9,2251.9,2130.1,2007.6,1921.5,1834.7,1867.6,1895.6,1917.3,1934.1,1655.5,1388.1,1219.4,1057,1048.6,1033.9,1019.9,1006.6,991.9,977.9,975.1,972.3,969.5,969.5
1602,"1111602","Caminha",1036.7,1036.7,1036.7,1078,1109.5,1131.2,1142.4,873.6,627.9,557.2,486.5,424.9,361.9,379.4,396.9,415.1,434,385.7,336.7,309.4,281.4,294,306.6,302.4,298.2,294,289.8,289.1,288.4,287.7,287.7
1603,"1111603","Melgaço",1873.9,1873.9,1873.9,1960,2032.1,2087.4,2126.6,1644.3,1197,1078,960.4,859.6,756.7,767.2,775.6,781.2,783.3,666.4,555.1,483.7,415.8,408.1,397.6,392.7,387.1,381.5,376.6,375.2,373.8,373.1,373.1
1604,"1111604","Monção",2678.2,2678.2,2678.2,2817.5,2939.3,3042.9,3126.2,2440.9,1796.9,1640.8,1486.1,1357.3,1226.4,1236.9,1242.5,1243.2,1238.3,1045.1,861.7,743.4,630.7,610.4,584.5,576.1,568.4,560.7,552.3,550.9,549.5,548.1,548.1
1605,"1111605","Paredes de Coura",1555.4,1555.4,1555.4,1649.9,1737.4,1817.9,1889.3,1495.2,1117.2,1038.1,959.7,898.8,835.8,854.7,870.8,884.8,896.7,771.4,651,575.4,502.6,502.6,501.2,494.2,487.2,480.9,473.9,472.5,471.1,469.7,469.7
1606,"1111606","Ponte da Barca",1281,1281,1281,1376.2,1468.6,1559.6,1647.8,1327.9,1012.9,962.5,912.8,878.5,844.2,851.2,854.7,854.7,851.2,717.5,592.2,510.3,432.6,417.9,399.7,394.1,389.2,383.6,378,377.3,375.9,375.2,375.2
1607,"1111607","Ponte de Lima",4245.5,4245.5,4245.5,4545.1,4834.9,5114.2,5380.9,4316.2,3275.3,3095.4,2916.2,2788.1,2660,2711.1,2755.9,2793,2821.7,2419.9,2032.8,1790.6,1556.8,1549.1,1533.7,1512.7,1491.7,1471.4,1450.4,1446.2,1442,1437.8,1437.8
1608,"1111608","Valença",5252.1,5252.1,5252.1,5895.4,6584.2,7322.7,8115.8,6868.4,5511.8,5520.2,5525.1,5628.7,5737.9,5658.8,5540.5,5380.2,5174.4,4190.2,3288.6,2667,2094.4,1829.8,1523.2,1502.9,1481.9,1461.6,1440.6,1436.4,1432.2,1428,1428
1609,"1111609","Viana do Castelo",4385.5,4385.5,4385.5,4659.2,4914,5148.5,5362,4251.8,3186.4,2969.4,2753.1,2586.5,2417.1,2404.5,2378.6,2336.6,2279.9,1877.4,1505,1254.4,1020.6,935.9,836.5,825.3,814.1,802.2,791,788.9,786.8,784.7,784.7
1610,"1111610","Vila Nova de Cerveira",1007.3,1007.3,1007.3,1040.2,1062.6,1074.5,1073.1,810.6,573.3,498.4,424.2,357.7,289.8,291.9,291.9,290.5,288.4,242.2,198.8,170.1,142.8,137.2,129.5,128.1,126,123.9,122.5,121.8,121.8,121.1,121.1
301,"1120301","Amares",5383,5383,5383,6651.4,8096.2,9733.5,11580.8,10461.5,8914.5,9440.2,9951.9,10642.8,11354,13468,15791.3,18340,21130.9,20594.7,19615.4,19558.7,19243.7,21676.9,24334.8,24005.1,23676.1,23347.1,23018.1,22950.9,22883.7,22816.5,22816.5
302,"1120302","Barcelos",4286.8,4286.8,4286.8,4589.9,4883.9,5166,5436.2,4361,3310.3,3129,2948.4,2820.3,2690.8,2755.2,2813.3,2865.8,2912,2513,2125.9,1886.5,1654.8,1662.5,1663.9,1641.5,1618.4,1596,1573.6,1569.4,1564.5,1559.6,1559.6
303,"1120303","Braga",1955.8,1955.8,1955.8,2139.2,2327.5,2521.4,2720.9,2241.4,1750.7,1705.9,1661.1,1645.7,1630.3,1650.6,1665.3,1673.7,1675.1,1421.7,1180.2,1026.2,878.5,858.9,833,821.8,810.6,799.4,788.2,785.4,783.3,781.2,781.2
306,"1120306","Esposende",1386.7,1386.7,1386.7,1491,1594.6,1695.4,1794.8,1448.3,1106.7,1054.2,1001,966.7,931,942.9,951.3,955.5,956.2,812,674.1,585.9,501.9,490,475.3,469,462.7,456.4,450.1,448.7,447.3,445.9,445.9
310,"1120310","Terras de Bouro",718.9,718.9,718.9,763,803.6,840,872.9,690.9,515.9,479.5,443.1,414.4,385.7,388.5,389.9,389.9,387.8,326.2,268.8,231,195.3,188.3,179.9,177.1,175,172.2,170.1,169.4,168.7,168.7,168.7
313,"1120313","Vila Verde",3204.6,3204.6,3204.6,3409,3601.5,3780,3943.8,3133.9,2354.1,2199.4,2046.1,1928.5,1810.2,1880.2,1950.2,2019.5,2088.8,1836.8,1586.2,1439.2,1292.9,1333.5,1373.4,1355.2,1336.3,1318.1,1299.2,1295.7,1291.5,1288,1288
307,"1130307","Fafe",1955.1,1955.1,1955.1,2079.7,2196.6,2305.1,2404.5,1910.3,1434.3,1339.8,1246,1173.9,1101.1,1148,1195.6,1243.2,1290.8,1140.3,989.8,902.3,814.8,844.9,875.7,863.8,851.9,840,828.1,825.3,823.2,821.1,821.1
308,"1130308","Guimarães",22138.2,22138.2,22138.2,23793.7,25415.6,27001.1,28546,23014.6,17564.4,16702.7,15843.1,15265.6,14683.9,15495.9,16335.9,17206,18108.3,16219,14271.6,13205.5,12105.8,12749.1,13423.2,13241.9,13059.9,12878.6,12696.6,12660.2,12623.1,12586,12586
309,"1130309","Póvoa de Lanhoso",1828.4,1828.4,1828.4,1957.9,2083.2,2203.6,2319.1,1859.9,1411.9,1334.9,1257.9,1203.3,1148,1134.7,1114.4,1085.7,1048.6,853.3,674.1,551.6,438.2,388.5,331.1,326.9,322,317.8,313.6,312.2,311.5,310.8,310.8
1314,"1131314","Santo Tirso",4004,4004,4004,4120.9,4193.7,4216.8,4187.4,3139.5,2200.1,1890,1582.7,1303.4,1019.2,1027.6,1031.8,1031.8,1026.9,865.9,714,615.3,521.5,503.3,481.6,475.3,468.3,462,455.7,454.3,452.9,451.5,451.5
1318,"1131318","Trofa",0,0,0,30.1,66.5,109.9,161.7,169.4,161.7,186.9,212.1,240.8,270.9,273.7,275.8,276.5,276.5,234.5,193.9,168,143.5,140,135.1,133,131.6,129.5,128.1,127.4,127.4,126.7,126.7
311,"1130311","Vieira do Minho",1312.5,1312.5,1312.5,1395.8,1474.2,1546.3,1612.1,1280.3,961.1,896.7,833.7,784.7,735.7,739.9,741.3,739.2,732.9,616,505.4,433.3,364.7,350,331.1,326.9,322,317.8,313.6,312.2,311.5,310.8,310.8
312,"1130312","Vila Nova de Famalicão",1817.2,1817.2,1817.2,1940.4,2058,2170,2275,1817.2,1373.4,1292.2,1210.3,1150.8,1090.6,1110.9,1128.4,1142.4,1152.9,987.7,829.5,729.4,632.8,628.6,621.6,613.2,604.8,596.4,588,585.9,584.5,582.4,582.4
314,"1130314","Vizela",0,0,0,14.7,32.2,53.2,77.7,81.2,77.7,90.3,102.2,116.2,130.2,133,135.8,137.9,140,120.4,101.5,89.6,78.4,78.4,78.4,77,75.6,74.9,73.5,73.5,73.5,73.5,73.5
107,"1140107","Espinho",66.5,66.5,66.5,69.3,72.1,74.2,75.6,58.8,43.4,39.2,35,31.5,28,27.3,25.9,24.5,22.4,16.8,12.6,9.1,6.3,4.2,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
1304,"1141304","Gondomar",833.7,833.7,833.7,865.2,889,903.7,908.6,692.3,494.9,436.1,378,326.2,273.7,298.9,326.2,355.6,386.4,357.7,324.8,310.1,293.3,319.2,345.8,341.6,336.7,331.8,327.6,326.2,325.5,324.1,324.1
1306,"1141306","Maia",655.9,655.9,655.9,699.3,740.6,779.1,815.5,650.3,490,459.9,429.1,406.7,383.6,390.6,396.9,401.1,404.6,346.5,290.5,254.8,221.2,219.1,216.3,213.5,210.7,207.9,205.1,204.4,203.7,203,203
1308,"1141308","Matosinhos",513.8,513.8,513.8,549.5,583.8,616,646.8,517.3,391.3,368.9,346.5,330.4,313.6,319.2,322.7,326.2,328.3,280.7,234.5,205.1,177.1,175,172.2,169.4,167.3,165.2,163.1,162.4,161.7,161.7,161.7
1312,"1141312","Porto",0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,2.8,4.9,7,7.7,7.7,8.4,9.1,11.2,12.6,12.6,12.6,12.6,11.9,11.9,11.9,11.9,11.9
1313,"1141313","Póvoa de Varzim",729.4,729.4,729.4,763,791.7,813.4,829.5,641.9,467.6,421.4,376.6,337.4,298.2,457.1,634.9,832.3,1051.4,1102.5,1113.7,1165.5,1194.2,1393,1612.1,1590.4,1568.7,1546.3,1524.6,1520.4,1515.5,1511.3,1511.3
1315,"1141315","Valongo",9965.2,9965.2,9965.2,10840.2,11727.8,12628.7,13545,11088.7,8602.3,8324.4,8045.8,7910.7,7776.3,7832.3,7856.1,7844.2,7795.2,6561.8,5397.7,4640.3,3922.8,3776.5,3595.2,3546.2,3497.9,3448.9,3400.6,3390.8,3381,3370.5,3370.5
1316,"1141316","Vila do Conde",1978.9,1978.9,1978.9,2140.6,2302.3,2463.3,2625,2133.6,1642.9,1577.8,1512,1473.5,1435,1521.8,1613.5,1708.7,1808.1,1628.9,1441.3,1341.2,1236.9,1310.4,1387.4,1368.5,1349.6,1331.4,1312.5,1309,1304.8,1300.6,1300.6
1317,"1141317","Vila Nova de Gaia",1113.7,1113.7,1113.7,1169.7,1218,1258.6,1290.1,1005.2,737.8,671.3,605.5,550.2,494.9,492.1,486.5,478.1,466.2,384.3,308,256.2,208.6,191.1,170.8,168.7,166.6,163.8,161.7,161,161,160.3,160.3
1301,"1151301","Amarante",1925,1925,1925,2047.5,2163,2270.8,2368.8,1882.3,1414,1321.6,1229.2,1158.5,1087.1,1087.8,1082.9,1071.7,1054.2,877.1,711.9,602,499.1,469,432.6,427,421.4,415.1,409.5,408.1,407.4,406,406
1302,"1151302","Baião",1144.5,1144.5,1144.5,1227.8,1308.3,1386,1460.9,1173.9,893.2,846.3,799.4,766.5,733.6,749,762.3,773.5,783.3,673.4,567,500.5,436.1,435.4,432.6,426.3,420.7,415.1,408.8,408.1,406.7,405.3,405.3
304,"1150304","Cabeceiras de Basto",1236.2,1236.2,1236.2,1298.5,1353.1,1397.9,1433.6,1116.5,820.4,746.2,673.4,612.5,550.2,564.2,576.8,588.7,598.5,518,438.9,389.9,343,345.1,346.5,341.6,337.4,332.5,327.6,326.9,325.5,324.8,324.8
106,"1150106","Castelo de Paiva",525,525,525,552.3,576.1,597.1,613.2,478.8,352.8,322,291.9,266.7,241.5,259.7,278.6,298.9,320.6,292.6,261.8,247.1,230.3,247.1,265.3,261.8,258.3,254.1,250.6,249.9,249.2,248.5,248.5
305,"1150305","Celorico de Basto",1524.6,1524.6,1524.6,1630.3,1731.8,1828.4,1920.8,1537.2,1164.1,1097.6,1031.8,983.5,935.2,961.1,984.9,1007.3,1027.6,891.1,757.4,676.2,596.4,603.4,608.3,599.9,592.2,583.8,575.4,574,572.6,570.5,570.5
1804,"1151804","Cinfães",1170.4,1170.4,1170.4,1242.5,1308.3,1369.2,1423.8,1127,843.5,784,725.2,679,632.8,651,667.1,683.2,697.9,605.5,515.2,460.6,407.4,412.3,416.5,410.9,405.3,399.7,394.1,393.4,392,390.6,390.6
1303,"1151303","Felgueiras",2767.1,2767.1,2767.1,3321.5,3946.6,4648,5433.4,4832.1,4062.1,4250.4,4432.4,4694.9,4965.1,5121.9,5273.1,5418.7,5558,4846.1,4146.1,3724.7,3310.3,3374.7,3432.8,3386.6,3340.4,3294.2,3247.3,3238.2,3228.4,3218.6,3218.6
1305,"1151305","Lousada",8210.3,8210.3,8210.3,8985.2,9782.5,10603.6,11450.6,9440.9,7378.7,7196,7011.2,6951.7,6894.3,6641.6,6320.3,5927.6,5456.5,4174.8,3035.2,2207.1,1461.6,936.6,340.2,335.3,331.1,326.2,322,320.6,319.9,319.2,319.2
1307,"1151307","Marco de Canaveses",1411.2,1411.2,1411.2,1506.4,1596.7,1682.8,1764,1409.1,1064,1000.3,937.3,890.4,843.5,858.2,870.8,881.3,888.3,760.2,637,559.3,485.1,480.9,473.9,467.6,461.3,454.3,448,447.3,445.2,444.5,444.5
1705,"1151705","Mondim de Basto",454.3,454.3,454.3,483,510.3,534.8,557.9,443.1,332.5,310.1,288.4,271.6,254.1,269.5,284.9,301,317.8,285.6,252,233.8,214.9,226.8,240.1,236.6,233.8,230.3,226.8,226.1,225.4,224.7,224.7
1309,"1151309","Paços de Ferreira",662.2,662.2,662.2,704.2,744.1,781.2,814.1,646.8,485.8,453.6,422.1,397.6,373.1,379.4,384.3,388.5,391.3,333.9,280,245,212.1,210,205.8,203,200.9,198.1,194.6,194.6,193.9,193.2,193.2
1310,"1151310","Paredes",1556.1,1556.1,1556.1,1624,1678.6,1719.2,1745.1,1343.3,973,870.8,770,681.8,592.9,616.7,639.8,662.9,686,604.1,521.5,473.9,426.3,439.6,452.9,447.3,441,434.7,428.4,427.7,426.3,424.9,424.9
1311,"1151311","Penafiel",1654.8,1654.8,1654.8,1745.1,1825.6,1895.6,1953.7,1531.6,1133.3,1040.2,947.8,872.2,795.9,823.2,849.1,875,899.5,786.1,674.8,607.6,542.5,554.4,566.3,558.6,550.9,543.2,535.5,534.1,532.7,531.3,531.3
1813,"1151813","Resende",727.3,727.3,727.3,776.3,822.5,866.6,907.9,724.5,546.7,513.8,480.9,456.4,431.2,437.5,442.4,445.2,447.3,380.1,317.1,276.5,238,233.8,227.5,224.7,221.9,218.4,215.6,214.9,214.2,213.5,213.5
1709,"1151709","Ribeira de Pena",644.7,644.7,644.7,693.7,742,788.9,835.1,674.1,515.2,490,465.5,449.4,433.3,449.4,464.8,480.9,496.3,435.4,375.2,339.5,304.5,312.9,321.3,317.1,312.9,308.7,304.5,303.1,302.4,301.7,301.7
104,"1160104","Arouca",1224.3,1224.3,1224.3,1317.4,1408.4,1497.3,1584.8,1279.6,977.2,930.3,884.1,853.3,821.8,824.6,823.2,818.3,808.5,676.2,551.6,470.4,392.7,373.1,349.3,344.4,340.2,335.3,330.4,329.7,328.3,327.6,327.6
113,"1160113","Oliveira de Azeméis",877.1,877.1,877.1,1316,1832.6,2434.6,3129.7,3007.9,2696.4,2979.2,3255.7,3591,3935.4,3984.4,4019.4,4039.7,4043.9,3432.1,2850.4,2477.3,2121.7,2074.1,2012.5,1985.2,1957.9,1930.6,1903.3,1897.7,1892.1,1887.2,1887.2
109,"1160109","Santa Maria da Feira",834.4,834.4,834.4,886.9,935.9,981.4,1022.7,811.3,609,567.7,527.1,495.6,464.1,469.7,473.9,476.7,476.7,404.6,336,292.6,250.6,245,237.3,234.5,231,228.2,224.7,224,223.3,222.6,222.6
116,"1160116","São João da Madeira",21.7,21.7,21.7,21.7,21.7,20.3,19.6,13.3,8.4,6.3,4.2,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,"1160119","Vale de Cambra",6336.4,6336.4,6336.4,6387.5,6338.5,6181,5904.5,4211.2,2759.4,2153.9,1556.1,984.2,401.1,401.1,397.6,392.7,385.7,319.9,258.3,217.7,179.2,167.3,152.6,150.5,149.1,146.3,144.2,144.2,143.5,143.5,143.5
1701,"1171701","Alijó",914.9,914.9,914.9,1204.7,1474.2,1723.4,1951.6,2227.4,2501.1,2771.3,3038.7,3580.5,4172,4037.6,3866.8,3654,3395,2437.4,1604.4,1241.8,881.3,553,186.9,179.2,170.8,163.1,155.4,151.2,147.7,143.5,143.5
1801,"1171801","Armamar",368.9,368.9,368.9,338.1,308.7,280,252.7,233.8,214.2,195.3,177.1,171.5,164.5,176.4,189,203,218.4,186.2,150.5,150.5,150.5,158.9,168.7,161.7,154,147,140,136.5,133,129.5,129.5
403,"1170403","Carrazeda de Ansiães",453.6,453.6,453.6,422.8,392.7,362.6,334.6,316.4,298.9,281.4,263.9,267.4,268.8,282.8,297.5,313.6,330.4,275.8,217.7,213.5,208.6,215.6,224,214.2,204.4,195.3,185.5,180.6,176.4,172.2,172.2
404,"1170404","Freixo de Espada à Cinta",224.7,224.7,224.7,206.5,189.7,173.6,157.5,146.3,135.8,125.3,114.8,113.4,109.9,115.5,121.1,127.4,133.7,111.3,87.5,85.4,83.3,86.1,88.9,84.7,81.2,77.7,73.5,72.1,70,68.6,68.6
1805,"1171805","Lamego",959.7,959.7,959.7,870.8,785.4,702.8,623.7,566.3,508.9,452.2,395.5,368.2,333.2,351.4,371,391.3,413.7,345.8,274.4,269.5,264.6,274.4,285.6,273.7,261.1,249.2,237.3,231,225.4,219.8,219.8
1704,"1171704","Mesão Frio",96.6,96.6,96.6,103.6,109.9,116.2,121.8,97.3,73.5,69.3,65.1,61.6,58.8,61.6,63.7,66.5,69.3,61.6,53.2,49,44.1,46.2,47.6,46.9,46.9,46.2,45.5,45.5,44.8,44.8,44.8
1807,"1171807","Moimenta da Beira",1032.5,1032.5,1032.5,966.7,902.3,840,779.1,743.4,707.7,672.7,637,653.1,664.3,687.4,711.2,735,759.5,620.2,480.2,459.2,438.2,441.7,445.2,426.3,407.4,388.5,368.9,360.5,351.4,342.3,342.3
1812,"1171812","Penedono",233.1,233.1,233.1,217.7,202.3,187.6,173.6,164.5,156.1,147,139.3,141.4,142.8,150.5,158.2,166.6,175.7,146.3,115.5,113.4,110.6,114.8,119,114.1,108.5,103.6,98.7,95.9,93.8,91.7,91.7
1708,"1171708","Peso da Régua",316.4,316.4,316.4,298.9,282.1,265.3,249.2,240.8,232.4,224,215.6,224.7,233.1,235.9,238.7,240.1,241.5,191.1,142.8,130.9,119.7,114.8,108.5,104.3,99.4,94.5,90.3,88.2,85.4,83.3,83.3
1710,"1171710","Sabrosa",326.9,326.9,326.9,305.2,283.5,263.2,242.9,230.3,217.7,205.8,193.9,197.4,198.8,208.6,219.1,229.6,240.8,200.2,157.5,154,149.8,154,158.9,152.6,145.6,138.6,132.3,128.8,126,122.5,122.5
1711,"1171711","Santa Marta de Penaguião",159.6,159.6,159.6,154.7,150.5,144.9,140,139.3,138.6,137.9,137.2,147.7,158.9,168,177.8,187.6,198.8,166.6,132.3,130.2,128.1,133,139.3,133,127.4,121.1,115.5,112.7,109.9,107.1,107.1
1815,"1171815","São João da Pesqueira",190.4,190.4,190.4,189.7,189,187.6,185.5,189,192.5,196,199.5,219.8,241.5,252,262.5,273.7,285.6,235.2,184.1,177.8,171.5,175.7,179.2,171.5,164.5,156.1,149.1,144.9,141.4,137.9,137.9
1818,"1171818","Sernancelhe",452.9,452.9,452.9,428.4,403.9,380.1,356.3,344.4,332.5,320.6,308.7,322,333.9,344.4,354.9,365.4,375.9,305.2,235.2,223.3,212.1,212.1,212.8,203.7,194.6,185.5,176.4,171.5,167.3,163.1,163.1
1819,"1171819","Tabuaço",239.4,239.4,239.4,221.9,204.4,187.6,170.8,160.3,149.8,139.3,128.8,128.8,127.4,138.6,150.5,164.5,179.2,154.7,126.7,128.1,129.5,138.6,149.1,142.8,135.8,130.2,123.2,120.4,117.6,114.8,114.8
1820,"1171820","Tarouca",420,420,420,388.5,357,326.9,297.5,278.6,259,240.1,221.2,219.8,215.6,216.3,216.3,215.6,213.5,166.6,122.5,109.9,98,91,82.6,79.1,75.6,72.1,68.6,67.2,65.1,63.7,63.7
409,"1170409","Torre de Moncorvo",439.6,439.6,439.6,417.2,395.5,373.8,352.8,342.3,332.5,322,312.2,327.6,342.3,345.8,348.6,351.4,352.1,277.9,207.2,189.7,172.2,163.8,154.7,148.4,141.4,135.1,128.8,125.3,122.5,119,119
