"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",24141.6,24141.6,24141.6,23047.2,21780,20397.6,18928.8,19922.4,20894.4,20260.8,19605.6,42379.2,65325.6,65786.4,66175.2,66499.2,66765.6,58759.2,51235.2,51105.6,50947.2,55591.2,59918.4,56073.6,52221.6,48376.8,44532,35654.4,26784,17906.4,17906.4
1602,"1111602","Caminha",15062.4,15062.4,15062.4,16322.4,16790.4,16718.4,16250.4,17733.6,19152,19022.4,18777.6,41284.8,64576.8,66830.4,69062.4,71287.2,73490.4,66391.2,59421.6,60811.2,62193.6,69609.6,76939.2,72000,67060.8,62121.6,57182.4,45784.8,34387.2,22989.6,22989.6
1603,"1111603","Melgaço",24076.8,24076.8,24076.8,19951.2,16718.4,14104.8,11944.8,11577.6,11289.6,10245.6,9331.2,19080,27936,27626.4,27273.6,26884.8,26452.8,22795.2,19447.2,18964.8,18460.8,19656,20649.6,19324.8,18000,16675.2,15350.4,12290.4,9230.4,6170.4,6170.4
1604,"1111604","Monção",21096,21096,21096,20340,19368,18237.6,17006.4,17956.8,18892.8,18367.2,17812.8,38577.6,59558.4,59947.2,60278.4,60544.8,60760.8,53445.6,46584,46440,46274.4,50457.6,54360,50868,47376,43891.2,40399.2,32349.6,24292.8,16243.2,16243.2
1605,"1111605","Paredes de Coura",15364.8,15364.8,15364.8,13680,12225.6,10944,9784.8,9979.2,10188,9648,9144,19411.2,29440.8,35784,42264,48888,55627.2,54820.8,52999.2,58140,63316.8,75031.2,87400.8,81792,76176,70567.2,64958.4,52012.8,39067.2,26121.6,26121.6
1606,"1111606","Ponte da Barca",9338.4,9338.4,9338.4,15105.6,18640.8,20620.8,21477.6,24609.6,27568.8,28166.4,28440,63705.6,101196,103860,106480.8,109044,111571.2,100058.4,88905.6,90352.8,91785.6,102045.6,112068,104875.2,97675.2,90482.4,83289.6,66686.4,50090.4,33487.2,33487.2
1607,"1111607","Ponte de Lima",49147.2,49147.2,49147.2,47793.6,45792,43336.8,40550.4,42955.2,45316.8,44143.2,42876,93009.6,143784,156816,170035.2,183434.4,196992,184852.8,171381.6,181267.2,191210.4,220284,250221.6,234158.4,218088,202024.8,185961.6,148903.2,111837.6,74779.2,74779.2
1608,"1111608","Valença",11044.8,11044.8,11044.8,9705.6,8589.6,7617.6,6753.6,6840,6933.6,6530.4,6163.2,13017.6,19663.2,20102.4,20527.2,20937.6,21340.8,19065.6,16884,17092.8,17301.6,19166.4,20980.8,19634.4,18288,16941.6,15595.2,12484.8,9374.4,6271.2,6271.2
1609,"1111609","Viana do Castelo",49917.6,49917.6,49917.6,42026.4,35755.2,30614.4,26287.2,25840.8,25516.8,23436,21592.8,44661.6,66124.8,66621.6,67046.4,67413.6,67716,59623.2,52020,51912,51782.4,56527.2,60962.4,57045.6,53136,49219.2,45309.6,36273.6,27244.8,18216,18216
1610,"1111610","Vila Nova de Cerveira",10764,10764,10764,8676,7077.6,5810.4,4788,4521.6,4291.2,3794.4,3362.4,6696,9547.2,9619.2,9676.8,9727.2,9770.4,8596.8,7502.4,7488,7466.4,8150.4,8784,8222.4,7653.6,7092,6530.4,5227.2,3924,2628,2628
