"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",23875,27275,21925,26550,25300,25050,22250,21950,21625,20800,21000,20150,22475,24975,25325,24625,22850,21125,18375,16675,17000,15800,15125,18550,18550,18550,17575,18550,20000,18550,17075
1602,"1111602","Caminha",9350,10675,8575,9875,8950,8375,7025,6525,6025,5425,5075,4500,4625,4850,4625,4200,3575,3000,2300,1800,1525,1100,700,850,850,850,800,850,925,850,800
1603,"1111603","Melgaço",2950,3350,2700,3100,2825,2625,2200,2050,1900,1700,1600,1425,1450,1650,1700,1675,1600,1500,1350,1250,1300,1250,1225,1500,1500,1500,1425,1500,1625,1500,1375
1604,"1111604","Monção",10625,12125,9750,10950,9600,8700,7025,6225,5450,4600,3975,3175,2850,3150,3175,3050,2800,2575,2200,1975,2000,1825,1725,2125,2125,2125,2000,2125,2275,2125,1950
1605,"1111605","Paredes de Coura",6225,7125,5725,6950,6625,6550,5825,5750,5675,5450,5500,5275,5900,6975,7525,7800,7700,7600,7050,6850,7450,7425,7625,9350,9350,9350,8850,9350,10075,9350,8600
1606,"1111606","Ponte da Barca",6925,7900,6350,7650,7225,7125,6275,6150,6025,5750,5775,5500,6100,6650,6625,6300,5725,5150,4350,3825,3775,3375,3075,3775,3775,3775,3575,3775,4075,3775,3475
1607,"1111607","Ponte de Lima",32850,37550,30175,36100,33975,33200,29125,28350,27600,26200,26100,24700,27200,30100,30400,29400,27150,24950,21575,19450,19675,18175,17225,21125,21125,21125,20000,21125,22775,21125,19450
1608,"1111608","Valença",3650,4175,3350,3925,3600,3450,2950,2800,2650,2450,2375,2175,2325,2650,2775,2800,2675,2575,2325,2200,2325,2250,2250,2750,2750,2750,2600,2750,2975,2750,2550
1609,"1111609","Viana do Castelo",49275,56300,45250,52175,47250,44300,37175,34550,31975,28750,27000,24000,24650,27175,27300,26275,24150,22050,18950,16975,17025,15575,14625,17925,17925,17925,16975,17925,19350,17925,16500
1610,"1111610","Vila Nova de Cerveira",5725,6525,5250,6350,6050,6000,5325,5250,5175,4975,5025,4825,5375,5800,5700,5350,4775,4200,3475,2975,2850,2450,2125,2600,2600,2600,2475,2600,2800,2600,2400
301,"1120301","Amares",7050,8050,6475,7200,6250,5575,4425,3825,3250,2650,2175,1600,1275,1575,1750,1875,1925,1950,1850,1850,2050,2100,2200,2700,2700,2700,2550,2700,2900,2700,2475
302,"1120302","Barcelos",163150,186450,149850,189075,187450,192600,177375,181125,184650,183300,190875,188625,216650,244100,251075,247700,233700,219600,194500,179950,187200,178000,174325,213700,213700,213700,202450,213700,230575,213700,196825
303,"1120303","Braga",35250,40275,32375,40675,40175,41150,37775,38450,39075,38700,40200,39625,45425,49125,48325,45400,40625,36000,29850,25675,24575,21250,18650,22850,22850,22850,21650,22850,24675,22850,21050
306,"1120306","Esposende",38325,43800,35200,42775,40900,40600,36175,35800,35425,34150,34600,33275,37250,40925,41000,39300,35950,32675,27925,24850,24775,22500,20925,25650,25650,25650,24300,25650,27675,25650,23625
310,"1120310","Terras de Bouro",6775,7750,6225,7000,6150,5600,4525,4025,3525,2975,2600,2100,1900,2200,2300,2325,2250,2175,1975,1875,2000,1950,1975,2425,2425,2425,2300,2425,2600,2425,2225
313,"1120313","Vila Verde",35650,40750,32750,37825,34300,32225,27100,25225,23400,21100,19900,17750,18300,20075,20050,19200,17525,15875,13525,12000,11925,10775,9975,12225,12225,12225,11575,12225,13200,12225,11250
307,"1130307","Fafe",23075,26375,21200,23325,20000,17600,13700,11625,9575,7425,5700,3775,2300,2775,3050,3200,3200,3200,3000,2950,3250,3275,3400,4175,4175,4175,3950,4175,4500,4175,3850
308,"1130308","Guimarães",45900,52450,42150,49175,45100,42850,36525,34500,32525,29850,28700,26150,27675,30250,30150,28725,26100,23550,19950,17575,17350,15550,14250,17475,17475,17475,16550,17475,18850,17475,16100
309,"1130309","Póvoa de Lanhoso",13225,15125,12150,13700,12100,11000,8950,8000,7075,6025,5300,4350,4025,4600,4800,4800,4600,4375,3950,3700,3925,3800,3775,4625,4625,4625,4375,4625,5000,4625,4250
1314,"1131314","Santo Tirso",40375,46125,37075,42250,37800,34925,28850,26325,23875,20950,19125,16425,16200,18225,18725,18425,17375,16300,14400,13300,13800,13100,12800,15700,15700,15700,14875,15700,16925,15700,14450
1318,"1131318","Trofa",0,0,0,3375,6400,9475,11200,13775,16250,18175,20925,22525,27850,31650,32850,32725,31175,29575,26475,24750,26050,25050,24825,30425,30425,30425,28825,30425,32825,30425,28025
311,"1130311","Vieira do Minho",10500,12000,9650,10925,9700,8900,7275,6575,5875,5075,4550,3825,3650,4175,4375,4375,4200,4025,3625,3400,3625,3500,3500,4300,4300,4300,4075,4300,4625,4300,3950
312,"1130312","Vila Nova de Famalicão",69650,79600,63975,78275,75375,75325,67575,67300,67000,65025,66275,64150,72225,81075,83100,81650,76725,71775,63300,58275,60325,57050,55575,68125,68125,68125,64550,68125,73500,68125,62750
314,"1130314","Vizela",0,0,0,200,375,550,650,800,950,1050,1225,1325,1625,1775,1775,1700,1550,1425,1200,1075,1075,975,900,1100,1100,1100,1050,1100,1200,1100,1025
107,"1140107","Espinho",550,625,500,550,500,450,350,300,275,225,200,150,125,275,425,550,675,775,800,875,1050,1125,1250,1525,1525,1525,1450,1525,1650,1525,1400
1304,"1141304","Gondomar",4225,4825,3875,4450,4025,3750,3125,2900,2650,2375,2200,1950,1975,2175,2175,2075,1900,1725,1475,1300,1300,1175,1100,1350,1350,1350,1275,1350,1450,1350,1250
1306,"1141306","Maia",25225,28850,23175,27800,26250,25750,22650,22150,21625,20600,20600,19575,21625,24825,26050,26200,25225,24200,21875,20700,22000,21400,21450,26300,26300,26300,24900,26300,28375,26300,24225
1308,"1141308","Matosinhos",23375,26725,21475,26150,25075,24950,22275,22100,21900,21175,21475,20700,23225,26075,26750,26300,24725,23150,20425,18800,19475,18450,17975,22025,22025,22025,20875,22025,23775,22025,20300
1312,"1141312","Porto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1313,"1141313","Póvoa de Varzim",53575,61225,49200,62925,63175,65650,61075,62975,64750,64800,67975,67650,78200,88725,91900,91350,86850,82250,73450,68525,71925,69025,68250,83675,83675,83675,79250,83675,90275,83675,77050
1315,"1141315","Valongo",4750,5450,4375,5250,4950,4875,4275,4200,4100,3900,3900,3700,4100,4750,5025,5100,4950,4800,4375,4175,4475,4400,4450,5450,5450,5450,5175,5450,5875,5450,5025
