"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",5082,4958,4937.5,4968.3,4996.6,4907.3,4123.2,4121.9,4091.3,3145.6,3138.4,3476.9,3789.7,3726.7,3748.2,3844.4,3354.6,3291.9,2940.5,2425.4,2392.4,2509.7,2681.8,2602.9,2487.2,2379.8,2231.7,1993.1,1732.5,1461.7,1405.9
1602,"1111602","Caminha",2645.4,2472.2,2489.4,2496.2,2491.4,2458.5,2148.8,2148.6,2201.5,1740.9,1722.1,2017.9,2305.7,2249.3,2220.9,2244.4,1814.7,1731.3,1560,1085.2,1093,1204.3,1311,1240.1,1163.1,1092,1020.6,860.9,700.1,535.7,529.4
1603,"1111603","Melgaço",7226.2,7145.9,7176.5,7165.1,7246.7,7098.3,5118.5,5086.9,4927.5,2944.7,2931.7,3537.8,4158.7,4177.8,4188.6,4322.1,3726.7,3647.7,3350.1,2774.4,2718.1,2878.6,3073.1,2929.9,2772.4,2664.9,2516.9,2200.6,1840.5,1520.2,1474.7
1604,"1111604","Monção",423.7,410.5,407.1,411.7,423.6,413.6,305,307.1,301.6,171.7,168.5,203.3,238.8,237.4,238.1,241.7,206.3,201.6,185.3,150.5,146.1,156,167.2,160.7,150.5,143.2,135,116.5,95.7,77,74.5
1605,"1111605","Paredes de Coura",3716.3,3435.7,3471.8,3507,3532.3,3497.8,2698.7,2699.8,2756.5,1741.6,1739.1,1819.4,1897,1823.7,1796.1,1817,2044.8,2025.4,1844.4,1900.8,1905.4,2007.8,2090.9,2017.3,1909,1818.6,1721.4,1542.4,1348.4,1137,1113.4
1606,"1111606","Ponte da Barca",1309.6,1355.4,1340,1341.1,1347.6,1324.3,1645.1,1625.2,1595.8,1669.5,1642.7,2442.6,3248.3,3323.4,3413.7,3537.8,3451.3,3222.3,2903.1,2806.9,2849,3119.1,3398.7,3217.6,3027.3,2843.3,2649,2237.5,1808,1373.9,1357.9
1607,"1111607","Ponte de Lima",7955.7,7396.8,7449.2,7491.5,7533.2,7463.1,6275.4,6247.9,6401.9,4868.8,4848.1,5144.5,5415.4,5187.4,5106.7,5162.4,4963.3,4887.2,4421.6,4008.6,4028,4254.6,4395.9,4208,4013.6,3830.1,3649,3323.7,3009.5,2605,2573.8
1608,"1111608","Valença",4486.1,4292.8,4319.7,4396.5,4458.7,4475.2,3916.3,3630.6,3389.4,2481.9,2406.9,2559,2693.1,2688.9,2699.4,2750.4,2396,2268.8,2040,1625,1567.1,1639.8,1702.4,1648.2,1565.4,1514.4,1452.7,1358.1,1236.5,1114.8,1104.9
1609,"1111609","Viana do Castelo",5778.5,5493.6,5471,5495.7,5450.6,5367.9,4415.7,4386.1,4478.1,3431.2,3384.4,3477.1,3520.5,3319.5,3209.5,3190.9,2778.2,2743.5,2452.5,1922.1,1859.8,2004.1,2106.8,2027.8,1952.8,1879.4,1810.7,1715.4,1632.6,1490.5,1464.9
1610,"1111610","Vila Nova de Cerveira",5232.2,4883.4,4895.3,4951.9,4972.9,4919.6,3620.4,3622.7,3707.5,2212.1,2210.2,2233.2,2260,2145,2081.1,2104.2,1779,1809.5,1647.1,1301.8,1295.4,1326.3,1309,1258.7,1221.2,1189.9,1161.1,1116.2,1083.9,1005.4,990.4
301,"1120301","Amares",1189.9,1174.2,1162.7,1175.3,1200.8,1195,1652.9,1522.3,1399.1,1682.1,1635.3,1894,2157.9,2153.9,2178.1,2219.3,2389.1,2190.5,1943.1,2071.3,1916.5,1988.2,2054.8,2008.5,1941.5,1899.2,1861.2,1841.5,1783,1726.8,1728.2
302,"1120302","Barcelos",105644.9,100171.1,99006.2,100598,99899.5,99171.9,122121,122412.3,126756.9,152250.7,152459.8,149388.4,145893.8,136407.5,131269.7,132101.1,129287.3,132676.2,119729.6,118271,118892.3,119296.1,113747.6,110369.5,108315.6,105975.3,104301.2,104704.5,107281.1,102913.7,101578.6
303,"1120303","Braga",5795.8,5542.7,5485.2,5519.9,5482.5,5400.9,5047.3,5027.3,5140.1,4640.7,4613.4,4799.1,4968.8,4741.8,4695.8,4734.2,4392.1,4381.6,3929.7,3621.6,3640.8,3740.2,3713.1,3586.8,3474.9,3358,3248,3119.1,3031.8,2790.7,2750.9
306,"1120306","Esposende",5270.5,5000.4,4958.8,5006.1,4960.3,4906,4745.6,4754.3,4907.2,4750.8,4742,4824.4,4893.2,4632.5,4502.6,4543.3,4086.3,4132.5,3719.1,3341.4,3356.3,3394.4,3277.8,3165.1,3094.8,3012.6,2952.9,2920.5,2956.9,2800.7,2760.3
